14年 9月20日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,14年 9月20日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:14,,,,,■ 4R  ダ1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■ 7R  ダ1400m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■10R  芝1400m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
12, 4,Ｆメイショウカンベエ, 43,松若風, 2.6, 31,  -4, -21, 6, 23.5,⑫⑫⑫,12, 5, スリｰファイヤｰ,---,小崎綾, 2.5, 20, -49,  -5,12,198.4, ⑫⑫,,,,,,,,,,,,,12, 8,Ｎオｰヴァｰジョイド, 76,菱田裕, 0.9, 74,   5,  12, 9, 61.6,⑩⑨⑦
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,15,Ｉゴｰルデンヒｰロｰ, 80,浜中俊, 1.4, 72,   7,   4, 4,  7.8,⑨④⑥
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,11,Ｋサクラブライアンス, 79,太宰啓, 2.3, 68,   4,   2,13,218.8,⑫⑫⑫
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,12,Ｏテイエムゲッタドン, 70,和田竜, 3.6, 57,   2,  -6,11, 91.1,⑦⑩⑮
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-0 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:53 ﾚｰｽﾍﾟｰｽ指数:-24 ﾚｰｽｱｶﾞﾘ指数:+15 馬場:良(指数:-2),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:84 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:良(指数:-3),,,,,,,,,,,
単勝:230円 複勝:05=110円 07=120円 01=130円 枠連:340円,,,,,,,,,,,,"単勝:700円 複勝:10=190円 06=170円 08=230円 枠連:2,250円",,,,,,,,,,,,"単勝:130円 複勝:02=110円 04=310円 07=150円 枠連:1,120円",,,,,,,,,,,,単勝:270円 複勝:06=140円 01=240円 07=360円 枠連:950円,,,,,,,,,,,
馬連:420円 ワイド:05-07=190円 01-05=300円 01-07=330円,,,,,,,,,,,,"馬連:1,600円 ワイド:06-10=560円 08-10=810円 06-08=590円",,,,,,,,,,,,"馬連:1,580円 ワイド:02-04=590円 02-07=190円 04-07=1,200円",,,,,,,,,,,,"馬連:1,130円 ワイド:01-06=530円 06-07=920円 01-07=2,120円",,,,,,,,,,,
"馬単:760円 3連複:670円 3連単:2,220円",,,,,,,,,,,,"馬単:3,760円 3連複:3,440円 3連単:20,670円",,,,,,,,,,,,"馬単:1,870円 3連複:2,210円 3連単:8,690円",,,,,,,,,,,,"馬単:1,800円 3連複:6,420円 3連単:21,170円",,,,,,,,,,,
■ 3R  ダ1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 6R  芝1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 9R  芝1800m 2 歳ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■12R  芝1200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,野路菊ｽﾃｰｸｽ,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,16,Ｄレモンティｰ, 60,浜中俊,, 68,   0,*  3, 5,  9.9, ⑦⑥, 1, 7,Ｈラテラルアｰク, 70,四位洋,, 80,   6,*  9, 2,  6.7, ⑬⑫, 1, 4,Ａダノンメジャｰ, 64,小牧太,, 76, -16,* 22, 1,  1.8, ⑥⑦, 1, 5,Ｊメイショウブイダン, 69,幸英明,, 77,*  3,   3, 3,  8.9, ②②
 2,15,Ｃアサカファルコン, 61,和田竜, 0.2, 65,   1,   0, 1,  3.5, ⑤⑤, 2, 6,Ａドラゴンストリｰト, 75,福永祐, 0.1, 79,   6,   6, 1,  1.4, ⑥⑦, 2, 2,Ｃシングウィズジョイ, 58,福永祐, 0.1, 74, -15,  18, 4,  6.2, ④④, 2, 9,Ｈマイネヴァリエンテ, 70,武豊  , 0.2, 74,  -1,   5, 2,  5.0, ⑧⑥
 3, 3,Ｉベリｰベリｰタイム, 56,松若風, 0.4, 62,  -6,*  5, 9, 29.9, ⑬⑫, 3, 2,Ｋフェイマスエンド, 69,松若風, 0.1, 79,   7,   5,12,120.5, ④⑤, 3, 7,Ｂグランカマラｰド, 61,藤岡佑, 0.3, 65,*-11,   6, 3,  5.7, ②②, 3,12,Ｂエｰシンマイェスタ, 77,ペロヴ, 0.2, 77, -10,* 14, 6, 11.6, ⑯⑮
 4, 5,Ｊマルヨボｰド, 54,藤岡康, 0.4, 64,*  7,  -7,13, 55.4, ②②, 4, 4,Ｂトップアｰト, 75,藤岡佑, 0.3, 76,   5,   6, 3,  9.8, ⑧⑨, 4, 3,Ｄヒルノマレット, 57,和田竜, 0.3, 67,* -9,   5, 6, 17.8, ①①, 4, 4,Ｌコスモグラウベ, 67,和田竜, 0.3, 74,   0,   2, 4,  9.1, ⑥⑤
 5,11,Ｂメイショウルナ, 66,岩田康, 0.5, 62,   0,  -2, 3,  6.3, ⑥⑦, 5,10,Ｉウェｰブゴｰルド, 70,川田将, 0.5, 75,   2,*  9, 6, 27.9, ⑭⑮, 5, 5,Ｇベルラップ, 45,浜中俊, 0.4, 70, -16,  16, 5, 15.0, ⑤⑥, 5, 3,Ｆサチノクイｰン, 71,国分優, 0.3, 72,*  4,  -2, 8, 19.5, ①①
 6, 7,Ｈワキノハクリュウ, 57,国分恭, 0.8, 59,  -4,   0, 6, 13.7, ⑩⑩, 6,14,Ｄフミノスナイパｰ, 73,太宰啓, 0.6, 73,   3,   5, 8, 29.7, ⑮⑭, 6, 6,Ｆジャズファンク, 48,池添謙, 0.5, 68, -16,  15, 2,  4.8, ⑦⑤, 6, 7,Ｎナムラアッパｰ, 66,義英真, 0.4, 73,  -6,   7,14, 43.0, ⑩⑪
 7, 1,Ａヌｰヴェルミシオン, 75,義英真, 1.1, 56,   3, -10, 2,  3.7, ④④, 7, 3,Ｇナンヨｰユナ, 72,小崎綾, 0.7, 72,*  9,  -7,10, 43.3, ②②, 7, 1,Ｅタガノレグルス, 54,川田将, 0.6, 66, -13,   9, 7, 18.2, ③③, 7,14,Ｇジェネシスロック, 70,川田将, 0.4, 70,*  3,  -2, 5,  9.9, ③③
 8,12,Ｅヴォランテ, 60,高田潤, 1.1, 57,  -8,*  2,12, 32.1, ⑭⑭, 8, 5,Ｌディレットリｰチェ, 67,北村友, 0.9, 71,   4,  -3,11, 51.4, ⑩⑩,,,,,,,,,,,,, 8, 2,Ｉハドソンシチｰ, 70,岩崎翼, 0.5, 73, -10,* 10, 9, 22.1, ⑭⑭
 9,13,Ｌマザｰズデイ, 48,池添謙, 1.4, 53,  -2,  -8,11, 31.5, ⑧⑧, 9,13,Ｅビオラフォｰエバｰ, 73,熊沢重, 0.9, 71,   7,  -8, 4, 15.7, ⑤④,,,,,,,,,,,,, 9,15,Ｄハイマウンテン, 71,太宰啓, 0.5, 70,  -2,   2, 7, 12.5, ⑨⑨
10, 2,Ｎスタｰアクトレス, 41,竹之下, 1.5, 53,  -6,  -4,16,369.7, ⑫⑪,10,15,Ｃトｰコｰグリｰン, 73,義英真, 1.3, 65,   7, -13, 7, 28.7, ⑫⑥,,,,,,,,,,,,,10, 8,Ｏトシストロング, 65,小崎綾, 0.6, 70,  -9,   7,13, 40.5, ⑫⑫
11, 9,Ｋブラボｰハワイ, 53,城戸義, 1.6, 54,   4, -15, 4,  8.3, ③③,11, 8,Ｍオｰファメイ, 59,岩崎翼, 1.3, 66,   5,  -7,13,209.6, ⑪⑬,,,,,,,,,,,,,11,16,Ａアイファｰマシェリ, 82,小牧太, 0.7, 66,   1,  -5, 1,  3.3, ④④
12,10, トウショウディスク,---,岡田祥, 1.8, 52, -12,  -1,15,210.7, ⑯⑯,12, 9,Ｆマジカルツアｰ, 72,酒井学, 1.5, 64,*  9, -18, 5, 18.0, ③③,,,,,,,,,,,,,12,11,Ｅスピリットレイク, 71,松若風, 0.7, 69, -11,   7,12, 38.9, ⑮⑬
13,14,Ｍメイショウオイワケ, 45,岩崎翼, 2.0, 48,  -7,  -8,10, 31.1, ⑪⑬,13,12,Ｊナリタプリムロｰズ, 70,城戸義, 1.6, 62,   6, -14,14,425.6, ⑨⑪,,,,,,,,,,,,,13,10,Ｍエイユｰモモチャン, 67,国分恭, 0.9, 66, -11,   4,15, 59.4, ⑬⑯
14, 6,Ｆサトノバｰキン, 59,藤岡佑, 2.0, 48,  -3, -12, 8, 23.6, ⑨⑨,14, 1,Ｏサクラハナフブキ, 52,田中博, 2.0, 58,*  9, -27,15,496.7, ①①,,,,,,,,,,,,,14,13,Ｃナンプｰ, 73,藤岡佑, 1.0, 62,  -2,  -5,11, 32.8, ⑦⑧
15, 8,Ｏファｰマオリｰブ, 39,幸英明, 2.6, 43, -10, -11,14,167.9, ⑮⑮,15,11,Ｎマユキ, 59,武豊  , 2.2, 55,   6, -25, 9, 34.2, ⑦⑧,,,,,,,,,,,,,15, 6,Ｐカシノヒカル, 63,菱田裕, 1.0, 64,  -6,   0,16,129.9, ⑪⑩
16, 4,Ｇグッドウェｰブ, 57,小崎綾, 2.6, 45,*  9, -28, 7, 21.9, ①①,,,,,,,,,,,,,,,,,,,,,,,,,16, 1,Ｋロケットダッシュ, 68,松山弘, 1.3, 60,   0, -11,10, 24.8, ⑤⑦
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
