14年 9月 6日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,14年 9月 6日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝2900m 3歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,,,,,,■ 4R  芝2900m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  芝2000m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:12,,,,,■10R  芝2000m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
"単勝:1,220円 複勝:07=310円 02=150円 01=250円 枠連:510円",,,,,,,,,,,,"単勝:1,470円 複勝:01=290円 02=200円 06=210円 枠連:0円",,,,,,,,,,,,"単勝:420円 複勝:06=200円 02=1,020円 04=390円 枠連:5,910円",,,,,,,,,,,,"単勝:790円 複勝:05=200円 13=170円 08=110円 枠連:3,170円",,,,,,,,,,,
"馬連:1,740円 ワイド:02-07=660円 01-07=1,150円 01-02=490円",,,,,,,,,,,,"馬連:2,520円 ワイド:01-02=800円 01-06=550円 02-06=450円",,,,,,,,,,,,"馬連:14,110円 ワイド:02-06=4,100円 04-06=1,900円 02-04=5,520円",,,,,,,,,,,,"馬連:2,640円 ワイド:05-13=790円 05-08=420円 08-13=290円",,,,,,,,,,,
"馬単:4,640円 3連複:3,950円 3連単:26,810円",,,,,,,,,,,,"馬単:6,450円 3連複:3,240円 3連単:28,120円",,,,,,,,,,,,"馬単:16,900円 3連複:51,180円 3連単:224,470円",,,,,,,,,,,,"馬単:6,350円 3連複:1,910円 3連単:20,200円",,,,,,,,,,,
■ 2R  芝1800m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■ 5R  芝1200m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-5,,,,,■ 8R  ダ1000m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■11R  芝1200m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,北九州短距離ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 3,Ｂタガノレグルス, 56,川田将,, 51,*  4,*-14, 2,  3.4,②②②, 1, 5,Ｈメイショウブイダン, 59,国分優,, 71,* -5,*  9, 7, 10.9, ③②, 1,10,Ｆカジキ, 68,岩崎翼,, 72,* -1,*  9, 4,  7.6, ①①, 1,10,Ｅニザエモン, 78,浜中俊,, 83,* -1,  16, 2,  4.8, ①①
 2, 6,Ｃウインアｰマｰ, 55,武豊  , 0.4, 47,   3, -17, 1,  1.8,⑤⑤⑤, 2,11,Ｇアサカファルコン, 60,和田竜, 0.3, 67,  -9,*  9, 3,  6.6, ④④, 2,13,Ｄアサケゴマ, 69,太宰啓, 0.3, 70,* -3,*  8, 7, 10.9, ③③, 2, 8,Ｃサマｰルナ, 80,藤岡佑, 0.3, 78,* -4,  14, 5,  9.5, ③③
 3, 2,Ｄシゲルハナガサ, 53,藤岡佑, 0.4, 46,   3, -16, 8, 58.0,③④③, 3,18,Ｂグッドウェｰブ, 63,浜中俊, 0.5, 64,*  2,  -4, 6, 10.0, ①①, 3,12,Ｉレゼトワｰル, 66,川田将, 0.4, 69,* -3,   7, 2,  4.9, ②②, 3,14,Ｂマイネルエテルネル, 84,川田将, 0.3, 79,* -2,  13, 1,  3.0, ②②
 4, 9,Ｉアロハカウボｰイ,  6,松若風, 0.8, 43,   1, -18, 9,118.1,⑨⑦⑦, 4, 6,Ｄナイトジャスミン, 62,岩崎翼, 0.8, 62, -15,*  9, 1,  3.1, ⑬⑪, 4, 8,Ｈマウントフジ, 67,浜中俊, 0.7, 66,  -9,*  9, 5,  8.5, ⑨⑨, 4, 2,Ｄレムミラス, 79,和田竜, 0.6, 76,  -7,  14, 4,  6.8, ⑧⑧
 5,10,Ａミッキｰハピネス, 57,浜中俊, 0.9, 41,*  4, -25, 3,  4.4,④③④, 5, 9,Ｆキクノユニゾン, 61,藤岡佑, 0.9, 58, -10,   3, 8, 21.2, ⑥⑤, 5, 2,Ｍヘリオドｰル, 62,松若風, 0.9, 63,  -5,   4,11, 39.4, ④⑥, 5, 1,Ｍオレニホレルナヨ, 73,高倉稜, 0.6, 75,  -6,  13,11, 42.8, ⑤⑦
 6, 8,Ｆヤマカツボｰイ, 47,松山弘, 1.0, 43,   1, -21, 6, 27.9,⑥⑧⑧, 6, 4,Ｅモンスタｰバロｰズ, 61,松山弘, 0.9, 59, -12,   4, 4,  6.8, ⑧⑥, 6,14,Ｋモオプナツヨシ, 65,幸英明, 1.0, 62,  -5,   3, 6, 10.6, ⑥⑤, 6, 3,Ａロｰドガルｰダ, 84,小牧太, 0.6, 75,  -6,  13, 3,  6.6, ⑥⑥
 7, 4,Ｅセイカフォルテシモ, 48,太宰啓, 1.1, 38,*  6, -31, 4, 16.6,①①①, 7,17,Ａシゲルリクチュウ, 64,川須栄, 1.0, 58, -13,   4, 2,  6.0, ⑨⑨, 7, 6,Ｅハッシュ, 68,藤岡佑, 1.1, 60,  -5,   2, 3,  6.3, ⑤④, 7,12,Ｊメイショウハガクレ, 75,川島信, 0.6, 78, -13,* 19, 7, 24.4, ⑬⑬
 8, 5,Ｊコンフェッシオン, -2,北村友, 2.1, 31,   1, -37, 5, 19.1,⑧⑥⑥, 8, 2,Ｍスリｰアルペン, 44,高倉稜, 1.2, 55, -16,   4,14,142.6, ⑫⑩, 8, 5,Ｇレディｰ, 67,田中健, 1.3, 59,  -8,   2,10, 30.1, ⑦⑦, 8,11,Ｈマッキｰコバルト, 77,太宰啓, 0.6, 76, -10,* 17,15,106.7, ⑨⑩
 9, 7,Ｇカシノマッハ, 47,国分優, 2.3, 29,  -1, -35, 7, 37.0,⑦⑨⑨, 9,13,Ｋアグネスミライ, 48,藤懸貴, 1.3, 53, -14,   1,17,274.8, ⑪⑫, 9, 1,Ｃカシノソラｰレ, 69,酒井学, 1.3, 57, -11,   4, 9, 28.6, ⑫⑪, 9, 9,Ｏニコｰルバロｰズ, 69,松山弘, 0.6, 76,  -5,  12,13, 57.7, ④④
10, 1,Ｈシゲルジダイマツリ, 21,義英真, 2.6, 26,  -2, -40,10,303.5,⑩⑩⑩,10,16,Ｃタガノウォｰリア, 63,松若風, 1.6, 50, -10,  -6, 5,  7.1, ⑦⑧,10, 3,Ｂミキノグランプリ, 71,和田竜, 1.3, 59,  -9,   3, 1,  3.9, ⑪⑧,10, 4,Ｇシルクオフィサｰ, 78,国分優, 0.8, 74, -13,* 17,14, 58.1, ⑫⑫
,,,,,,,,,,,,11, 1,Ｎフェスティヴァｰロ, 37,義英真, 1.7, 48,* -5, -13,12,100.7, ②③,11, 4,Ｎロｰレルシャイニｰ, 61,北村友, 1.4, 57, -15,   6,12, 86.5, ⑭⑭,11, 6,Ｆアグネスウイッシュ, 78,川須栄, 0.9, 73, -14,* 17,12, 51.3, ⑮⑮
,,,,,,,,,,,,12, 8,Ｌジャコンブ, 46,小牧太, 2.0, 44,  -9, -13,11, 99.4, ⑤⑦,12, 9,Ａテイエムヒｰロｰ, 73,義英真, 1.6, 53, -12,   2, 8, 13.3, ⑬⑬,12,16,Ｉスピｰクソフトリｰ, 77,武幸四, 0.9, 73, -13,  15, 9, 32.9, ⑭⑭
,,,,,,,,,,,,13, 7,Ｊウォｰタｰブギウギ, 50,ペロヴ, 2.0, 44, -14,  -8, 9, 45.1, ⑩⑭,13, 7,Ｊレイズオブザサン, 65,国分優, 1.9, 53,  -6,  -4,13, 87.9, ⑧⑩,13, 7,Ｋシゲルスダチ, 74,幸英明, 0.9, 73, -10,  13,10, 35.6, ⑩⑪
,,,,,,,,,,,,14,14,Ｉアスタｰクレバｰ, 55,岡田祥, 2.1, 43, -16,  -8,13,119.5, ⑭⑬,14,11,Ｌメイショウオハツ, 63,鮫島良, 2.1, 51,  -9,  -4,14, 89.9, ⑩⑫,14,15,Ｌビキニブロンド, 73,北村友, 1.1, 69,  -9,   9, 8, 29.8, ⑪⑨
,,,,,,,,,,,,15,15,Ｏベクタｰイメｰジ, 36,太宰啓, 2.7, 34, -18, -13,15,151.2, ⑯⑰,,,,,,,,,,,,,15, 5,Ｎカシノエルフ, 70,酒井学, 1.2, 69, -16,  14,16,180.9, ⑯⑯
,,,,,,,,,,,,16, 3,Ｑミリノペガサス,  2,小坂忠, 2.8, 33, -21, -12,18,319.1, ⑰⑮,,,,,,,,,,,,,16,13,Ｐエルカミｰノレアル, 67,武豊  , 1.4, 64,  -6,   2, 6, 11.2, ⑦⑤
,,,,,,,,,,,,17,10, シンサン,---,幸英明, 3.5, 24, -18, -24,10, 66.4, ⑮⑯,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,18,12,Ｐラプザントゥｰル, 34,北村友, 3.8, 21, -24, -22,16,203.5, ⑱⑱,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:-12 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-13 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:重(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:83 ﾚｰｽﾍﾟｰｽ指数:-13 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:良(指数:1),,,,,,,,,,,
単勝:340円 複勝:03=110円 06=110円 02=490円 枠連:250円,,,,,,,,,,,,"単勝:1,090円 複勝:05=300円 11=270円 18=270円 枠連:1,130円",,,,,,,,,,,,"単勝:760円 複勝:10=250円 13=320円 12=180円 枠連:1,840円",,,,,,,,,,,,"単勝:480円 複勝:10=180円 08=270円 14=140円 枠連:2,080円",,,,,,,,,,,
"馬連:270円 ワイド:03-06=170円 02-03=1,590円 02-06=1,250円",,,,,,,,,,,,"馬連:4,110円 ワイド:05-11=1,300円 05-18=1,410円 11-18=1,340円",,,,,,,,,,,,"馬連:5,550円 ワイド:10-13=1,780円 10-12=830円 12-13=970円",,,,,,,,,,,,"馬連:2,570円 ワイド:08-10=930円 10-14=370円 08-14=720円",,,,,,,,,,,
"馬単:590円 3連複:3,600円 3連単:13,270円",,,,,,,,,,,,"馬単:8,450円 3連複:11,550円 3連単:73,280円",,,,,,,,,,,,"馬単:9,190円 3連複:8,240円 3連単:59,900円",,,,,,,,,,,,"馬単:4,640円 3連複:3,100円 3連単:21,360円",,,,,,,,,,,
■ 3R  ダ1000m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 6R  ダ1700m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:10,,,,,■ 9R  芝1200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■12R  ダ1700m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,八幡特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 5,Ｅブラックショコラ, 50,和田竜,, 63,* -1,*  2, 3, 11.7, ①①, 1, 8,Ｌハッピｰエム, 57,小坂忠,, 74,*  5,* 13, 6, 18.5,③④③, 1,13,Ｄラヴァｰズポイント, 70,酒井学,, 74,  -2,*  9, 2,  4.9, ④⑤, 1,11,Ｃクレスコモア, 77,松若風,, 82,*  8,* 13, 4,  7.2,①①①
 2, 8,Ｄデブリン, 53,武豊  , 0.3, 59,  -4,   1, 2,  2.9, ④④, 2, 1,Ｆシゲルハリマ, 62,川田将, 0.8, 69,   2,*  9, 4, 13.7,⑧⑥⑥, 2, 2,Ｉベッラヴォｰチェ, 65,川島信, 0.2, 73,  -7,* 12, 4,  6.0, ⑬⑨, 2, 9,Ｂキタサンウンゲツ, 80,岩崎翼, 0.0, 82,*  7,* 15, 1,  3.2,③③②
 3, 6,Ｂアサケカペラ, 57,岩崎翼, 0.4, 59,*  0,  -1, 8, 28.1, ②②, 3, 3,Ｅメイショウマツシマ, 63,武豊  , 1.0, 67,   4,   5, 5, 15.2,⑤⑤⑤, 3,15,Ｎナンプｰ, 62,藤岡佑, 0.2, 70,*  1,   4,12, 60.0, ②②, 3,16,Ａエｰシンエポナ, 80,幸英明, 1.1, 76,*  7,   6, 2,  3.3,⑦④④
 4, 3,Ａハクサンフレンチ, 59,浜中俊, 0.6, 57,  -4,  -2, 1,  1.9, ③③, 4,14,Ｄアグネスユニコｰン, 64,高倉稜, 1.1, 65,*  5,   1, 3, 11.6,②②②, 4,18,Ｂジェネシスロック, 72,川田将, 0.4, 68,  -4,   5, 1,  4.8, ⑦⑧, 4, 4,Ｅマルイチワンダｰ, 71,高倉稜, 1.9, 72,   6,   4, 8, 36.2,⑧⑨⑦
 5,11,Ｃアイファｰサラオｰ, 55,藤懸貴, 0.6, 56,  -6,   0, 4, 12.2, ⑦⑤, 5, 6,Ｃシゲルエチゴ, 66,太宰啓, 1.3, 67,   1,* 10, 8, 29.7,⑫⑫⑪, 5,17,Ａグランプリナイト, 73,和田竜, 0.4, 69,* -1,   2, 3,  5.1, ⑤③, 5,13,Ｆモズスタｰ, 70,北村友, 2.1, 67,*  8,  -4, 3,  7.1,②②③
 6, 4,Ｈゼンノウラヌス, 44,幸英明, 0.7, 54, -11,*  2, 6, 22.5, ⑧⑧, 6,16,Ａホッコｰエイコウ, 70,幸英明, 1.3, 64,*  4,   0, 1,  1.6,④③④, 6, 4,Ｈサンキストロｰド, 67,浜中俊, 0.5, 67,  -5,   5, 6, 13.2, ⑧⑦, 6, 1,Ｇタニノセレナｰデ, 68,太宰啓, 2.2, 71,   3,   5,13, 92.7,⑮⑬⑫
 7, 7,Ｉカイルアブルｰ, 43,川須栄, 1.4, 50,  -7,  -5,10,174.0, ⑥⑦, 7, 9,Ｂタマモホルン, 67,義英真, 1.4, 61,   3,   3, 2,  5.8,⑥⑦⑦, 7,11,Ｅトウカイインパルス, 69,幸英明, 0.5, 69, -16,* 15, 8, 15.1, ⑱⑰, 7, 2,Ｊゼンノスサノヲ, 68,藤岡佑, 2.3, 67,   4,   2, 9, 52.5,⑬⑩⑪
 8,14,Ｋイチザラブ, 38,義英真, 1.6, 45,  -5,  -9, 9, 41.4, ⑤⑥, 8, 5,Ｇエスケイオスカｰ, 62,岩崎翼, 1.5, 63,  -1,*  9,10, 42.9,⑮⑬⑫, 8, 6,Ｊケントヒｰロｰ, 64,高倉稜, 0.6, 66,  -7,   6, 7, 14.3, ⑭⑫, 8, 6,Ｌバイオレットアロｰ, 65,岡田祥, 2.3, 72,   6,  -1,12, 87.9,⑨⑦⑤
 9, 2,Ｇバニスタｰ, 45,太宰啓, 1.7, 43, -18,  -3, 5, 13.5, ⑩⑨, 9,15,Ｋヒャクマンバリキ, 60,松若風, 1.5, 61,*  5,  -2, 7, 22.1,①①①, 9,16,Ｍオフェｰリアシチｰ, 63,田中健, 0.8, 63,*  3,  -7,18,164.3, ①①, 9,12,Ｈアロウィｰバイオ, 68,国分優, 2.5, 64,   6,  -5,14,130.3,⑥⑤⑥
10, 9,Ｆフィｰルドスラッピ, 48,武幸四, 1.7, 44, -26,*  3, 7, 23.2, ⑭⑭,10, 4,Ｈミッキｰサムソン, 62,川須栄, 1.7, 64,   0,   6,12, 98.1,⑬⑩⑧,10, 1,Ｑカゼニタツライオン, 56,松若風, 0.9, 62,  -4,  -2,11, 40.3, ⑥⑥,10, 3,Ｍデンコウリョウ, 64,酒井学, 2.9, 63,   5,  -4,15,140.6,⑩⑪⑩
11,13,Ｌシゲルオキヨマツリ, 21,高倉稜, 1.8, 43, -17,  -3,12,277.6, ⑪⑪,11,11,Ｉセンティグレｰド, 62,松山弘, 2.0, 60,   1,   0, 9, 34.9,⑨⑧⑨,11, 7,Ｌテイエムナデュｰラ, 64,藤懸貴, 0.9, 62,  -5,   0,15,102.8, ⑨⑩,11,10,Ｏレッドメイヴ, 61,川須栄, 3.2, 63,   2,  -2, 6, 11.6,⑭⑯⑮
12, 1,Ｍプリンセスロジカル,  9,国分優, 1.9, 40, -21,  -3,13,382.8, ⑫⑫,12, 2,Ｊウイニングフェイス, 61,和田竜, 2.2, 58,   0,   1,11, 44.5,⑪⑪⑩,12,10,Ｆヤマノハヤブサ, 68,武幸四, 1.0, 61,  -9,   3, 5,  8.9, ⑮⑭,12,15,Ｎレｰザｰビｰム, 62,高田潤, 3.4, 61,   2,  -3,16,369.9,⑪⑭⑭
13,12,Ｊゴｰルドバンカｰ, 42,松若風, 2.2, 39, -11, -11,11,195.3, ⑨⑩,13,10,Ｎブレイズゴｰルド, 46,酒井学, 3.5, 49,  -3,  -6,14,233.0,⑭⑮⑬,13, 3,Ｏショウリュウバイオ, 61,鮫島良, 1.0, 62, -10,   4,13, 79.5, ⑯⑮,13, 8,Ｄゼンノロンゴ, 74,武豊  , 3.5, 60,   3,  -7, 5,  7.3,⑫⑫⑬
14,10,Ｎカシノゼウス,-16,熊沢重, 2.6, 35, -23,  -8,14,455.4, ⑬⑬,14,13,Ｐカレンクリスティｰ, 44,鮫島良, 4.3, 46,  -1, -15,15,432.5,⑩⑭⑭,14, 9,Ｒレッドジャイヴ, 48,川須栄, 1.1, 60, -13,   5,14, 93.3, ⑰⑱,14,14,Ｋバンブｰデルピエロ, 66,松山弘, 4.0, 56,   6, -17,11, 70.1,④⑥⑨
,,,,,,,,,,,,15,12,Ｍチュウワアピｰル, 55,武幸四, 5.0, 40,   1, -25,13,138.3,⑦⑨⑮,15, 8,Ｃカシノランナウェイ, 71,国分優, 1.2, 58,  -6,  -3, 9, 25.6, ⑩⑬,15, 7,Ｐトリックデック, 50,川島信, 4.1, 56,   5, -15,10, 59.1,⑤⑧⑧
,,,,,,,,,,,,16, 7,Ｏダイショウバディ, 44,藤懸貴, 7.6, 24, -10, -26,16,492.5,⑯⑯⑯,16,14,Ｐオｰファメイ, 58,北村友, 1.2, 58,  -6,  -3,16,120.5, ⑫⑪,16, 5,Ｉブリスコｰラ, 68,小牧太, 4.6, 53,   2, -15, 7, 31.4,⑯⑮⑯
,,,,,,,,,,,,,,,,,,,,,,,,17,12,Ｋベルエアメイダン, 64,ペロヴ, 1.3, 57,  -6,  -4,17,164.0, ⑪⑯,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,18, 5,Ｇサウンドマンデュロ, 67,太宰啓, 1.3, 56,* -1,  -9,10, 34.8, ③④,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:重(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:重(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:+0 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-0 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:重(指数:-3),,,,,,,,,,,
