14年 3月23日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,14年 3月23日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 4R  ダ1800m 3 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1200m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■10R  芝2000m 4歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,但馬ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
"馬単:1,560円 3連複:2,940円 3連単:8,900円",,,,,,,,,,,,"馬単:233,040円 3連複:433,540円 3連単:2,436,020円",,,,,,,,,,,,"馬単:3,380円 3連複:860円 3連単:9,410円",,,,,,,,,,,,"馬単:2,490円 3連複:32,140円 3連単:112,670円",,,,,,,,,,,
■ 2R  ダ1800m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:10,,,,,■ 5R  芝1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:10,,,,,■ 8R  ダ1800m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■11R  芝3000m 4歳上ｵｰﾌﾟﾝ(国) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,阪神大賞典 ＧⅡ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 4,Ｅゼンノスサノヲ, 61,松山弘,, 59,*  8, -11, 6, 23.1,③④②, 1, 3,Ａブレイヴリｰ, 65,浜中俊,, 72,  10, -12, 2,  3.2, ④③, 1, 6,Ｅベストリガｰズ, 73,岡田祥,, 71,*  7,*  9, 6, 14.9,⑤③③, 1, 1,Ｃゴｰルドシップ, 89,岩田康,,101,*  9,* 29, 1,  1.7,②②②
 2, 1,Ｃガルグイユ, 62,松若風, 0.1, 59,   4,* -3, 5, 17.5,⑨⑧⑦, 2, 9,Ｍエアピザレｰ, 49,岩田康, 0.6, 68,   5,* -8, 9, 30.2, ⑪⑫, 2,13,Ａスズカルパン, 80,武豊  , 0.4, 72,   4,* 12, 1,  2.6,⑨⑨⑧, 2, 8,Ｄアドマイヤラクティ, 88,四位洋, 0.6, 95,   8,* 24, 5, 15.6,⑤⑤③
 3,12,Ｌインテグラｰド, 44,ペドロ, 0.3, 58,   6,  -7, 8, 38.0,⑥⑥⑥, 3,14,Ｃエアカミュゼ, 61,シュタ, 0.6, 66,   9, -17, 1,  3.1, ⑧⑧, 3, 3,Ｈスズカキングダム, 65,松田大, 0.8, 63,*  9,  -2,12,135.9,①①①, 3, 2,Ｅバンデ, 88,松田大, 0.6, 91,* 10,  14, 3,  4.5,①①①
 4, 5,Ａバイザスタｰン, 67,岩田康, 0.5, 56,* 10, -18, 1,  1.6,①①①, 4, 7,Ｄマイネルプレッジ, 60,バルジ, 0.7, 67,   6,*-10, 3,  6.8, ⑫⑪, 4,10,Ｄワｰスムｰン, 73,浜中俊, 0.9, 66,   5,   6, 2,  3.0,⑧⑧⑦, 4, 6,Ｂサトノノブレス, 91,浜中俊, 1.6, 85,   8,  10, 2,  4.3,⑥⑥④
 5,11,Ｂケルンウィナｰ, 66,鮫島克, 0.6, 55,*  9, -17, 2,  5.1,②②③, 5,10, メイショウルンバ,---,武幸四, 0.7, 66,   8, -15, 8, 27.3, ⑨⑨, 5, 4,Ｆポロタン, 69,岩崎翼, 1.1, 63,*  8,  -2,10, 84.0,②②②, 5, 9,Ａヒットザタｰゲット, 93,武豊  , 1.7, 87,   6,  15, 4, 15.2,⑨⑨⑧
 6, 3,Ｋスプルス, 46,浜中俊, 0.6, 58,   1,*  0, 7, 34.3,⑬⑮⑬, 6, 4,Ｇハイプレッシャｰ, 56,鮫島克, 1.1, 62,   2,* -9, 5, 11.5, ⑬⑬, 6,12,Ｃコウエイアｰス, 74,和田竜, 1.1, 66,   6,   3, 5, 11.9,⑥⑤④, 6, 5,Ｇエｰシンミラｰジュ, 83,バルジ, 2.2, 79,   8,   2, 7, 84.7,⑧⑦⑤
