08年12月 7日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年12月 7日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■ 4R  芝1800m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■ 7R  ダ1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■10R  芝2000m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
 9, 6,Ｈサダムヨカモン, 48,戸崎圭, 1.9, 51, -10,  -2,10,108.8, ⑩⑫, 9, 6,Ｏレッドサｰパス, 45,ルメｰ, 1.1, 58,  -3,  -4, 8, 19.3, ⑱⑰, 9,13,Ｆヒミノクリミナル, 71,菊地昇, 1.5, 69,   3,   4,11, 56.7,⑬⑫⑪, 9,14,Ｆボｰテセレスト, 78,ムルタ, 0.7, 76,   2,   3,14, 65.6,⑪⑪⑩
10, 4,Ｌシゲルオトワヤマ, 41,荻野琢, 2.0, 52,  -8,  -4,11,236.5, ⑫⑩,10,17,Ｃヒラボクワイルド, 62,松田大, 1.2, 55,   1, -14, 9, 19.5, ⑪⑬,10,14,Ｃテンザンメダリスト, 73,橋本美, 3.1, 57,*  8, -20, 9, 45.8,④④④,10, 7,Ｊカイゼリン, 73,シュタ, 0.7, 73,   3,  -1, 3,  5.7,⑤⑤⑦
11,10,Ｊプティロｰズ, 45,藤岡康, 2.2, 48,  -5, -11,14,455.6, ⑧⑧,11,13,Ｊカネトシコウショウ, 55,武幸四, 1.2, 56,*  5, -22,10, 20.2, ④③,11,12,Ｊスズカファイト, 64,岩崎祐, 3.5, 55,   7, -22,13,131.9,③③⑧,11,10,Ｏアドマイヤカンナ, 67,岩田康, 0.8, 70,*  4,  -5, 7, 17.4,④④④
12,11,Ｋシルクボヌｰル, 44,小林徹, 2.3, 49, -11,  -3,13,298.2, ⑭⑭,12,15,Ｒトップスタイリスト, 28,秋山真, 1.3, 55,   1, -15,17,220.6, ⑫⑫,12, 3,Ｋクイックバレリｰナ, 64,長谷川, 3.8, 58,   3, -16,14,308.2,⑨⑪⑬,12,13,Ｂキクカラヴリイ, 80,ガルシ, 0.9, 70,*  4,  -5, 6, 11.8,⑧⑥⑤
13, 8,Ｍシゲルオスズヤマ, 37,幸英明, 2.6, 46,  -8,  -9,12,294.1, ⑪⑪,13, 1,Ｆネオイユドゥレｰヌ, 58,後藤浩, 1.4, 52,   4, -23,14, 48.1, ③⑤,13, 1,Ｎマイネルモデルノ, 61,蛯名正, 4.2, 51,   5, -23, 8, 26.2,⑦⑨⑩,13, 6,Ｅストｰルンブライド, 78,後藤浩, 1.3, 66,   1,  -6,11, 48.3,⑨⑨⑪
14, 7,Ｉフレイヤ, 48,ホワイ, 2.7, 43,*  3, -25, 8, 36.5, ③②,14, 9,Ａキンショｰノボス, 70,安藤勝, 1.7, 50,  -3, -12, 1,  4.1, ⑰⑯,14, 4,Ｍスリｰラスカル, 61,小林徹, 4.6, 50,   0, -15,10, 52.4,⑭⑭⑭,14, 3,Ｈモチ, 76,プラｰ, 1.3, 63,*  5, -14, 9, 25.6,②②②
,,,,,,,,,,,,15, 3,Ｍナリタジャングル, 45,北村友, 1.8, 49,   4, -28,18,252.0, ⑤⑥,,,,,,,,,,,,,15, 1,Ａマルタカドリｰム, 80,内田博, 1.3, 70,  -1,   2,10, 33.3,⑮⑮⑮
,,,,,,,,,,,,16,18,Ｋババロア, 54,四位洋, 1.8, 50,  -2, -17,11, 27.1, ⑮⑮,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,17,11,Ｐデザｰトヒｰラｰ, 44,内田博, 2.2, 46,  -3, -18,13, 42.2, ⑬⑱,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,18, 8,Ｑシルククレヴァｰ, 40,ホワイ, 3.3, 35,   2, -47,15, 83.4, ⑨⑩,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:59 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:+0 馬場:稍重(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:3),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:+0 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:稍重(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:81 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:3),,,,,,,,,,,
"単勝:220円 複勝:14=140円 05=1,840円 09=250円 枠連:5,250円",,,,,,,,,,,,"単勝:600円 複勝:16=280円 07=880円 05=580円 枠連:5,730円",,,,,,,,,,,,単勝:280円 複勝:09=120円 08=150円 05=230円 枠連:410円,,,,,,,,,,,,"単勝:440円 複勝:11=180円 02=280円 08=160円 枠連:1,700円",,,,,,,,,,,
"馬連:17,580円 ワイド:05-14=4,120円 09-14=440円 05-09=11,450円",,,,,,,,,,,,"馬連:16,160円 ワイド:07-16=4,130円 05-16=2,500円 05-07=7,590円",,,,,,,,,,,,馬連:510円 ワイド:08-09=240円 05-09=630円 05-08=720円,,,,,,,,,,,,"馬連:2,640円 ワイド:02-11=910円 08-11=410円 02-08=660円",,,,,,,,,,,
"馬単:24,120円 3連複:46,650円 3連単:302,210円",,,,,,,,,,,,"馬単:30,820円 3連複:97,290円 3連単:585,940円",,,,,,,,,,,,"馬単:980円 3連複:2,060円 3連単:7,570円",,,,,,,,,,,,"馬単:4,820円 3連複:2,970円 3連単:19,780円",,,,,,,,,,,
■ 2R  ダ1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 5R  ダ1800m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 8R  ダ1400m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■11R  ダ1800m 3歳上ｵｰﾌﾟﾝ(国) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,ｼﾞｬﾊﾟﾝｶｯﾌﾟﾀﾞｰﾄ ＧⅠ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,12,Ａフィｰルドチャペル, 67,幸英明,, 63,*  1,*  1, 1,  1.4, ①①, 1, 1, メイショウダグザ,---,和田竜,, 63,*-15,* 17, 3,  5.7,①①①, 1, 4,Ｈグランプリヒｰロｰ, 78,安部幸,, 78,   7,*  8, 4, 13.5, ⑧⑦, 1,10,Ｆカネヒキリ, 95,ルメｰ,, 91,* 17,  18, 4,  9.8,⑥③⑤
 2,15,Ｂシュンハレン, 58,長谷川, 0.0, 65,  -5,*  7, 3, 10.4, ⑧⑤, 2, 2, シゲルゴユウサン,---,浜中俊, 0.4, 59, -17,* 17, 2,  4.5,④③③, 2, 6,Ｂロｰズカットダイヤ, 85,秋山真, 0.3, 76,*  9,   1, 1,  2.8, ②②, 2, 5,Ｅメイショウトウコン, 96,藤田伸, 0.0, 94,  15,* 23, 7, 25.7,⑮⑮⑨
 3, 9,Ｆプライムパレス, 55,和田竜, 0.5, 59,* -1,  -1, 2,  6.0, ④③, 3, 4, サンライズコア,---,藤田伸, 1.0, 54,*-16,  10, 8, 49.7,②②②, 3,14,Ｋテイエムフルパワｰ, 74,後藤浩, 0.4, 76,   8,   3,10, 47.6, ⑥⑥, 3, 6,Ａヴァｰミリアン,100,岩田康, 0.1, 93,  16,* 20, 1,  2.2,⑫⑩⑥
 4, 3,Ｄマイネスタｰライト, 57,内田博, 0.8, 56,*  0,  -5, 4, 16.2, ②②, 4, 9, アｰクビスティｰ,---,内田博, 1.2, 52, -17,  10, 1,  2.6,⑤⑥⑥, 4,12,Ｇペプチドアトム, 79,和田竜, 0.5, 75,*  9,   0, 7, 20.0, ③③, 4, 3,Ｂサンライズバッカス, 98,佐藤哲, 0.4, 91,  15,* 19, 6, 22.4,⑬⑬⑩
 5, 2,Ｏキタサンエンペラｰ, 26,佐藤哲, 1.0, 54,  -2,  -5, 9, 58.1, ⑤④, 5, 3, ロッソネロ,---,川田将, 2.0, 47, -18,   4, 4,  5.8,⑥⑤⑤, 5,10,Ｃメイショウヤワラ, 82,幸英明, 0.6, 72,   8,   0, 3,  4.6, ⑤④, 5,12,Ｄブルｰコンコルド, 96,幸英明, 0.4, 90,  17,  16,11, 36.3,⑨⑧⑧
 6,13,Ｌミルフィアタッチ, 41,酒井学, 1.4, 51,  -8,  -2,10,104.8, ⑩⑧, 6,10, マルブツジャガｰ,---,岩田康, 2.1, 48, -19,   6, 5,  6.6,⑧⑦⑧, 6, 3,Ｎショウナンサリｰレ, 69,内田博, 0.6, 70,  -1,* 11,11, 56.8, ⑯⑮, 6,11,Ｍカジノドライヴ, 81,安藤勝, 0.5, 89,* 17,  14, 3,  7.1,⑦⑤④
 7,14,Ｈコウユｰルｰジュ, 50,赤木高, 1.8, 47,  -5,  -9, 6, 23.1, ⑥⑦, 7, 7, ビコｰオラクル,---,鮫島良, 2.7, 46, -18,   1, 9, 51.3,⑩⑩⑪, 7, 8,Ｄセトノヒット, 81,佐藤哲, 0.7, 71,   4,   5, 9, 28.9, ⑪⑬, 7,14,Ｉフリオｰソ, 89,戸崎圭, 0.7, 88,* 17,  11,12, 47.6,③④③
 8, 8,Ｍスペｰスオｰバｰ, 37,太宰啓, 2.5, 41, -13,  -7,14,307.0, ⑮⑭, 8, 6, コウエイクリスタル,---,池添謙, 2.8, 42, -19,   0,10,101.1,⑪⑪⑨, 8,11,Ｏウォｰタｰダッシュ, 68,ホワイ, 0.9, 69,   5,   1,12, 68.0, ⑩⑩, 8, 7,Ｈサクセスブロッケン, 89,横山典, 0.7, 87,* 18,  10, 2,  4.4,①①①
 9,16,Ｉディｰプブレｰン, 46,秋山真, 2.6, 41,  -9, -11,11,110.5, ⑫⑨, 9, 5, カリスマライズ,---,中村将, 5.0, 25, -19, -19, 7, 31.3,⑨⑨⑩, 9, 5,Ａグランドラッチ, 89,ルメｰ, 1.0, 67,   4,   2, 2,  3.5, ⑫⑪, 9, 1,Ｇワンダｰスピｰド, 94,小牧太, 1.0, 88,  14,  16, 9, 28.2,⑩⑪⑬
10, 7,Ｅワスラフ, 55,戸崎圭, 2.7, 39, -12, -10, 8, 51.9, ⑪⑫,10,11, アタックセトル,---,ペリエ, 5.3, 23, -19, -22, 6, 16.0,⑦⑧⑦,10, 9,Ｊアグネスハッピｰ, 75,上村洋, 1.1, 69,   4,   2,15,246.0, ⑬⑫,10,15,Ｃワイルドワンダｰ, 97,蛯名正, 1.0, 88,  17,  12,10, 28.4,⑧⑦⑦
11,11,Ｋアスタｰエンペラｰ, 42,後藤浩, 2.9, 37,  -8, -16, 5, 21.5, ⑦⑩,11, 8, セイカコンモｰト,---,幸英明, 5.3, 22,*-16, -26,11,140.3,③④④,11,16,Ｐディｰプスマｰト, 66,荻野琢, 1.2, 68,   2,   2,16,370.6, ⑭⑯,11,16,Ｊボンネビルレコｰド, 89,内田博, 1.6, 83,  14,  11,13, 50.1,⑭⑭⑭
12, 1,Ｇエｰシンサニｰデイ, 54,福永祐, 3.0, 38, -12, -12, 7, 38.5, ⑬⑪,,,,,,,,,,,,,12,13,Ｉダイゴカムイ, 78,太宰啓, 1.5, 64,   6,  -4,14,131.2, ⑦⑨,12, 2, フロストジャイアン,---,ヴェラ, 2.3, 78,  14,   4,14, 56.6,⑪⑫⑪
13, 4,Ｐナンゴクミラクル, 19,大下智, 3.6, 33, -15, -15,15,416.8, ⑭⑮,,,,,,,,,,,,,13,15,Ｍクリノゴｰルド, 72,酒井学, 1.6, 66,* 10,  -9,13,121.3, ④⑤,13, 8, ティンカップチャリ,---,プラｰ, 2.4, 77,* 18,  -3, 5, 21.2,②②②
14, 5,Ｊフラワｰアンジェラ, 44,武幸四, 3.7, 31,  -9, -22,13,291.3, ⑨⑬,,,,,,,,,,,,,14, 2,Ｆワンダｰグラス, 79,田村太, 1.6, 63,   1,   1, 5, 14.0, ⑮⑭,14, 9,Ｋアドマイヤフジ, 89,川田将, 3.1, 72,  16,  -5, 8, 26.1,⑤⑨⑫
15, 6,Ｎクラブイｰティング, 31,荻野琢, 5.2, 19,  -2, -42,12,274.5, ③⑥,,,,,,,,,,,,,15, 7,Ｌアサクサアンデス, 74,岩田康, 1.7, 64,   6,  -6, 8, 28.1, ⑨⑧,15, 4,Ｌメイショウバトラｰ, 85,福永祐, 5.3, 58,  16, -24,15,103.3,④⑥⑮
,,,,,,,,,,,,,,,,,,,,,,,,16, 1,Ｅテイエムハヤテオｰ, 79,小牧太, 2.3, 59,*  9, -16, 6, 19.7, ①①,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:59 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:稍重(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:-17 ﾚｰｽｱｶﾞﾘ指数:+15 馬場:稍重(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:-8 馬場:稍重(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:97 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:良(指数:-2),,,,,,,,,,,
単勝:140円 複勝:12=110円 15=180円 09=160円 枠連:430円,,,,,,,,,,,,"単勝:570円 複勝:01=180円 02=180円 04=640円 枠連:1,210円",,,,,,,,,,,,"単勝:1,350円 複勝:04=390円 06=140円 14=750円 枠連:1,110円",,,,,,,,,,,,単勝:980円 複勝:10=300円 05=500円 06=120円 枠連:860円,,,,,,,,,,,
馬連:520円 ワイド:12-15=260円 09-12=200円 09-15=580円,,,,,,,,,,,,"馬連:1,050円 ワイド:01-02=430円 01-04=2,200円 02-04=2,370円",,,,,,,,,,,,"馬連:2,010円 ワイド:04-06=700円 04-14=6,140円 06-14=1,410円",,,,,,,,,,,,"馬連:11,710円 ワイド:05-10=3,090円 06-10=500円 05-06=890円",,,,,,,,,,,
"馬単:640円 3連複:820円 3連単:2,410円",,,,,,,,,,,,"馬単:2,170円 3連複:12,750円 3連単:54,680円",,,,,,,,,,,,"馬単:5,650円 3連複:21,300円 3連単:130,830円",,,,,,,,,,,,"馬単:21,570円 3連複:7,090円 3連単:69,460円",,,,,,,,,,,
■ 3R  芝1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 6R  芝2000m 2 歳新馬 馬齢,,,,,,,,,,,,■ 9R  芝1600m 2 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:12,,,,,■12R  芝1600m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-6,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,千両賞,,,,,,,,,,,,ｺﾞｰﾙﾃﾞﾝﾎｲｯﾌﾟT,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8,Ｄウインザモチ, 59,幸英明,, 69,   3,* -3, 5, 15.5, ⑥⑤, 1,11, キタサンアミｰゴ,---,川田将,, 69,   2,*  1, 6, 30.6,⑦⑧⑧, 1, 8,Ａリｰチザクラウン, 84,安藤勝,, 77,*  7,*  7, 1,  1.1, ①①, 1, 5,Ｊクラウンプリンセス, 78,ホワイ,, 80,  15,  -5, 5,  7.2, ⑤⑤
 2, 1,Ｂジャグラｰキング, 64,鮫島良, 0.3, 67,   6,  -9, 3,  5.6, ③③, 2, 5, ドリｰムライナｰ,---,岩田康, 0.0, 67,   3,  -4, 3,  5.8,⑤④④, 2, 5,Ｃカイシュウボナンザ, 67,ルメｰ, 0.5, 74,   4,*  5, 2,  7.7, ④④, 2, 1,Ｌマッチメイト, 73,メンデ, 0.0, 80,* 17,  -7,14,102.8, ②③
 3,15,Ａシゲルクラマヤマ, 67,池添謙, 0.5, 69,* 15, -21, 1,  2.3, ②②, 3,14, ダノンフィｰバｰ,---,ペリエ, 0.1, 64,*  5, -11, 1,  1.7,②②②, 3, 1,Ｆラインブラッド, 64,岩田康, 1.0, 65,   6,  -5, 4, 26.0, ②②, 3, 9,Ｆピサノアルハンブラ, 79,ウィリ, 0.1, 80,  11,*  1, 7, 15.1, ⑨⑨
 4,12,Ｆキリコンサｰト, 52,上野翔, 0.6, 61,   2,  -9, 9, 32.7, ⑧⑥, 4, 6, マコトザラマンダｰ,---,内田博, 0.3, 64,   1,  -5, 7, 38.2,③⑥⑥, 4, 7,Ｅピｰスピｰス, 64,小牧太, 1.0, 67,   3,   1, 3, 14.2, ⑥⑥, 4, 7,Ｃマルティンスタｰク, 82,安藤勝, 0.1, 80,  10,*  4, 4,  6.5, ⑪⑪
 5, 6,Ｊヨシインゾｰン, 46,戸崎圭, 0.8, 56,  -7,* -3,11, 84.8, ⑫⑬, 5,12, マイネルリズム,---,プラｰ, 0.5, 64,  -1,* -1,15,198.7,⑨⑨⑪, 5, 3,Ｄラヴィンライフ, 66,長谷川, 1.1, 66,   3,   0, 6, 32.8, ⑦⑤, 5,10,Ｇシャイナムスメ, 79,ムルタ, 0.1, 79,  14,  -3, 8, 15.2, ⑦⑦
 6, 2,Ｍユメヲカナエル, 39,プラｰ, 0.8, 64,* 13, -24, 7, 24.1, ①①, 6, 9, キセキノミノル,---,幸英明, 0.8, 59,*  7, -25,12, 99.6,①①①, 6, 6, サクラシャイニｰ,---,藤岡康, 1.4, 62,   0,   0, 7, 61.7, ⑧⑦, 6,15,Ａリアルコンコルド, 92,福永祐, 0.5, 75,  11,  -5, 1,  3.2, ⑩⑩
 7,11,Ｃキングパレｰド, 59,内田博, 0.8, 56,  -5,* -6, 2,  4.2, ⑬⑫, 7,10, ヒシロイヤル,---,福永祐, 0.9, 58,   2, -18,10, 70.2,④③③, 7, 4,Ｂヒカルジョディｰ, 72,秋山真, 1.8, 57,*  7, -18, 5, 27.5, ③③, 7, 4,Ｈマッハジュウクン, 79,シン  , 0.5, 74,  16, -13,12, 67.5, ④④
 8, 4,Ｈメジロブラボｰ, 51,長谷川, 1.2, 51,  -3, -12,10, 60.9, ⑪⑪, 8, 1, ニシノピンヒｰル,---,浜中俊, 1.0, 60,   1, -14, 4, 15.9,⑥⑦⑦, 8, 2, カツゾｰ,---,安部幸, 3.2, 42,  -1, -25, 8, 98.4, ⑤⑧, 8,11,Ｅアドマイヤディｰノ, 80,後藤浩, 0.6, 73,  10,  -5, 6, 13.4, ⑫⑫
 9, 5,Ｇメイショウフレアｰ, 52,福永祐, 1.5, 48,  -2, -18, 4,  7.6, ⑨⑨, 9, 7, デオ,---,ゴメス, 1.1, 59,  -4,* -2, 2,  4.8,⑮⑮⑭,,,,,,,,,,,,, 9, 3,Ｂミダｰスタッチ, 87,岩田康, 0.6, 74,   4,*  5, 2,  5.6, ⑮⑮
10, 9,Ｌマストウインゲｰム, 39,北村友, 1.8, 45, -11, -12,13,167.2, ⑭⑭,10, 4, ウイニングショット,---,武幸四, 1.2, 58,  -3,  -9, 8, 47.2,⑭⑭⑩,,,,,,,,,,,,,10,14,Ｄケイアイプラウド, 81,プラｰ, 0.7, 72,  13, -10, 3,  6.4, ⑧⑧
11,16,Ｉカネトシクロｰバｰ, 51,安部幸, 1.9, 46,   7, -32,14,184.6, ⑤④,11, 8, メイショウバリトン,---,石橋守, 1.3, 57,  -3,  -9,14,148.2,⑪⑬⑬,,,,,,,,,,,,,11,12,Ｎジョイフルスマイル, 65,内田博, 0.8, 72,   7,  -3,11, 58.1, ⑭⑭
12,13,Ｋカシノスフィンクス, 41,藤田伸, 2.1, 40,  -2, -25,12, 95.4, ⑩⑩,12,15, ユリカゴノオモイデ,---,池添謙, 1.8, 50,  -1, -19, 5, 16.3,⑩⑩⑨,,,,,,,,,,,,,12, 6,Ｍユメノオｰラ, 72,シュタ, 0.8, 72,   7,  -3,15,132.1, ⑬⑬
13, 3,Ｅアメジストオブレイ, 55,酒井学, 2.8, 34,   1, -36, 6, 19.6, ⑦⑧,13,13, キャリコロｰズ,---,後藤浩, 2.2, 46,   3, -35,11, 75.7,⑧⑤⑤,,,,,,,,,,,,,13,13,Ｉエアニックス, 79,小牧太, 0.9, 70,  16, -18, 9, 37.8, ⑥⑥
14,14,Ｏコンゴウカガビジン, 37,武英智, 2.9, 36, -13, -24,15,242.0, ⑯⑯,14, 2, スナｰクレナｰド,---,秋山真, 2.2, 48,  -4, -19,16,288.6,⑬⑫⑮,,,,,,,,,,,,,14, 8,Ｋヤマニンイグナイト, 76,ガルシ, 1.1, 68,* 19, -26,10, 41.1, ③②
15,10,Ｐエイユｰレインボｰ, 26,野元昭, 3.0, 17, -14, -25,16,441.1, ⑮⑮,15,16, シｰガｰディアン,---,ルメｰ, 2.4, 47,  -3, -26, 9, 49.9,⑫⑪⑫,,,,,,,,,,,,,15, 2,Ｏラッキｰリップス, 61,菅原勲, 1.2, 66,* 20, -29,13, 93.9, ①①
16, 7,Ｎエｰシンビッグシｰ, 38,ガルシ, 3.3, 27,   4, -47, 8, 29.6, ④⑦,16, 3, バｰトンクリｰク,---,戸崎圭, 3.0, 41,  -8, -19,13,146.7,⑯⑯⑯,,,,,,,,,,,,,,,,,,,,,,,,
