08年 8月 3日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 8月 3日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:13,,,,,■ 4R  芝1800m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1700m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-5,,,,,■10R  芝1800m 3歳上1000万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ函館,,,,,,,,,,,,,,,,,,,,,,,,かもめ島特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,檜山特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,12,Ａサウスサプライズ, 70,三浦皇,, 65,*  6,   0, 1,  1.8,①②②, 1, 8,Ｅマｰベラスブレイド, 60,小林徹,, 66,* 11, -21, 6, 19.3,①①①, 1, 5,Ｇディジュリドゥｰ, 69,松田大,, 82,   6,*  8, 9, 23.2,⑨⑧⑥, 1,12,Ａドリｰミｰペガサス, 87,横山典,, 79,*  9,* 14, 1,  1.9,①②②
 2, 5,Ｂコロナガｰル, 68,北村友, 0.1, 63,   0,*  3, 2,  3.1,③③③, 2,10,Ｈメジロミニｰ, 56,菊沢隆, 0.1, 69,   5,* -4, 7, 22.1,⑪⑨⑧, 2, 1,Ｃナムラチェンジ, 73,小林徹, 0.2, 79,   5,*  8, 5, 12.6,⑪⑩⑩, 2, 3,Ｂナムラハンタｰ, 84,小林徹, 0.3, 81,   8,* 13, 2,  3.6,③③③
 3, 2,Ｆスイｰトメリｰ, 54,荻野琢, 0.6, 59,  -5,*  1, 5, 17.5,⑧⑤④, 3,12,Ａブルｰアンビシャス, 64,長谷川, 0.1, 66,   5,*-11, 3,  6.3,⑦⑦④, 3, 6,Ｈニシノフェリｰチェ, 67,武幸四, 0.2, 80,   7,   3, 4,  9.0,⑥⑥⑥, 3,10,Ｅフォｰリクラッセ, 79,武幸四, 0.3, 79,   8,* 14, 6, 18.5,⑦③③
 4, 3, グレイスサンセット,---,木幡初, 0.7, 58,*  6,  -6, 3,  7.9,②①①, 4, 1,Ｃホｰクウィンザｰ, 62,横山典, 0.5, 62,   6, -15, 2,  4.6,⑦⑦④, 4, 8,Ｆチャイコフスキｰ, 71,ホワイ, 1.2, 67,   9, -16, 1,  2.9,④②②, 4, 7,Ｃブルｰレパｰド, 80,安藤勝, 0.4, 77,* 10,  10, 4, 15.6,①①①
 5, 1,Ｈチュモン, 50,大野拓, 1.1, 54,  -5,  -2, 9, 79.5,⑤⑤⑥, 5, 5,Ｂシングルショット, 64,藤田伸, 0.9, 56,*  9, -32, 1,  2.1,②②②, 5, 9,Ｅインテンスブルｰ, 71,秋山真, 1.5, 64,* 10, -24, 2,  3.2,①①①, 5, 5,Ｇストｰムタイガｰ, 78,四位洋, 1.1, 74,   7,  10, 3,  6.2,⑦⑦⑥
 6, 9,Ｃアルコプラｰタ, 59,丸田恭, 1.4, 49, -11,  -2, 4, 13.2,⑨⑨⑨, 6,11,Ｊエナｰジバイオ, 56,丸田恭, 1.2, 56,   1, -16,14,122.2,⑩⑬⑬, 6, 4,Ａブリズデロｰトンヌ, 74,菊沢隆, 1.6, 64,   7, -13, 7, 18.5,⑥⑧⑧, 6, 4,Ｆエドノドリｰム, 79,菊沢隆, 1.1, 76,   6,  12, 5, 17.1,⑨⑩⑧
 7, 6,Ｅヘリテｰジゴｰルド, 55,秋山真, 1.5, 49,  -5,  -7, 6, 22.8,⑤⑤⑥, 7, 3,Ｇスプリングロック, 57,大野拓, 1.4, 56,   2, -19,11, 66.6,⑬⑫⑨, 7, 3,Ｉラドクリフヤｰド, 65,三浦皇, 1.8, 62,   8, -21, 8, 22.4,③④④, 7, 8,Ｌインスパイアリング, 71,北村友, 1.6, 69,   6,   7,13,169.5,⑫⑩⑫
 8,10,Ｊアクトレスシチｰ, 48,菊沢隆, 1.9, 45,  -7,  -9,10,131.6,⑤⑧⑧, 8,16,Ｌスティングマリｰ, 49,津村明, 1.4, 54,   7, -32,13, 87.6,⑥⑤③, 8, 7,Ｋシルキｰリゾｰト, 58,鈴来直, 1.8, 65,   3,  -8,10,143.5,⑨⑪⑪, 8, 2,Ｊアグネスラック, 74,津村明, 1.6, 69,   8,   2, 9, 79.0,⑤③⑤
