08年 8月30日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 8月30日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1000m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:12,,,,,■ 4R  芝2000m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■ 7R  芝1200m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■10R  ダ1700m 3歳上ｵｰﾌﾟﾝ(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
 9,13,Ｂカシノブシドｰ, 58,岩部純, 2.6, 44, -11,  -8, 3,  5.2, ⑥⑤, 9, 9,Ｍミスティックラヴ, 53,渡辺薫, 1.0, 54,  -6,   7,13, 89.3,⑬⑪⑬, 9, 9,Ｊプリズム, 53,酒井学, 0.8, 57,  -2,  -4,13,142.4, ⑦⑦, 9, 5,Ｈストラディヴァリオ, 88,佐藤哲, 1.3, 79,   4,  16, 6, 13.4,⑧⑩⑨
10, 7,Ｋウイニングドラゴン, 39,船曳文, 2.8, 41, -17,  -6,10, 88.6, ⑩⑨,10,15,Ｋツルマルサイト, 54,角田晃, 1.1, 56, -10,* 15,14,115.7,⑰⑱⑮,10, 7,Ｈサワノパシュｰト, 56,金折知, 0.9, 55,  -8,   1, 4, 16.2, ⑮⑬,10, 7,Ｋサンライズレクサス, 86,武豊  , 1.5, 77,   6,  13, 5,  8.7,⑧⑧⑨
11, 6,Ｍエｰシンクライン, 28,川田将, 3.5, 35, -21,  -9,12,224.7, ⑬⑫,11, 1,Ｈグリｰンラヴィン, 55,熊沢重, 1.1, 53,  -6,   6,16,179.8,⑪⑪⑫,11, 3,Ｅマイアイビギニング, 60,大下智, 0.9, 55,   1,  -8, 7, 35.0, ④④,11, 4,Ｃビッグカポネ, 93,浜中俊, 1.6, 77,   7,  11, 4,  7.5,⑥⑤⑥
12, 2,Ｊユｰセイヤマトオｰ, 39,田中健, 3.6, 33, -20, -12,11,132.2, ⑪⑬,12,17, サクライリュｰム,---,和田竜, 1.2, 52,  -9,   9, 9, 54.1,⑬⑭⑬,12,17,Ｆゲイリｰリバイバル, 59,熊沢重, 1.1, 53,   1, -10, 8, 40.0, ④⑥,12,13,Ｇラッキｰブレイク, 89,幸英明, 1.7, 76,   5,  13, 8, 18.5,⑩⑩⑪
13, 3,Ｌシゲルカブトヤマ, 33,中村将, 3.8, 30, -12, -19,13,228.0, ⑥⑨,13, 6,Ｎシゲルアスピレ, 51,中村将, 1.4, 50,  -9,   8,17,225.3,⑰⑯⑮,13,14,Ｏダイナミックスタｰ, 48,田中克, 1.3, 50,  -3,  -9, 9, 58.6, ⑩⑩,13, 8,Ｌウォｰタｰオｰレ, 85,鮫島良, 3.4, 64,   3,   0,13,100.2,⑩⑫⑬
,,,,,,,,,,,,14,10,Ｇマックリｰン, 55,浜中俊, 1.4, 49,  -5,  -2,12, 87.8,⑩⑨⑩,14, 4,Ｐカストルキング, 46,野元昭, 1.7, 45, -11,  -6,14,144.9, ⑱⑰,,,,,,,,,,,,
,,,,,,,,,,,,15, 8,Ｑワンダｰルシデス, 41,野元昭, 1.5, 49,  -8,   4,18,290.8,⑫⑭⑮,15,12,Ｎブギウギ, 48,浜中俊, 1.8, 45,  -6, -13,10, 73.7, ⑫⑬,,,,,,,,,,,,
,,,,,,,,,,,,16,16,Ｌクリノソｰニャ, 54,川田将, 1.7, 42,* -2, -11, 8, 31.8,③③⑤,16,18,Ｌカノヤキラリ, 49,上村洋, 2.2, 39, -10, -14,18,241.2, ⑰⑰,,,,,,,,,,,,
,,,,,,,,,,,,17,14,Ｊピサノグレｰス, 54,吉田隼, 1.8, 41,  -4, -10,10, 55.0,⑦⑥⑦,17,11,Ｒメイショウセラヴィ, 39,角田晃, 2.4, 37,  -3, -23,11, 91.1, ⑩⑮,,,,,,,,,,,,
,,,,,,,,,,,,18, 7,Ｐケイティｰズベスト, 44,上村洋, 2.0, 44,  -9,  -1, 7, 30.8,⑬⑯⑱,18, 1,Ｑアンクルウォｰタｰ, 44,佐藤哲, 2.4, 37,  -4, -22,17,205.6, ⑫⑮,,,,,,,,,,,,
ｸﾗｽ上位平均:59 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:重(指数:-10),,,,,,,,,,,,ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+7 馬場:稍重(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:64 ﾚｰｽﾍﾟｰｽ指数:-0 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:88 ﾚｰｽﾍﾟｰｽ指数:-10 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:稍重(指数:-10),,,,,,,,,,,
単勝:240円 複勝:04=120円 10=420円 11=140円 枠連:300円,,,,,,,,,,,,単勝:260円 複勝:12=120円 11=160円 02=260円 枠連:690円,,,,,,,,,,,,"単勝:1,910円 複勝:15=300円 06=150円 08=110円 枠連:1,230円",,,,,,,,,,,,"単勝:560円 複勝:11=160円 09=210円 02=120円 枠連:1,700円",,,,,,,,,,,
"馬連:2,400円 ワイド:04-10=900円 04-11=240円 10-11=970円",,,,,,,,,,,,馬連:770円 ワイド:11-12=280円 02-12=510円 02-11=980円,,,,,,,,,,,,"馬連:2,880円 ワイド:06-15=1,560円 08-15=560円 06-08=240円",,,,,,,,,,,,"馬連:1,790円 ワイド:09-11=650円 02-11=260円 02-09=380円",,,,,,,,,,,
"馬単:3,300円 3連複:2,430円 3連単:14,670円",,,,,,,,,,,,"馬単:1,280円 3連複:2,020円 3連単:7,730円",,,,,,,,,,,,"馬単:7,600円 3連複:2,030円 3連単:17,280円",,,,,,,,,,,,"馬単:3,560円 3連複:1,390円 3連単:9,170円",,,,,,,,,,,
■ 2R  芝1000m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-7,,,,,■ 5R  ダ1000m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■ 8R  ダ1700m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■11R  芝1200m 2 歳ｵｰﾌﾟﾝ(九) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:-18,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ひまわり賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6,Ｃアンジュアイル, 48,幸英明,, 54,  -9,  -1, 1,  2.5, ②③, 1,12,Ａタニノジュレップ, 73,鮫島良,, 70,  -1,*  7, 1,  2.6, ③③, 1, 1,Ｎエスポワｰルシチｰ, 61,角田晃,, 86,*  9,* 17, 4,  8.5,①①①, 1,14,Ａコウエイハｰト, 59,川田将,, 59, -11,*  4, 1,  1.8, ③③
 2, 5,Ｂマルセイユシチｰ, 49,小牧太, 0.0, 54,  -8,  -1, 4,  4.9, ②②, 2, 3,Ｄマルブツエンペラｰ, 68,浜中俊, 0.1, 69,*  4,   2, 2,  3.3, ②①, 2, 7,Ｂプロフェッショナル, 76,川田将, 1.1, 79,   4,* 16, 1,  2.3,⑪⑧④, 2, 1,Ｆテイエムメデテカ, 40,佐久間, 0.3, 57, -11,   0, 7, 46.7, ③③
 3, 8,Ｆカシノヘラクレス, 34,小坂忠, 0.3, 49, -21,*  2, 5, 53.9, ⑥⑤, 3, 2,Ｂトｰホウボガｰド, 70,武豊  , 0.7, 61, -10,*  6, 3,  4.7, ⑦⑦, 3, 3,Ｉツルマルキセキ, 69,上村洋, 1.5, 77,   7,   9,11, 59.8,⑦④②, 3, 5,Ｅカシノレオン, 45,藤岡康, 0.3, 56,*-10,  -1, 5, 30.7, ②②
 4, 4,Ａサダムヨカモン, 59,吉田隼, 0.4, 47, -14,  -3, 3,  4.2, ④④, 4, 6,Ｅアサケボｰイ, 65,幸英明, 0.7, 61,  -2,   0, 5, 14.3, ③④, 4, 5,Ｆメイショウトンボ, 73,中村将, 1.7, 74,   3,* 14, 8, 27.2,⑭⑩⑧, 4, 4,Ｃキリシマノホシ, 47,小牧太, 0.3, 57, -16,*  6, 4, 14.6, ⑤⑤
 5, 2,Ｅタガノソレイユ, 34,橋本美, 0.5, 46, -18,  -2, 6, 57.9, ⑤⑥, 5,11,Ｃマジックディｰヴァ, 68,田中克, 1.7, 52,  -5,  -8, 6, 14.7, ⑥⑥, 5, 8,Ｃダノンジュピタｰ, 76,佐藤哲, 1.9, 72,   5,   8, 3,  6.3,⑦⑥④, 5,13,Ｂサイレントビｰト, 55,橋本美, 0.5, 54,* -7,  -6, 3,  6.7, ①①
 6, 7,Ｄリキドｰ, 47,武豊  , 1.1, 38,* -4, -19, 2,  2.9, ①①, 6, 7, シトリｰン,---,田中健, 1.9, 48, -16,  -2,10,120.0, ⑩⑧, 6, 2,Ａキンシニュｰストン, 78,田中健, 2.4, 71,   6,   1, 6, 18.8,⑥④④, 6, 9,Ｄフォｰシｰズンゴｰ, 46,武豊  , 1.3, 43, -22,  -3, 2,  2.8, ⑦⑦
 7, 3,Ｇワンパクタイショウ, 28,川島信, 1.4, 31, -22, -10, 7, 82.5, ⑦⑦, 7, 5,Ｈアドマイヤマイン, 54,川田将, 2.0, 47, -11,  -6, 8, 22.6, ⑦⑧, 7, 4,Ｄマルブツグロｰリア, 75,浜中俊, 3.0, 64,*  9,  -6, 5, 10.0,②②②, 7, 2,Ｈマルシゲドトウ, 37,中村将, 1.6, 39, -21,  -8, 9, 77.2, ⑦⑥
 8, 1,Ｈカシノヒバリ, 14,大下智, 2.0, 23, -25, -15, 8,163.2, ⑧⑧, 8, 9,Ｇラケナリア, 62,吉田隼, 2.2, 46,  -3, -13, 4, 11.3, ⑤⑤, 8,11,Ｌエｰティｰドン, 66,鮫島良, 3.2, 64,   3,   1,16,348.6,⑨⑩⑩, 8,10,Ｊテイエムアツヒメ, 31,酒井学, 2.0, 35, -26,  -6,11,191.4, ⑪⑧
,,,,,,,,,,,, 9,14, クインオブザナイル,---,渡辺薫, 2.4, 41, -25,  -1,12,251.7, ⑬⑬, 9,13,Ｐビバロングライフ, 59,幸英明, 3.3, 63,   3,   0,15,328.7,⑮⑩⑩, 9,11,Ｇテイエムテンガネ, 38,和田竜, 2.1, 33, -27,  -8, 8, 51.0, ⑪⑧
,,,,,,,,,,,,10, 4, レアシング,---,高井彰, 2.5, 41, -23,  -3,13,264.5, ⑫⑪,10,14,Ｈホワイトショウフク, 73,田中克, 3.3, 66,   2,   2, 9, 38.7,⑫⑭⑬,10,12, カシノチェスト,---,岩部純, 2.6, 27, -38,  -4, 6, 36.3, ⑭⑭
,,,,,,,,,,,,11,13,Ｉフィｰルドハｰバｰ, 51,角田晃, 2.6, 41, -14,  -9, 9,111.4, ⑨⑩,11,15,Ｋキンショｰオトヒメ, 67,吉田隼, 3.4, 63,   5,  -3,12,100.0,⑩⑧⑨,11, 7,Ｋカシノジゲンリュウ, 30,大下智, 2.7, 25, -22, -21,12,341.1, ⑦⑪
,,,,,,,,,,,,12,10,Ｊコウエイダイナ, 27,小牧太, 2.8, 37, -22,  -6,11,165.8, ⑪⑫,12, 9,Ｏロｰケイダブリュ, 60,黒岩悠, 3.7, 61,   0,   1,13,271.8,⑮⑯⑬,12, 8,Ｉテイエムフガエド, 33,田中健, 3.0, 22, -18, -26,13,354.0, ⑥⑧
,,,,,,,,,,,,13, 1,Ｆニホンピロソフィｰ, 64,和田竜, 3.1, 38,*  4, -26, 7, 20.1, ①②,13,10,Ｍエｰシンダボｰブイ, 63,小牧太, 4.0, 57,   3,  -6,10, 47.8,⑫⑩⑬,13, 3,Ｌマルシゲシェｰバｰ, 28,角田晃, 3.1, 20, -28, -19,14,355.7, ⑪⑪
,,,,,,,,,,,,14, 8, ブルｰセルリアン,---,大下智, 3.6, 30, -32,  -8,14,341.9, ⑭⑭,14,12,Ｅマｰベラスパレｰド, 75,太宰啓, 4.2, 54,*  7, -16, 7, 20.0,②②④,14, 6,Ｍココロクバリ, 13,野元昭, 3.3, 17, -23, -27,10,166.4, ⑩⑬
,,,,,,,,,,,,,,,,,,,,,,,,15, 6,Ｇインスパイア, 73,武豊  , 5.1, 49,   5, -20, 2,  4.5,②⑥⑩,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,16,16,Ｊアイノグレゴリｰ, 69,田中剛, 9.1, 25,   2, -46,14,276.1,②⑭⑯,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:-0 馬場:稍重(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:重(指数:-10),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:-0 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:稍重(指数:-10),,,,,,,,,,,,ｸﾗｽ上位平均:68 ﾚｰｽﾍﾟｰｽ指数:-14 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:良(指数:-2),,,,,,,,,,,
単勝:250円 複勝:06=110円 05=170円 08=540円 枠連:0円,,,,,,,,,,,,単勝:260円 複勝:12=110円 03=120円 02=170円 枠連:360円,,,,,,,,,,,,"単勝:850円 複勝:01=280円 07=160円 03=1,050円 枠連:760円",,,,,,,,,,,,"単勝:180円 複勝:14=110円 01=620円 05=450円 枠連:2,680円",,,,,,,,,,,
"馬連:550円 ワイド:05-06=200円 06-08=780円 05-08=1,380円",,,,,,,,,,,,馬連:390円 ワイド:03-12=160円 02-12=320円 02-03=380円,,,,,,,,,,,,"馬連:1,150円 ワイド:01-07=530円 01-03=4,030円 03-07=2,070円",,,,,,,,,,,,"馬連:3,830円 ワイド:01-14=1,310円 05-14=740円 01-05=3,400円",,,,,,,,,,,
"馬単:940円 3連複:3,710円 3連単:11,160円",,,,,,,,,,,,"馬単:760円 3連複:810円 3連単:3,270円",,,,,,,,,,,,"馬単:3,160円 3連複:14,460円 3連単:78,960円",,,,,,,,,,,,"馬単:4,710円 3連複:10,490円 3連単:44,060円",,,,,,,,,,,
■ 3R  芝2900m 3歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,,,,,,■ 6R  ダ1700m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■ 9R  芝2000m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■12R  芝1800m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,玄海特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 1, スズカボｰイ,,林満明,,,,, 4,  8.9,①①①, 1, 1,Ｉカブリオｰル, 53,小牧太,, 70,*  4,*  6, 3,  6.3,①①①, 1, 9,Ｄナムラクレセント, 78,小牧太,, 85,  -7,* 27, 2,  4.1,⑨⑨⑩, 1,12,Ｆレミｰエンジェル, 67,大下智,, 73,   7,*  5, 8, 20.3,⑫⑬⑨
 2, 5, チャクラ,,田中剛,187.9,,,, 1,  2.1,②②②, 2, 5,Ｂマルノリｰサ, 64,和田竜, 1.1, 64,*  3,  -1, 7, 17.8,②②②, 2, 2,Ｆスマｰトギア, 77,武豊  , 0.0, 87,  -6,* 29, 1,  1.6,⑨⑨⑥, 2, 6,Ｇメイショウシｰマ, 64,角田晃, 0.1, 73,  11,  -3,12, 58.7,⑩⑤③
 3, 9, マｰベラスチｰフ,,熊沢重,187.9,,,, 6, 15.8,④③③, 3, 3,Ａミキノジャズマン, 65,酒井学, 1.2, 65,*  2,  -1, 6, 13.7,④③②, 3, 1,Ｅノｰザンシャトル, 77,田中健, 0.1, 78,* -1,  15, 4, 12.6,①①①, 3, 9,Ｄスマｰトレディｰ, 70,佐藤哲, 0.1, 72,  10,  -2, 7, 20.0,⑧⑦⑤
 4, 7, ランドベスト,,岩崎祐,190.4,,,, 3,  6.8,⑥⑤④, 4,13,Ｆグランプリイｰグル, 60,武豊  , 1.2, 64,   0,*  4, 1,  1.9,⑫⑧⑥, 4,10,Ｃキクカラヴリイ, 78,角田晃, 0.2, 81,  -5,  21, 5, 13.2,⑦⑦⑥, 4,10,Ａエメラルドミスト, 74,川島信, 0.2, 70,   7,*  4, 1,  3.1,⑮⑮⑫
 5, 3, マイビッグドリｰム,,小坂忠,191.0,,,, 2,  3.7,②③④, 5, 8,Ｅスマｰトレイズ, 62,鮫島良, 1.2, 64,  -1,*  4, 4, 10.9,⑨⑧⑦, 5, 6,Ｇスプリングダボス, 75,幸英明, 0.4, 76,* -2,  12, 8, 57.8,②②②, 5,16,Ｂデュｰン, 72,上村洋, 0.2, 70,  11,  -6, 2,  4.5,⑤②③
 6, 4, ウォｰタｰトリトン,,佐久間,191.3,,,, 8, 34.2,⑦⑥⑥, 6, 6,Ｄトｰワヒヨシマル, 63,田中健, 1.7, 62,*  2,  -5, 5, 11.9,③③④, 6, 5,Ｉサイレンスゴｰルド, 73,渡辺薫, 0.5, 76,  -4,  15, 6, 42.3,⑥③②, 6, 1,Ｅイコｰルパｰトナｰ, 68,渡辺薫, 0.2, 71,* 12,  -8, 3,  6.1,③②①
 7, 6, マルタカドリｰム,,高田潤,193.9,,,, 9, 78.9,⑨⑧⑧, 7,11,Ｇフォｰエヴァｰラン, 60,金折知, 1.8, 60,  -2,   2, 2,  5.8,⑨⑪⑩, 7, 8,Ａフライングメリッサ, 81,鮫島良, 0.5, 75,  -4,  14, 3,  7.7,⑤③④, 7,14,Ｍグリッタｰエルフ, 60,太宰啓, 0.6, 67,* 14, -16,14,106.1,①①②
 8, 2, フミノトキメキ,,黒岩悠,194.5,,,, 7, 16.9,⑧⑦⑦, 8, 2,Ｊエプソムサクラ, 48,岩崎祐, 2.0, 59,   1,  -4,15,260.3,⑥⑤④, 8, 4,Ｂパッシングマｰク, 79,吉田隼, 0.8, 70,  -4,   9, 7, 42.9,②③⑧, 8, 3,Ｃプリティｰキャット, 71,和田竜, 1.0, 64,  11, -15, 5, 10.7,⑤⑤⑤
,,,,,,,,,,,, 9,10,Ｋハッピｰギフト, 48,渡辺薫, 2.2, 58,   0,  -5,11, 76.2,⑧⑤⑦, 9, 7,Ｈホｰマンラフィット, 74,和田竜, 0.9, 72,  -5,  12,10, 87.3,⑦⑦⑧, 9, 8,Ｈヴァリアントレディ, 64,田辺裕, 1.0, 63,   8, -10, 6, 10.8,⑫⑨⑨
,,,,,,,,,,,,10,12,Ｃハｰドパティシエ, 63,大下智, 3.0, 54,  -3,  -7, 9, 51.1,⑬⑬⑪,10, 3,Ｊクインフュｰチャｰ, 66,浜中俊, 1.1, 69,  -4,   5, 9, 58.9,④③④,10, 5,Ｌドリｰムドリｰマｰ, 60,吉田隼, 1.1, 60,   8, -12, 4,  8.5,⑧⑨⑨
,,,,,,,,,,,,11, 4,Ｍエイユｰフェアリｰ, 44,藤岡康, 3.2, 51,   0, -14,16,274.8,⑤⑤⑨,,,,,,,,,,,,,11,15,Ｎベストストｰリｰ, 58,小牧太, 1.3, 60,   7, -13,10, 26.5,⑩⑬⑭
,,,,,,,,,,,,12, 9,Ｎネヴァデザｰト, 43,石橋守, 3.5, 51,  -8,  -4,14,204.6,⑬⑭⑭,,,,,,,,,,,,,12, 7,Ｏスカイワｰド, 57,小坂忠, 1.4, 59,   5, -10,16,290.3,⑮⑯⑭
,,,,,,,,,,,,13,16, アｰスグラヴィティ,---,生野賢, 3.6, 49, -10,  -2,10, 58.2,⑮⑯⑮,,,,,,,,,,,,,13,11,Ｉカネトシレジアス, 63,浜中俊, 1.5, 59,* 12, -26, 9, 22.8,②②⑦
,,,,,,,,,,,,14,15,Ｌマンフッド, 47,幸英明, 3.8, 45,  -2, -16, 8, 37.4,⑨⑪⑫,,,,,,,,,,,,,14,13,Ｊミスフェイスフル, 62,田中克, 1.8, 55,   8, -22,13, 72.9,③⑨⑬
,,,,,,,,,,,,15, 7,Ｈリバルドガルダ, 53,川島信, 4.3, 41,  -2, -21,12,129.9,⑥⑩⑬,,,,,,,,,,,,,15, 4,Ｐドロシｰビコｰ, 52,酒井学, 2.1, 51,   9, -30,11, 51.8,⑤⑦⑦
,,,,,,,,,,,,16,14,Ｏティケイビｰパレス, -2,太宰啓, 6.5, 27,  -9, -28,13,189.2,⑮⑮⑯,,,,,,,,,,,,,16, 2,Ｋリバｰキャッスル, 62,田中健, 5.0, 29,   8, -67,15,109.4,⑫⑨⑯
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-0 ﾚｰｽｱｶﾞﾘ指数:-0 馬場:重(指数:-10),,,,,,,,,,,,ｸﾗｽ上位平均:81 ﾚｰｽﾍﾟｰｽ指数:-9 ﾚｰｽｱｶﾞﾘ指数:+8 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:-8 馬場:良(指数:-2),,,,,,,,,,,
