08年 2月11日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 2月11日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
,,,,,,,,,,,, 8,11, メイケイグリｰン,,白浜雄,202.1,,,, 2,  4.5,③④②, 8,13,Ｈメイショウラダック, 62,飯田祐, 2.0, 62,   5,  -8,10, 44.1, ⑤②, 8, 4,Ｋプティマカロン, 55,田嶋翔, 1.2, 75,  -9,  18,10, 62.4, ⑪⑪
,,,,,,,,,,,, 9, 2, シゲルタックフィリ,,浜野谷,203.3,,,,11, 56.4,⑪⑪⑪, 9,11,Ｍフジヤマワカムシャ, 55,石橋守, 2.1, 60,   0,  -2,12,121.9, ⑫⑫, 8, 6,Ｇメルシｰヨｰク, 65,小林徹, 1.2, 75,  -9,  18, 9, 51.8, ⑩⑩
,,,,,,,,,,,,10, 4, ワイルドバニヤン,,小坂忠,203.5,,,,10, 40.8,⑨⑧⑧,10, 6,Ｉカネトシトレンド, 61,角田晃, 2.4, 59,   2,  -7,11, 47.5, ⑧⑩,10, 2,Ｊオレンジシュプｰル, 61,幸英明, 1.6, 70,  -9,  11, 8, 44.0, ⑨⑧
,,,,,,,,,,,,11, 9, フジヤマスウィｰプ,,高田潤,203.9,,,,12, 69.3,⑦⑨⑨,11, 9,Ｊサンクスヘヴン, 60,松岡正, 2.7, 57,*  6, -15, 9, 30.5, ③⑤,11, 7,Ｆマチカネハヤテ, 67,渡辺薫, 2.1, 61,  -7,  -1, 6, 21.5, ③⑥
,,,,,,,,,,,,12,12, グラントリアノン,,内田浩,206.1,,,, 7, 32.5,⑫⑫⑫,12,15, チョウサンキュｰ,---,田中学, 3.0, 52,  -3,  -7,15,222.7, ⑭⑯,12,10,Ｉヴァリアントレディ, 61,四位洋, 2.3, 57,  -8,  -2,11, 70.3, ⑧⑨
,,,,,,,,,,,,,,,,,,,,,,,,13,12,Ｋハｰバｰクイｰン, 58,高野容, 3.0, 52,  -4,  -6,14,201.0, ⑯⑮,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,14, 8,Ｌマルブツキング, 56,渡辺薫, 3.4, 50,   2, -17, 8, 26.5, ⑨⑪,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,15, 3,Ｆコスモジャイロ, 66,船曳文, 4.3, 44,*  8, -32, 6, 20.0, ①④,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,16, 4,Ｇシュウボンバｰ, 63,福永祐,13.0,-30,  -1, -96, 7, 23.5, ⑬⑭,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:71 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:重(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:75 ﾚｰｽﾍﾟｰｽ指数:-10 ﾚｰｽｱｶﾞﾘ指数:+9 馬場:良(指数:6),,,,,,,,,,,
,,,,,,,,,,,,"単勝:880円 複勝:07=230円 08=110円 06=170円 枠連:1,230円",,,,,,,,,,,,単勝:430円 複勝:10=160円 07=180円 16=280円 枠連:990円,,,,,,,,,,,,"単勝:190円 複勝:09=120円 01=250円 03=140円 枠連:1,280円",,,,,,,,,,,
,,,,,,,,,,,,"馬連:1,210円 ワイド:07-08=510円 06-07=820円 06-08=270円",,,,,,,,,,,,馬連:910円 ワイド:07-10=410円 10-16=790円 07-16=840円,,,,,,,,,,,,"馬連:1,350円 ワイド:01-09=540円 03-09=230円 01-03=580円",,,,,,,,,,,
,,,,,,,,,,,,"馬単:2,660円 3連複:1,710円",,,,,,,,,,,,"馬単:1,830円 3連複:3,780円",,,,,,,,,,,,"馬単:1,680円 3連複:1,560円 3連単:6,260円",,,,,,,,,,,
,,,,,,,,,,,,■ 5R  芝1600m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:11,,,,,■ 8R  ダ1800m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■11R  芝1200m 4歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,山城ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
,,,,,,,,,,,, 1,13,Ｃロｰドニュｰスタｰ, 62,武幸四,, 72,   7,*  8, 3,  5.3, ⑥⑦, 1,15,Ｃキングブレｰヴ, 74,飯田祐,, 78,   4,* 13, 6,  9.6,⑫⑦③, 1, 3,Ｐプレミアムボックス, 68,幸英明,, 87,  -2,* 20, 4,  8.9, ⑥⑤
,,,,,,,,,,,, 2,11,Ｂケンセイフライト, 66,池添謙, 0.2, 67,   7,*  6, 5,  8.1, ⑤⑥, 2,11,Ｄショウケイ, 74,武豊  , 0.2, 77,   4,* 12, 1,  3.5,⑯⑩⑧, 2,16,Ｆビッグジェム, 78,田中学, 0.1, 84,*  4,  14,10, 29.9, ②②
,,,,,,,,,,,, 3,12,Ｇプロフェッショナル, 58,福永祐, 0.3, 66,*  8,   1, 6, 10.9, ②②, 3,16,Ｂゴｰルデンラダｰ, 75,小牧太, 0.4, 74,   5,   8, 2,  5.1,⑤④②, 3, 1,Ｅニシノプライド, 79,浜中俊, 0.2, 81,*  9,   7, 3,  6.2, ①①
,,,,,,,,,,,, 4, 7,Ｈハマノモナｰク, 58,幸英明, 0.7, 65,   4,   3, 9, 32.8, ⑧⑧, 4, 7,Ｅバンブｰワｰルド, 73,田村太, 0.8, 69,*  5,   3, 5,  7.2,③③①, 3, 2,Ｂエアニックス, 82,武幸四, 0.2, 84,   1,  15, 5,  9.6, ③③
,,,,,,,,,,,, 5, 9,Ａメイショウボンハオ, 73,武豊  , 0.8, 62,*  8,  -5, 2,  4.1, ①①, 5,13,Ｆウインスラッシュ, 71,川原正, 0.9, 73,   2,*  9, 3,  5.9,⑭⑬⑨, 5,12,Ｌコンゴウリュウオｰ, 74,川田将, 0.2, 83,   1,  15, 7, 10.0, ⑤⑥
,,,,,,,,,,,, 6, 3,Ｄアグネスムｰン, 61,四位洋, 0.8, 61,*  8,  -4, 1,  3.8, ④③, 6, 3,Ａゼットコマンダｰ, 76,池添謙, 1.6, 67,   5,  -1, 4,  6.1,⑥⑤⑤, 6, 6,Ａゼットフラッシュ, 85,福永祐, 0.2, 83,   1,  15, 1,  3.9, ④④
,,,,,,,,,,,, 7,14,Ｍピサノロンシャン, 52,田中克, 0.8, 63,   4,   3,16,258.1, ⑬⑬, 7,12,Ｍサクラヴェロｰチェ, 62,松岡正, 1.8, 68,   2,   4,15, 92.8,⑬⑭⑬, 7, 7,Ｄサンクスアロット, 81,武豊  , 0.5, 82, -12,* 24, 2,  6.0, ⑭⑮
,,,,,,,,,,,, 8, 1,Ｉマイソｰルビｰム, 57,長谷川, 1.0, 61,   7,  -4, 7, 11.7, ⑦⑤, 8,10,Ｇスピｰドウエル, 70,武英智, 1.9, 66,   4,  -2,11, 59.4,⑧⑨⑦, 8, 4,Ｈナナヨｰティアラ, 76,渡辺薫, 0.6, 80,  -5,  16,14, 51.2, ⑧⑦
,,,,,,,,,,,, 9,10,Ｅロｰザブランカ, 60,小牧太, 1.2, 58,   3,  -1, 4,  7.4, ⑫⑫, 9, 9,Ｊコスミックスピｰド, 67,武幸四, 1.9, 67,   1,   3,13, 63.8,⑮⑯⑭, 9, 5,Ｎナチュラルメイク, 73,川原正, 0.6, 80,  -8,  19, 8, 20.1, ⑪⑪
,,,,,,,,,,,,10, 2,Ｏニシノハドウホウ, 44,松岡正, 1.5, 54,   2,  -6,13,114.5, ⑪⑪,10, 6,Ｋキｰプウイニング, 66,熊沢重, 2.0, 66,   5,  -5,16,147.3,⑦⑥⑥,10, 9,Ｊコマノルカン, 75,藤岡佑, 0.6, 78,  -3,  13, 6,  9.6, ⑦⑧
,,,,,,,,,,,,11, 5,Ｌニコラシカ, 53,飯田祐, 1.5, 55,   0,  -1,11, 75.5, ⑯⑭,11,14,Ｉゴｰルデンビッグ, 67,田中克, 2.3, 67,   1,  -1, 9, 52.1,⑪⑮⑯,11,15,Ｋオｰヴェｰル, 75,四位洋, 0.6, 78,  -5,  16,15, 52.3, ⑩⑨
,,,,,,,,,,,,12,15,Ｊウエスタンシｰザｰ, 56,田中学, 1.5, 55,   2,  -4,10, 63.0, ⑭⑮,12, 8,Ｈファンドリコンドル, 67,幸英明, 2.4, 62,   3,  -5,10, 55.1,⑩⑪⑪,12,11,Ｉカリプソパンチ, 76,角田晃, 0.6, 79,  -5,  16,13, 36.4, ⑨⑩
,,,,,,,,,,,,13, 8,Ｎマルブツスカイ, 45,石橋守, 1.8, 52,   7, -15,15,226.4, ⑨⑨,13, 2,Ｌエドノエスポワｰル, 63,佐藤哲, 2.7, 61,   4,  -9, 7, 19.7,④⑧⑩,13,10,Ｇヤマカツブライアン, 78,田中克, 0.8, 77,  -9,  17,12, 33.1, ⑫⑬
,,,,,,,,,,,,14, 4,Ｋインテンスブルｰ, 54,川原正, 2.3, 45,   4, -18, 8, 25.5, ⑩⑩,14, 1,Ｏサクラプレミアム, 61,渡辺薫, 3.9, 52,   2, -16,14, 65.3,⑨⑫⑮,14, 8,Ｍマルカジｰク, 73,小牧太, 1.0, 76, -16,* 21,11, 32.0, ⑯⑯
,,,,,,,,,,,,15, 6,Ｆユウズツ, 59,小林徹, 3.0, 37,   7, -32,12, 99.9, ③④,15, 5,Ｎアワｰオアシス, 62,角田晃, 4.9, 45,*  5, -32, 8, 33.8,②②④,15,13,Ｏマキハタサｰメット, 69,高井彰, 1.2, 72, -12,  15,16,161.5, ⑮⑭
,,,,,,,,,,,,16,16,Ｐホシノクレオパトラ, 43,浜中俊, 3.1, 36,  -2, -21,14,168.0, ⑮⑯,16, 4,Ｐルクシオン, 48,田中学, 7.0, 34,*  5, -50,12, 63.6,①①⑫,16,14,Ｃタッチザピｰク, 81,池添謙, 1.2, 70,  -8,  11, 9, 25.3, ⑬⑫
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,ｸﾗｽ上位平均:64 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:稍重(指数:6),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:+0 馬場:重(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:85 ﾚｰｽﾍﾟｰｽ指数:-8 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:良(指数:6),,,,,,,,,,,
,,,,,,,,,,,,"単勝:530円 複勝:13=230円 11=250円 12=330円 枠連:1,760円",,,,,,,,,,,,単勝:960円 複勝:15=250円 11=160円 16=170円 枠連:490円,,,,,,,,,,,,"単勝:890円 複勝:03=250円 16=550円 01=180円 枠連:6,640円",,,,,,,,,,,
,,,,,,,,,,,,"馬連:2,750円 ワイド:11-13=1,050円 12-13=1,600円 11-12=1,140円",,,,,,,,,,,,"馬連:1,820円 ワイド:11-15=760円 15-16=590円 11-16=400円",,,,,,,,,,,,"馬連:14,000円 ワイド:03-16=2,610円 01-03=720円 02-03=940円",,,,,,,,,,,
,,,,,,,,,,,,"馬単:5,440円 3連複:8,750円",,,,,,,,,,,,"馬単:4,700円 3連複:2,190円",,,,,,,,,,,,"馬単:20,500円 3連複:19,060円 3連単:127,160円",,,,,,,,,,,
■ 3R  ダ1400m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■ 6R  ダ1800m 3 歳新馬 馬齢,,,,,,,,,,,,■ 9R  芝1800m 4歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■12R  ダ1800m 4歳上1000万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,春日特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,13,Ａマルタカワンタッチ, 68,石橋守,, 65,*  6,  -9, 1,  2.9, ②②, 1, 9, ロｰドアリエス,---,小牧太,, 59,* -3,*  0, 1,  3.7,②②②, 1, 3,Ｆケイアイケイマン, 74,川田将,, 80,* -8,  18, 2,  4.3, ③③, 1,12,Ａスタｰフォワｰド, 84,藤岡佑,, 87,   5,* 20, 2,  3.9,⑤⑤④
 2,16,Ｄワンダｰムシャ, 58,野元昭, 0.0, 65,*  6,  -8, 6, 12.1, ③③, 2,10, ハイパｰラッシュ,---,佐藤哲, 0.0, 62,  -5,*  3,11, 85.2,⑨⑥⑤, 2,11,Ａフェラｰリセブン, 76,四位洋, 0.0, 77,* -6,  14, 3,  5.8, ①①, 2, 8,Ｇビｰドラスティック, 79,角田晃, 0.2, 88,   1,* 26, 4, 13.7,⑬⑬⑨
 3, 9,Ｋマｰベラスウイル, 46,熊沢重, 0.3, 62,   1,* -5,11, 47.2, ⑩⑤, 3,15, ナイスシャトル,---,福永祐, 0.0, 60,* -4,*  1, 2,  3.7,④③③, 3, 4,Ｅブラックオリｰブ, 75,鮫島良, 0.3, 77,  -9,  15, 4,  8.5, ②②, 3,10,Ｃリバプｰルサウンド, 81,武豊  , 0.2, 83,*  5,  16, 1,  2.0,②②②
 4, 7,Ｎマイネルトリオンフ, 43,長谷川, 0.4, 59,  -1,* -3,12, 75.9, ⑫⑨, 4,12, アンクルビクトリｰ,---,渡辺薫, 0.7, 55,  -5,  -2, 7, 25.0,⑦⑦⑦, 4, 8,Ｊジェネビアン, 70,渡辺薫, 0.3, 81, -12,* 21, 7, 17.5, ⑧⑩, 4, 3,Ｄタガノエクリプス, 80,福永祐, 0.7, 82,   4,  16, 3,  7.7,⑧⑥⑤
 5,12,Ｅオウシュウバラッド, 58,川原正, 0.7, 59,*  8, -17, 4,  8.3, ①①, 5, 4, クリストフォルス,---,四位洋, 0.9, 53,* -3,  -8, 4,  7.5,①①①, 5, 9,Ｉディｰプエアｰ, 71,池添謙, 0.4, 76, -10,  18, 8, 24.0, ⑨⑧, 5, 6,Ｅメイショウチョイス, 79,太宰啓, 1.0, 77,*  5,  10, 8, 21.9,④③③
 6,15,Ｐゲイリｰリバイバル, 32,竹之下, 0.7, 59,   4, -12,16,432.2, ⑥④, 6,11, セトウチゲッコウ,---,石橋守, 1.1, 53,* -4,  -7,13, 98.8,⑤④④, 6, 2,Ｃスプリングダボス, 76,川原正, 0.5, 75, -11,  15, 5, 10.0, ⑦⑤, 6,11,Ｆマイネルカンタｰレ, 79,渡辺薫, 1.3, 78,   2,  13,10, 80.1,⑪⑩⑪
 7, 3,Ｏカストルキング, 42,田中克, 1.9, 49,  -4, -13,13,110.1, ⑭⑬, 7,14, ランフリｰ,---,田村太, 1.1, 52,  -8,*  0,10, 57.5,⑬⑪⑧, 7, 6,Ｄエイシンインパｰル, 76,小牧太, 0.7, 72, -11,  12, 9, 26.2, ⑤⑥, 7, 4,Ｈホｰマンラフィット, 78,田中克, 1.4, 82,   1,  14, 9, 43.4,⑫⑫⑫
 8,14,Ｉマルヨフォｰティ, 48,四位洋, 2.6, 42,  -4, -19, 9, 36.0, ⑮⑪, 8, 1, グロリアスメモリｰ,---,川田将, 1.9, 46,  -5, -13, 3,  5.0,③⑤⑥, 8, 7,Ｂリメインオブザサン, 76,武豊  , 0.8, 71,  -9,   9, 1,  2.6, ⑥⑦, 8,14,Ｂマンノレｰシング, 81,四位洋, 1.6, 76,   4,   8, 6, 17.8,⑦⑦⑦
 9, 6,Ｃシゲルレスポワｰル, 58,小牧太, 2.7, 42,   4, -29, 3,  6.5, ④⑥, 9,13, アストロダッシャｰ,---,武幸四, 2.9, 41,  -7, -17, 9, 33.4,⑫⑨⑨, 9, 5,Ｋディジュリドゥｰ, 67,長谷川, 0.8, 70,* -8,   6,10, 58.8, ④④, 9, 1,Ｊジョｰモルデュｰ, 71,川原正, 2.2, 71,   4,   3, 5, 16.5,⑥⑧⑩
10, 5,Ｇマｰベラスブレイド, 54,太宰啓, 2.9, 41,  -1, -24, 8, 18.4, ⑪⑫,10, 8, メイショウモガミ,---,武豊  , 4.0, 34,  -7, -26, 5,  7.5,⑥⑧⑩,10,10,Ｇサイレンスゴｰルド, 73,幸英明, 1.0, 72, -13,  14, 6, 12.2, ⑪⑪,10,13,Ｋステラパラダイス, 70,佐藤哲, 2.6, 70,   3,   1,12, 84.1,⑨⑨⑧
11, 1,Ｆダンツキャピタル, 55,渡辺薫, 3.3, 38,  -3, -25,15,157.5, ⑬⑮,11, 2, マンハッタンムｰン,---,池添謙, 4.8, 30, -11, -26, 6, 12.8,⑪⑬⑬,11, 1,Ｈフィｰルドカイザｰ, 72,熊沢重, 1.2, 68, -12,   9,11, 66.3, ⑩⑨,11, 5,Ｌゴｰルデンエビス, 70,幸英明, 2.6, 71,  -1,  10,11, 82.8,⑭⑭⑭
12,11,Ｌロックオブサリサ, 46,池添謙, 4.4, 29,   2, -41, 5, 11.6, ⑧⑩,12, 6, ワンダｰホｰマ,---,大下智, 4.8, 29,  -8, -31,12, 93.6,⑧⑫⑪,,,,,,,,,,,,,12, 9,Ｍレイジングザバｰ, 70,池添謙, 3.0, 63,*  6,  -9, 7, 18.6,①①①
13, 2,Ｂドゥｰエン, 59,川田将, 4.4, 30,   2, -41, 2,  4.2, ⑦⑧,13, 7, リッカマックス,---,長谷川, 5.5, 27,  -8, -38,14,135.8,⑩⑩⑫,,,,,,,,,,,,,13, 7,Ｉマｰキュリｰ, 72,酒井学, 4.0, 58,   4, -13,13, 94.7,③④⑥
14, 8,Ｈテイエムセレス, 54,田中健, 5.0, 28,   4, -48,10, 41.6, ⑤⑦,14, 3, シルクムｰンダスト,---,田中克, 6.4, 26, -15, -29,15,164.7,⑮⑭⑭,,,,,,,,,,,,,14, 2,Ｎカシノバズライト, 68,大下智, 4.1, 58,   1,  -8,14,203.3,⑩⑪⑬
15,10,Ｊマｰシフルフェイト, 47,角田晃, 7.7,  1,   1, -68, 7, 16.7, ⑨⑭,15, 5, トｰホウインラヴ,---,川原正, 6.6, 22, -17, -26, 8, 27.1,⑭⑮⑮,,,,,,,,,,,,,,,,,,,,,,,,
16, 4,Ｍワイルドヒｰロｰ, 45,武幸四, 8.3,-10, -14, -54,14,120.9, ⑯⑯,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:-14 馬場:重(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:重(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-12 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:良(指数:6),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:+8 馬場:重(指数:2),,,,,,,,,,,
"単勝:290円 複勝:13=140円 16=400円 09=930円 枠連:1,730円",,,,,,,,,,,,"単勝:370円 複勝:09=190円 10=1,870円 15=160円 枠連:4,010円",,,,,,,,,,,,単勝:430円 複勝:03=160円 11=190円 04=290円 枠連:770円,,,,,,,,,,,,"単勝:390円 複勝:12=150円 08=260円 10=110円 枠連:2,520円",,,,,,,,,,,
"馬連:1,580円 ワイド:13-16=760円 09-13=1,880円 09-16=8,830円",,,,,,,,,,,,"馬連:19,060円 ワイド:09-10=4,710円 09-15=360円 10-15=4,870円",,,,,,,,,,,,"馬連:1,160円 ワイド:03-11=450円 03-04=680円 04-11=910円",,,,,,,,,,,,"馬連:2,840円 ワイド:08-12=680円 10-12=190円 08-10=450円",,,,,,,,,,,
"馬単:2,340円 3連複:23,750円",,,,,,,,,,,,"馬単:28,270円 3連複:26,410円",,,,,,,,,,,,"馬単:2,060円 3連複:3,920円 3連単:15,530円",,,,,,,,,,,,"馬単:4,570円 3連複:1,320円 3連単:12,030円",,,,,,,,,,,
,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,,,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,
,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,,,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,
