08年 7月19日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 7月19日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:12,,,,,■ 4R  ダ1000m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1000m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-6,,,,,■10R  芝1200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ函館,,,,,,,,,,,,,,,,,,,,,,,,登別特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
,,,,,,,,,,,,10, 3,Ｈパシコスピリット, 48,柴原央, 0.7, 52,  -4,  -5,13, 91.8, ⑥⑥,10,12,Ｄティグフォルテ, 74,松田大, 1.0, 70,* 10,  -7, 8, 40.9,②②②,10, 9,Ｊソブリンブライト, 74,丸田恭, 2.3, 70,  -8,  17,12,171.8,⑪⑫⑩
,,,,,,,,,,,,11,11,Ｐカネスラｰナ, 42,郷原洋, 0.7, 51, -16,   6,14,108.2, ⑪⑪,11, 2,Ｈティズインパルス, 71,秋山真, 1.2, 67,   9,  -7, 9, 62.1,⑥⑦⑦,11, 1,Ｌインスパイアリング, 71,小林徹, 3.2, 63,  -6,   7,11,149.5,⑦⑩⑩
,,,,,,,,,,,,12, 6,Ｍアラクネベガ, 46,大野拓, 0.9, 50, -20,*  8, 8, 51.8, ⑭⑭,12, 6,Ｋマヤノカタナ, 65,武幸四, 2.3, 59,   7, -13,13,107.1,⑪⑨⑨,12, 7,Ｂコロナグラフ, 84,武幸四, 7.0, 34,  -4, -29, 2,  3.4,②④⑩
,,,,,,,,,,,,13,13,Ｅセイウンリップル, 53,木幡初, 1.0, 48, -13,   0,11, 68.7, ⑨⑨,13,10,Ｉラブリｰコンサｰト, 70,西原玲, 2.6, 56,* 10, -20,12, 68.1,③④⑦,,,,,,,,,,,,
,,,,,,,,,,,,14,15,Ｋショットバｰ, 47,ホワイ, 1.2, 45, -16,   0,12, 82.6, ⑪⑪,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,15,10,Ｇラッキｰサムタイム, 50,池添謙, 1.6, 39, -20,  -2,15,114.4, ⑭⑮,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,16, 9,Ｊヴァイサｰブリッツ, 47,荻野琢, 2.0, 34, -26,  -2, 9, 52.2, ⑯⑯,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:64 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:-7 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-15 ﾚｰｽｱｶﾞﾘ指数:+10 馬場:良(指数:-2),,,,,,,,,,,
"単勝:620円 複勝:07=180円 08=110円 09=1,550円 枠連:530円",,,,,,,,,,,,"単勝:200円 複勝:02=130円 07=660円 05=310円 枠連:1,950円",,,,,,,,,,,,"単勝:6,580円 複勝:11=2,310円 07=450円 04=1,470円 枠連:14,660円",,,,,,,,,,,,単勝:150円 複勝:05=110円 02=330円 03=400円 枠連:940円,,,,,,,,,,,
"馬連:610円 ワイド:07-08=230円 07-09=3,760円 08-09=1,840円",,,,,,,,,,,,"馬連:4,170円 ワイド:02-07=1,560円 02-05=550円 05-07=4,950円",,,,,,,,,,,,"馬連:27,800円 ワイド:07-11=7,420円 04-11=24,080円 04-07=5,880円",,,,,,,,,,,,"馬連:960円 ワイド:02-05=380円 03-05=770円 02-03=2,250円",,,,,,,,,,,
