08年11月 8日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年11月 8日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-8,,,,,■ 4R  ダ1150m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■ 7R  ダ2400m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■10R  ダ1700m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
"馬単:14,820円 3連複:19,060円 3連単:160,450円",,,,,,,,,,,,"馬単:1,400円 3連複:7,920円 3連単:26,480円",,,,,,,,,,,,"馬単:1,330円 3連複:9,000円 3連単:36,190円",,,,,,,,,,,,"馬単:12,920円 3連複:5,100円 3連単:51,060円",,,,,,,,,,,
■ 2R  芝1200m 2 歳新馬 馬齢,,,,,,,,,,,,■ 5R  ダ1700m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■ 8R  ダ1700m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-12,,,,,■11R  芝2600m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,
,ﾒｲｸﾃﾞﾋﾞｭｰ福島,,,,,,,,,,,,,,,,,,,,,,,,小野川湖特別,,,,,,,,,,,,磐梯山特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 7, クリンゲルベルガｰ,---,三浦皇,, 58,  -9,*  0, 1,  2.9, ④②, 1,15,Ｃオｰミチェリッシュ, 72,藤岡康,, 71,*  7,*  4, 3,  4.9,②②②, 1, 9,Ａロックリヴァｰ, 73,三浦皇,, 71,* -6,* 20, 1,  1.8,①①①, 1, 7,Ｅエプソムアルテマ, 78,木幡初,, 79,  11,*  9, 6, 14.6,⑫⑪⑧
 2, 1, ホｰザンアテナ,---,西田雄, 1.3, 41, -12, -14,10, 88.2, ⑤⑤, 2, 8,Ｄフレンチノワｰル, 71,田辺裕, 0.1, 67,   5,*  5, 2,  4.1,⑦④③, 2, 7,Ｆマイネルサラン, 62,丸田恭, 0.1, 72,* -6,* 19, 5, 19.8,②②②, 2,10,Ｃフェニコｰン, 79,三浦皇, 0.0, 78,  13,   2, 1,  2.5,⑤⑥⑥
 3,12, レオタイムリｰ,---,大野拓, 1.3, 40, -14, -13,12,116.7, ⑦⑦, 3,10,Ａグリッタｰエルフ, 72,中舘英, 0.2, 68,*  7,   2, 1,  3.3,①①①, 3, 4,Ｃエミネムシチｰ, 68,大野拓, 0.5, 71,  -7,  18, 3,  9.4,③④③, 3, 6,Ｂリネンヤクシン, 79,田辺裕, 0.1, 75,  14,  -4, 8, 29.2,⑧④②
 4, 5, コスモラピド,---,北村友, 1.4, 39,  -7, -21, 4,  6.8, ③②, 4,14,Ｆハイパｰラッシュ, 68,荻野琢, 0.6, 68,   5,   1, 5, 10.3,⑥⑦⑥, 4, 8,Ｂフィｰルドウイナｰ, 73,武英智, 1.6, 60,* -6,   7, 4, 14.7,③③③, 4, 3,Ｄアグネスモナク, 79,北村友, 0.2, 76,  13,   2, 7, 27.1,④⑧⑥
 5,13, キチロクレナン,---,二本柳, 1.5, 38, -12, -16,11, 99.4, ⑤⑥, 5,11,Ｂナッシュビル, 72,黛弘人, 0.6, 66,   5,   0, 4,  7.1,④④⑤, 5, 5,Ｅオｰクリｰフキッド, 64,的場勇, 1.6, 63, -11,  15, 6, 21.3,⑨⑧⑧, 5, 4,Ｇフジヤマラムセス, 77,石橋脩, 0.4, 74,  14,  -5, 2,  5.2,⑥⑤④
 6, 3, トップワンダｰ,---,南田雅, 1.6, 37, -15, -15, 2,  4.6, ⑦⑧, 6,13,Ｉロｰズシティ, 66,三浦皇, 0.9, 63,   4,   0, 6, 13.7,⑨⑧⑧, 6, 6,Ｈカシマレジェンド, 56,高山太, 1.8, 59,  -7,   7, 9,182.5,⑤④⑤, 6, 5,Ｆドリｰムフライト, 78,西田雄, 0.4, 73,* 15, -10, 4,  7.2,①①①
