08年 8月30日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 8月30日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1000m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:18,,,,,■ 4R  芝1500m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1700m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■10R  芝1200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,
,,,,,,,,,,,, 9, 1, アンディｰフロイデ,---,武幸四, 1.8, 47, -12,  -7, 3,  6.3,⑫⑩⑨, 9, 8,Ｆサウスエンピリカル, 66,菊沢隆, 1.5, 57,*  3,  -7, 3, 10.6,②②③, 9, 8,Ｍケイエスショｰキ, 58,藤田伸, 0.8, 58,  -1,  -2,14,105.4, ⑬⑭
,,,,,,,,,,,,10,10, フィｰタス,---,大野拓, 2.0, 44,  -6, -19, 8, 16.1,⑦③③,10, 1,Ｍビｰトマイハｰト, 49,丸田恭, 1.6, 57,   0,  -3,13,255.7,④⑦⑧,10, 7,Ｎクリノエタｰナル, 50,山口竜, 0.9, 57,  -4,  -1,16,212.8, ⑭⑯
,,,,,,,,,,,,11, 4, マッキｰアイアン,---,梶晃啓, 3.4, 29,  -9, -33,12,132.8,⑤⑧⑨,11, 3,Ｌメジロアリエル, 54,長谷川, 2.1, 55,*  4, -13, 8, 24.5,①①①,11, 3,Ｊバロンダンス, 65,北村友, 1.0, 61,   8, -13, 3,  7.3, ⑧⑦
,,,,,,,,,,,,12, 2, ザバトルクラシック,---,横山典, 5.4, 10, -19, -42,10, 27.9,⑨⑫⑫,12, 7,Ｋイエロｰプリマ, 57,武幸四, 3.2, 48,   0, -12,10,111.6,⑫⑪⑫,12,16,Ｈドンマルゴｰ, 66,的場勇, 1.0, 61,* 13, -18, 9, 26.7, ②②
,,,,,,,,,,,,,,,,,,,,,,,,13, 4,Ａテイエムクロカミ, 81,池添謙, 8.7,  4,   0, -63, 1,  1.7,⑨⑨⑬,13,15,Ｄマｰシャルソング, 67,藤岡佑, 1.5, 52,   7, -18,10, 27.6, ⑧⑨
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14, 1, ヤスノヴィグラス,---,斉藤正, 1.8, 51,* 13, -29,12, 66.7, ②②
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,11,Ｃクインズプレイヤｰ, 68,五十嵐, 1.9, 51,* 15, -31, 4,  9.0, ①①
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,13,Ｅリルティングソング, 67,芹沢純, 2.3, 43,  10, -33, 8, 17.8, ④⑨
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:59 ﾚｰｽﾍﾟｰｽ指数:+0 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:稍重(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:+8 馬場:稍重(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:71 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:稍重(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:75 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:良(指数:-1),,,,,,,,,,,
"単勝:1,760円 複勝:05=500円 02=250円 01=170円 枠連:0円",,,,,,,,,,,,"単勝:1,090円 複勝:11=300円 08=140円 09=890円 枠連:640円",,,,,,,,,,,,"単勝:1,170円 複勝:11=250円 05=2,080円 06=170円 枠連:690円",,,,,,,,,,,,単勝:440円 複勝:06=180円 12=420円 05=370円 枠連:970円,,,,,,,,,,,
"馬連:3,240円 ワイド:02-05=810円 01-05=670円 01-02=260円",,,,,,,,,,,,"馬連:1,640円 ワイド:08-11=670円 09-11=4,250円 08-09=1,800円",,,,,,,,,,,,"馬連:28,200円 ワイド:05-11=6,660円 06-11=620円 05-06=4,970円",,,,,,,,,,,,"馬連:3,700円 ワイド:06-12=1,120円 05-06=1,030円 05-12=3,090円",,,,,,,,,,,
"馬単:8,410円 3連複:3,440円 3連単:29,140円",,,,,,,,,,,,"馬単:3,630円 3連複:15,570円 3連単:89,360円",,,,,,,,,,,,"馬単:65,700円 3連複:40,540円 3連単:339,620円",,,,,,,,,,,,"馬単:5,960円 3連複:15,420円 3連単:72,340円",,,,,,,,,,,
■ 2R  芝1200m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-5,,,,,■ 5R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:11,,,,,■ 8R  ダ1700m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■11R  芝2600m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,阿寒湖特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 4,Ｂラブチャｰミｰ, 59,秋山真,, 64,* -2,   0, 5, 16.1, ①①, 1, 6,Ｄラクシュミｰギャル, 66,藤田伸,, 67,*  1,*  6, 2,  5.2,②②①, 1, 1,Ａナムラマハラジャ, 80,北村浩,, 76,   5,* 10, 5,  8.9,⑨④①, 1, 3,Ｂハギノプリンセス, 81,安藤勝,, 87,*  1,* 19, 1,  2.2,④④④
 2, 6,Ｃテイエムオｰロラ, 55,池添謙, 0.0, 63,  -6,*  3, 2,  3.0, ③②, 2,11,Ｃホクセツマウンテン, 67,北村友, 0.1, 66,   0,*  7, 6, 11.5,③④②, 2, 3,Ｊギンギラギン, 65,北村友, 0.4, 72,   5,*  7, 8, 24.5,⑤④⑤, 2, 6,Ｇドリｰムノクタｰン, 72,藤岡佑, 0.1, 82,*  2,  12, 5,  8.5,①①①
 3, 3,Ａワニタレスタリ, 59,横山典, 0.1, 62,  -8,*  3, 1,  1.6, ④④, 3, 7,Ｂプリンチパｰレ, 68,三浦皇, 0.5, 63,*  0,   3, 4,  8.1,③③②, 3, 6,Ｂラガｰチトセオｰ, 77,安藤勝, 0.8, 70,*  7,   1, 3,  5.8,②②②, 3, 1,Ｃオｰバｰカムオｰル, 77,古川吉, 0.1, 84,*  1,  15, 3,  5.1,②②②
 4, 1,Ｄキリエ, 40,藤岡佑, 0.7, 57,  -7,  -3, 3,  7.8, ④⑤, 4, 2,Ａバｰチャルウォｰズ, 71,丸田恭, 0.7, 63,   0,   2, 3,  6.3,③④⑤, 4,11,Ｅファイナルジャッジ, 73,松田大, 0.8, 71,*  6,   2, 7, 15.2,③③③, 4, 7,Ａダンツウィニング, 83,藤田伸, 0.4, 80,*  1,  12, 2,  3.6,②②②
 5, 2,Ｆハニｰインチｰフ, -3,大野拓, 1.0, 52,  -9,  -7, 6, 74.2, ④⑥, 5,12,Ｈプルチェラ, 56,五十嵐, 0.7, 64,  -1,   4,10, 74.6,⑪⑦⑤, 5, 4,Ｆエアシャムス, 72,藤岡佑, 0.9, 70,   4,   4, 2,  3.3,⑦⑧⑤, 5, 4,Ｄマｰスエンペラｰ, 77,岩田康, 0.7, 79,   0,  12, 4,  5.7,⑤⑤④
 6, 5,Ｅラストダンス, 33,北村友, 1.2, 49,* -4, -15, 4, 12.3, ②②, 6, 9,Ｉスカイラプタｰ, 56,大野拓, 0.8, 64,   0,   2, 9, 44.2,⑥⑦⑤, 6, 2,Ｄモエレジンダイコ, 73,横山典, 1.0, 67,   5,   1, 1,  3.2,③④⑤, 6, 2,Ｆエプソムボス, 73,大野拓, 0.9, 77,   0,   9, 7, 49.3,⑦⑤⑥
,,,,,,,,,,,, 7,13,Ｅデルマビｰナス, 61,藤岡佑, 1.1, 61,  -1,   1, 1,  2.3,⑨⑨⑤, 7,12,Ｇリネンヤクシン, 71,池添謙, 1.4, 67,   1,   5,10, 76.0,⑪⑪⑨, 7, 5,Ｅウインバリエンテ, 76,五十嵐, 0.9, 78,   0,  10, 6, 46.1,⑤⑤⑥
,,,,,,,,,,,, 8, 5,Ｋアドマイヤワイド, 53,岩田康, 1.6, 57,*  2,  -7, 5,  8.8,①①②, 7, 8,Ｃロｰランビゴラス, 76,丸田恭, 1.4, 66,   4,   0, 4,  7.7,⑦⑧⑧,,,,,,,,,,,,
,,,,,,,,,,,, 9, 3,Ｆメイショウエビス, 60,千田輝, 2.2, 53,  -1,  -8,12,111.1,⑫⑨⑨, 9, 7,Ｈカズノブライアン, 70,荻野琢, 1.5, 69,   0,   6, 6, 14.9,⑬⑫⑫,,,,,,,,,,,,
,,,,,,,,,,,,10, 1,Ｊベｰトｰヴェン, 54,郷原洋, 2.7, 50,  -3, -10,11,100.2,⑨⑫⑪,10,10,Ｍノボスコｰピオ, 51,的場勇, 2.0, 64,  -1,   4,11, 79.3,⑫⑬⑬,,,,,,,,,,,,
,,,,,,,,,,,,11,10,Ｇホッカイドゥムカ, 60,古川吉, 3.2, 47,   0, -20, 7, 25.6,⑥④⑨,11, 5,Ｌデルマアルタイル, 62,斉藤正, 2.1, 60,*  7, -11,12,212.1,①①③,,,,,,,,,,,,
,,,,,,,,,,,,12, 8,Ｌユウタｰボｰイ, 52,武幸四, 3.9, 44,  -6, -13, 8, 31.8,⑬⑬⑬,12,13,Ｉヒットトップガン, 65,河北通, 2.2, 63,   3,  -4, 9, 54.4,⑨⑩⑨,,,,,,,,,,,,
,,,,,,,,,,,,13, 4,Ｍトウショウジェイド, 32,宮崎光, 4.8, 35,  -2, -30,13,129.6,⑥⑪⑫,13, 9,Ｋヒドゥンアジェンダ, 63,津村明, 2.9, 56,   5, -14,13,277.5,⑤④⑨,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:稍重(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:稍重(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:稍重(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:81 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:-1),,,,,,,,,,,
"単勝:1,610円 複勝:04=840円 06=250円 枠連:0円",,,,,,,,,,,,単勝:520円 複勝:06=190円 11=280円 07=220円 枠連:880円,,,,,,,,,,,,"単勝:890円 複勝:01=260円 03=620円 06=230円 枠連:6,370円",,,,,,,,,,,,単勝:220円 複勝:03=150円 06=300円 枠連:0円,,,,,,,,,,,
"馬連:1,670円 ワイド:04-06=360円 03-04=190円 03-06=130円",,,,,,,,,,,,"馬連:2,130円 ワイド:06-11=690円 06-07=570円 07-11=940円",,,,,,,,,,,,"馬連:7,280円 ワイド:01-03=1,620円 01-06=730円 03-06=1,680円",,,,,,,,,,,,馬連:780円 ワイド:03-06=370円 01-03=210円 01-06=480円,,,,,,,,,,,
"馬単:4,260円 3連複:460円 3連単:8,040円",,,,,,,,,,,,"馬単:4,370円 3連複:4,450円 3連単:26,130円",,,,,,,,,,,,"馬単:12,850円 3連複:11,930円 3連単:82,600円",,,,,,,,,,,,"馬単:1,490円 3連複:1,060円 3連単:4,280円",,,,,,,,,,,
■ 3R  ダ1000m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 6R  芝2000m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 9R  ダ1700m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■12R  芝1500m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,報知杯大雪ﾊﾝﾃﾞ,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6,Ｂアムネリス, 69,的場勇,, 70,* 11,  -4, 2,  2.9, ①①, 1,16,Ｂダッシュアキチャン, 64,岩田康,, 65,   0,*  1, 1,  2.0,⑫⑩⑨, 1, 9,Ｃナンヨｰヒルトップ, 83,藤田伸,, 78,*  7,  16, 2,  4.3,①①①, 1, 4,Ａアサヒバロン, 71,横山典,, 75,   7,   5, 1,  3.4,④⑤⑥
 2, 9,Ａコウヨウサルｰト, 76,三浦皇, 0.0, 69,* 10,  -3, 1,  1.9, ②②, 2, 9,Ｆニュｰヨｰカｰ, 58,北村友, 0.1, 64,*  3,  -7, 3,  6.1,⑤④③, 2, 1,Ａナムラハンタｰ, 84,横山典, 0.2, 76,   5,* 17, 1,  2.1,⑤⑤③, 2, 2,Ｈゲイルカフェ, 65,小島太, 0.1, 75,   7,   5, 7, 15.9,⑦⑨⑨
 3,10,Ｃアメリカンヒロイン, 61,津村明, 0.5, 62,   6,  -5, 5, 19.8, ③③, 3,12,Ｅシンボリザックス, 59,津村明, 0.1, 62,*  4, -10, 8, 28.7,③③③, 3, 8,Ｂエタｰナルスマイル, 84,藤岡佑, 0.4, 76,   5,* 16, 5, 13.7,⑥⑤③, 3,13,Ｂフラワｰタキシｰド, 71,藤田伸, 0.4, 74,* 14,  -9, 2,  4.8,①①①
 4,12,Ｊピｰカブｰ, 48,横山典, 0.6, 57,   1,* -2, 3,  9.9, ⑤④, 4, 5,Ｃアストレアピｰス, 61,横山典, 0.3, 61,   2,  -8, 2,  5.4,③⑤③, 4, 7,Ｌウエスタンリジ, 77,的場勇, 0.5, 75,*  6,  13,13,100.5,③③③, 4, 1,Ｅサクラモサ, 68,三浦皇, 0.4, 72,* 11,  -7, 6, 12.4,②②②
 5,11,Ｅヒマワリスマイル, 58,武幸四, 1.0, 52,  -6,* -1, 9, 69.2, ⑨⑧, 5,11,Ｍロｰランブロウ, 50,武英智, 0.3, 59,*  4, -14,11, 57.6,②②②, 5,11,Ｊピエナエイム, 79,岩田康, 0.9, 72,   4,  14, 3,  7.9,⑧⑧⑥, 5, 8,Ｆベルモントノエル, 68,菊沢隆, 0.5, 71,* 11,  -7, 8, 18.5,③②②
 6, 1,Ｇラバｰズトウショウ, 54,丸田恭, 1.1, 54,   3,  -8, 8, 58.6, ④④, 6, 6,Ｉミネルヴァアイ, 56,藤岡佑, 0.5, 59,   0,  -8,10, 50.3,⑤⑧⑥, 6, 6,Ｅビッグクラウン, 82,秋山真, 0.9, 73,   4,  13, 8, 21.3,⑧⑦⑧, 6, 9,Ｃツルマルオジョウ, 70,藤岡佑, 0.5, 71,   9,  -3, 5,  7.7,⑨⑤④
 7, 3,Ｄシンメトリｰアｰト, 61,北村友, 1.1, 53,   2,  -7, 7, 24.9, ⑤⑥, 7, 4,Ｈタイセイボナンザ, 57,三浦皇, 0.6, 57,   0, -10, 4, 14.3,⑩⑧⑥, 7,13,Ｍヒシアスペン, 70,郷原洋, 1.1, 70,*  7,   6,12, 85.8,②②②, 7, 3, ライトオブマリア,---,五十嵐, 0.8, 65,   1,   3,10, 53.6,⑪⑫⑩
 8, 5,Ｆマヤノアンズ, 54,松田大, 1.1, 52,  -5,  -3, 4, 13.3, ⑨⑩, 8, 2,Ｌタツキセキ, 50,五十嵐, 0.6, 56,*  4, -20, 9, 43.1,①①①, 8, 2,Ｉシルクレセプション, 79,長谷川, 1.1, 72,   6,   9,10, 44.4,③③⑥, 8, 5,Ｇマイネルカｰロ, 67,大野拓, 0.8, 68,   9,  -7, 3,  5.7,⑥⑤⑥
 9, 2,Ｌボイスオブゴッド, 33,長谷川, 1.4, 48,  -8,  -4,11,134.4, ⑪⑧, 9, 7,Ｏナナツダチ, 31,斉藤正, 0.8, 56,  -3,* -6,13, 76.9,⑫⑬⑭, 9,12,Ｆマルブツブラボｰ, 80,古川吉, 1.3, 74,   1,* 17, 9, 42.1,⑬⑬⑬, 9,10,Ｋコスモクルトゥｰラ, 53,丸田恭, 1.0, 63,  -4,* 10,11, 72.4,⑭⑭⑭
10, 8,Ｉカシマジュリアン, 53,鈴来直, 1.6, 47,  -3,  -8,12,221.4, ⑦⑦,10,10,Ｊジェイケイクリス, 55,藤田伸, 0.8, 56,  -3,* -6, 7, 23.9,⑫⑬⑩,10, 3,Ｇエドノドリｰム, 80,菊沢隆, 1.6, 69,   3,  10,11, 62.6,⑪⑩⑪,10, 6,Ｊマイサイドキック, 58,北村友, 1.1, 63,   1,   1,12, 76.1,⑫⑬⑫
11, 4,Ｈエイトスタｰ, 53,岩田康, 1.8, 44,  -3, -11, 6, 23.7, ⑦⑩,11, 1,Ｄショウナンガｰベ, 61,丸田恭, 0.8, 56,  -2,  -9, 5, 14.7,⑧⑩⑩,11, 5,Ｈイチオカ, 79,四位洋, 1.7, 67,   1,  11, 7, 20.6,⑪⑫⑫,11,12,Ｉスイングロウ, 61,長谷川, 1.4, 62,   8, -13, 9, 20.9,⑨⑤⑥
12, 7,Ｋテイクシックス, 46,菊沢隆, 3.6, 26, -11, -22,10,116.5, ⑫⑫,12,14,Ａゴｰルドバルザック, 69,武幸四, 1.1, 53,   1, -18, 6, 15.9,⑧⑥⑥,12, 4,Ｄトウショウアタック, 83,松田大, 2.0, 66,   4,   5, 6, 16.6,⑥⑧⑨,12,14,Ｄマイネルスカット, 69,岩田康, 1.7, 57,   9, -19, 4,  7.6,④④④
,,,,,,,,,,,,13,15,Ｇオジジアンクリス, 57,四位洋, 1.2, 54,  -2,  -9,12, 61.0,⑯⑬⑩,13,10,Ｋケイアイプラウド, 77,武幸四, 2.1, 64,   3,   5, 4, 10.0,⑩⑩⑨,12,11,Ｌヒルノナタリｰ, 42,的場勇, 1.7, 57,   4, -10,13, 92.3,⑫⑩⑩
,,,,,,,,,,,,14,13,Ｎスズシルフ, 35,松田大, 1.6, 52,  -3, -12,16,183.6,⑮⑯⑯,,,,,,,,,,,,,14, 7, タキノチドリ,---,山口竜, 2.7, 47,   3, -22,14,104.7,⑦⑩⑫
,,,,,,,,,,,,15, 8,Ｋニシノグレキング, 54,宮崎光, 1.9, 46,   1, -29,14, 87.6,⑦⑥⑩,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,16, 3, シャトｰノワｰル,---,荻野琢, 2.6, 40,   0, -35,15,143.0,⑩⑩⑭,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+5 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:稍重(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:64 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:稍重(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:稍重(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:75 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:良(指数:-1),,,,,,,,,,,
単勝:290円 複勝:06=120円 09=110円 10=190円 枠連:220円,,,,,,,,,,,,単勝:200円 複勝:16=120円 09=150円 12=360円 枠連:490円,,,,,,,,,,,,単勝:430円 複勝:09=180円 01=120円 08=240円 枠連:410円,,,,,,,,,,,,"単勝:340円 複勝:04=150円 02=380円 13=190円 枠連:3,050円",,,,,,,,,,,
馬連:310円 ワイド:06-09=150円 06-10=470円 09-10=240円,,,,,,,,,,,,"馬連:650円 ワイド:09-16=280円 12-16=800円 09-12=1,000円",,,,,,,,,,,,馬連:670円 ワイド:01-09=310円 08-09=910円 01-08=480円,,,,,,,,,,,,"馬連:2,930円 ワイド:02-04=860円 04-13=330円 02-13=1,660円",,,,,,,,,,,
"馬単:760円 3連複:760円 3連単:3,990円",,,,,,,,,,,,"馬単:1,140円 3連複:3,640円 3連単:12,970円",,,,,,,,,,,,"馬単:1,440円 3連複:2,030円 3連単:10,110円",,,,,,,,,,,,"馬単:5,070円 3連複:4,960円 3連単:28,180円",,,,,,,,,,,
,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,,,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,
,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,,,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,
