08年 6月29日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 6月29日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 4R  ダ1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1400m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■10R  芝2200m 3歳上ｵｰﾌﾟﾝ(国) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,宝塚記念 ＧⅠ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6,Ｄウォｰタｰショｰン, 59,高橋亮,, 74,*  9,* -2, 3,  5.9, ②②, 1,11,Ｊタンホイザｰ, 57,小牧太,, 83,  17,* -2, 5, 12.2, ⑭⑪, 1, 8,Ｃナリタダイコク, 77,佐藤哲,, 76,   8,* -1, 2,  3.2,⑦⑦⑤, 1, 7,Ｇアドマイヤマジン, 80,川田将,, 82,* 17,* -4, 2,  4.5,③③③
 2, 5,Ｂグレイホｰク, 62,川田将, 0.5, 68,*  7,* -5, 2,  4.3, ③③, 2,14,Ａナミダガキラリ, 66,川田将, 0.6, 74,  18, -15,10, 20.5, ⑧⑤, 2, 3,Ｂシゲルタック, 80,岩田康, 0.0, 75,  10,  -5, 3,  4.0,③④②, 2, 6,Ａクリｰン, 87,武豊  , 0.3, 80,  15,* -1, 1,  2.7,⑫⑪⑥
 3,11,Ｅシルクレパｰド, 57,田島裕, 1.0, 63,   5,  -6, 6,  8.6, ④④, 3, 8,Ｇパカパカグランプリ, 60,武豊  , 1.0, 71,  18, -19, 2,  4.6, ⑧⑨, 3, 6,Ｄシャロｰム, 74,内田博, 0.1, 75,   7,* -1, 4, 10.8,⑧⑧⑧, 3, 4,Ｊグランシュヴァリエ, 79,石橋守, 0.3, 80,* 18,  -9, 7, 18.2,②②②
 4,14,Ａファイナルパンチ, 64,和田竜, 1.2, 61,   3,  -6, 1,  3.7, ⑤⑤, 4,15,Ｌサンライトマリｰ, 55,上村洋, 1.1, 69,* 21, -26,13, 42.7, ③②, 4, 5,Ｇマサライト, 71,小牧太, 0.2, 74,* 11, -12, 5, 21.0,①①①, 4, 1,Ｉプレシャスピクセル, 79,幸英明, 1.1, 76,  14,* -5,14,116.0,⑨⑪⑩
 5, 4,Ｇニホンピロジパング, 51,北村浩, 1.2, 59,   1,* -5, 8, 31.5, ⑥⑦, 5,17,Ｉディアカルテット, 58,田中健, 1.2, 69,  18, -22,15,100.0, ⑩⑨, 5, 9,Ａマイネルクルｰガｰ, 85,四位洋, 0.5, 71,  10, -12, 1,  2.2,③④②, 5, 3,Ｄコスモアブソルｰト, 83,内田博, 1.1, 74,  16, -10, 8, 18.9,⑨⑦⑥
 6, 7,Ｉメイショウシャオウ, 45,武豊  , 1.3, 58,   1,  -6, 5,  7.9, ⑥⑦, 6, 9,Ｋムｰンシンフォニｰ, 57,安藤勝, 1.2, 68,  15, -16, 6, 13.5, ⑮⑭, 6, 4,Ｉキンショｰオトヒメ, 61,浜中俊, 0.9, 70,   7, -12, 9, 87.7,⑧⑧⑧, 6,12,Ｋアルファオリオン, 78,蛯名正, 1.7, 74,  12,  -6, 4,  9.1,⑮⑬⑫
 7, 1,Ｃサイキョウケンザン, 61,浜中俊, 2.2, 50,  -1, -12, 7, 14.5, ⑩⑨, 7, 6,Ｃマルカレガｰト, 62,後藤浩, 1.3, 68,  14, -16, 8, 15.8, ⑮⑭, 7, 2,Ｅリッカメルド, 74,角田晃, 1.2, 66,   9, -20, 6, 24.3,⑥④⑤, 7, 8,Ｂミンティエアｰ, 86,後藤浩, 1.7, 71,  17, -16, 3,  6.8,⑨⑥⑤
 8,12,Ｌトロピカルガイ, 34,藤岡康, 2.3, 49,  -5,  -8,15,155.7, ⑬⑪, 8,13,Ｏマストコントロｰル, 47,浜中俊, 1.4, 69,  20, -28,16,129.2, ④⑤, 8, 1,Ｆウインバｰディクト, 71,石橋守, 1.3, 65,* 11, -25, 7, 41.3,②②②, 8, 5,Ｎダンシングタイガｰ, 77,赤木高, 2.0, 69,* 18, -24,12, 67.2,①①①
 9,10, マイディアダｰリン,---,河北通, 2.4, 47,  -5, -10,13,130.8, ⑪⑪, 9, 7, オｰログランデ,---,蛯名正, 1.6, 65,  10, -15,11, 29.9, ⑱⑰, 9, 7,Ｈホッコｰサンライズ, 67,蛯名正, 1.8, 62,  10, -29, 8, 69.4,③③⑤, 9, 9,Ｈマルブツフジ, 80,横山典, 2.2, 68,  15, -18, 5, 10.7,⑦⑦⑨
10,13,Ｆテツゴｰルド, 53,小牧太, 2.6, 47,   2, -18, 9, 45.5, ⑥⑥,10,16,Ｎフェイバリットサン, 50,芹沢純, 1.8, 62,  20, -34,18,181.1, ⑫⑤,,,,,,,,,,,,,10,15,Ｆブルｰレパｰド, 81,岩田康, 2.4, 67,* 17, -25, 9, 22.2,⑥③③
