08年 2月24日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 2月24日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,,,,,,,,,,,,,■ 7R  ダ1400m 3 歳500万 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■10R  ダ1900m 4歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
11, 7, スマｰトホｰラｰ,---,飯田祐, 2.8, 40, -16,  -7,13,168.2, ⑬⑬,11, 9, カブリオｰル,---,小牧太, 2.5, 45,  -3, -17, 5, 10.3,⑫⑬⑭,11, 7,Ｏフィｰルドグランデ, 53,川田将, 3.4, 54,   6, -15,12,158.8, ⑦⑦,11, 4,Ｂマルサンテクニカル, 76,岡田祥, 0.8, 70,   5,   3, 5,  7.7, ⑨⑧
12, 6, ロングプルミエｰル,---,四位洋, 3.2, 37,  -3, -23, 8, 21.1, ⑥⑧,12,10, テイエムオリンピア,---,佐久間, 2.6, 48, -10,* -4,16,182.2,⑯⑯⑯,12,13,Ｋアラマサロビンソン, 58,長谷川, 4.1, 48,   3, -19,13,159.5, ⑩⑪,12,13,Ｈトｰホウカウンタｰ, 72,北村友, 1.0, 67,  -6,* 12,11, 53.1, ⑯⑯
13, 8, アイノレオ,---,中村将, 3.3, 35, -11, -17,14,189.0, ⑪⑫,13,14, ゲイリｰライアン,---,中村将, 3.1, 41,  -1, -27,10, 31.4,⑥⑩⑨,13,12,Ｂエアパスカル, 69,藤岡佑, 4.5, 45,   5, -23, 3,  6.1, ⑦⑨,13, 8,Ｆセレスダイナミック, 73,和田竜, 1.0, 69,   5,   1, 4,  7.7, ⑧⑦
14,10, コアレスインライフ,---,高野容, 3.4, 36, -24,* -4,16,287.0, ⑮⑮,14, 5, フレッシュホｰラｰ,---,飯田祐, 4.2, 36,  -1, -34,14,105.3,⑧⑪⑫,14,16,Ｐテイエムセッペトベ, 49,田嶋翔, 4.5, 46,   3, -20,14,195.5, ⑩⑭,14, 6,Ｄゼンノリヴァｰサル, 74,藤岡康, 1.6, 63,* 13, -12, 6, 16.4, ②①
15, 9, マリンプラネット,---,渡辺薫, 4.5, 27, -17, -21,11,151.4, ⑬⑬,15, 4, シロキタカｰニバル,---,長谷川, 4.5, 36,   1, -43, 4,  7.9,③④⑦,15,15,Ｃエｰシンコンファｰ, 65,上村洋, 4.6, 45,  -1, -17, 8, 23.9, ⑮⑮,15, 1,Ｏスズカエチュｰド, 67,ルメｰ, 1.7, 62,* 14, -13, 9, 29.1, ①②
16, 2, エｰシンマイルピン,---,北村友, 6.3, -8, -35, -20,15,226.2, ⑯⑯,16, 8, アペルドｰルン,---,芹沢純, 7.2, 22,  -5, -53,15,138.7,⑫⑮⑮,,,,,,,,,,,,,16, 2,Ｎメイショウイッテキ, 68,生野賢, 3.3, 48,   6, -20,10, 40.0, ⑦⑧
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:59 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:良(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:良(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-7 馬場:良(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:+0 ﾚｰｽｱｶﾞﾘ指数:+0 馬場:良(指数:2),,,,,,,,,,,
単勝:220円 複勝:13=120円 05=220円 12=190円 枠連:610円,,,,,,,,,,,,"単勝:2,300円 複勝:02=700円 07=220円 01=840円 枠連:3,120円",,,,,,,,,,,,"単勝:2,000円 複勝:14=460円 06=130円 02=2,130円 枠連:1,150円",,,,,,,,,,,,"単勝:550円 複勝:07=290円 12=2,490円 16=220円 枠連:7,450円",,,,,,,,,,,
