08年10月26日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年10月26日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 4R  ダ1400m 2 歳新馬(牝) 馬齢,,,,,,,,,,,,■ 7R  ダ1400m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■10R  芝1200m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,,,,,,,,,,,,,桂川ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 9, 3,Ｅカバｰドブリッジ, 52,横山典, 2.1, 37,   3, -23, 8, 53.8,①④⑤, 9, 7, テイエムシバスキｰ,---,和田竜, 1.7, 34,*-28,  -9,10,153.4, ②②, 9,12,Ｍエルチョコレｰト, 53,幸英明, 0.8, 65,  -5,   1,11, 51.1, ⑥⑦, 9,12,Ｈヤマニンキングリｰ, 81,柴山雄, 1.1, 85,* 14,   0,16, 39.0,⑩⑥⑦
10, 4,Ｆユｰセイヤマトオｰ, 49,和田竜, 2.1, 37,*  5, -27, 9, 73.3,②①①,10, 9, ダノンイチロｰ,---,福永祐, 1.7, 40, -34,   4, 5, 14.0, ⑨⑨,10, 9,Ｇエｰシンビｰセルズ, 60,安藤勝, 0.9, 62,  -4,  -2, 7, 19.1, ⑩④,10, 7,Ｑドットコム, 72,岩田康, 1.2, 85,  12,   7,17, 40.2,⑮⑰⑯
11, 5,Ｉヒルノカンクン, 42,田中健, 3.1, 33,  -1, -25,11,191.6,④⑩⑪,11, 3, ファｰエンドシュア,---,黒岩悠, 2.9, 24, -35, -11,11,265.6, ⑨⑪,11,11,Ｆノアウイニング, 62,田中健, 1.0, 62,  -5,  -1, 6, 15.4, ⑪⑦,11, 6,Ｂロｰドアリエス, 84,鮫島良, 1.3, 85,  13,  -1, 7, 18.4,④⑩⑭
,,,,,,,,,,,,,,,,,,,,,,,,12, 2,Ｋコンスヴァｰル, 58,福永祐, 1.1, 60,  -5,  -3, 2,  7.0, ⑥⑦,12, 4,Ｒメイショウクオリア, 71,角田晃, 1.4, 83,  13,  -2,12, 25.6,⑩⑩⑯
,,,,,,,,,,,,,,,,,,,,,,,,13, 4,Ｎプリティマリ, 48,渡辺薫, 1.3, 58,*  3, -15,14,157.2, ①①,13,17,Ｋダイシンプラン, 80,安藤勝, 1.6, 81,  13,  -3,13, 26.7,⑱⑬⑦
,,,,,,,,,,,,,,,,,,,,,,,,14,14,Ｄテイエムプレストン, 63,武幸四, 4.1, 27,  -3, -45,13, 89.1, ④⑦,14,13,Ｏシゲルフセルト, 77,川島信, 2.0, 78,* 15, -14,14, 28.7,⑥④⑦
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,11,Ｇミッキｰチアフル, 81,幸英明, 2.2, 77,* 14, -18,10, 23.4,⑧⑥②
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,10,Ｊスマイルジャック, 80,小牧太, 3.2, 71,* 16, -36, 3,  7.8,③②①
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17, 3,Ｅアグネススタｰチ, 83,赤木高, 3.7, 69,* 16, -44,11, 25.0,②①②
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18, 2,Ｌノットアロｰン, 80,横山典, 6.6, 30,  13, -77, 6, 13.0,①⑥⑭
