08年 8月31日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 8月31日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 4R  芝1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■10R  ダ1700m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,11,10,Ｂアグネスグリッタｰ, 62,吉田隼, 1.4, 53,  -2, -12, 5, 13.6,③⑥⑥,12, 4,Ｐナイアガラ, 57,鮫島克, 1.3, 67,   9,  -1, 6, 13.4,④④⑤
,,,,,,,,,,,,,,,,,,,,,,,,13, 2,Ｍメイショウリンドウ, 43,渡辺薫, 1.5, 54,  -3, -10,12,170.3,⑩⑩⑩,13, 7,Ｆロケットシュｰト, 77,藤岡康, 1.4, 68,   7,   1, 4,  5.8,⑤⑦⑧
,,,,,,,,,,,,,,,,,,,,,,,,14,15,Ｎシルキｰハヤテ, 43,中村将, 1.5, 54,  -3, -10,11,139.2,⑦⑩⑬,14, 2,Ｃエイシンヴァイデン, 79,石橋守, 1.5, 67,* 10,  -4, 3,  5.1,③③②
,,,,,,,,,,,,,,,,,,,,,,,,15,11,Ｉリリイメイド, 52,田辺裕, 1.6, 53,  -4, -10,10,115.7,⑬⑬⑬,15, 5,Ｇスティリスタ, 77,吉田隼, 1.5, 66,   8,  -2, 7, 14.2,⑤④⑥
,,,,,,,,,,,,,,,,,,,,,,,,16, 4,Ｏスリｰメガトン, 42,鮫島克, 1.7, 51,  -5, -11,15,342.4,⑮⑮⑬,16,13,Ｈトラベルシチｰ, 76,白浜雄, 2.0, 63,   5,  -1,13, 51.3,⑭⑬⑫
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:稍重(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:+5 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:64 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:稍重(指数:-5),,,,,,,,,,,
単勝:140円 複勝:06=110円 05=280円 09=200円 枠連:830円,,,,,,,,,,,,"単勝:2,100円 複勝:04=420円 03=180円 01=290円 枠連:2,820円",,,,,,,,,,,,単勝:170円 複勝:13=110円 08=650円 03=150円 枠連:990円,,,,,,,,,,,,"単勝:500円 複勝:11=210円 03=390円 10=470円 枠連:2,360円",,,,,,,,,,,
馬連:820円 ワイド:05-06=320円 06-09=220円 05-09=840円,,,,,,,,,,,,"馬連:2,790円 ワイド:03-04=1,080円 01-04=1,490円 01-03=700円",,,,,,,,,,,,"馬連:3,730円 ワイド:08-13=1,340円 03-13=220円 03-08=2,180円",,,,,,,,,,,,"馬連:4,950円 ワイド:03-11=1,370円 10-11=2,060円 03-10=4,390円",,,,,,,,,,,
"馬単:1,140円 3連複:1,460円 3連単:4,380円",,,,,,,,,,,,"馬単:7,290円 3連複:7,140円 3連単:54,840円",,,,,,,,,,,,"馬単:4,350円 3連複:4,780円 3連単:26,060円",,,,,,,,,,,,"馬単:9,280円 3連複:38,160円 3連単:212,040円",,,,,,,,,,,
■ 2R  芝2600m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■ 5R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■ 8R  ダ1000m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-12,,,,,■11R  芝1200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,別府特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,13,Ｄシゲルアンビシャス, 60,中村将,, 66,  -3,* 19, 6, 15.1,⑯⑭⑪, 1,11,Ａマチカネオイカゼ, 76,藤岡康,, 71,*  1,*  8, 1,  1.8,②②②, 1, 2,Ｈインディゴラヴ, 65,藤岡康,, 70,*  4,*  6,11,107.0, ①①, 1, 1,Ｅマッキｰバクシン, 71,野元昭,, 77,* 11,   0, 7, 14.4, ①①
 2,11,Ａアマノスパイダｰ, 72,浜中俊, 0.2, 61,   0,   5, 1,  2.9,⑨④④, 2,10,Ｃカシノシンケン, 65,田中克, 0.8, 66,*  2,*  1, 2,  5.3,①①①, 2, 1,Ａシュウボンバｰ, 70,上村洋, 0.2, 68,  -2,*  8, 2,  8.2, ③③, 2,10,Ｉエムテイコウテン, 67,安藤光, 0.2, 74,  -3,* 10,14, 86.7, ⑤④
 3,12,Ｂハイアベレｰジ, 61,角田晃, 0.4, 58,*  1,   0, 4,  8.0,③②②, 3,16,Ｂジエクストリｰム, 68,小牧太, 1.5, 58,*  1,  -3, 4,  7.5,③③③, 3,14,Ｇドラゴンホｰラｰ, 66,川島信, 0.8, 60,  -4,   4, 7, 44.9, ⑦⑦, 3, 4,Ａユメイッポ, 78,鮫島良, 0.4, 71,*  6,  -2, 3,  4.8, ②②
 4, 3,Ｋディベイタｰ, 50,太宰啓, 0.5, 58,  -2,   5,13,138.6,⑪⑧⑥, 4, 4,Ｈカワキタフウジン, 54,武豊  , 1.8, 56,   0,  -4, 5, 17.9,④④④, 4,10,Ｍスノｰアｰド, 53,田村太, 0.8, 61,  -2,   3,14,348.0, ③④, 4, 9,Ｈマイネルプルｰト, 67,太宰啓, 0.5, 71,  -7,* 10, 6, 13.7, ⑧⑧
 5,14,Ｍピｰスオブホｰプ, 47,上村洋, 0.7, 54,*  1,  -5,12, 69.9,①①①, 5,15,Ｄミスタｰマンデラ, 62,渡辺薫, 2.0, 57,  -3,   0, 6, 25.1,⑪⑩⑩, 5,13,Ｆシゲルスペランツァ, 66,中村将, 0.9, 59,  -1,   2, 8, 62.0, ③④, 5, 3,Ｂナリタスパｰク, 71,渡辺薫, 0.5, 72, -17,* 19, 2,  4.7, ⑮⑭
 6, 4,Ｇメルシｰモンサン, 58,小牧太, 0.7, 55,   0,  -1, 7, 18.3,⑥④⑤, 6, 2,Ｆメイショウオオマ, 59,浜中俊, 2.0, 56,  -1,  -3, 7, 32.3,⑥⑥⑤, 6, 9,Ｂフォレストジャガｰ, 69,浜中俊, 0.9, 61,*  4,  -2,10, 88.1, ②②, 6,18,Ｄクロズキン, 71,武豊  , 0.8, 66,  -9,   7, 1,  3.5, ⑩⑧
 7,16,Ｉアグネスファントム, 57,吉田隼, 0.7, 55,  -2,   2, 3,  5.2,⑭⑧⑥, 7, 7,Ｊスズカワイルド, 52,真島正, 2.1, 56,  -2,  -3,12,212.2,⑨⑦⑦, 7, 8,Ｃカシノカスケｰド, 69,鮫島克, 1.1, 57,  -7,   4, 4,  8.9, ⑧⑦, 7, 6,Ｋスタｰオブジャンプ, 66,真島正, 0.8, 66,  -3,   2, 9, 35.9, ⑤④
 8, 8,Ｊトップオブクロフネ, 51,田村太, 1.4, 48,  -2,  -8,14,148.4,⑫⑧⑩, 8,12,Ｍダンツキッシン, 48,田村太, 3.2, 49,  -4,  -9,16,319.8,⑪⑪⑩, 8, 4,Ｅスタｰアイル, 68,小牧太, 1.3, 53, -12,   4, 1,  1.5, ⑪⑩, 8, 8,Ｆブルｰアｰス, 68,吉田隼, 0.9, 64,*  3,  -6, 4,  8.6, ③③
 9, 1, ミッキｰウィスパｰ,---,川島信, 1.6, 46,  -3,  -5,11, 53.9,⑭⑭⑯, 9, 3,Ｎダイレクトシチｰ, 40,田中健, 3.2, 50,  -2, -12,13,212.9,⑦⑦⑦, 9,11,Ｉニシノヴァネッサ, 64,酒井学, 1.3, 55,  -7,   2, 5, 11.2, ⑧⑨, 9, 5,Ｊライフストリｰム, 66,石橋守, 0.9, 65, -10,   7, 8, 16.2, ⑩⑪
10, 5,Ｆシｰシャトｰ, 60,安藤光, 1.6, 48,  -2,  -7, 8, 26.1,⑨⑬⑪,10, 1,Ｏピュアリップス, 33,生野賢, 3.3, 47,   0, -15,14,277.5,④④⑤,10,12,Ｄトキノムテキ, 68,熊沢重, 1.4, 55,  -2,  -3, 6, 33.2, ③④,10,15,Ｑシルクイシュタｰル, 58,浜中俊, 0.9, 66, -10,   8,11, 69.3, ⑩⑪
11, 2,Ｌトップオブオペラ, 49,小坂忠, 1.8, 47,  -3,  -6,16,196.0,⑫⑭⑮,11, 6,Ｋリュウシンボｰイ, 49,太宰啓, 3.8, 43,  -6, -10, 9, 89.4,⑪⑭⑭,11, 6,Ｎネヴァｰロック, 39,鮫島良, 1.6, 51, -12,   2, 9, 68.8, ⑪⑩,11,12,Ｃフサイチサガントス, 71,鮫島克, 1.0, 63,  -6,   2, 5, 10.3, ⑧⑧
12,10,Ｈスペシャルウイング, 57,岩崎祐, 2.0, 44,*  2, -22, 9, 41.7,②②②,12, 8,Ｇフルコンプリｰト, 55,岩部純, 4.1, 42,  -2, -19, 3,  6.5,⑭⑦⑦,12, 3,Ｊブルｰラヴ, 64,武豊  , 1.7, 49, -19,   6, 3,  8.4, ⑭⑭,12,14,Ｏタニノバロン, 61,上村洋, 1.2, 61,   1,  -7,10, 37.6, ④④
13, 6,Ｎエトワｰルブラン, 47,生野賢, 2.0, 43,  -2, -16,10, 50.8,⑥⑧⑪,13, 5,Ｉダンスワイズ, 54,鮫島克, 4.3, 41,  -5, -16,10,109.7,⑭⑬⑫,13, 5,Ｋサンレイアイシング, 64,岩崎祐, 1.8, 49,  -9,  -2,12,144.3, ⑧⑩,13,11,Ｒスプリングピット, 55,田辺裕, 1.2, 61, -13,   6,17,147.6, ⑭⑭
14, 7,Ｏスナｰクキャプテン, 46,田中克, 2.1, 44,  -1, -17,15,176.7,④⑧⑪,14, 9,Ｌワンダｰホｰマ, 48,大下智, 4.3, 43,  -4, -18,15,301.9,⑨⑪⑫,14, 7,Ｌエイユｰパッション, 57,太宰啓, 1.9, 47, -12,  -1,13,222.0, ⑪⑩,14, 2,Ｎセフティｰフリｰズ, 62,高野容, 1.3, 59,  -5,  -3,15,130.4, ⑦④
15, 9,Ｃユグドラシル, 61,武豊  , 2.1, 44,   0, -20, 2,  4.5,④④⑥,15,13, ロｰレルミッション,---,上村洋, 6.1, 31,  -6, -30,11,129.8,⑭⑭⑮,,,,,,,,,,,,,15,16,Ｍコウエイバッカス, 63,小牧太, 1.3, 60, -18,* 10,12, 69.6, ⑱⑰
16,15,Ｅメイケイパッション, 60,田嶋翔, 2.1, 43,   0, -20, 5,  8.5,⑥④⑥,,,,,,,,,,,,,,,,,,,,,,,,,16,17,Ｇマチカネコウバイ, 68,藤岡康, 1.5, 56, -15,   5,13, 83.8, ⑮⑯
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,13,Ｌスプリングプラハ, 66,田中健, 1.9, 51, -10,  -6,18,160.2, ⑩⑪
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18, 7,Ｐテイエムセッペトベ, 58,中村将, 2.2, 48, -16,  -3,16,146.5, ⑮⑱
ｸﾗｽ上位平均:64 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:稍重(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:-8 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:稍重(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:75 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:0),,,,,,,,,,,
"単勝:1,510円 複勝:13=340円 11=140円 12=240円 枠連:1,520円",,,,,,,,,,,,単勝:180円 複勝:11=110円 10=140円 16=150円 枠連:470円,,,,,,,,,,,,"単勝:10,700円 複勝:02=2,030円 01=310円 14=1,170円 枠連:10,460円",,,,,,,,,,,,"単勝:1,440円 複勝:01=380円 10=1,320円 04=230円 枠連:7,230円",,,,,,,,,,,
"馬連:2,450円 ワイド:11-13=770円 12-13=2,100円 11-12=330円",,,,,,,,,,,,馬連:490円 ワイド:10-11=200円 11-16=280円 10-16=400円,,,,,,,,,,,,"馬連:18,740円 ワイド:01-02=4,930円 02-14=14,770円 01-14=2,550円",,,,,,,,,,,,"馬連:33,910円 ワイド:01-10=7,850円 01-04=1,120円 04-10=5,110円",,,,,,,,,,,
"馬単:7,010円 3連複:4,620円 3連単:45,390円",,,,,,,,,,,,"馬単:800円 3連複:810円 3連単:2,710円",,,,,,,,,,,,"馬単:54,820円 3連複:162,790円 3連単:1,409,050円",,,,,,,,,,,,"馬単:62,580円 3連複:61,540円 3連単:524,200円",,,,,,,,,,,
■ 3R  芝2900m 3歳上未勝利 定量,,,,,,,,,,,,■ 6R  芝1200m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■ 9R  芝2000m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■12R  ダ1700m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,筑後川特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 3, インカム,,菊地昇,,,,, 1,  1.6,①①①, 1,18,Ａランラン, 64,小牧太,, 66,  -3,* 11, 1,  2.4, ⑨⑦, 1, 4,Ａテイエムアンコｰル, 75,武豊  ,, 85,  -4,* 26, 1,  1.4,⑥⑥④, 1,11,Ａツルマルビビッド, 79,上村洋,, 76,   3,* 16, 2,  4.8,⑪⑧⑤
 2,10, ニホンピロファイブ,,熊沢重,190.6,,,, 2,  3.2,②②②, 2, 3,Ｋハギノハｰセルフ, 51,吉田隼, 0.2, 63,*  7,  -2, 2,  6.3, ①①, 2, 1,Ｂディビデンド, 72,吉田隼, 0.2, 76,* -3,  17, 3,  8.8,①①①, 2,10,Ｄグランプリサクセス, 73,小牧太, 0.2, 71,*  5,  11, 7, 14.7,⑦②②
 3, 5, ファンドリゲット,,出津孝,191.9,,,, 3,  9.2,④③③, 3,10,Ｂトウカイメリッサ, 63,酒井学, 0.3, 62,  -6,* 10, 3,  7.0, ⑪⑩, 3,11,Ｆトミケンプライム, 66,浜中俊, 0.6, 78,* -1,  16, 4, 13.5,④③③, 3, 2,Ｉチャｰムナデシコ, 69,渡辺薫, 0.3, 71,   3,* 12, 9, 20.7,③⑤④
 4, 6, テイエムヨカオゴ,,佐久間,192.1,,,,10,124.9,⑤④④, 4,13,Ｃマッキｰエヴァ, 62,野元昭, 0.3, 63,*  4,   1, 4,  7.1, ③③, 4, 2,Ｄカネトシソレイユ, 69,渡辺薫, 0.7, 77,  -7,  20, 2,  7.2,⑨⑨⑦, 4,13,Ｅスリｰベイダｰ, 71,太宰啓, 0.4, 69,*  5,   9, 6, 12.0,②②③
 5, 2, カシノマイハｰト,,宇田登,195.8,,,, 9,109.0,⑦⑥⑥, 5,12,Ｇホクザンヴィアンド, 54,川島信, 0.4, 60,   0,   4,15,185.5, ⑤⑤, 5,12,Ｈエイシンテンライ, 65,野元昭, 0.8, 70,* -2,  10, 9, 55.3,②②②, 5,16,Ｏタガノタイムピｰス, 60,吉田隼, 0.4, 69,*  5,   7, 1,  4.1,①①①
 6, 7, ホウライナポレオン,,南井大,195.9,,,, 5, 20.4,③⑤⑤, 6,11,Ｈキセキメロディｰ, 54,浜中俊, 0.5, 61,*  3,  -2, 6, 18.5, ③③, 6, 8,Ｅヒミノクリミナル, 67,菊地昇, 1.0, 74,  -8,  20,11,182.7,⑪⑪⑫, 6, 6,Ｂメイショウコレット, 74,田中健, 0.9, 69,   3,   7, 4,  7.4,⑥⑤⑧
 7, 1, シュプリｰムロｰズ,,今村康,195.9,,,, 7, 61.3,⑧⑧⑧, 7, 9,Ｄムｰヴ, 60,大下智, 0.7, 57,  -2,   1, 8, 23.2, ⑧⑦, 7, 9,Ｇセイカジｰベック, 66,石橋守, 1.0, 73,  -6,  16, 6, 19.5,⑨⑨⑦, 7,14,Ｌジェネロｰゾ, 67,浜中俊, 1.1, 64,*  4,   3,11, 31.2,③④⑤
 8, 9, リチャｰドバロｰズ,,林満明,196.1,,,, 8,101.0,⑨⑨⑨, 8, 1,Ｆホッカイシｰラ, 57,鮫島良, 0.9, 55,   1,  -4, 5, 10.2, ⑤⑤, 8, 3,Ｃシゲルアサンテサナ, 69,中村将, 1.0, 76,  -7,  21, 7, 28.8,⑫⑪⑩, 8, 9,Ｃタイインテンスリｰ, 73,安藤光, 1.3, 64,   1,   8, 5, 10.1,⑨⑬⑫
 9, 8, カシノオウジャ,,高野容,196.2,,,, 4, 19.2,⑨⑩⑩, 9, 6,Ｅハｰトランドノリカ, 59,藤岡康, 1.0, 53,*  6, -11,11, 30.6, ②②, 9, 5,Ｌマｰキュリｰ, 51,大下智, 1.2, 68,  -5,  11,12,183.2,⑥⑥⑩, 9, 3,Ｋアグネスリュウ, 69,田村太, 1.3, 64,   2,   5,16,157.7,⑫⑧⑨
10, 4, スズカヘイロｰ,,北沢伸,196.4,,,, 6, 25.2,⑥⑦⑦,10, 7,Ｊテンジンウメノハナ, 51,岩部純, 1.1, 52,  -1,  -6,10, 27.8, ⑤⑦,10, 7,Ｉスプリングニｰス, 63,鮫島良, 1.4, 65,  -4,   5, 5, 14.5,④④④,10,15,Ｆアイファｰドラゴン, 71,野元昭, 1.5, 63,   1,   6,13, 48.9,⑭⑬⑪
,,,,,,,,,,,,11, 8,Ｌプリックアップ, 43,鮫島克, 1.2, 51,  -6,  -1, 9, 26.2, ⑪⑩,11,10,Ｋテイケイプリオｰル, 60,小牧太, 1.5, 64,  -5,   6, 8, 50.6,⑥⑥⑦,11, 1,Ｊワイルドライフ, 69,藤岡康, 1.7, 62,   3,   0,12, 37.7,⑯⑤⑤
,,,,,,,,,,,,12,17,Ｉテンザンスセリ, 51,田村太, 1.4, 48,  -5,  -6,17,283.6, ⑩⑫,12, 6,Ｊフィｰルドグランデ, 63,田中克, 1.6, 62,  -4,   2,10, 71.3,③④⑥,12, 5,Ｐマサヤマト, 59,武豊  , 1.8, 59,   2,   1, 3,  6.4,⑦⑧⑨
,,,,,,,,,,,,13,14, グレｰスチャｰチ,---,金折知, 1.4, 48, -11,   1,12, 45.3, ⑯⑯,,,,,,,,,,,,,13, 8,Ｇシンゼンシンノスケ, 70,飯田祐, 1.9, 59,   1,   3, 8, 17.4,⑨⑬⑮
,,,,,,,,,,,,14, 4,Ｎトウカイベガ, 39,田中健, 1.6, 45,  -7,  -6,13,141.8, ⑪⑬,,,,,,,,,,,,,14, 7,Ｎフジノアリオン, 63,川島信, 2.2, 57,   0,   2,10, 26.0,⑫⑯⑫
,,,,,,,,,,,,15,16,Ｍワンダｰアチｰブ, 41,石橋守, 1.6, 45, -12,  -2,14,155.9, ⑯⑬,,,,,,,,,,,,,15, 4,Ｈシゲルカイノセ, 70,中村将, 3.6, 46,   1, -14,15, 55.1,⑮⑧⑭
,,,,,,,,,,,,16,15,Ｏノヴェナ, 38,太宰啓, 2.3, 37,  -7, -14,18,291.5, ⑪⑬,,,,,,,,,,,,,16,12,Ｍウイニングコウイチ, 66,石橋守, 3.7, 48,   2, -15,14, 54.5,③⑧⑮
,,,,,,,,,,,,17, 2, キャロル,---,武豊  , 2.5, 34, -37,* 12, 7, 20.7, ⑱⑱,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,18, 5,Ｐリッカエスケｰプ, 26,安藤光, 2.8, 30,  -8, -19,16,210.4, ⑮⑰,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:-0 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:75 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:+9 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:稍重(指数:-5),,,,,,,,,,,
