08年 7月26日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 7月26日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1000m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■ 4R  芝1200m 2 歳新馬(牝) 馬齢,,,,,,,,,,,,■ 7R  芝1700m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■10R  芝1200m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-5,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,,,,,,,,,,,,,西日本ｽﾎﾟｰﾂ杯,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
■ 2R  芝2600m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 5R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 8R  芝1200m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■11R  ダ1700m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-6,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,指宿特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 9,Ｂサムズアップ, 66,鮫島良,, 79,* 12,*  4, 2,  2.9,⑧②①, 1, 2,Ｃアルトップラン, 62,岩田康,, 71,*  1,*  9, 1,  2.6,⑩①①, 1, 9,Ｉマルタｰズロビン, 64,浜中俊,, 75,  -8,* 18, 7, 14.8, ⑭⑪, 1,15,Ｌロケットシュｰト, 56,藤岡康,, 73,* -1,* 16, 6, 23.8,③②②
 2, 5,Ｈアマノスパイダｰ, 56,浜中俊, 0.8, 73,* 13, -10, 5, 13.9,⑦①②, 2, 8,Ｅマチカネオイカゼ, 58,藤岡康, 0.1, 71,* -1,* 11, 4,  7.9,②②②, 2, 4,Ａメラトニン, 73,藤岡康, 0.0, 74,* 10,   1, 1,  2.9, ①①, 2, 6,Ｂパｰプルアカデミｰ, 79,岩田康, 0.3, 71,  -1,* 15, 1,  2.8,③④④
 3, 6,Ｉハイアベレｰジ, 49,川田将, 0.9, 71,* 13,* -7, 7, 20.9,②③③, 3,10,Ｂカシノマルス, 65,高野容, 1.6, 60,  -3,   1, 2,  3.5,⑤⑤④, 3, 8,Ｋコアレスリｰヴァ, 63,小牧太, 0.1, 74,*  9,   1, 8, 24.4, ②②, 3, 1,Ｃタガノアッシュ, 76,赤木高, 0.4, 70,  -1,* 15, 2,  3.8,⑥④④
 4,10,Ｅタイキマドロス, 57,赤木高, 1.9, 64,  11, -15, 4,  9.2,⑫⑥④, 4,14,Ｆヴェンダバｰル, 58,芹沢純, 1.7, 59,  -2,  -1, 5, 14.2,⑤④③, 4, 7,Ｄクロズキン, 70,幸英明, 0.1, 73,   2,   7, 4, 10.1, ⑤④, 4,10,Ｉヨクバリ, 67,太宰啓, 0.6, 68,  -4,* 17,11, 85.9,⑬⑪⑨
 5, 3,Ｆメルシｰモンサン, 57,小坂忠, 2.0, 62,* 12, -23,10, 35.8,⑩③④, 5,16,Ａスマｰトレイズ, 67,鮫島良, 2.1, 58,  -5,   0, 3,  4.2,⑪⑨⑥, 5,13,Ｊマイネルプルｰト, 64,太宰啓, 0.2, 73,  -3,  11, 6, 14.6, ⑩⑦, 5, 3,Ａメイショウエンジン, 80,浜中俊, 0.9, 66,  -3,  12, 4,  6.1,⑧⑦⑧
 6, 7,Ｊウォｰタｰゲイザｰ, 49,小牧太, 2.2, 61,   9, -17, 9, 35.7,⑩⑨⑦, 6, 4,Ｋムｰンワルツ, 33,渡辺薫, 2.5, 54,* -1,  -8, 9, 77.5,①②⑤, 6, 2,Ｆシティボス, 67,佐藤哲, 0.3, 70, -10,* 17,10, 25.4, ⑮⑭, 6, 2,Ｄユウキタイティ, 71,幸英明, 0.9, 67,  -3,  13, 5, 22.0,⑩⑦⑦
 7, 2,Ｇシルクロｰリット, 57,上村洋, 2.2, 61,  11, -21, 8, 34.4,⑧⑥④, 7, 9,Ｇモルフェサイレンス, 55,岩部純, 2.6, 55,  -7,   1,12,169.5,⑭⑫⑪, 7,11,Ｂメイカ, 72,田中健, 0.5, 68,   6,  -2, 2,  5.3, ③④, 7, 5,Ｍトウショウクエスト, 52,中村将, 1.1, 63,*  0,   6, 9, 56.6,①①①
