08年10月18日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年10月18日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1600m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■ 4R  ダ1300m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝2400m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■10R  ダ1600m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,
 9,14,Ｌスペｰスシャトル, 36,石橋脩, 3.2, 38, -10, -12,13,161.1, ⑨⑥, 9,11, ブレイクショット,---,村田一, 1.6, 39,  -9, -17, 7, 21.0, ⑨⑦, 9,12,Ｊエアクラマン, 68,大野拓, 1.7, 66,   8, -16,11,127.1,⑬⑪⑪, 9,14,Ｆナムラクック, 80,勝浦正, 1.8, 78,   5,   8,11, 58.9, ⑮⑭
10, 5,Ｋジェットスパｰクル, 37,三浦皇, 3.6, 34, -10, -16, 5,  9.1, ⑤⑥,10, 7, ミラクルリベロ,---,丹内祐, 1.6, 37, -11, -14,10, 69.3, ⑩⑩,10, 4,Ｌシルクプログレス, 65,宮崎北, 1.9, 65,   4,  -4, 9, 69.0,⑨⑬⑬,10, 3,Ｋコンプレッソ, 79,石橋脩, 1.9, 76,   5,   8,10, 49.5, ⑬⑭
11,16,Ｐコアレスフラッシュ, 27,小林淳, 3.6, 37, -16,  -7,16,323.7, ⑭⑭,11, 2, ダイワエモｰション,---,北村宏, 2.6, 29, -21, -13,13,146.4, ⑫⑫,11, 9,Ｃシンセサイザｰ, 73,的場勇, 1.9, 63,* 13, -37, 6, 19.0,③③③,11, 6,Ｉボｰナスフィｰバｰ, 80,横山典, 2.0, 74,   3,* 11, 8, 25.9, ⑯⑯
12, 4,Ｆマイネルサｰブル, 43,津村明, 3.6, 35, -12, -13,11,103.7, ⑨⑩,12, 3, ニｰナ,---,大野拓, 2.6, 30,  -9, -26, 8, 36.9, ⑤⑦,12, 6,Ｋモンテフェニックス, 68,田辺裕, 2.0, 63,  10, -27,10, 71.7,⑩⑨⑨,12,11,Ｎザシｰクレット, 74,吉田隼, 2.1, 72,* 14,  -9, 5,  8.3, ②②
13, 7,Ｏコスモボｰキサイト, 29,柴山雄, 4.0, 37, -19,  -6, 8, 44.5, ⑯⑯,13, 5, インタｰアリオス,---,大庭和, 4.1, 20, -21, -26,11, 92.2, ⑫⑫,13,11,Ｄフサイチルネサンス, 73,丸田恭, 2.2, 61,* 13, -42, 5, 12.4,③③③,13, 4,Ｈマルタｰズマッシブ, 80,後藤浩, 3.0, 65,* 14, -17, 9, 29.2, ①①
14, 6,Ｎサイレントボス, 33,千葉直, 4.0, 31,* -9, -21,14,242.2, ②③,,,,,,,,,,,,,,,,,,,,,,,,,14,16,Ｌサニｰネイティブ, 78,江田照, 3.4, 64,   9, -12,16,215.7, ⑦⑦
15,13,Ｍコンセプシオン, 34,佐藤聖, 4.2, 31, -18,  -8,15,283.4, ⑭⑮,,,,,,,,,,,,,,,,,,,,,,,,,15, 1,Ｅスタｰフォワｰド, 81,吉田豊, 4.1, 60,   5, -12,14,105.0, ⑨⑫
16, 1,Ｅコスモホｰクアイ, 46,吉田隼, 4.4, 31, -14, -15,10, 76.5, ⑫⑬,,,,,,,,,,,,,,,,,,,,,,,,,16, 9,Ｐエｰソングフォｰ, 70,川田将, 4.4, 57,   6, -16,13, 84.5, ⑫⑩
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:59 ﾚｰｽﾍﾟｰｽ指数:-11 ﾚｰｽｱｶﾞﾘ指数:+7 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:-10 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:-10 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:85 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:良(指数:-2),,,,,,,,,,,
"単勝:520円 複勝:09=160円 10=170円 03=110円 枠連:2,260円",,,,,,,,,,,,単勝:640円 複勝:06=160円 08=140円 10=120円 枠連:820円,,,,,,,,,,,,"単勝:1,040円 複勝:10=280円 07=310円 13=370円 枠連:1,570円",,,,,,,,,,,,"単勝:420円 複勝:13=180円 12=590円 15=210円 枠連:1,250円",,,,,,,,,,,
"馬連:2,120円 ワイド:09-10=580円 03-09=260円 03-10=260円",,,,,,,,,,,,"馬連:1,080円 ワイド:06-08=420円 06-10=440円 08-10=210円",,,,,,,,,,,,"馬連:2,630円 ワイド:07-10=790円 10-13=1,680円 07-13=1,910円",,,,,,,,,,,,"馬連:5,100円 ワイド:12-13=1,750円 13-15=530円 12-15=1,950円",,,,,,,,,,,
"馬単:3,220円 3連複:1,100円 3連単:11,560円",,,,,,,,,,,,"馬単:2,500円 3連複:1,100円 3連単:7,700円",,,,,,,,,,,,"馬単:6,390円 3連複:12,870円 3連単:77,260円",,,,,,,,,,,,"馬単:7,380円 3連複:9,130円 3連単:49,970円",,,,,,,,,,,
■ 2R  芝1400m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-16,,,,,■ 5R  ダ1600m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 8R  芝1600m 3歳上1000万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■11R  芝2000m 3歳上ｵｰﾌﾟﾝ(国) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ｱｲﾙﾗﾝﾄﾞT,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,11,Ａツｰデイズノｰチス, 62,松岡正,, 54, -22,*  7, 1,  1.7, ⑪⑨, 1, 9,Ｆグラマトフィラム, 70,勝浦正,, 75,   5,*  5, 9, 20.9, ⑪⑩, 1, 4,Ｂアスクデピュティ, 78,内田博,, 82,  -1,* 20, 2,  4.8, ⑩⑩, 1, 8,Ａオペラブラｰボ, 91,横山典,, 96,   8,* 28, 1,  2.1,⑦⑦⑦
 2,12,Ｂマイネアリス, 51,柴山雄, 0.2, 51, -18,   1, 2,  6.2, ⑥⑤, 2,13,Ｇニコニコママ, 69,北村宏, 0.1, 72,  10,  -3, 1,  3.8, ⑤③, 2,11,Ｆミスティックリバｰ, 75,柴田善, 0.0, 81,   3,  12, 7, 17.5, ⑥⑤, 2, 6,Ｂトウショウシロッコ, 91,吉田豊, 0.2, 92,   9,  21, 2,  5.2,⑤⑤⑤
 3, 6,Ｌファイナルラップ, 24,横山典, 0.3, 48, -18,  -2, 4,  7.7, ④④, 3,10,Ａヤマニンピボワンヌ, 77,伊藤工, 0.2, 73,   4,*  6, 3,  4.9, ⑭⑭, 3, 3,Ａプジュリ, 80,松岡正, 0.2, 79,   2,  12, 8, 19.8, ⑦⑦, 3,12,Ｌダブルティンパニｰ, 80,藤田伸, 0.6, 86,  10,  12, 8, 36.6,④④③
 4, 4,Ｆスペック, 44,柴田善, 0.3, 53, -25,*  9, 5,  9.9, ⑭⑫, 4, 6,Ｋネイチャｰトレイル, 65,千葉直, 0.4, 70,   7,  -1,14,155.8, ⑧⑧, 4, 1,Ｉリビアｰモ, 73,勝浦正, 0.2, 81,  -1,* 17, 1,  2.4, ⑫⑩, 4, 1,Ｆコスモプラチナ, 83,石橋脩, 0.7, 83,* 17,  -7, 6, 25.0,①①①
 5,14,Ｄユウキハングリｰ, 49,郷原洋, 0.4, 46,*-15,  -6, 3,  7.3, ②②, 5, 8,Ｂカラベルラティｰナ, 74,松岡正, 0.8, 69,* 11, -11, 2,  4.3, ②②, 5, 8,Ｋハイカックウ, 70,吉田豊, 0.3, 77,   3,   8, 5,  8.4, ⑤⑤, 5,10,Ｄアドマイヤメイン, 87,川田将, 0.9, 85,   6,  18, 4,  8.6,⑨⑨⑨
 6, 5,Ｈフリｰソウル, 39,小林久, 0.5, 47, -22,   1,12,108.3, ⑦⑨, 6, 7,Ｍオリヒメチャｰム, 61,柴田善, 0.8, 68,   8,  -6,10, 45.4, ⑦⑥, 6,12,Ｃサンクスノｰト, 77,藤田伸, 0.5, 75,   1,   8, 6,  9.5, ⑦⑦, 6,11,Ｈスクｰルボｰイ, 82,木幡初, 0.9, 89,   3,* 25,15,219.3,⑭⑮⑮
 7, 7,Ｃノボパガｰレ, 50,大庭和, 0.6, 41,*-15, -10,10, 81.0, ①①, 7, 4,Ｃグッドチョイス, 73,吉田豊, 0.8, 70,   4,   1, 6, 11.9, ⑭⑭, 7, 6,Ｊライフブリｰズ, 72,丸田恭, 0.7, 73,  -1,   9,10, 70.0, ⑩⑩, 7,15,Ｃマイネルキッツ, 88,松岡正, 1.0, 83,   7,  12, 3,  5.2,⑦⑦⑦
 8,10,Ｇカンファｰリｰド, 40,吉田隼, 0.7, 42,*-15, -10, 6, 25.9, ②②, 8, 5,Ｉルｰトファイブ, 67,田中博, 1.0, 67,   4,  -2,11, 57.6, ⑪⑪, 8, 7,Ｅスｰパｰウｰマン, 75,吉田隼, 0.8, 68,*  9, -10, 4,  8.1, ①②, 8, 7,Ｅブラックアルタイル, 84,吉田隼, 1.1, 85,   3,  21, 7, 34.8,⑭⑭⑭
 9, 3,Ｋヒノマルクン, 30,内田博, 0.8, 47, -28,*  6, 8, 54.0, ⑮⑮, 9,11,Ｈニシノキンレンポ, 68,木幡初, 1.2, 64,   7,  -8,12,131.9, ⑧⑧, 9, 5,Ｄフランシｰル, 75,横山典, 0.8, 68,* 10, -11, 3,  7.7, ②①, 9, 4,Ｉブラックカフェ, 81,柴田善, 1.2, 83,   6,  15,14,172.6,⑬⑪⑫
10, 2,Ｅアｰトオブワｰルド, 45,小林淳, 1.0, 41, -20,  -7,11, 96.8, ⑦⑧,10,15,Ｄサニｰラブカフェ, 71,小島太, 1.3, 65,   4,  -5, 8, 20.0, ⑪⑪,10, 2,Ｌパｰプルカフェ, 65,小島太, 1.0, 67,   6,  -8,12,102.6, ③③,10,14,Ｋダイレクトキャッチ, 80,内田博, 1.3, 79,   9,   5, 5, 10.8,⑤⑤⑤
11,15,Ｊナイトムｰン, 34,丸田恭, 1.2, 36, -19, -13,14,251.9, ④⑤,11, 2,Ｅヒロアンジェロ, 71,吉田隼, 1.3, 64,  10, -13, 4,  6.9, ⑤⑤,11,10,Ｈチェルカ, 75,千葉直, 1.0, 69,   0,   2, 9, 57.9, ⑦⑦,11, 3, ドリｰムスカイ,---,今野忠, 1.6, 77,   6,   6,10, 92.4,⑨⑨⑨
12, 9,Ｎシングアゲン,  5,後藤浩, 1.2, 39, -24,  -4, 9, 61.4, ⑪⑫,12,14,Ｏオｰドリｰロｰズ, 55,丸田恭, 1.9, 60,   5, -11,16,253.8, ⑧⑪,12, 9,Ｇエイダイタカラブネ, 75,菊沢隆, 1.4, 61,   6, -14,11,100.7, ③③,12,13,Ｏテイエムプリキュア, 76,後藤浩, 1.7, 80,   0,  19,11, 96.8,⑯⑯⑯
13, 8,Ｉロｰドハロウィン, 36,今野忠, 1.4, 34, -19, -15,13,122.7, ⑦⑤,13, 1,Ｐマリｰザ, 45,黛弘人, 2.8, 56,   2, -14,15,196.6, ⑯⑯,,,,,,,,,,,,,13, 9,Ｍメイショウオウテ, 78,北村宏, 1.9, 75,   5,   8,12,134.1,⑪⑬⑬
14, 1,Ｍトｰセンメロディ, 13,小野次, 1.9, 31, -26, -11, 7, 42.6, ⑬⑭,14,12,Ｌプレンティフェスタ, 63,三浦皇, 3.2, 49,  10, -30, 5, 10.4, ②③,,,,,,,,,,,,,14, 2,Ｇバトルハｰトオｰ, 83,津村明, 2.0, 72,  10,  -7,16,310.3,③③③
15,13,Ｏミカエフェクト,  4,穂苅寿, 2.2, 25, -21, -21,15,393.6, ⑦⑨,15,16,Ｊクロｰスハｰモニｰ, 65,柴山雄, 3.8, 49,   8, -31,13,141.7, ④⑦,,,,,,,,,,,,,15, 5,Ｊヨイチサウス, 81,江田照, 2.3, 68,* 12, -15, 9, 38.7,②②②
,,,,,,,,,,,,16, 3,Ｎスズカエンジェル, 58,内田博, 4.5, 42,* 12, -44, 7, 14.2, ①①,,,,,,,,,,,,,16,16,Ｎドリｰミｰオペラ, 78,安藤光, 2.4, 71,   6,  -4,13,142.0,⑪⑪⑨
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:-13 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:71 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:-9 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:81 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:86 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:良(指数:-3),,,,,,,,,,,
単勝:170円 複勝:11=110円 12=150円 06=180円 枠連:380円,,,,,,,,,,,,"単勝:2,090円 複勝:09=460円 13=150円 10=180円 枠連:750円",,,,,,,,,,,,"単勝:480円 複勝:04=190円 11=450円 03=450円 枠連:1,420円",,,,,,,,,,,,単勝:210円 複勝:08=120円 06=140円 12=640円 枠連:480円,,,,,,,,,,,
馬連:480円 ワイド:11-12=220円 06-11=300円 06-12=640円,,,,,,,,,,,,"馬連:5,540円 ワイド:09-13=1,620円 09-10=1,890円 10-13=370円",,,,,,,,,,,,"馬連:3,490円 ワイド:04-11=1,070円 03-04=1,000円 03-11=2,240円",,,,,,,,,,,,"馬連:530円 ワイド:06-08=250円 08-12=1,450円 06-12=1,740円",,,,,,,,,,,
"馬単:660円 3連複:1,170円 3連単:3,480円",,,,,,,,,,,,"馬単:14,690円 3連複:8,870円 3連単:87,850円",,,,,,,,,,,,"馬単:5,150円 3連複:9,650円 3連単:47,760円",,,,,,,,,,,,"馬単:830円 3連複:6,710円 3連単:22,610円",,,,,,,,,,,
■ 3R  芝1800m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 6R  ダ1300m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-5,,,,,■ 9R  芝3300m 3歳上ｵｰﾌﾟﾝ(混) ﾊﾝﾃﾞ,,,,,,,,,,,,■12R  芝1800m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,東京ｵｰﾀﾑｼﾞｬﾝﾌﾟ,,,,,,,,,,,,昇仙峡特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,11,Ｂロイヤルロｰド, 58,後藤浩,, 61,* -6,  -4, 4,  7.5,②②②, 1,13,Ｄワンダｰポデリオ, 75,丸田恭,, 74,   1,* 19, 3,  5.9, ⑦⑥, 1, 1, タイキレｰザｰ,,横山義,,,,, 3, 12.4,⑤③②, 1, 3,Ｉブルｰマｰテル, 75,田中博,, 84,   9,* 12,11, 49.5,⑬⑪⑨
 2,14,Ａレッドシャドウ, 62,北村宏, 0.1, 63, -10,   3, 2,  4.5,⑧⑤⑤, 2,14,Ａソロソログランプリ, 81,三浦皇, 0.0, 73,*  6,* 13, 4,  7.9, ②②, 2, 5, ヴリル,,穂苅寿,216.9,,,, 2,  4.5,⑦③④, 2, 2,Ｂマイネルファルケ, 81,津村明, 0.1, 81,* 13,   2, 3,  7.3,②③③
 3, 1,Ｄニシノルｰファス, 52,内田博, 0.1, 66, -13,*  8, 3,  4.6,⑫⑩⑧, 3, 5,Ｂサラトガ, 79,内田博, 0.1, 72,*  6,  11, 1,  1.8, ①①, 3, 2, クルワザｰド,,田中剛,217.9,,,,10, 49.6,③⑦⑥, 3, 4,Ｄライトグランデュア, 79,内田博, 0.2, 79,  12,   2, 2,  4.1,⑤④④
 4, 6,Ｇクリノメダリスト, 47,柴山雄, 0.2, 66, -14,*  9, 8, 27.3,⑫⑬⑪, 4,12,Ｃオオヒメ, 78,藤田伸, 0.9, 65,   1,   9, 2,  5.9, ⑤⑤, 4, 6, バトルブレｰヴ,,菊地昇,218.5,,,, 1,  1.9,③②③, 4, 6,Ａクリムゾンベガ, 82,柴田善, 0.3, 80,   8,*  9, 1,  2.8,⑩⑪⑪
 5, 7,Ｃアルストリスタン, 55,三浦皇, 0.4, 58,  -9,  -6, 1,  2.6,④⑤③, 5, 6,Ｇエアシャムス, 68,後藤浩, 1.0, 65,   1,  10, 5, 14.2, ⑦⑥, 5,10, コスモラバンジン,,宗像徹,218.6,,,,12, 75.3,⑤⑥⑤, 5,11,Ｏアマミスウィフト, 70,千葉直, 0.5, 78,   8,   6,12, 73.3,⑦⑩⑪
 6, 9,Ｉコスモプリズム, 45,松岡正, 0.5, 64, -16,*  9, 5,  9.6,⑨⑫⑭, 6, 8,Ｉヒシマイスタｰ, 67,柴田善, 1.4, 62,   3,   4, 9, 98.0, ④④, 6, 7, ブラックレディ,,五十嵐,218.6,,,,11, 58.5,⑪⑩⑩, 6, 8,Ｑドレックセル, 69,安藤光, 0.5, 78,   6,*  9,15,178.1,⑬⑭⑭
 7, 2,Ｈコスモピグマン, 45,丸田恭, 0.7, 55, -10,  -6,11,170.6,⑨⑦⑤, 7,16,Ｅトｰホウカラブラン, 69,小野次, 1.7, 58,*  5,  -1,12,144.7, ②②, 7, 3, テイエムトッパズレ,,佐久間,218.7,,,, 4, 13.3,①①①, 7, 5,Ｆリネンフィｰルド, 76,田辺裕, 0.6, 76,   9,   3, 9, 38.6,⑩⑪⑨
 8,12,Ｆサントゥｰル, 50,中舘英, 0.9, 50,* -4, -21, 7, 24.8,①①①, 8, 7,Ｊアルフェラッツ, 64,西田雄, 1.9, 57,  -1,   4,14,349.9, ⑦⑩, 8, 4, ユウタｰビスケット,,蓑島靖,219.0,,,, 9, 36.1,⑬⑬⑪, 8, 7,Ｐシルクパナシア, 70,後藤浩, 0.7, 74,  10,  -1,10, 45.5,⑦⑥⑥
 9, 3,Ｅシンボリグリュック, 50,柴田善, 1.1, 52, -13,  -7, 6, 13.9,⑦⑩⑧, 9,10,Ｎサウンドディｰバ, 46,吉田豊, 2.1, 57,  -2,   4,11,103.7, ⑪⑩, 9, 8, トウカイハッスル,,大庭和,219.8,,,, 5, 14.1,⑨⑨⑧, 9,10,Ｃエバンジェリスト, 80,横山典, 0.7, 77,   4,* 14, 4,  7.7,⑱⑱⑰
10,10,Ｋフナベンケイ, 35,大野拓, 1.3, 49, -12, -11,14,374.5,④⑦⑧,10, 4,Ｆナスノマツカゼ, 69,今野忠, 2.1, 56,  -2,   3, 8, 51.9, ⑫⑩,10,11, シュフルｰル,,金子光,220.5,,,, 6, 14.3,②⑤⑥,10,18,Ｍジェイドファスト, 70,嘉藤貴, 0.8, 72,  12,  -7,18,217.0,④④④
11,13,Ｊブルｰグロウ, 40,千葉直, 1.5, 45, -10, -19,13,280.1,④③⑤,11, 9,Ｏサトノウインク, 38,北村宏, 2.1, 56,  -6,   8,10,101.2, ⑮⑮,11,12, エイシンペキン,,西谷誠,220.5,,,, 8, 22.5,⑬⑪⑫,11,13,Ｒアイアイスピｰチ, 66,池田鉄, 0.9, 73,   5,   6,16,197.0,⑰⑯⑯
12, 4,Ｍベイルリ, 33,村田一, 1.6, 48, -14, -10,12,234.0,⑭⑬⑫,12, 3,Ｍオンワｰドカルマ, 61,石橋脩, 2.1, 56,  -4,   6,16,411.4, ⑭⑬,12, 9, バロｰネフォンテン,,平沢健,221.1,,,,14, 83.9,⑧⑧⑧,12, 1,Ｋシャドｰクロス, 74,藤田伸, 0.9, 72,  10,  -4, 5, 12.7,⑨⑧⑥
13, 5,Ｎミヤビタカラオｰ, 29,吉田隼, 1.8, 44, -16, -12, 9, 60.9,⑨⑨⑬,13, 2,Ｌトウショウヒルズ, 62,武士沢, 2.1, 56,  -4,   5,15,385.6, ⑫⑬,13,13, ロｰレルハンバｰバ,,浜野谷,222.3,,,,13, 81.7,⑪⑪⑫,13,14,Ｊアグネスパウエル, 74,大野拓, 1.0, 73,   6,   3,17,210.9,⑮⑮⑭
14, 8,Ｌサウンドデイジｰ, 34,吉田豊, 2.1, 38,  -8, -30,10, 84.5,③③③,14,11,Ｋアデニウム, 63,村田一, 2.1, 57,   1,   0, 7, 36.9, ⑥⑥,14,14, テイエムヤマトオｰ,,出津孝,222.6,,,, 7, 17.1,⑨⑬⑭,14, 9,Ｅケンブリッジマイア, 77,江田照, 1.1, 69,* 15, -16, 6, 13.1,③②②
,,,,,,,,,,,,15,15,Ｈジョウショｰアロｰ, 67,吉田隼, 3.0, 48,   0,  -6, 6, 18.4, ⑦⑨,,,,,,,,,,,,,15,16,Ｎヤナギムシ, 70,岩部純, 1.4, 65,* 14, -22,14,111.2,①①①
,,,,,,,,,,,,16, 1,Ｐエイブルコスマｰ, 37,江田照, 3.5, 45,  -8,  -2,13,197.8, ⑯⑯,,,,,,,,,,,,,16,15,Ｈユｰガットテｰスト, 75,吉田隼, 1.9, 62,   2,  -3,13, 82.0,⑮⑯⑱
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,12,Ｇアルトップラン, 76,北村宏, 1.9, 60,   7, -14, 8, 25.1,⑩⑧⑪
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,17,Ｌアイアムドラマ, 72,松岡正, 2.1, 59,   9, -20, 7, 15.5,⑤⑥⑧
