08年 7月20日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 7月20日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 4R  芝1200m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  ダ2400m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■10R  芝2000m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ函館,,,,,,,,,,,,,,,,,,,,,,,,駒ｹ岳特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
10,11,Ｌトレノヘイロｰ, 39,梶晃啓, 2.1, 44,  -7, -11, 7, 45.4, ⑤⑤,10, 2,Ｊポイントゴｰルド, 51,小林徹, 2.4, 51,*  5, -21, 9, 89.4,②②②,10, 5,Ｊロッタ, 67,津村明, 1.4, 63,   0,   2,10, 59.5,⑬⑬⑪,10,14,Ｄタカラタロウ, 73,梶晃啓, 0.9, 69,* -6,   7, 6, 23.8, ②②
11, 3,Ｉナンゴクコンバット, 44,藤岡佑, 2.2, 43, -10, -10, 2, 18.2, ⑦⑤,11, 8,Ｆセピアエスプレッソ, 60,藤田伸, 3.0, 44,   3, -23, 4, 11.5,③⑥⑥,11,10,Ｅトレド, 72,秋山真, 2.3, 58,   5, -13, 8, 28.2,⑥④⑦,11, 2,Ｃジョウテンロマン, 73,菊沢隆, 1.1, 69, -20,  19, 5, 22.9, ⑬⑭
,,,,,,,,,,,,,,,,,,,,,,,,12, 7,Ｌブルｰシｰズン, 58,丸田恭, 2.4, 57,   2,  -9,12,175.6,⑪⑩⑬,12,10,Ｉゴｰルドクラウン, 68,四位洋, 1.1, 66, -10,   9, 8, 28.5, ④④
,,,,,,,,,,,,,,,,,,,,,,,,13,13,Ｍオンワｰドミｰト, 51,鈴来直, 3.2, 50,   4, -20,11,102.7,③⑥⑪,13, 8,Ｐリガｰドシチｰ, 62,北村友, 1.1, 69, -16,  15,10, 76.9, ⑩⑩
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14, 7,Ｋアグネスレプトン, 68,池添謙, 1.1, 68, -18,  16,13,109.5, ⑩⑩
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,13,Ｏオｰスチンロｰズ, 64,郷原洋, 1.2, 68, -22,  19,16,151.3, ⑮⑮
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16, 1,Ｈフジマサゴｰルド, 70,長谷川, 1.2, 68, -22,  18, 9, 35.3, ⑮⑮
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+0 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:81 ﾚｰｽﾍﾟｰｽ指数:-14 ﾚｰｽｱｶﾞﾘ指数:+7 馬場:良(指数:-2),,,,,,,,,,,
単勝:110円 複勝:04=100円 01=300円 10=260円 枠連:760円,,,,,,,,,,,,"単勝:1,180円 複勝:09=260円 01=190円 05=110円 枠連:1,710円",,,,,,,,,,,,"単勝:630円 複勝:09=180円 01=540円 04=140円 枠連:6,030円",,,,,,,,,,,,"単勝:250円 複勝:04=130円 15=160円 06=1,680円 枠連:470円",,,,,,,,,,,
