08年11月 9日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年11月 9日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1600m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■ 4R  ダ1400m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  ダ1600m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■10R  ダ2100m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,UAE賞,,,,,,,,,,,,香港賞,,,,,,,,,,,,ｱｼﾞｱ競馬会議記念,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 2, 3,Ｂマイティｰスルｰ, 54,吉田豊, 0.4, 59,  -4,* 15, 2,  9.0, ⑩⑪, 2,15, アポロリバティｰ,---,勝浦正, 0.1, 46, -54,* 21, 3,  4.7,⑥④④, 2, 7,Ｇメジロワｰロック, 55,蛯名正, 0.0, 68, -24,  20, 3,  8.0,④④③, 2,14,Ａジャガｰメイル, 96,石橋脩, 0.2, 97,   8,* 39, 2,  4.8,⑨⑦⑧
 3, 5,Ｊゴｰルドケｰ, 38,松岡正, 0.8, 54,  -3,   5,13,193.6, ⑩⑧, 3,12, ピサノエグゼ,---,ペリエ, 0.3, 43, -56,* 21, 2,  4.3,⑨⑦⑦, 3, 5,Ｅエルジャンクション, 57,後藤浩, 0.0, 64,*-21,  14, 6, 23.6,①①①, 3,10,Ｅアルナスライン, 91,内田博, 0.2, 94,   7,  36, 1,  2.4,⑥⑥⑥
 4,15,Ｍコスモディアナ, 34,石橋脩, 0.9, 53,   0,  -1, 6, 50.3, ⑤⑤, 4, 7, エバｰライジング,---,内田博, 0.7, 34,*-53,  10, 6, 17.3,②②②, 4, 8,Ｄミヤビリュウオｰ, 58,吉田豊, 0.1, 65,*-22,  16, 5, 10.2,②②②, 4, 3,Ｎテイエムプリキュア, 82,石神深, 0.4, 80,* 18,  -3,12, 58.8,②②②
 5,14,Ｈストロングレダ, 43,内田博, 1.0, 51,*  4,  -8, 3,  9.3, ③③, 5, 1, ダイアナバロｰズ,---,藤田伸, 0.9, 36, -55,  14, 8, 35.8,⑦⑦⑨, 5, 1,Ｂケイアイライジン, 62,内田博, 0.1, 68, -25,* 21, 1,  2.1,⑧⑧⑥, 5,11,Ｈダンスアジョイ, 89,松岡正, 0.5, 97,   3,* 46, 8, 21.4,⑯⑯⑯
 6,13,Ｋダッパｰユウ, 37,田中勝, 1.3, 50,  -8,*  8, 7, 55.6, ⑭⑭, 6, 4, コスモカサブランカ,---,松岡正, 1.0, 34, -54,  10, 5,  7.7,③④④, 6, 4,Ｃナンヨｰクイｰン, 60,柴田善, 0.3, 64, -23,  16, 4,  8.2,③③③, 6, 7,Ｍネヴァブション, 83,北村宏, 0.7, 90,   8,  32, 7, 16.9,⑦⑦⑧
 7, 8,Ｃミヤビオウカ, 53,柴山雄, 1.3, 48,  -7,   5, 8, 57.1, ⑫⑫, 7,13, コロンバスサｰクル,---,蛯名正, 1.0, 36, -55,  13, 1,  2.9,⑫⑩⑨, 7, 2,Ｈコハクジョｰ, 50,小野次, 0.5, 63, -27,  17, 7, 24.0,④④⑥, 7, 2,Ｆトウショウシロッコ, 90,吉田豊, 0.9, 90,   6,  34, 5, 10.8,⑬⑬⑫
 8, 6,Ｆアポロアネラ, 46,藤田伸, 1.4, 45,*  4, -14, 9, 73.3, ③③, 8, 2, ウクレレ,---,村田一, 1.0, 34, -54,  10,14,165.1,③④④, 8, 3,Ｆザグ, 55,勝浦正, 0.7, 62, -26,  15, 8, 65.5,④⑥⑥, 8,16,Ｃキングアｰサｰ, 94,藤田伸, 1.1, 87,   6,  31, 4,  9.8,⑩⑩⑫
 9, 7,Ｉシャルトルブルｰ, 39,浜中俊, 1.5, 48,  -2,  -5, 5, 38.9, ⑧⑧, 9, 5, カジノスタｰ,---,幸英明, 1.0, 38, -56,  15,15,186.6,⑦⑩⑨,,,,,,,,,,,,, 9,15,Ｉトウカイトリック, 88,幸英明, 1.2, 86,   8,  23,10, 28.8,⑧⑦⑥
10, 4,Ｌミラクルリベロ, 37,蛯名正, 1.7, 43,   0, -11,10,116.4, ⑤⑥,10,10, ロｰレルリラ,---,柴田善, 1.2, 31, -55,   9,12,134.7,⑨⑦⑦,,,,,,,,,,,,,10, 1,Ｋヤマニンアラバスタ, 85,江田照, 1.3, 85,   5,  29,13, 81.6,⑮⑭⑭
11,12,Ｄスイｰトフロｰラル, 49,北村宏, 1.9, 39,   0, -14,11,125.9, ⑤⑥,11, 9, オｰスミシリング,---,江田照, 1.5, 17,*-52,   0,13,152.8,③②②,,,,,,,,,,,,,11,13,Ｏゴｰウィズウィンド, 81,田中博, 1.7, 75,  10,   5,16,232.3,③③③
