08年11月16日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年11月16日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 4R  芝3000m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ1400m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■10R  芝1800m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
 9, 8,Ｊジャンジャン, 38,丹内祐, 2.0, 45,  -8,  -7,12,254.5, ⑪⑩, 9, 7, ガイアヘッド,,横山義,207.7,,,, 6, 34.4,④③③, 9,10,Ｄパンプアップ, 74,丹内祐, 0.8, 69,  -2,   8, 5, 11.9, ⑯⑫, 9,10,Ｅショウナンアクロス, 82,吉田豊, 0.5, 86,  -4,  20, 7, 38.3,⑬⑩⑧
10,10,Ｃオンワｰドラｰト, 54,小林淳, 2.4, 44,  -1, -21,10,171.6, ④⑦,10, 5, ヤクモオｰカン,,穂苅寿,208.0,,,, 5, 10.8,⑥④⑤,10,14,Ｏアツキオモイ, 64,村田一, 1.0, 70,  -2,   9,14, 70.8, ⑮⑮,10, 1,Ｊヒカルベガ, 79,勝浦正, 0.5, 86,  -4,  18,11, 64.1,⑤⑥⑤
11, 9,Ｌドンプルｰフ, 29,上村洋, 2.5, 43,  -8, -12, 9, 54.6, ⑩⑪,11, 3, スナｰクムサシ,,仲田雅,208.1,,,,10, 70.2,⑦⑧⑨,11, 8,Ｊディアディライト, 66,田中勝, 1.1, 67,  -3,   8,12, 42.1, ⑭⑭,11,12,Ｉミダｰスタッチ, 80,柴田善, 0.6, 86,  -6,  22, 5, 21.9,⑩⑫⑫
12,11,Ｉマイネルサｰブル, 38,江田照, 3.1, 40,*  1, -28,11,207.6, ⑤③,12, 1, レイザストレングス,,五十嵐,209.6,,,,11,116.1,⑨⑫⑫,12, 4,Ｎユウタｰストライプ, 64,菊沢隆, 1.1, 66,*  4,  -1,15,254.3, ④④,12, 4,Ｌユウタｰジャック, 76,小野次, 0.6, 90,  -7,  27,14,124.9,⑮⑮⑯
,,,,,,,,,,,,13,14, ラヴリｰゲスト,,江田勇,212.4,,,,14,162.1,⑭⑬⑬,13,11,Ｍロｰドバロック, 65,勝浦正, 3.1, 51,   2, -16, 8, 20.0, ⑦⑧,13,11,Ｐカタナ, 67,江田照, 0.7, 80,* -1,  11,12, 67.0,③②②
,,,,,,,,,,,,,,,,,,,,,,,,14, 2,Ｌテラモミリオネ, 65,柴山雄, 3.4, 49,   1, -18,10, 40.3, ⑥⑥,14,14,Ｇマルタカハｰモニｰ, 81,丹内祐, 0.8, 80,* -2,  11,13, 91.9,⑥④④
,,,,,,,,,,,,,,,,,,,,,,,,15, 5,Ｐキラウエアシチｰ, 64,小林淳, 4.1, 44,  -1, -19,16,277.7, ⑪⑬,15, 2,Ｎクラクエンスキｰ, 73,上村洋, 0.8, 85,  -6,  20,16,298.7,⑪⑨⑪
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16, 9,Ｏサインオブゴッド, 68,宮崎光, 1.6, 74,  -8,  11,15,254.5,⑫⑭⑭
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:59 ﾚｰｽﾍﾟｰｽ指数:+0 ﾚｰｽｱｶﾞﾘ指数:-7 馬場:良(指数:-1),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:85 ﾚｰｽﾍﾟｰｽ指数:-11 ﾚｰｽｱｶﾞﾘ指数:+10 馬場:良(指数:2),,,,,,,,,,,
"単勝:1,200円 複勝:01=220円 03=110円 07=440円 枠連:600円",,,,,,,,,,,,単勝:270円 複勝:13=110円 08=120円 04=130円 枠連:480円,,,,,,,,,,,,"単勝:990円 複勝:16=360円 07=190円 13=540円 枠連:1,830円",,,,,,,,,,,,"単勝:1,090円 複勝:07=290円 06=180円 03=130円 枠連:2,520円",,,,,,,,,,,
"馬連:650円 ワイド:01-03=310円 01-07=2,370円 03-07=610円",,,,,,,,,,,,馬連:560円 ワイド:08-13=220円 04-13=210円 04-08=310円,,,,,,,,,,,,"馬連:2,630円 ワイド:07-16=870円 13-16=3,260円 07-13=1,620円",,,,,,,,,,,,"馬連:3,400円 ワイド:06-07=950円 03-07=650円 03-06=310円",,,,,,,,,,,
"馬単:2,360円 3連複:3,570円 3連単:23,900円",,,,,,,,,,,,"馬単:960円 3連複:500円 3連単:2,270円",,,,,,,,,,,,"馬単:5,420円 3連複:16,990円 3連単:79,660円",,,,,,,,,,,,"馬単:7,620円 3連複:3,140円 3連単:28,000円",,,,,,,,,,,
■ 2R  ダ1600m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 5R  ダ1600m 2 歳新馬 馬齢,,,,,,,,,,,,■ 8R  芝2000m 3歳上1000万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■11R  芝1400m 3歳上ｵｰﾌﾟﾝ(国) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,,,,,,,,,,,,,ｵｰﾛｶｯﾌﾟ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 4,Ａランドオウジ, 73,村田一,, 71,   3,*  1, 3,  3.4, ⑧⑥, 1, 5, ツクバタイヨウ,---,内田博,, 65,  -4,*  8, 2,  3.9, ⑨⑦, 1, 1,Ｄウェディングフジコ, 78,菊沢隆,, 83,  10,*  7, 5,  7.9,③③③, 1, 5,Ｈヤマニンエマイユ, 84,田中勝,, 94,  13,* 19, 1,  3.9, ⑦⑦
 2, 7,Ｄファインビスティｰ, 56,勝浦正, 0.2, 67,*  7,  -6, 2,  2.9, ⑤③, 2,12, ファンタジｰゲｰト,---,吉田隼, 0.4, 62,* -3,   1, 5, 13.7, ③③, 2, 5,Ａマイネルｰチェ, 81,内田博, 0.2, 81,  10,   4, 1,  2.4,⑤⑤④, 2,14,Ｍトウショウカレッジ, 81,勝浦正, 0.2, 93,   5,* 27, 3,  5.6, ⑰⑰
 3, 3,Ｂディアテクノバトル, 62,内田博, 0.4, 64,*  8,  -8, 1,  2.8, ①①, 3, 2, サトノバロン,---,後藤浩, 0.4, 61,* -3,   2, 3,  5.7, ④④, 3, 4,Ｈクロカンブッシュ, 74,田中勝, 0.3, 83,   7,*  9, 7, 38.6,④④⑤, 3,13,Ａゲイルスパｰキｰ, 89,北村宏, 0.5, 87,  13,  12, 2,  4.7, ⑪⑨
 4,11,Ｇノボレインボｰ, 50,田中勝, 1.0, 62,   3,  -5, 8, 46.1, ⑩⑧, 4,13, ブルｰセイコｰ,---,丹内祐, 0.6, 60,* -3,   0, 8, 37.5, ⑥⑤, 4, 6,Ｅハイカックウ, 76,吉田豊, 0.3, 79,* 11,  -2, 3,  6.6,①①①, 4, 6,Ｏサイキョウワｰルド, 79,小野次, 0.6, 86,  14,   9,14, 86.6, ②③
 5, 5,Ｉスノｰレｰザｰ, 42,郷原洋, 1.5, 57,*  7, -17, 6, 26.5, ③②, 5, 7, フォルミダｰビレ,---,柴田善, 1.2, 57,  -5,  -2, 1,  1.9, ⑩⑧, 5, 3,Ｃプジュリ, 80,松岡正, 0.4, 80,   7,*  7, 2,  3.6,⑥⑥⑥, 5, 4,Ｋイクスキュｰズ, 83,内田博, 0.6, 87,  10,  15, 7, 16.5, ⑧⑪
 6, 8,Ｃザゴｰルデンボｰイ, 61,松岡正, 2.4, 51,   5, -22, 4, 10.4, ⑥⑤, 6, 1, ダンディジョｰ,---,勝浦正, 1.4, 56,  -6,  -1, 4, 12.6, ⑪⑨, 6, 7,Ｆコウヨウアイリｰン, 76,江田照, 0.7, 74,* 11,  -6, 6, 10.2,②②②, 6, 2,Ｃナスノストロｰク, 87,後藤浩, 0.7, 85,   8,  16,11, 32.7, ⑯⑭
 7, 6,Ｅシャイニｰコｰト, 55,菊沢隆, 3.1, 47,   1, -21, 5, 15.1, ④⑩, 7, 6, リネントランポリｰ,---,村田一, 1.6, 57,  -8,  -1,14,212.5, ⑬⑬, 7, 8,Ｂエプソムメサイア, 81,後藤浩, 1.1, 74,   3,*  7, 8, 44.5,⑧⑧⑧, 7,16,Ｂマイケルバロｰズ, 87,松岡正, 0.8, 84,  10,  12, 6, 13.2, ⑭⑫
 8, 2,Ｊブラックバロン, 41,江田照, 3.4, 45,   5, -31, 7, 43.1, ②④, 8, 3, コパノチカチャン,---,田中勝, 1.7, 53,* -1, -11, 6, 26.0, ①①, 8, 2,Ｇダッシュアキチャン, 76,柴田善, 1.8, 66,   6,  -9, 4,  7.7,⑦⑦⑦, 8, 9,Ｌミュｰジックホｰク, 82,川島信, 1.0, 81,   6,  14,15,131.7, ⑬⑯
 9,10,Ｆショウナンアッパｰ, 54,柴田善, 3.8, 42,   3, -30, 9, 99.5, ⑨⑨, 9,14, ジェイケイクエスト,---,北村宏, 1.8, 51,  -7,  -4, 7, 34.3, ⑫⑩,,,,,,,,,,,,, 9,18,Ｅウインレックス, 85,江田照, 1.0, 82,  10,  10, 8, 22.3, ⑮⑬
10, 1,Ｈカワキタトップ, 42,宮崎光, 4.5, 37,  -6, -21,11,247.3, ⑪⑪,10,11, オメガジャスパ,---,柴山雄, 3.2, 45, -10, -11,12,143.4, ⑭⑭,,,,,,,,,,,,,10, 3,Ｄダンスフォｰウィン, 87,柴山雄, 1.0, 81,  12,   7, 9, 23.8, ⑨⑩
11, 9,Ｋコスモホｰクアイ, 37,柴山雄, 4.7, 37,   3, -39,10,203.5, ⑦⑦,11, 9, ハクシンアマゾｰヌ,---,伊藤工, 4.3, 34,  -8, -24,10, 86.6, ⑧⑫,,,,,,,,,,,,,11,10,Ｒオｰスミダイドウ, 71,村田一, 1.2, 79,* 15,  -1,10, 24.1, ③②
,,,,,,,,,,,,12, 4, マキシムギンガ,---,江田照, 4.4, 34,  -6, -29,11, 97.2, ⑦⑥,,,,,,,,,,,,,12, 8,Ｎマルカキセキ, 80,宮崎光, 1.2, 79,   6,  11,16,144.3, ⑫⑮
,,,,,,,,,,,,13, 8, クラブイｰティング,---,松岡正, 4.8, 31,* -2, -38, 9, 80.7, ②②,,,,,,,,,,,,,13,15,Ｊドリｰムシグナル, 84,吉田隼, 1.3, 79,   3,  15, 5, 13.1, ⑱⑱
,,,,,,,,,,,,14,10, マルマツパワフル,---,吉田豊, 5.0, 31,  -7, -31,13,162.0, ⑤⑪,,,,,,,,,,,,,14,17,Ｇエムエスワｰルド, 84,吉田豊, 1.3, 78,  13,   2,12, 36.9, ⑩⑧
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15, 7,Ｉワキノカイザｰ, 84,郷原洋, 1.4, 77,  14,   0,17,149.3, ④⑤
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16, 1,Ｆサｰプラスシンガｰ, 84,柴田善, 1.4, 76,* 18,  -6, 4,  6.8, ①①
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,11,Ｐハｰトオブクィｰン, 77,田面木, 1.5, 75,  14,  -2,13, 37.5, ⑤⑥
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,12,Ｑブルｰショットガン, 76,菊沢隆, 1.7, 72,  14,  -6,18,167.0, ⑥④
ｸﾗｽ上位平均:59 ﾚｰｽﾍﾟｰｽ指数:+7 ﾚｰｽｱｶﾞﾘ指数:-8 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:81 ﾚｰｽﾍﾟｰｽ指数:+0 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:86 ﾚｰｽﾍﾟｰｽ指数:+0 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:2),,,,,,,,,,,
単勝:340円 複勝:04=110円 07=120円 03=110円 枠連:500円,,,,,,,,,,,,"単勝:390円 複勝:05=160円 12=330円 02=200円 枠連:2,180円",,,,,,,,,,,,単勝:790円 複勝:01=210円 05=130円 04=690円 枠連:0円,,,,,,,,,,,,単勝:390円 複勝:05=150円 14=180円 13=160円 枠連:430円,,,,,,,,,,,
馬連:480円 ワイド:04-07=170円 03-04=140円 03-07=130円,,,,,,,,,,,,"馬連:2,590円 ワイド:05-12=810円 02-05=340円 02-12=1,030円",,,,,,,,,,,,"馬連:850円 ワイド:01-05=330円 01-04=2,280円 04-05=1,260円",,,,,,,,,,,,"馬連:1,090円 ワイド:05-14=440円 05-13=360円 13-14=490円",,,,,,,,,,,
"馬単:910円 3連複:240円 3連単:1,680円",,,,,,,,,,,,"馬単:3,890円 3連複:3,670円 3連単:23,200円",,,,,,,,,,,,"馬単:2,470円 3連複:7,300円 3連単:40,270円",,,,,,,,,,,,"馬単:1,870円 3連複:1,360円 3連単:5,720円",,,,,,,,,,,
■ 3R  芝1400m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■ 6R  芝2000m 2 歳新馬 馬齢,,,,,,,,,,,,■ 9R  芝1600m 2 歳500万(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■12R  ダ1600m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,赤松賞,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 7,Ｂセイウンリファイン, 55,村田一,, 68,* -7,*  6, 3,  4.5, ①①, 1, 5, グラヴィテｰション,---,後藤浩,, 69, -20,* 20, 2,  4.0,③④⑤, 1, 7,Ａダノンベルベｰル, 68,後藤浩,, 78, -13,* 21, 1,  1.5, ⑨⑨, 1, 3,Ａマチカネニホンバレ, 88,北村宏,, 92,* 12,* 17, 1,  1.9, ③③
 2,13,Ｇケｰジｰカンザクラ, 45,勝浦正, 0.7, 62, -14,*  6, 6, 10.3, ⑩⑫, 2, 4, ラｰクキャロル,---,勝浦正, 0.2, 67,*-18,* 15, 1,  2.2,⑥③③, 2, 1,Ｅマジックシアタｰ, 57,吉田隼, 0.2, 70,  -7,   8, 2,  5.8, ③②, 2, 6,Ｊランヘランバ, 74,後藤浩, 1.9, 79,* 14,   0, 5, 23.0, ①①
 3, 8,Ｃワンツｰリタｰン, 51,後藤浩, 0.7, 62, -16,* 10, 2,  3.6, ⑬⑬, 3, 8, ライドザウインド,---,吉田豊, 0.4, 62,*-17,  10, 5,  8.9,②①①, 3, 4,Ｇディアジｰナ, 54,内田博, 0.2, 73, -10,  13, 6, 18.0, ④④, 3,16,Ｃブライアンズエッセ, 79,吉田隼, 2.0, 78,   8,   6, 7, 38.9, ⑬⑪
 4, 9,Ｄディアトウシロウ, 50,松岡正, 0.7, 60, -11,   3, 1,  2.9, ⑥⑥, 4,10, ドリｰムジュピタｰ,---,松岡正, 0.5, 61,*-19,  10, 6, 13.8,①②②, 4, 5,Ｂアンプレショニスト, 67,柴山雄, 0.4, 71, -13,  14, 3,  6.2, ⑥⑥, 4, 4,Ｋセイカアレグロ, 74,池田鉄, 2.1, 77,   9,   4,10, 99.7, ⑨⑧
 5,10,Ａタツボストン, 57,柴田善, 0.8, 57,* -7,  -4, 4,  7.6, ②②, 5, 1, トｰセンマルゴｰ,---,内田博, 1.1, 54, -20,   4, 4,  7.2,⑧⑦⑦, 5, 8,Ｄモエレピンクレディ, 63,宮崎光, 0.6, 71, -14,  16, 5, 17.7, ⑧⑩, 5, 7,Ｈアポロラムセス, 76,柴田善, 2.1, 77,  11,   1, 4,  9.3, ⑤④
 6,11,Ｍメイストｰム, 19,丹内祐, 1.0, 57, -12,   0,12,161.7, ⑧⑧, 6, 9, カツノファｰスト,---,北村宏, 1.3, 48,*-19,  -2, 7, 29.2,⑦⑥④, 6, 6,Ｆアカリ, 55,勝浦正, 0.7, 71, -16,  16, 7, 33.9, ⑪⑪, 6,14,Ｅスカｰレットライン, 79,内田博, 2.1, 76,  12,   0, 3,  4.9, ④⑤
 7,12,Ｈエフケｰアスコット, 40,宮崎光, 1.2, 51,* -9,  -8, 8, 88.2, ③③, 7, 3, マアｰラウ,---,蓑島靖, 1.3, 54, -21,   5, 9, 83.8,⑨⑩⑩, 7,10,Ｃピロｰトｰク, 66,松岡正, 1.1, 63, -11,   3, 4, 14.9, ⑦⑦, 7,11,Ｉデジデｰリオ, 75,江田照, 2.2, 78,   8,   6,11,102.3, ⑮⑫
 8, 1,Ｆフライングビｰン, 46,小野次, 1.4, 50, -10,  -8, 5,  8.8, ⑤⑤, 8, 6, カンタベリｰキング,---,宮崎光, 1.4, 53, -21,   4,10,131.0,⑩⑨⑨, 8, 2,Ｉタラリア, 45,上村洋, 1.4, 59, -10,  -3,11,223.9, ⑤⑤, 8,12,Ｂクリストフォルス, 83,上村洋, 2.4, 76,* 12,  -4, 2,  4.6, ②②
 9, 2,Ｊシルキｰモモ, 36,小林淳, 1.4, 52, -14,  -3, 9, 95.1, ⑪⑨, 9, 2, シルククレヴァｰ,---,田中勝, 2.1, 41, -20, -11, 3,  6.8,⑤⑧⑧, 9, 3,Ｈジェットロｰズ, 53,北村宏, 1.9, 51, -12,  -6, 8, 59.5, ⑩⑧, 9, 1,Ｆグラマトフィラム, 77,勝浦正, 2.4, 76,   9,   1, 6, 37.8, ⑪⑨
10, 5,Ｅマイネカルミア, 46,川島信, 1.5, 51, -11,  -6,13,289.2, ⑦⑦,10, 7, ミヤビハナヒラク,---,吉田隼, 3.1, 27,*-19, -26, 8, 60.5,④⑤⑥,10, 9, バｰティカルライン,---,丹内祐, 2.2, 43,* -4, -25,10,214.1, ①①,10, 2,Ｌヤクモキャット, 73,吉田豊, 2.6, 76,   5,   8,13,117.0, ⑯⑯
11, 6,Ｋヤラマイカ, 34,柴山雄, 1.7, 45,* -9, -13,11,160.3, ④④,,,,,,,,,,,,,11,11, サントヴィクトリｰ,---,江田照, 3.3, 30,  -7, -36, 9,154.6, ②③,11, 5,Ｇソフトパワｰ, 77,小林淳, 2.8, 73,  11,  -4,12,105.6, ⑥⑥
12, 3,Ｉバトルジュディス, 39,伊藤工, 1.9, 46, -15,  -8,10,124.1, ⑫⑩,,,,,,,,,,,,,,,,,,,,,,,,,12,13, ゲンキチホマレ,---,柴山雄, 3.6, 67,  10, -10, 8, 49.0, ⑧⑦
13, 4,Ｌジュテミルフｰ, 30,内田博, 2.6, 36, -13, -18, 7, 58.4, ⑨⑪,,,,,,,,,,,,,,,,,,,,,,,,,13, 8,Ｎサンアントニオ, 71,伊藤工, 3.8, 65,   8,  -9,14,169.9, ⑦⑩
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,15,Ｄエプソムボス, 79,宮崎光, 4.3, 61,   8, -13, 9, 80.7, ⑩⑭
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15, 9,Ｍカネマサデュｰク, 72,鷹野宏, 4.7, 59,   8, -16,15,307.0, ⑫⑬
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,10,Ｏマンダレｰ, 63,村田一, 4.7, 61,   5, -13,16,416.6, ⑭⑮
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:良(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:-9 ﾚｰｽｱｶﾞﾘ指数:+12 馬場:良(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:68 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:+10 馬場:良(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:+0 ﾚｰｽｱｶﾞﾘ指数:-7 馬場:良(指数:-1),,,,,,,,,,,
"単勝:450円 複勝:07=160円 13=280円 08=140円 枠連:2,770円",,,,,,,,,,,,単勝:400円 複勝:05=130円 04=120円 08=190円 枠連:430円,,,,,,,,,,,,単勝:150円 複勝:07=110円 01=150円 04=260円 枠連:360円,,,,,,,,,,,,"単勝:190円 複勝:03=120円 06=410円 16=760円 枠連:1,260円",,,,,,,,,,,
"馬連:2,500円 ワイド:07-13=720円 07-08=300円 08-13=710円",,,,,,,,,,,,馬連:400円 ワイド:04-05=190円 05-08=480円 04-08=340円,,,,,,,,,,,,馬連:400円 ワイド:01-07=200円 04-07=440円 01-04=740円,,,,,,,,,,,,"馬連:1,610円 ワイド:03-06=680円 03-16=1,210円 06-16=3,490円",,,,,,,,,,,
"馬単:4,410円 3連複:2,600円 3連単:19,030円",,,,,,,,,,,,"馬単:1,070円 3連複:1,090円 3連単:5,740円",,,,,,,,,,,,"馬単:520円 3連複:1,420円 3連単:3,090円",,,,,,,,,,,,"馬単:2,110円 3連複:8,630円 3連単:27,220円",,,,,,,,,,,
,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,,,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,
,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,,,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,
