08年 8月 2日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 8月 2日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(九) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-17,,,,,■ 4R  芝1200m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  芝1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■10R  ダ1700m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,,,,,,,,,,,,,宮崎ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
"馬単:1,880円 3連複:1,290円 3連単:6,200円",,,,,,,,,,,,"馬単:3,840円 3連複:6,900円 3連単:33,130円",,,,,,,,,,,,"馬単:4,620円 3連複:11,650円 3連単:60,280円",,,,,,,,,,,,"馬単:54,480円 3連複:7,050円 3連単:128,140円",,,,,,,,,,,
■ 2R  ダ1000m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 5R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:12,,,,,■ 8R  ダ1700m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■11R  芝2000m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,青島特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,14,Ｂヴォレハクユウ, 69,小牧太,, 61,  -3,*  4, 3,  6.3,⑤⑤⑤, 1, 7,Ａファイナルコｰト, 73,藤岡康,, 74,  -2,* 17, 1,  2.3,⑦⑦⑥, 1,14,Ｌウォｰタｰリメイン, 64,佐久間,, 75,   5,*  9,12, 91.6,⑬⑥⑤, 1,10,Ｂウィルビｰキング, 77,赤木高,, 73,  -5,  13, 1,  3.3,②③③
 2, 9,Ａタニノジュレップ, 75,岩田康, 0.1, 61,  -5,*  6, 1,  1.8,⑧⑥⑦, 2, 8,Ｈオメガクエスト, 64,浜中俊, 0.7, 68,   0,   8, 4,  7.5,④⑥⑥, 2, 5,Ｂアｰルヌｰヴォｰ, 77,川田将, 0.1, 73,*  7,   4, 2,  3.7,③③②, 2, 1,Ａテイエムアンコｰル, 82,岩田康, 0.2, 72,  -6,* 14, 2,  3.7,⑤⑥⑥
 3,13,Ｅアｰスファイヤｰ, 60,野元昭, 0.2, 60,   0,   1, 7, 30.8,②③③, 3, 5,Ｌミッキｰハンタｰ, 54,佐藤哲, 0.9, 68,  -4,* 13, 9, 46.9,⑪⑩⑧, 3, 8,Ａゴｰルドスミス, 82,吉田隼, 0.1, 73,   5,   6, 1,  3.4,⑥⑤⑤, 3, 9,Ｃキングスデライト, 76,芹沢純, 0.2, 68,* -3,   6, 5,  8.0,①①①
 4,12,Ｃファイナルパンチ, 64,佐藤哲, 0.4, 58,  -4,   2, 2,  3.5,⑥⑥⑤, 4, 9,Ｆミキノジャズマン, 65,岩田康, 1.0, 65,*  3,   1, 6, 20.6,⑦①①, 4,15,Ｃハｰドシｰキング, 77,渡辺薫, 0.1, 73,   5,*  6, 4,  7.7,⑨⑥⑦, 4, 2,Ｅメジロラフィキ, 71,川田将, 0.3, 69,  -6,  11, 6, 14.3,③④⑤
 5, 4,Ｈピッチマリ, 55,藤岡康, 0.4, 59,*  5,  -4,12,157.9,①①①, 5, 1,Ｅジエクストリｰム, 66,川田将, 1.2, 64,*  2,   1, 2,  4.8,①②②, 5, 3,Ｅマルブツグロｰリア, 71,岩田康, 0.4, 72,*  7,   2, 3,  7.6,④③②, 5, 7,Ｈトミケンプライム, 66,浜中俊, 0.5, 74,  -7,  12, 7, 16.0,⑤⑦⑥
 6, 3,Ｆゴｰルデンホｰク, 57,浜中俊, 0.5, 56,   0,  -2, 5, 24.2,④③③, 6,16,Ｄウォｰタｰルｰク, 67,田中健, 1.2, 66,   1,   2, 5, 18.3,②③②, 6, 6,Ｊダノンジュピタｰ, 67,藤岡康, 0.6, 70,   2,*  6, 6, 10.8,⑧⑩⑪, 6, 6,Ｇシゲルアサンテサナ, 67,中村将, 0.5, 72,  -8,* 15, 9, 76.7,⑧⑩⑨
