08年 9月21日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 9月21日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1000m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:11,,,,,■ 4R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 7R  ダ1000m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■10R  芝1200m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,
,,,,,,,,,,,, 9, 5,Ｄメルシｰパッション, 55,芹沢純, 1.6, 40,* -2, -13, 6, 28.7,①①②, 9, 9,Ｆフェｰヴ, 66,田中博, 1.7, 56,  -3,  -1, 5,  8.6, ⑥⑥, 9, 6,Ｈベルモントバレット, 62,菊沢隆, 0.9, 58,  -2,  -3,10, 54.9, ④⑤
,,,,,,,,,,,,,,,,,,,,,,,,10,11,Ｈクリップフェアリｰ, 64,藤田伸, 1.9, 54, -19,   9, 6,  9.3, ⑫⑫,10,10,Ｊシルクストレングス, 59,長谷川, 0.9, 57,  -2,  -4, 5, 10.8, ④⑤
,,,,,,,,,,,,,,,,,,,,,,,,11,10,Ｅサンクスヘヴン, 67,津村明, 2.0, 55,   5,  -9,11, 49.9, ③④,11,11,Ｋクリノエタｰナル, 57,梶晃啓, 0.9, 57, -10,   4,14,188.1, ⑫⑫
,,,,,,,,,,,,,,,,,,,,,,,,12, 1,Ｌコスモグラマラス, 54,梶晃啓, 2.9, 45,   0, -14, 9, 21.6, ⑤⑥,12, 9,Ｍケイエスショｰキ, 57,古川吉, 0.9, 59, -14,*  7,11, 70.5, ⑭⑭
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,15,Ｆファンタジックキｰ, 63,丸田恭, 1.0, 56,  -2,  -5, 9, 53.1, ④⑤
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14, 4, モンタナ,---,山口竜, 1.2, 55, -15,   5, 8, 22.8, ⑭⑮
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,13,Ｌスガノナイナｰ, 57,小林久, 1.2, 54,  -9,  -1,15,200.2, ⑫⑫
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-8 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:+0 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:75 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:-1),,,,,,,,,,,
単勝:390円 複勝:02=340円 06=880円 枠連:0円,,,,,,,,,,,,"単勝:1,450円 複勝:08=180円 06=110円 04=120円 枠連:780円",,,,,,,,,,,,"単勝:740円 複勝:04=240円 06=210円 05=540円 枠連:1,290円",,,,,,,,,,,,単勝:240円 複勝:07=130円 02=160円 14=330円 枠連:340円,,,,,,,,,,,
"馬連:1,870円 ワイド:02-06=140円 01-02=110円 01-06=170円",,,,,,,,,,,,馬連:920円 ワイド:06-08=240円 04-08=330円 04-06=130円,,,,,,,,,,,,"馬連:2,040円 ワイド:04-06=970円 04-05=2,160円 05-06=1,580円",,,,,,,,,,,,馬連:550円 ワイド:02-07=240円 07-14=600円 02-14=960円,,,,,,,,,,,
"馬単:2,950円 3連複:260円 3連単:4,780円",,,,,,,,,,,,"馬単:2,830円 3連複:480円 3連単:5,760円",,,,,,,,,,,,"馬単:4,340円 3連複:12,420円 3連単:58,010円",,,,,,,,,,,,"馬単:920円 3連複:2,140円 3連単:7,260円",,,,,,,,,,,
■ 2R  芝1200m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■ 5R  芝1800m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 8R  芝2000m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■11R  芝1800m 3歳上1000万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ札幌,,,,,,,,,,,,,,,,,,,,,,,,おおぞら特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6,Ｃカイテキプリン, 55,三浦皇,, 60,   2,* -1, 3, 13.6, ④②, 1, 7, ステイマックス,---,三浦皇,, 45, -27,*  4, 5, 12.6,⑥⑤⑤, 1, 2,Ａアｰネストリｰ, 79,三浦皇,, 76,*  8,   1, 1,  1.4,②②②, 1, 5,Ａマイネヴェロナ, 84,津村明,, 78,   7,   8, 3,  5.2,⑥⑤④
 2, 9,Ａテイエムオｰロラ, 64,藤田伸, 0.0, 59,   2,* -1, 1,  1.6, ④⑤, 2, 6, クラレットジュエル,---,大野拓, 0.0, 43,*-24,  -1, 6, 39.8,③②②, 2,14,Ｉヴィジレ, 65,秋山真, 0.3, 74,   7,   0, 6, 20.2,④④③, 2, 8,Ｇグラｰフ, 75,丸田恭, 0.0, 79,   1,* 18, 4, 10.6,⑭⑬⑬
 3, 1,Ｄフレアリングロｰズ, 51,郷原洋, 0.0, 63,*  8,  -8, 5, 16.5, ②①, 3, 2, アムｰルマルルｰ,---,藤田伸, 0.0, 42, -26,   0, 1,  2.1,③④④, 3, 1,Ｃショウサンマグナ, 69,芹沢純, 0.5, 71,*  8,  -5, 7, 26.5,②②③, 3, 2,Ｅミスティックリバｰ, 75,秋山真, 0.0, 79,   3,* 17, 6, 18.8,⑩⑪⑪
 4, 5,Ｂワニタレスタリ, 61,小林久, 0.1, 56,  -2,*  1, 2,  3.7, ⑧⑦, 4, 4, ワイルドベリｰ,---,秋山真, 0.2, 42, -29,   3, 2,  3.2,⑥⑤⑦, 4,12,Ｈメジロミニｰ, 65,梶晃啓, 0.6, 77,   4,*  9, 5, 18.8,⑬⑫⑫, 4,11,Ｂパッションレッド, 78,松田大, 0.1, 77,   6,  10, 1,  2.5,⑦⑦⑥
 5,10,Ｈラブユニバｰス, 44,秋山真, 0.5, 54,   0,  -4, 7, 45.2, ⑥⑦, 5, 5, ザバトルビジョウブ,---,丸田恭, 0.2, 39,*-24,  -4, 4,  8.8,②②②, 5, 6,Ｌエナｰジバイオ, 60,丸田恭, 0.7, 71,   4,   2, 4, 18.0,⑫⑩⑧, 5, 3,Ｊカイゼリン, 73,三浦皇, 0.2, 74,   6,   7, 2,  4.3,⑤⑤⑥
 6, 8,Ｊヒトメボレムスメ, 40,大野拓, 0.6, 52,  -1,  -6,10, 52.8, ⑥⑤, 6, 3, トップオブロイヤル,---,北村友, 0.3, 46, -30,*  6, 3,  4.5,⑧⑧⑦, 6, 9,Ｇリネンヤクシン, 65,南田雅, 0.7, 71,   7,  -4,13, 92.9,④④⑤, 6, 6,Ｉスペシャルフロｰト, 73,菊沢隆, 0.3, 72,* 11,  -4,10, 33.6,①①①
 7, 2,Ｆプリモカラｰズ, 45,菊沢隆, 1.0, 45,  -3,  -9, 6, 21.9, ⑧⑨, 7, 1, カｰディナル,---,長谷川, 0.5, 34,*-24, -10, 8, 89.1,①①①, 7, 3,Ｆルミノゴｰルド, 66,古川吉, 1.0, 69,   4,  -4,11, 75.8,⑦⑨⑧, 7, 4,Ｎシンシンマｰキｰ, 68,北村浩, 0.4, 73,   4,   7,14,179.3,⑨⑦⑧
 8, 7,Ｇキタノオハナ, 45,田中博, 1.5, 43,*  8, -27, 4, 15.6, ①②, 8, 8, ヤコモクリスタル,---,田中博, 1.2, 29, -27, -12, 7, 47.7,⑤⑤⑥, 8, 4,Ｄフィフスアベニュｰ, 68,荻野琢, 1.0, 66,* 11, -18, 3, 13.9,①①①, 8, 1,Ｄクロカンブッシュ, 76,田中博, 0.4, 75,   5,   9, 8, 27.3,⑦⑨⑧
 9, 4,Ｌハヤブサリｰフ, 38,丸田恭, 1.7, 35,  -6, -16,11,125.1, ⑩⑨,,,,,,,,,,,,, 9, 5,Ｋグリフィス, 60,長谷川, 1.4, 65,   4,  -8, 8, 32.9,⑨⑩⑪, 9,14,Ｋオリオンオンサイト, 73,芹沢純, 0.4, 71,* 10,  -3,12, 45.0,③③②
10, 3,Ｋダイワポイズン, 38,山口竜, 2.1, 32,  -6, -20,12,219.6, ⑩⑪,,,,,,,,,,,,,10,11,Ｊテイエムモモタロｰ, 62,北村友, 1.4, 66,   5, -11,12, 85.3,⑥⑥⑤,10, 9,Ｆボｰテセレスト, 75,北村友, 0.5, 76,   4,   9, 7, 22.1,⑪⑪⑪
11,12,Ｅラストダンス, 47,北村友, 2.1, 36,*  7, -34, 8, 45.9, ③②,,,,,,,,,,,,,11,13,Ｂマイネルブリアｰ, 73,大野拓, 1.5, 64,   5, -12, 2,  6.3,⑨⑥⑤,11,13,Ｃケンブリッジマイア, 77,荻野琢, 0.5, 70,* 10,  -5, 5, 15.2,②②②
12,11,Ｉジョｰイリス, 42,荻野琢, 2.8, 23,  -6, -30, 9, 50.6, ⑩⑫,,,,,,,,,,,,,12,10,Ｅヒットトップガン, 67,河北通, 1.7, 62,   3,  -9, 9, 44.5,⑪⑫⑫,12,10,Ｈリネンフィｰルド, 75,南田雅, 0.6, 69,   8,  -4, 9, 33.1,④④④
,,,,,,,,,,,,,,,,,,,,,,,,13, 7,Ｎナンヨｰサンライズ, 58,田中博, 2.0, 58,   5, -20,10, 62.6,⑦⑥⑧,13, 7,Ｍショコラシチｰ, 70,柴原央, 0.6, 74,   0,  13,13, 87.6,⑫⑭⑭
,,,,,,,,,,,,,,,,,,,,,,,,14, 8,Ｍノｰリグレット, 59,的場勇, 2.6, 52,   1, -19,14,109.3,⑬⑭⑭,14,12,Ｌニットウサラン, 71,梶晃啓, 1.4, 63,   4,  -6,11, 36.4,⑫⑨⑧
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:55 ﾚｰｽﾍﾟｰｽ指数:-13 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:75 ﾚｰｽﾍﾟｰｽ指数:+0 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:81 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:-1),,,,,,,,,,,
"単勝:1,360円 複勝:06=200円 09=110円 01=250円 枠連:170円",,,,,,,,,,,,"単勝:1,260円 複勝:07=300円 06=640円 02=120円 枠連:0円",,,,,,,,,,,,単勝:140円 複勝:02=110円 14=400円 01=540円 枠連:260円,,,,,,,,,,,,"単勝:520円 複勝:05=190円 08=370円 02=510円 枠連:1,830円",,,,,,,,,,,
"馬連:890円 ワイド:06-09=360円 01-06=1,270円 01-09=450円",,,,,,,,,,,,"馬連:11,140円 ワイド:06-07=2,320円 02-07=420円 02-06=1,420円",,,,,,,,,,,,"馬連:920円 ワイド:02-14=430円 01-02=750円 01-14=4,230円",,,,,,,,,,,,"馬連:2,230円 ワイド:05-08=760円 02-05=1,130円 02-08=2,070円",,,,,,,,,,,
"馬単:3,560円 3連複:2,780円 3連単:20,590円",,,,,,,,,,,,"馬単:25,070円 3連複:7,130円 3連単:90,750円",,,,,,,,,,,,"馬単:1,410円 3連複:6,740円 3連単:21,280円",,,,,,,,,,,,"馬単:4,190円 3連複:12,200円 3連単:52,100円",,,,,,,,,,,
■ 3R  芝1800m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:14,,,,,■ 6R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 9R  ダ1700m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:11,,,,,■12R  芝1500m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ｻﾛﾏ湖特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 5,Ｂロイヤルダリア, 60,藤田伸,, 63,   4,* -1, 1,  1.6,⑦⑦⑥, 1, 2,Ａインユアアｰムス, 70,藤田伸,, 63,* -3,*  5, 1,  1.2,②②②, 1,10,Ｆラストアロｰ, 72,秋山真,, 77,*  5,* 12, 3,  4.1,③③③, 1,14,Ａマイネルスタｰリｰ, 80,藤田伸,, 77,  -6,* 14, 1,  3.4,⑧⑦④
 2, 4,Ｅウインスカイハイ, 53,長谷川, 0.0, 64,   6,* -4, 2,  4.9,⑥⑥④, 2, 1,Ｆシルキｰワイルド, 49,梶晃啓, 0.5, 60,* -2,   0, 4, 16.0,①①①, 2, 3,Ｂウィッシュビｰワン, 76,長谷川, 0.3, 76,*  6,   9, 2,  4.0,②②②, 2, 9,Ｃミゼリコルデ, 77,三浦皇, 0.1, 77,  -7,* 15, 2,  3.5,⑧⑩⑧
 3,11,Ａマイネルエデン, 63,三浦皇, 0.4, 57,* 12, -24, 3,  5.9,③②②, 3, 7,Ｂハクサンレジェンド, 66,丸田恭, 0.7, 59,  -3,   1, 2,  4.7,⑤④⑤, 3, 5,Ｅギルティストライク, 72,北村友, 0.8, 70,   2,* 12, 6, 15.1,⑥⑤⑤, 3, 5,Ｈジャングルテクノ, 74,松田大, 0.3, 73,  -3,   7, 3,  6.9,⑤⑤④
 4, 1,Ｃサトノミラクル, 57,的場勇, 0.7, 55,   4, -10, 5, 22.7,⑧⑦⑧, 4, 8,Ｈタマモピｰタｰパン, 39,田中博, 0.7, 60,  -6,*  6, 6, 71.8,⑥⑥⑥, 4,12,Ａメジロオマリｰ, 77,三浦皇, 0.9, 71,   1,* 13, 1,  2.6,⑧⑦⑤, 4, 7,Ｋトシザユカ, 70,長谷川, 0.4, 69,* -1,   1, 4,  7.3,①①①
 5,10,Ｆハイドランジア, 52,松田大, 1.0, 52,* 14, -34, 4, 10.2,①①①, 5, 3,Ｇハギノユウキ, 48,北村友, 1.5, 51,  -3,  -5, 5, 19.0,③④③, 5, 9,Ｃタカラトゥルｰ, 75,藤田伸, 1.0, 70,   1,  10, 4, 11.4,④④④, 5,12,Ｂランヘランバ, 78,津村明, 0.5, 69,* -2,   2, 8, 24.4,②②②
 6, 7,Ｊピエナファンタスト, 41,田中博, 1.1, 53,   3, -13, 9, 85.5,⑨⑨⑩, 6, 4,Ｅアストロダッシャｰ, 51,荻野琢, 2.8, 46,* -3, -19, 3, 13.2,③②③, 6, 1,Ｄヒロアンジェロ, 73,的場勇, 1.3, 66,*  6,  -1, 5, 12.5,①①①, 6,13,Ｎショウナンアクロス, 53,北村友, 0.5, 73, -10,* 13,11, 71.8,⑬⑫⑪
 7, 8,Ｇハイゲｰト, 47,北村友, 1.2, 53,   3, -14, 8, 48.8,⑪⑨⑩, 7, 6,Ｄフェロチェスナット, 51,山口竜, 2.9, 44,  -6, -12, 7, 72.0,⑦⑥⑦, 7, 8,Ｈジョｰモルデュｰ, 71,津村明, 1.6, 67,   1,   8, 7, 22.7,⑦⑦⑧, 7, 8,Ｊアサクサブラボｰ, 72,荻野琢, 0.5, 69,  -5,   5,12,150.7,⑥⑤⑦
 8, 2,Ｈテンシノザｰル, 43,山口竜, 1.4, 49,   0, -13,10, 88.2,⑩⑪⑧,,,,,,,,,,,,, 8, 6,Ｋコウメイグリｰン, 66,丸田恭, 1.7, 66,   0,   7,12, 88.8,⑧⑦⑦, 8, 6,Ｄジョウテンロマン, 76,菊沢隆, 0.5, 70,  -6,   8, 9, 29.2,⑧⑦⑧
 9, 6,Ｄヴィｰヴァサルｰテ, 56,芹沢純, 1.5, 47,* 12, -40, 6, 38.8,②②③,,,,,,,,,,,,, 9,13,Ｊタガノアルジェント, 67,小原義, 2.2, 63,  -3,   7,11, 88.7,⑪⑩⑪, 9, 1,Ｆクレバｰジェフリｰ, 75,的場勇, 0.6, 67,* -1,   2,10, 42.6,③③④
10, 9,Ｉボｰカリスト, 41,秋山真, 1.9, 44,  10, -38, 7, 41.1,④④④,,,,,,,,,,,,,10,11,Ｇワンダｰリディア, 71,山口竜, 2.6, 60,  -3,   4, 9, 48.4,⑩⑩⑧,10, 3,Ｅアドマイヤダｰリン, 75,芹沢純, 0.6, 69,  -4,   5, 6, 11.0,⑦⑦⑧
11, 3,Ｋレッドハイヒｰル, 39,大野拓, 4.1, 30,  10, -69,11,119.9,④④⑥,,,,,,,,,,,,,11, 2, コルチャック,---,田中博, 2.7, 60,  -5,   6,10, 55.0,⑪⑫⑫,11, 2,Ｇスパニッシュソウル, 75,秋山真, 0.7, 71,  -9,  12, 7, 16.7,⑬⑫⑪
,,,,,,,,,,,,,,,,,,,,,,,,12, 7,Ｉパレスエンペラｰ, 68,大江原, 3.9, 50,   1, -13, 8, 30.8,④⑥⑧,12, 4,Ｉアサヒバロン, 74,田中博, 0.7, 70,  -8,   9, 5,  9.1,⑪⑪⑪
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,11,Ｌエステヴァン, 70,小島太, 1.0, 62,* -2,  -4,13,169.6,④③③
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,10,Ｍクリノトップオｰ, 60,大野拓, 2.0, 56, -12,  -1,14,231.5,⑫⑭⑭
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:+9 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:81 ﾚｰｽﾍﾟｰｽ指数:-10 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:-1),,,,,,,,,,,
単勝:160円 複勝:05=110円 04=140円 11=120円 枠連:410円,,,,,,,,,,,,単勝:120円 複勝:02=100円 01=180円 07=100円 枠連:0円,,,,,,,,,,,,"単勝:410円 複勝:10=170円 03=160円 05=270円 枠連:1,000円",,,,,,,,,,,,単勝:340円 複勝:14=170円 09=140円 05=170円 枠連:650円,,,,,,,,,,,
馬連:400円 ワイド:04-05=170円 05-11=180円 04-11=330円,,,,,,,,,,,,馬連:750円 ワイド:01-02=200円 02-07=110円 01-07=300円,,,,,,,,,,,,馬連:910円 ワイド:03-10=440円 05-10=810円 03-05=700円,,,,,,,,,,,,馬連:760円 ワイド:09-14=280円 05-14=430円 05-09=340円,,,,,,,,,,,
"馬単:510円 3連複:470円 3連単:1,560円",,,,,,,,,,,,"馬単:1,000円 3連複:380円 3連単:1,720円",,,,,,,,,,,,"馬単:1,640円 3連複:3,390円 3連単:14,430円",,,,,,,,,,,,"馬単:1,440円 3連複:1,440円 3連単:5,590円",,,,,,,,,,,
,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,,,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,
,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,,,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,
