08年 8月16日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 8月16日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 4R  芝1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝1200m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■10R  芝1800m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,,,,,,,,,,,,,西部ｽﾎﾟﾆﾁ賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
10, 4,Ｆメルシｰリファイン, 52,渡辺薫, 1.3, 51,  -5,   1, 9, 67.6, ⑨⑨,10,16,Ｐキャプテンルビｰ, 38,船曳文, 3.1, 47,  -5,  -5, 5, 21.9,⑧⑨⑨,10, 5,Ｉサンタナイト, 66,小坂忠, 1.4, 55,  -1,  -7,12, 46.6, ⑨⑧, 9, 7,Ａスマｰトトリック, 77,藤岡康, 1.2, 65,   3,   2, 3,  9.6,⑧⑦⑦
11, 8,Ｌツｰソックス, 32,上村洋, 2.5, 38,   2, -17, 3,  6.4, ④⑥,11,13,Ｍアイスキャスケｰド, 42,田中克, 3.2, 49, -10,   2,15,207.0,⑮⑮⑭,11, 2,Ｈマルシゲヨカニセ, 67,大下智, 1.8, 51,  -7,  -8, 9, 41.9, ⑫⑬,10, 5,Ｍウインステルス, 69,熊沢重, 1.8, 61,   4,  -4, 9, 34.8,⑤⑥⑥
12,14,Ｋリアルタイム, 37,太宰啓, 2.6, 34, -13,  -7,12,221.9, ⑫⑫,12, 4,Ｉワイズプロロｰグ, 49,石橋守, 3.3, 47,  -7,  -4,12,146.2,⑫⑪⑪,12, 1,Ｎヴィクロｰザ, 44,渡辺薫, 1.8, 50,  -6,  -7,14,118.8, ⑫⑫,11, 9,Ｇロングエンパイヤ, 73,飯田祐, 2.1, 58,   1,  -2,13, 73.7,⑭⑬⑭
13, 1,Ｉエイユｰルｰジュ, 47,野元昭, 2.7, 35, -12,  -9,14,324.0, ⑫⑫,13, 5,Ｋデンコウコルモ, 43,大下智, 3.9, 44,  -7,  -9,16,212.0,⑧⑪⑪,13,13,Ｂステニスハｰト, 71,浜中俊, 1.9, 50,   4, -15, 3,  7.0, ③⑥,12,10,Ｊタガノタイムピｰス, 71,吉田隼, 2.5, 54,   4, -11, 2,  4.3,⑥④③
14,13,Ｍマルサンブルジュ, 27,田中健, 3.2, 31,  -4, -18,13,257.3, ⑨⑪,14,10,Ｄメイショウメモリア, 61,上村洋, 4.0, 42,  -2, -16, 8, 48.1,⑤⑤⑧,14,12,Ｍシゲルダンヤバｰド, 55,角田晃, 2.5, 45,   4, -20,13, 95.6, ③⑨,14,12,Ｅタマモディファイ, 74,小牧太, 2.9, 50,*  6, -17, 4, 10.1,①①②
,,,,,,,,,,,,15, 6,Ｌエイワヒデタダ, 42,田辺裕, 4.6, 33,  -7, -15, 7, 40.2,⑩⑪⑪,,,,,,,,,,,,,15,13,Ｎトウショウクエスト, 68,浜中俊, 3.4, 47,*  5, -20,12, 60.8,②②⑦
,,,,,,,,,,,,16, 9,Ｈホｰリｰランス, 52,岩部純, 4.6, 40, -15,   1, 9, 70.8,⑯⑯⑯,,,,,,,,,,,,,16,14,Ｏレｰザｰウイング, 68,佐藤哲, 3.6, 48,   3, -17,16,155.1,⑨⑩⑯
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:重(指数:-9),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:不良(指数:-9),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:不良(指数:-9),,,,,,,,,,,,ｸﾗｽ上位平均:75 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:不良(指数:-9),,,,,,,,,,,
単勝:250円 複勝:11=110円 02=150円 10=150円 枠連:400円,,,,,,,,,,,,単勝:280円 複勝:03=110円 11=120円 01=630円 枠連:310円,,,,,,,,,,,,"単勝:1,170円 複勝:10=530円 03=810円 09=510円 枠連:4,930円",,,,,,,,,,,,"単勝:1,180円 複勝:08=330円 11=530円 04=2,660円 枠連:1,370円",,,,,,,,,,,
