08年10月 4日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年10月 4日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■ 4R  芝1600m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1200m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■10R  ダ2000m 3歳上ｵｰﾌﾟﾝ(国) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,ｼﾘｳｽｽﾃｰｸｽ ＧⅢ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
"馬単:490円 3連複:1,510円 3連単:4,450円",,,,,,,,,,,,"馬単:7,370円 3連複:15,950円 3連単:75,490円",,,,,,,,,,,,"馬単:5,370円 3連複:4,240円 3連単:31,470円",,,,,,,,,,,,"馬単:5,890円 3連複:4,920円 3連単:41,320円",,,,,,,,,,,
■ 2R  芝1800m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:10,,,,,■ 5R  ダ1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-5,,,,,■ 8R  芝2200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■11R  芝1400m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,浅口特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,10,Ｅラルｰチェ, 56,福永祐,, 62, -10,*  6, 1,  1.9, ⑦⑨, 1,12,Ｆドンペリゴｰル, 50,石橋守,, 68,*  6,* -4, 1,  2.5, ②②, 1, 7,Ａサムズアップ, 76,四位洋,, 76,   2,* 15, 1,  3.4,⑬⑫⑩, 1, 8,Ａトｰセンイマジゲン, 82,池添謙,, 81,   1,  15, 1,  4.3, ⑤⑤
 2, 8,Ｉカネトシタフガイ, 47,藤岡康, 0.2, 61, -11,*  6, 9, 67.4, ⑪⑪, 2, 3,Ｃアｰスファイヤｰ, 60,野元昭, 0.2, 64,   4,* -5, 7, 14.9, ④④, 2,14,Ｋマイネルロｰゼン, 69,福永祐, 0.0, 72,*  6,   4, 2,  3.5,①①①, 2,13,Ｏケイアイプラウド, 66,上村洋, 0.1, 79,*  5,   8, 9, 22.2, ③③
 3, 5,Ａジャックボイス, 63,川田将, 0.3, 57,* -5,  -7, 6, 23.1, ②②, 3, 5,Ｂクリノハクバチャン, 63,小牧太, 0.4, 63,*  7,  -9, 3,  7.9, ②②, 3,11,Ｂカネトシソレイユ, 76,渡辺薫, 0.0, 75,   2,  13, 6, 21.6,⑩⑦⑦, 3, 5,Ｉメスナｰ, 71,福永祐, 0.2, 77,*  9,   2, 5,  8.1, ①①
 4, 3,Ｇコスモタイムマシン, 54,川島信, 0.4, 57,  -8,  -2,10, 69.9, ⑩⑤, 4, 4,Ｊフォレストチャｰム, 44,浜中俊, 0.4, 61,   3,* -6, 9, 19.7, ⑤⑤, 4,15,Ｈナリタキングパワｰ, 72,岩田康, 0.1, 75,   0,* 17, 3,  4.7,⑯⑭⑭, 4,10,Ｃフミノバラｰド, 75,岩田康, 0.2, 77,*  7,   6, 4,  6.5, ②②
 5, 7,Ｄババロア, 57,四位洋, 0.4, 57,  -7,  -6, 2,  3.8, ③④, 5, 1,Ｅネオシンフォニｰ, 52,赤木高, 1.3, 52,   2, -13, 5, 11.7, ⑤⑥, 5, 5,Ｌフュｰチャｰボｰイ, 69,小牧太, 0.3, 73,   2,  11, 4,  7.2,⑩⑫⑪, 5, 2,Ｅスワン, 72,飯田祐, 0.2, 78,   3,  11, 2,  4.8, ⑤⑤
 6, 9,Ｈテンシノマズル, 52,中村将, 0.5, 55,* -4, -13, 8, 41.5, ①①, 6, 8,Ｇアグネステンション, 48,田村太, 1.5, 49,  -9,* -4,14,230.5, ⑫⑩, 6,17,Ｃスプリングバレル, 73,池添謙, 0.3, 68,*  5,   1,13, 76.7,②②②, 6, 9,Ｆゴッドスマイルユｰ, 72,浜中俊, 0.3, 80,   0,  14, 6,  9.5, ⑧⑦
 7, 6,Ｆシゲルキリガミネ, 54,田嶋翔, 0.5, 57,  -8,  -3, 7, 27.1, ⑦⑨, 7,14,Ｌマイコハン, 32,大下智, 1.7, 49,  -3, -12,13,219.6, ⑨⑦, 7, 6,Ｇフェルヴィｰド, 72,幸英明, 0.4, 70,   3,   3, 5,  8.8,②③③, 7, 7,Ｄスプリングダボス, 75,幸英明, 0.6, 76,  -4,  13,10, 26.9, ⑩⑨
 8, 1,Ｂフィクサｰ, 62,渡辺薫, 0.6, 55,* -5, -10, 5, 11.2, ③②, 8,13,Ｄゴｰルデンホｰク, 57,吉田稔, 2.0, 51,*  9, -25, 6, 13.1, ①①, 8,13,Ｏサクラサクセス, 62,浜中俊, 0.4, 71,   3,   3,15,156.5,⑤③③, 8, 4,Ｌトｰセンマエストロ, 68,赤木高, 0.6, 80, -12,* 24, 8, 20.3, ⑭⑭
 9, 4,Ｃタガノヴァンドｰム, 59,橋本美, 0.8, 52,  -7, -10, 3,  7.0, ⑦⑤, 9,10, アスカノペガサス,---,金折知, 2.2, 43,  -7, -11,10, 57.4, ⑩⑩, 9,10,Ｐハナノカカリチョウ, 62,安藤光, 0.4, 72,   2,  10,11, 62.5,⑦⑩⑪, 9, 1,Ｊビッグファルコン, 69,田中克, 0.6, 74,   0,   9,14,182.3, ⑦⑦
10, 2,Ｊマイネチェルシｰ, 42,石橋守, 0.9, 53,  -8, -10,11,148.8, ⑤⑤,10, 7,Ｋエメラルドワン, 37,安藤光, 2.2, 43,  -2, -16, 8, 16.8, ⑦⑧,10,16,Ｍセイカジｰベック, 68,太宰啓, 0.5, 70,   4,   3,17,214.0,④③⑤,10, 3,Ｇワンダｰクラフティ, 72,四位洋, 0.8, 74,  -5,  13, 7, 11.7, ⑪⑪
11,11,Ｋコウエイテンプウ, 40,浜中俊, 1.3, 49,  -8, -16, 4, 10.5, ⑤⑤,11, 2,Ｈシルキｰハヤテ, 48,中村将, 2.3, 41, -12,  -7,11, 58.3, ⑫⑭,11, 2,Ｄロｰランクリムゾン, 73,藤岡康, 0.5, 71,   0,  11,10, 59.6,⑭⑭⑭,11,15,Ｍカｰムブレイカｰ, 68,石橋守, 0.9, 74,  -8,* 16,11, 87.7, ⑬⑬
,,,,,,,,,,,,12,15, コアレスビアンコ,---,藤岡康, 2.5, 41, -13,  -8,12,100.2, ⑭⑫,12, 9,Ｆワンダｰポテンシア, 72,石橋守, 0.6, 70,   2,   5,14,105.5,⑦⑦⑦,12,11,Ｈツルマルフェロｰ, 72,小牧太, 0.9, 74,  -6,  14,13, 96.6, ⑪⑪
,,,,,,,,,,,,13, 6,Ａバンジョｰピジョン, 64,酒井学, 2.6, 41,  -3, -19, 4,  8.8, ⑦⑨,13, 4,Ｅクリノコブオｰ, 73,酒井学, 0.6, 69,   4,   3, 8, 49.1,⑤⑦⑦,13,14,Ｂシルポｰト, 80,川田将, 1.0, 67,   4,  -2, 3,  5.6, ④④
,,,,,,,,,,,,14, 9, トｰワグレイト,---,川田将, 2.8, 39,  -8, -15, 2,  4.8, ⑩⑬,14, 3,Ｎメイショウリバｰ, 64,飯田祐, 0.7, 68,   2,   4,12, 70.3,⑩⑩⑪,14,12,Ｎパｰプルコブラ, 66,中村将, 1.8, 64, -12,  10,15,283.2, ⑭⑮
