08年 6月22日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 6月22日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 4R  芝1200m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  芝2000m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■10R  芝2000m 3歳上ｵｰﾌﾟﾝ(牝) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,ﾏｰﾒｲﾄﾞｽﾃｰｸｽ ＧⅢ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
"馬単:5,000円 3連複:53,040円",,,,,,,,,,,,"馬単:3,980円 3連複:10,670円",,,,,,,,,,,,"馬単:35,870円 3連複:25,990円",,,,,,,,,,,,"馬単:180,840円 3連複:178,370円 3連単:1,930,350円",,,,,,,,,,,
■ 2R  ダ1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■ 5R  芝1800m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 8R  芝1200m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■11R  芝1600m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,三宮特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 3,Ａライコウテンユウ, 68,小牧太,, 64,*  8,  -5, 1,  2.4, ②②, 1, 7,Ｉドリｰムストライド, 56,武豊  ,, 79,* 10,*  0, 3,  5.2, ①①, 1,10,Ａオリオンスタｰズ, 83,福永祐,, 85,* 14,   1, 1,  1.8, ②②, 1, 5,Ｄアドマイヤヘッド, 80,川田将,, 87,  21,* -8, 9, 30.4, ⑤⑤
 2, 4, マイティｰストｰム,---,藤岡康, 0.3, 56,  -6,*  5, 4,  9.1, ⑪⑪, 2, 2,Ｂアルトップラン, 64,佐藤哲, 1.0, 67,*  8, -11, 4,  6.3, ③④, 2, 2,Ｅシャトルタテヤマ, 72,小牧太, 0.0, 85,* 14,   1, 6, 18.0, ①①, 2, 4,Ｂテイエムアタック, 84,和田竜, 0.3, 84,* 25, -20, 1,  2.4, ②②
 3, 6,Ｄラケナリア, 61,福永祐, 0.3, 63,* 11, -11, 5, 12.0, ①①, 3, 1,Ｅオｰスミツルギ, 60,和田竜, 1.1, 68,   6,  -8, 6, 16.8, ⑤⑦, 3, 9,Ｄボストンオｰ, 73,和田竜, 0.4, 77,   7,   2, 5, 15.5, ⑧⑦, 2, 7,Ｅタガノグラマラス, 80,高田潤, 0.3, 84,* 26, -21, 3,  6.6, ①①
 4,11,Ｅカシノデンシロ, 59,白坂聡, 0.4, 60,   5,  -5,12,157.2, ⑤④, 4,11,Ｈトミケンプライム, 57,浜中俊, 1.2, 72,   7,  -7, 7, 20.6, ⑫⑩, 4, 8,Ｊエｰシンビｰエル, 65,幸英明, 0.5, 75,   3,   5, 4, 13.7, ⑨⑩, 4,16,Ａシルバｰブレイズ, 84,角田晃, 0.3, 87,  13,*  3, 2,  6.5, ⑮⑫
 5, 9,Ｃグレイホｰク, 61,川田将, 0.7, 58,*  8, -12, 3,  8.8, ②②, 5,14,Ｄエアジャメヴｰ, 63,岩田康, 1.2, 65,   7, -11, 2,  5.1, ⑧⑦, 5, 1,Ｃトｰセンイマジゲン, 73,武豊  , 0.5, 73,  -5,* 14, 2,  3.2, ⑭⑬, 5,12,Ｈマイネルクラッチ, 78,武豊  , 1.1, 76,  15, -14, 4,  7.0, ⑨⑨
 6, 2,Ｈゲイリｰリバイバル, 54,秋山真, 0.7, 57,   4,  -7, 7, 26.8, ⑤④, 6, 4,Ｃメイショウグラｰド, 64,幸英明, 1.3, 66,   4,  -9, 1,  2.7, ⑧⑩, 6, 5,Ｆヴェンティ, 71,佐藤哲, 0.8, 72,  10,  -5, 7, 35.9, ⑤③, 6,10,Ｊダイアモンドヘッド, 77,佐藤哲, 1.2, 74,  18, -20,11, 47.9, ⑧⑧
