08年12月 7日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年12月 7日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 4R  芝2880m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ1200m 2 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■10R  ダ1200m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
16,11,Ｐギャングバスタｰズ,  6,村田一, 4.1, 29, -13, -15,16,295.4, ⑯⑯,,,,,,,,,,,,,,,,,,,,,,,,,16, 4,Ｎダイワエルパソ, 72,北村宏, 2.9, 57, -14,   6,13,175.6, ⑯⑯
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:59 ﾚｰｽﾍﾟｰｽ指数:+11 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:良(指数:-2),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:69 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:85 ﾚｰｽﾍﾟｰｽ指数:-18 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:良(指数:-2),,,,,,,,,,,
"単勝:790円 複勝:08=300円 09=2,740円 04=150円 枠連:3,020円",,,,,,,,,,,,単勝:230円 複勝:03=110円 10=110円 13=230円 枠連:210円,,,,,,,,,,,,単勝:200円 複勝:03=110円 10=110円 01=250円 枠連:150円,,,,,,,,,,,,"単勝:1,240円 複勝:07=280円 12=120円 08=450円 枠連:630円",,,,,,,,,,,
"馬連:85,000円 ワイド:08-09=13,870円 04-08=530円 04-09=4,630円",,,,,,,,,,,,馬連:210円 ワイド:03-10=130円 03-13=410円 10-13=500円,,,,,,,,,,,,馬連:160円 ワイド:03-10=120円 01-03=390円 01-10=440円,,,,,,,,,,,,"馬連:1,040円 ワイド:07-12=450円 07-08=2,000円 08-12=730円",,,,,,,,,,,
"馬単:120,900円 3連複:51,260円 3連単:671,610円",,,,,,,,,,,,"馬単:470円 3連複:790円 3連単:2,170円",,,,,,,,,,,,"馬単:310円 3連複:650円 3連単:1,600円",,,,,,,,,,,,"馬単:2,940円 3連複:4,550円 3連単:28,670円",,,,,,,,,,,
■ 2R  ダ1800m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 5R  ダ1800m 2 歳新馬 馬齢,,,,,,,,,,,,■ 8R  ダ1800m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■11R  芝1600m 3歳上ｵｰﾌﾟﾝ(牝) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ中山,,,,,,,,,,,,,,,,,,,,,,,,ﾀｰｺｲｽﾞｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,11,Ａファインビスティｰ, 71,勝浦正,, 75,* -1,* 14, 1,  1.7,②②②, 1,11, チュニジアンブルｰ,---,勝浦正,, 70,   3,*  5, 1,  3.4,⑨⑥④, 1, 3,Ａスタｰシップ, 80,北村宏,, 80,   2,* 18, 2,  3.6,⑫⑬⑬, 1, 9,Ｈザレマ, 86,柴田善,, 87,*  2,  16, 6, 12.3,②①①
 2,10,Ｈスタｰリバイバル, 53,吉田豊, 0.4, 72,*  0,* 10, 3,  6.0,①①①, 2,10, ロｰレルセラヴィ,---,小林淳, 0.6, 66,*  4,  -3, 2,  3.6,④③③, 2,16,Ｉロｰランウェルズ, 75,丸田恭, 0.7, 74,   3,   8,12, 69.4,④⑥⑥, 2, 7,Ｎカレイジャスミン, 76,北村宏, 0.0, 86,* -1,  20,10, 25.7,①③③
 3, 5,Ｂサトノバロン, 65,三浦皇, 2.1, 59,  -2,  -1, 2,  4.4,③④③, 3, 9, フロｰラルウインド,---,大庭和, 1.4, 60,   3,  -6, 3,  5.3,⑥⑤⑤, 3,12,Ｃストｰムタイガｰ, 77,デムｰ, 0.8, 74,   4,   8, 1,  3.3,⑤⑧⑨, 3,12,Ｍソｰマジック, 79,松岡正, 0.1, 86,* -1,  18, 1,  5.0,⑦④④
 4, 8,Ｇプロヴィデンス, 53,柴田善, 2.4, 58,  -3,  -1, 4, 10.2,④⑦⑤, 4, 8, グレゴリオ,---,柴田善, 1.7, 58,*  4, -12, 4,  6.7,③②②, 4, 6,Ｋエプソムメサイア, 70,宮崎北, 1.1, 69,*  4,   3,10, 36.5,⑦③③, 4,11,Ｏハｰトオブクィｰン, 76,勝浦正, 0.4, 82,* -1,  13,14, 70.0,④②②
 5, 1,Ｄノボレインボｰ, 62,田中勝, 2.5, 58,  -4,   0, 6, 29.6,⑦⑧⑥, 5, 7, コスモハｰモニｰ,---,丹内祐, 2.1, 56,  -1,  -6,10, 38.0,⑩⑨⑦, 5, 8,Ｂトラストブラック, 78,田中勝, 1.1, 73,   2,   9, 9, 26.0,⑭⑭⑫, 5, 8,Ｐキャッチｰタイトル, 72,中舘英, 0.4, 83,  -2,  16,13, 54.3,⑤⑤⑤
 6, 9,Ｃアイスジャッカ, 62,北村宏, 2.6, 56,  -2,  -6, 5, 24.3,⑤③④, 6, 2, ジャンボマズル,---,江田照, 3.7, 46,   3, -28, 9, 37.8,①①①, 6,11,Ｇマイネルアベニｰル, 76,柴山雄, 1.3, 72,   4,   4, 3,  5.7,⑪⑨⑦, 6, 1,Ｆウェディングフジコ, 87,武士沢, 0.4, 85,  -5,  20, 5, 11.1,⑧⑨⑨
 7,12,Ｆリネントランポリｰ, 59,村田一, 3.0, 58,  -5,  -3,14,329.8,⑯⑪⑫, 7, 6, タマモコロナ,---,松岡正, 4.2, 43,   4, -31, 5, 11.7,②④⑥, 7, 1,Ｄデュヴァル, 77,勝浦正, 1.3, 70,*  5,   0, 4,  8.7,②②①, 7, 5,Ｃハチマンダイボサツ, 89,吉田隼, 0.5, 84,  -6,* 21, 2,  5.4,⑬⑫⑫
 8,16,Ｋウォｰエレファント, 47,吉田隼, 3.0, 53,  -2,  -9,10,112.4,⑥⑤⑦, 8, 4, ミヤギスピリット,---,木幡初, 4.4, 40,   2, -30, 8, 27.4,⑧⑦⑧, 8, 9,Ｆハウンドコップ, 76,大庭和, 1.3, 69,   3,   3,11, 48.3,⑧⑤⑤, 8, 6,Ｉイクスキュｰズ, 85,三浦皇, 0.5, 84,  -3,  17, 9, 14.7,⑪⑩⑩
 9, 4,Ｊドンヤマト, 48,デムｰ, 3.2, 54,  -6,  -3, 8, 39.4,⑩⑫⑪, 9, 5, ジェイケイラン,---,村田一, 4.6, 44,  -5, -18,11,103.9,⑪⑪⑩, 9,15,Ｍシルクパナシア, 69,吉田隼, 1.4, 69,*  5,   1, 6, 11.9,③④④, 9, 2,Ｇスペシャルフロｰト, 87,黛弘人, 0.6, 81,  -2,  14,16, 95.1,③⑦⑦
10,14,Ｍゴｰルドウェｰヴ, 42,的場勇, 3.6, 53,  -8,  -3,11,184.8,⑮⑭⑭,10, 1, ベニバナソング,---,千葉直, 7.5, 26,   0, -53, 6, 12.4,⑤⑧⑨,10,13,Ｎキｰプウイニング, 68,安藤光, 1.4, 69,   2,   5,15,179.9,⑬⑫⑪,10,15,Ｅラズベリｰタイム, 87,村田一, 0.7, 84,  -8,* 21,15, 82.1,⑭⑭⑭
11,15,Ｅモリトキボウ, 60,武士沢, 4.2, 47,  -4, -13, 7, 36.3,⑪⑩⑩,11, 3, ファウンテンリズム,---,吉田豊,12.2,-12,  -5, -81, 7, 13.0,⑦⑩⑪,11, 5,Ｅウエスタンリジ, 76,田中博, 1.4, 70,   3,   5, 8, 23.9,⑩⑪⑮,11,10,Ｄヤマニンエマイユ, 88,田中勝, 0.7, 81,  -2,  13, 3,  5.6,⑥⑧⑧
12, 7,Ｌインタｰメディア, 44,宮崎北, 4.4, 44,  -6, -13,16,607.7,⑫⑬⑬,,,,,,,,,,,,,12,10,Ｊメジロティモン, 72,吉田豊, 1.7, 70,  -1,   8, 5, 11.1,⑮⑮⑯,12, 4,Ｂワルキュｰレ, 90,的場勇, 0.7, 79,  -5,  17,12, 37.5,⑨⑪⑪
13, 6,Ｉバットマンデガジェ, 48,西田雄, 4.8, 41,  -4, -19,12,223.0,⑧⑨⑨,,,,,,,,,,,,,13, 7,Ｈアレクシオス, 76,村田一, 1.7, 73,   0,   9, 7, 20.3,⑯⑯⑭,13,13,Ｋアスクデピュティ, 83,吉田豊, 0.8, 82,  -9,* 23, 8, 14.0,⑮⑯⑯
14, 2,Ｐファストカントリｰ, -4,丸田恭, 5.8, 37,  -9, -20,15,353.0,⑬⑮⑮,,,,,,,,,,,,,14, 2,Ｌツルマイクィｰン, 70,中谷雄, 3.5, 56,   3, -13,16,340.0,⑨⑩⑧,14,16,Ｊヘイロｰフジ, 84,飯田祐, 0.8, 81,  -8,  20,11, 37.1,⑫⑮⑮
15,13,Ｎシックスシグマ, 38,菊沢隆, 5.8, 37,  -2, -31, 9, 85.5,⑨⑥⑧,,,,,,,,,,,,,15, 4,Ｏアトラスシｰダｰ, 64,石橋脩, 3.9, 51,*  5, -21,13, 81.8,①①②,15, 3,Ｌマイネカンナ, 83,デムｰ, 1.0, 78,  -7,  17, 7, 13.8,⑯⑬⑬
16, 3,Ｏザッツライト, 25,田辺裕,10.4,  3,  -9, -55,13,244.2,⑭⑯⑯,,,,,,,,,,,,,16,14,Ｐエイミングポイント, 61,岩部純, 4.1, 51,   4, -20,14,175.3,⑥⑦⑩,16,14,Ａライムキャンディ, 91,藤岡佑, 1.5, 67,  -2,   0, 4,  6.0,⑩⑥⑥
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:59 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:+6 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-8 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:86 ﾚｰｽﾍﾟｰｽ指数:-11 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:2),,,,,,,,,,,
単勝:170円 複勝:11=110円 10=130円 05=120円 枠連:370円,,,,,,,,,,,,単勝:340円 複勝:11=120円 10=130円 09=180円 枠連:540円,,,,,,,,,,,,"単勝:360円 複勝:03=140円 16=1,050円 12=150円 枠連:1,760円",,,,,,,,,,,,"単勝:1,230円 複勝:09=300円 07=660円 12=200円 枠連:4,000円",,,,,,,,,,,
馬連:450円 ワイド:10-11=180円 05-11=160円 05-10=320円,,,,,,,,,,,,馬連:570円 ワイド:10-11=240円 09-11=350円 09-10=400円,,,,,,,,,,,,"馬連:12,250円 ワイド:03-16=2,420円 03-12=250円 12-16=3,420円",,,,,,,,,,,,"馬連:16,770円 ワイド:07-09=4,140円 09-12=1,040円 07-12=2,180円",,,,,,,,,,,
"馬単:630円 3連複:450円 3連単:1,620円",,,,,,,,,,,,"馬単:1,040円 3連複:790円 3連単:2,800円",,,,,,,,,,,,"馬単:17,710円 3連複:12,790円 3連単:86,150円",,,,,,,,,,,,"馬単:32,970円 3連複:26,400円 3連単:233,090円",,,,,,,,,,,
■ 3R  芝2000m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 6R  芝1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 9R  芝1200m 2 歳ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■12R  芝2500m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ中山,,,,,,,,,,,,ｸﾘｽﾏｽﾛｰｽﾞS,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,11,Ａワｰルドカルティエ, 64,北村宏,, 59,* -9,   1, 1,  1.7,①①①, 1, 4, フェルミオン,---,吉田豊,, 69,  -7,*  8, 4,  8.6, ⑤④, 1, 2,Ｂスガノメダリスト, 69,吉田隼,, 79,   3,* 13, 5, 15.2, ⑥⑤, 1, 7,Ｂビｰビｰファルコン, 84,田中勝,, 80,*  9,  17, 2,  3.7,①①①
 2, 8,Ｂライドザウインド, 63,吉田豊, 0.3, 61, -12,*  4, 2,  5.1,⑦⑥⑥, 2,13, リュウキュウサンバ,---,柴田善, 0.6, 60,*  0,  -8, 5, 13.8, ①①, 2, 5,Ｅコリコパット, 63,中舘英, 0.1, 79,  -3,* 17, 6, 17.5, ⑩⑥, 2,11,Ａシグナリオ, 86,松岡正, 0.0, 79,*  7,* 19, 1,  2.5,②③②
 3,16,Ｊワイルドトウショウ, 49,武士沢, 0.5, 60, -13,*  4, 5, 18.7,⑫⑨⑨, 3, 6, オリオンザブルｰ,---,吉田隼, 0.6, 61,* -3,  -4, 9, 60.7, ②②, 3,12,Ｄアドバンスヘイロｰ, 65,三浦皇, 0.5, 74,  -1,  10, 2,  5.0, ⑨⑨, 3, 5,Ｊトｰセンジョｰカｰ, 66,江田照, 0.4, 76,*  7,  15, 5,  9.8,③②③
 4, 2,Ｉマイネルアリオン, 50,三浦皇, 0.6, 57,*-11,  -2,10, 35.8,③③③, 4, 2, シｰアンムｰン,---,柴山雄, 1.0, 55, -16,*  3,14,249.8, ⑩⑦, 4, 6,Ｇアラマサロｰズ, 62,勝浦正, 0.5, 74,*  6,   4,11, 49.7, ③③, 4, 2,Ｃクロカンブッシュ, 84,三浦皇, 0.5, 78,   6,* 18, 8, 22.8,⑧⑦⑤
 5,15,Ｑコスモカサブランカ, 36,松岡正, 0.8, 55, -13,  -1, 4,  9.7,⑧⑧⑧, 5, 3, スプリングユノｰ,---,松岡正, 1.3, 51, -17,   0,11, 94.0, ⑪⑧, 5, 1,Ｈエペデュｰ, 59,北村宏, 0.6, 70,   1,   6, 4, 11.6, ⑤④, 5, 9,Ｋコンバットキック, 44,小林俊, 0.8, 73,   6,  12,10,110.5,⑩⑩⑨
 6, 4,Ｌダイワオｰダｰ, 41,宮崎北, 0.9, 53, -12,  -5,13,254.6,④⑤⑤, 6, 9, スピｰドスクエア,---,的場勇, 1.4, 48, -12,  -7, 2,  4.3, ⑧⑩, 6, 4,Ｉコルサｰジュ, 56,川島信, 0.7, 70,  -5,  12, 7, 26.4, ⑫⑪, 6, 8,Ｄマチカネゲンジ, 81,北村宏, 1.1, 68,   6,   8, 3,  6.1,⑥⑧⑥
 7, 6,Ｈカンタベリｰキング, 51,大野拓, 1.0, 59, -17,*  7,16,279.3,⑮⑮⑰, 7, 5, フレアトウショウ,---,小林久, 1.5, 48,  -7, -13, 7, 52.1, ③③, 7, 9,Ｆコスモユウコリン, 62,松岡正, 0.9, 67,   0,   3, 3, 10.2, ⑧⑦, 7, 4,Ｈサムデイシュアｰ, 75,田中博, 1.2, 68,*  7,   3, 7, 20.7,④④④
 8,14,Ｆサオリチャン, 51,田中勝, 1.0, 56, -13,  -1, 3,  8.7,⑬⑫⑫, 8,14, ヒラボクドリｰム,---,三浦皇, 1.7, 46,  -9, -13, 3,  4.4, ⑦⑨, 8, 3,Ｃラブチャｰミｰ, 67,藤岡佑, 0.9, 68,*  5,  -1, 8, 39.3, ②②, 8, 6,Ｅショウナンラヴァｰ, 78,吉田豊, 1.3, 68,   6,   7, 4,  8.3,⑪⑪⑪
 9,12,Ｅナスノロビン, 52,勝浦正, 1.0, 51,* -9, -11, 7, 27.7,②②②, 9, 1, ネオディメンション,---,デムｰ, 1.8, 44, -22,  -1, 1,  2.1, ⑭⑬, 9,11,Ａツルマルジャパン, 73,柴田善, 1.0, 67,*  6,  -4, 1,  1.6, ①①, 9, 1,Ｇダｰクフラッシュ, 75,デムｰ, 1.5, 64,*  7,  -2, 6, 13.5,⑨⑥⑦
10, 3,Ｃトドロキエンジェル, 59,柴山雄, 1.1, 57, -17,*  6, 6, 25.8,⑭⑯⑭,10,10, キャシャリン,---,武士沢, 1.9, 44, -18,  -6,12,125.3, ⑬⑫,10, 7,Ｊタイキジャガｰ, 54,デムｰ, 1.9, 54,  -3,  -7, 9, 40.9, ⑪⑫,10,10,Ｉウインバリエンテ, 74,丸田恭, 1.9, 60,*  7,  -6,11,110.6,⑤⑤⑧
11, 9,Ｄコスモピグマン, 54,丸田恭, 1.2, 50, -13,  -3, 8, 30.6,⑩⑪⑪,11,11, エイダイベアハｰト,---,大庭和, 1.9, 42, -17,  -8,10, 70.8, ⑫⑪,11,10,Ｋミラグロレディ, 48,吉田豊, 2.8, 43,   3, -23,10, 44.9, ⑦⑩,11, 3,Ｆオルドリｰバ, 77,千葉直, 2.3, 58,   6,  -9, 9, 94.8,⑦⑨⑩
12, 5,Ｋホワイトライクミｰ, 48,江田照, 1.3, 50, -13,  -5, 9, 34.0,⑨⑩⑩,12, 8, サロン,---,石橋脩, 1.9, 44,  -9, -16, 6, 44.1, ⑥⑤,12, 8,Ｌリュウノシルバｰ, 39,津村明, 3.9, 30,   4, -39,12,324.4, ④⑧,,,,,,,,,,,,
13, 1,Ｍザバトルブリリアン, 41,柴田善, 1.6, 49, -16,  -5,11, 94.1,⑪⑬⑬,13, 7, ミスミヤギ,---,木幡初, 2.6, 34,  -7, -27,13,127.5, ④⑥,,,,,,,,,,,,,,,,,,,,,,,,
14, 7,Ｏプリズムドウル, 39,木幡初, 1.6, 45, -13, -12,14,260.9,⑥⑦⑦,14,12, エクリプスロマン,---,藤岡佑, 3.9, 17, -12, -39, 8, 54.6, ⑨⑭,,,,,,,,,,,,,,,,,,,,,,,,
15,13,Ｇイガノハイレディｰ, 51,吉田隼, 1.8, 43,* -9, -19,17,331.7,⑤④④,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,18,Ｎシングアゲン, 40,小野次, 2.0, 47, -17,  -6,12,155.3,⑰⑰⑯,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,10,Ｒダンチョウ, 32,川島信, 2.6, 35, -16, -19,18,568.2,⑯⑭⑮,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,17,Ｐルミナスヘイロｰ, 38,的場勇, 2.7, 40, -21,  -5,15,270.0,⑱⑱⑱,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:68 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:良(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:2),,,,,,,,,,,
