08年 8月23日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 8月23日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1800m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 4R  芝1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1000m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■10R  芝1800m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ札幌,,,,,,,,,,,,,,,,,,,,,,,,石狩特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
"馬単:860円 3連複:5,960円 3連単:15,520円",,,,,,,,,,,,"馬単:1,840円 3連複:7,140円 3連単:26,600円",,,,,,,,,,,,"馬単:2,600円 3連複:3,700円 3連単:17,080円",,,,,,,,,,,,"馬単:1,950円 3連複:11,070円 3連単:46,470円",,,,,,,,,,,
■ 2R  ダ1000m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 5R  ダ1700m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■ 8R  ダ1700m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■11R  芝2000m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,日高特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 5,Ｄスズカプラチナ, 63,芹沢純,, 64,* -3,   4, 6, 18.5, ②①, 1,11,Ｇヒミノプリンセス, 56,竹之下,, 55,  -2,*  5,10, 49.1,⑨⑥④, 1, 5, ダイバクフ,---,馬渕繁,, 66,   1,  12, 9, 26.7,⑥⑤⑤, 1, 3,Ｂドリｰムサンデｰ, 79,岩田康,, 88,* -3,* 27, 1,  2.2,①①①
 2, 8,Ｂサルラ, 70,岩田康, 0.1, 62,  -7,   5, 2,  3.5, ⑥⑥, 2, 9,Ａスプリッツァｰ, 67,藤田伸, 0.1, 54,  -3,*  6, 4,  9.1,⑩⑧④, 2, 1,Ｄインサイダｰ, 71,的場勇, 0.0, 68,  -1,* 16, 3,  6.3,⑨⑨⑧, 2, 2,Ｇネオスピリッツ, 75,藤田伸, 0.4, 84,* -5,  23, 3,  4.7,②②②
 3, 1,Ａツクバグランディ, 74,三浦皇, 0.3, 59,  -6,   3, 1,  2.0, ⑤③, 3, 8,Ｂトｰホウロサｰド, 63,横山典, 0.2, 52,*  0,   1, 1,  2.1,②②②, 3, 8,Ａバルバロ, 76,横山典, 0.3, 61,*  2,   6, 1,  3.0,③②②, 3, 4,Ａパッションレッド, 86,安藤勝, 0.7, 84,  -8,* 26, 4,  5.7,⑦⑨⑨
 4, 6,Ｊエンリッチメント, 52,梶晃啓, 0.4, 59,  -9,   5,11,145.1, ⑦⑦, 4,12,Ｃアルコプラｰタ, 61,丸田恭, 0.6, 50,*  0,  -2, 2,  4.8,⑥②②, 4, 6,Ｉドンブレイカｰ, 66,武幸四, 0.4, 64,   1,  11,13, 67.8,⑧⑦⑦, 4,10,Ｅサンライズベガ, 76,北村友, 0.7, 85,  -7,  25, 2,  4.5,⑦⑥⑥
 5,12,Ｈヘリテｰジゴｰルド, 52,秋山真, 0.5, 59,* -3,  -1, 9, 67.7, ②③, 5, 6,Ｈトウカイデリシャス, 54,菊沢隆, 1.2, 47,  -1,  -5, 5, 16.2,④④④, 5,13,Ｃスプリングサンテ, 72,長谷川, 0.4, 66,   0,  10, 6, 12.0,⑥⑦⑧, 5, 8,Ｊフェスティヴナイト, 70,長谷川, 0.8, 81,  -6,  21, 9, 35.8,⑤③③
 6, 4,Ｇワｰルドマスタｰ, 54,四位洋, 0.7, 55, -23,* 11, 8, 27.6, ⑩⑨, 6,10,Ｉワイルドエキサイト, 53,松田大, 1.5, 46,  -1,  -8, 8, 29.1,⑦④④, 6, 7,Ｇアルタントプチ, 68,梶晃啓, 0.4, 63,*  3,   6, 7, 20.9,②②③, 6, 1,Ｆディアプリンシパル, 75,池添謙, 0.8, 79,  -6,  20, 5, 25.6,③③④
 7,11,Ｆウインズワｰルド, 55,丸田恭, 0.8, 55,  -9,   1,10, 90.7, ⑦⑨, 7, 7,Ｅスウォｰドデジタル, 57,三浦皇, 1.5, 42,*  1, -11, 6, 20.0,①①①, 7, 2,Ｂロｰンウルフ, 74,三浦皇, 0.5, 62,  -4,* 15, 2,  4.0,⑫⑫⑬, 7, 9,Ｈサクセスガｰウィン, 74,大野拓, 0.9, 84,  -9,* 26,10, 58.7,⑩⑩⑨
 8,10,Ｃヴィクトリアルイゼ, 68,横山典, 1.0, 52,* -3,  -6, 3,  6.5, ②③, 8, 3,Ｊデンコウレｰナ, 50,北村友, 1.6, 44,  -6,   1, 9, 38.6,⑬⑪⑨, 8,10,Ｆクリノハリマオｰ, 69,菊沢隆, 0.5, 65,  -3,* 15,11, 58.2,⑪⑫⑪, 8, 5,Ｄユメロマン, 76,丸田恭, 1.0, 79,  -7,  21, 7, 28.1,⑦⑥⑧
 9, 7,Ｉヒロコ, 52,武幸四, 1.5, 47, -12,  -3, 7, 25.7, ⑨⑧, 9, 2,Ｄムｰンシンフォニｰ, 59,安藤勝, 1.6, 44,  -3,  -5, 3,  5.9,④⑧⑧, 9, 4,Ｌファイナルファイト, 52,北村浩, 0.6, 61,   1,   7, 8, 26.4,③⑤⑥, 9, 6,Ｃエアリｰズ, 77,三浦皇, 1.2, 75,* -5,  13, 6, 25.8,③③④
10, 3,Ｅコロナドリリｰ, 63,長谷川, 1.8, 47,* -1, -14, 4, 12.6, ①②,10, 5,Ｋムｰンアウェイク, 49,池添謙, 1.9, 43,  -7,  -1,12, 72.6,⑪⑬⑫,10,12,Ｋタイキプロバンス, 60,丸田恭, 0.7, 62,  -2,  11,10, 27.7,⑫⑪⑪,10,11,Ｉディジュリドゥｰ, 74,松田大, 1.2, 79,  -8,  20, 8, 32.4,⑩⑩⑨
11, 2, オリｰブガｰル,---,荻野琢, 2.2, 40, -34,   3, 5, 14.2, ⑫⑫,11,13,Ｆスプライトダンス, 56,古川吉, 2.2, 42,  -3, -11, 7, 21.7,⑦⑧⑩,11, 3,Ｊシャイニングアワｰ, 63,池添謙, 0.8, 58,*  3,   1, 4,  8.0,①①①,11, 7,Ｋグロｰリｰソング, 59,小原義, 1.8, 68,  -6,   8,11,169.3,⑤⑥⑥
12, 9,Ｋメイケイクリプトン, 40,柴原央, 2.7, 34, -26,  -5,12,172.9, ⑪⑪,12, 1,Ｌエバｰサンサン, 38,梶晃啓, 3.0, 34,  -2, -19,11, 55.0,③⑥⑩,12, 9,Ｈティリブルティｰト, 66,大野拓, 0.8, 62,  -1,   9,12, 62.3,⑨⑨⑧,,,,,,,,,,,,
,,,,,,,,,,,,13, 4,Ｍスズカワイズクイン, 25,芹沢純, 3.1, 35,  -6, -13,13, 96.0,⑫⑪⑫,13,11,Ｅナムラウシワカマル, 70,四位洋, 1.0, 58,   2,   1, 5,  9.4,③②③,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:61 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:+0 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:+7 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:81 ﾚｰｽﾍﾟｰｽ指数:-11 ﾚｰｽｱｶﾞﾘ指数:+11 馬場:良(指数:-3),,,,,,,,,,,
"単勝:1,850円 複勝:05=260円 08=130円 01=120円 枠連:2,460円",,,,,,,,,,,,"単勝:4,910円 複勝:11=850円 09=210円 08=140円 枠連:1,320円",,,,,,,,,,,,"単勝:2,670円 複勝:05=610円 01=170円 08=140円 枠連:3,800円",,,,,,,,,,,,単勝:220円 複勝:03=130円 02=150円 04=170円 枠連:500円,,,,,,,,,,,
"馬連:2,430円 ワイド:05-08=640円 01-05=390円 01-08=170円",,,,,,,,,,,,"馬連:26,050円 ワイド:09-11=3,220円 08-11=1,620円 08-09=400円",,,,,,,,,,,,"馬連:7,150円 ワイド:01-05=1,860円 05-08=1,350円 01-08=380円",,,,,,,,,,,,馬連:520円 ワイド:02-03=230円 03-04=270円 02-04=490円,,,,,,,,,,,
"馬単:6,180円 3連複:1,190円 3連単:15,580円",,,,,,,,,,,,"馬単:67,400円 3連複:12,160円 3連単:185,870円",,,,,,,,,,,,"馬単:23,150円 3連複:7,920円 3連単:80,670円",,,,,,,,,,,,"馬単:950円 3連複:890円 3連単:3,870円",,,,,,,,,,,
■ 3R  ダ1700m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 6R  芝2000m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 9R  ダ1700m 3歳上ｵｰﾌﾟﾝ(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■12R  芝2600m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,ﾒｲｸﾃﾞﾋﾞｭｰ札幌,,,,,,,,,,,,,,,,,,,,,,,,しらかばｽﾃｰｸｽ,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 3, カｰル,---,古川吉,, 60,  -4,*  2, 8, 63.1,⑥④④, 1, 3,Ｂグレイスフルソング, 66,津村明,, 65,   2,  -6, 3,  5.9,④⑤④, 1, 3,Ｋナンヨｰリバｰ, 82,池添謙,, 89,*  9,  23, 1,  3.5,①①①, 1, 1,Ｃアメジストリング, 71,四位洋,, 81,*  1,* 19, 1,  2.3,⑤③②
 2, 2, オｰゴンシャトル,---,長谷川, 0.2, 59,  -8,*  6, 7, 62.0,⑨⑧⑦, 2,13,Ｆマコトボムケッチ, 63,秋山真, 0.0, 63,*  3,  -9, 1,  3.5,③③②, 2, 5,Ｃエアアドニス, 91,松田大, 0.0, 92,*  9,* 26,11, 52.1,④④②, 2, 5,Ｉマイネソシオ, 65,北村友, 0.4, 78,   0,  15,10, 23.2,⑦⑤④
 3,11, ミラクルセッション,---,安藤勝, 0.3, 54,* -2,  -5, 2,  3.6,④②②, 3, 4,Ａゴｰルドヘラクレス, 66,池添謙, 0.1, 62,*  3,  -9, 2,  5.3,④③②, 3, 9,Ｆニシノナｰスコｰル, 90,四位洋, 0.7, 87,   6,* 24, 6, 14.2,⑨⑨⑤, 3, 6,Ａマｰムｰドイモン, 76,小原義, 0.5, 75,   0,  13, 3,  6.5,⑧⑤④
 4, 4, モアザンスマｰト,---,三浦皇, 0.5, 51,*  2, -15, 3,  7.0,①①①, 4, 6,Ｅロンドンウィング, 64,荻野琢, 0.2, 63,  -1,* -2, 8, 24.2,⑫⑭⑫, 4,10,Ｉロリンザｰユｰザｰ, 85,小林徹, 0.7, 85,*  8,  19, 7, 15.5,②②②, 4,13,Ｇマヒオレ, 69,安藤勝, 0.5, 73,*  2,  10, 2,  4.9,③②②
 5, 8, シルクユｰロスタｰ,---,小林徹, 1.6, 46,* -2, -17,11,120.7,②②②, 5,15,Ｈマイソｰルビｰト, 56,長谷川, 0.2, 62,*  5, -15, 9, 31.3,①①①, 5, 1,Ｊセレスクラブ, 83,武幸四, 0.8, 84,   7,  22,10, 43.9,④⑤⑤, 5, 7,Ｈナリタキングパワｰ, 67,岩田康, 0.7, 74,  -1,* 16, 7, 17.0,⑩⑩⑧
