08年11月22日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年11月22日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1700m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 4R  芝1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■ 7R  ダ1700m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■10R  芝1200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,ﾒｲｸﾃﾞﾋﾞｭｰ福島,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,岩谷特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
,,,,,,,,,,,,14,13,Ｅニシノシズル, 72,中舘英, 1.4, 54,  -2,  -3, 2,  5.3, ⑪⑬,14, 3,Ｄゼンノソルジャｰ, 74,的場勇, 4.3, 45,  15, -57, 7, 15.3,⑤⑤⑫,14, 2,Ｎヤマニンパルファン, 61,木幡初, 2.4, 57,  -5,  -6,13,145.9,⑫⑭⑭
,,,,,,,,,,,,15,16,Ｎエヴァソｰマッチ, 46,二本柳, 2.8, 41,  -8, -10,16,315.8, ⑯⑯,15,16,Ｏプリマシア, 60,南田雅, 4.6, 45,  15, -60,15,260.7,④⑧⑮,,,,,,,,,,,,
,,,,,,,,,,,,16, 7,Ｋクリノオンディｰヌ, 58,池崎祐, 2.9, 41,  -1, -17,14,280.3, ⑨⑨,16, 8,Ｌキャサリンダイヤ, 66,村田一, 4.8, 43,  -9,  -8,13,109.0,⑯⑯⑯,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-0 馬場:稍重(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:稍重(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:+7 ﾚｰｽｱｶﾞﾘ指数:-7 馬場:稍重(指数:4),,,,,,,,,,,,ｸﾗｽ上位平均:81 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:稍重(指数:4),,,,,,,,,,,
"単勝:630円 複勝:09=220円 01=320円 12=540円 枠連:3,230円",,,,,,,,,,,,単勝:160円 複勝:05=110円 04=240円 11=160円 枠連:530円,,,,,,,,,,,,"単勝:420円 複勝:10=240円 11=320円 04=1,710円 枠連:1,010円",,,,,,,,,,,,"単勝:770円 複勝:10=200円 14=230円 11=120円 枠連:1,530円",,,,,,,,,,,
"馬連:3,010円 ワイド:01-09=1,060円 09-12=1,770円 01-12=3,600円",,,,,,,,,,,,馬連:780円 ワイド:04-05=310円 05-11=210円 04-11=840円,,,,,,,,,,,,"馬連:3,290円 ワイド:10-11=1,140円 04-10=6,270円 04-11=9,230円",,,,,,,,,,,,"馬連:2,850円 ワイド:10-14=920円 10-11=350円 11-14=420円",,,,,,,,,,,
"馬単:4,820円 3連複:19,870円 3連単:92,330円",,,,,,,,,,,,"馬単:1,070円 3連複:1,260円 3連単:4,240円",,,,,,,,,,,,"馬単:6,020円 3連複:70,200円 3連単:279,210円",,,,,,,,,,,,"馬単:5,070円 3連複:1,910円 3連単:16,340円",,,,,,,,,,,
■ 3R  ダ1700m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 6R  芝1800m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 9R  ダ1700m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■12R  芝2600m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,霊山特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,10,Ａマリアｰジュ, 76,丸田恭,, 77,*  9,*  5, 3,  9.1,⑤④③, 1, 1,Ｂマジックビクトリア, 76,木幡初,, 84,  12,*  9, 3,  5.5,④⑥④, 1, 5,Ｄシルクストライカｰ, 71,北村友,, 74,   6,* 11, 5, 11.5,⑮⑮⑬, 1, 1,Ｅベストオｰカン, 74,大野拓,, 76,  -8,* 18,11, 32.1,④⑧⑤
 2,15,Ｃフレンチノワｰル, 71,三浦皇, 0.1, 74,   5,*  9, 1,  1.8,⑨⑧⑧, 2, 8,Ｃグリッツェルン, 76,長谷川, 0.6, 76,* 13,  -2, 1,  3.4,⑧⑤③, 2,15,Ｃブチカマシ, 72,宮崎北, 0.1, 73,   9,*  4, 9, 28.9,⑨⑦⑥, 2, 9,Ｂエｰシンダｰドマン, 78,安藤光, 0.0, 78,  -7,* 20, 2,  4.2,⑩⑩⑪
 3, 3,Ｈタイセイフレイヤ, 65,中舘英, 1.4, 65,* 10,  -8, 2,  4.2,①①①, 3,10,Ａザリｰン, 79,松田大, 0.6, 78,  11,   4, 2,  4.3,⑭⑩⑥, 3, 7,Ｉキタサンナポレオン, 68,大野拓, 0.3, 73,   7,*  5,12, 64.9,⑬⑫⑨, 3, 6,Ｄサクラサクセス, 76,赤木高, 0.0, 73,* -6,  13, 6, 16.6,②②②
 4, 2,Ｅウメノカイウン, 70,宮崎北, 1.6, 63,   8,  -7, 5, 17.5,④⑤④, 4, 4,Ｇエルベレス, 73,荻野琢, 0.7, 76,   9,*  6, 9, 23.4,⑨⑫⑫, 4, 9,Ｂタイインテンスリｰ, 72,中舘英, 0.7, 68,* 11,  -5, 3,  6.9,③③③, 4, 2,Ｆセイカアニマｰト, 73,北村友, 0.0, 77,  -7,* 18, 4, 11.4,⑤⑨⑥
 5, 7,Ｄビバロングライフ, 70,北村友, 1.7, 63,*  9,  -9, 9, 46.3,③③②, 5, 6,Ｄシャドウストリｰム, 75,佐藤哲, 0.7, 76,  11,   4, 7, 16.3,⑫⑪⑨, 5,14,Ａピサノシェンロン, 74,三浦皇, 0.7, 68,   8,   0, 1,  2.1,⑫⑪⑧, 5,11,Ｃピサノロンシャン, 78,松田大, 0.1, 75,  -8,  16, 3,  7.0,⑦⑥⑧
 6, 9,Ｇスズカフロｰラ, 68,藤岡康, 1.9, 64,   7,  -8,11, 75.9,⑦⑦⑦, 6, 5,Ｉショウナンアルス, 70,中舘英, 1.1, 73,  12,  -4,10, 29.7,⑩⑦⑤, 6,13,Ｇマイニングゴｰルド, 70,石橋脩, 0.8, 68,* 13,  -8, 2,  6.6,②①①, 6,10,Ａアサティスボｰイ, 81,木幡初, 0.4, 72,  -7,  12, 1,  2.4,⑧⑤⑦
 7,12,Ｂコアレスキャスト, 71,石橋脩, 2.1, 62,   4,  -4, 6, 19.7,⑬⑫⑩, 7, 9,Ｊシャルマンレｰヌ, 70,和田竜, 1.2, 70,* 15, -11, 5, 11.4,②①①, 7, 2,Ｆエスジｰビンゴ, 71,丸田恭, 0.8, 69,   9,  -2, 4,  9.7,⑪⑥⑤, 7, 5,Ｋサウンドロｰデッド, 66,池添謙, 0.5, 74,  -8,  16,12, 66.0,⑫⑫⑩
 8, 8,Ｆナッシュビル, 70,菊沢隆, 2.8, 58,   8, -17, 4, 13.6,⑥⑥⑥, 8,12,Ｅラブエッセンス, 73,的場勇, 1.2, 68,* 14, -12,11, 43.8,③②②, 8, 8,Ｌエリモサリュｰト, 65,田嶋翔, 0.9, 68,  10,  -5, 8, 23.3,⑤⑤⑦, 8, 3,Ｈコスモコマンダ, 70,田中博, 0.7, 65,* -6,   3,10, 25.8,①①①
 9, 5,Ｌブラックスレンダｰ, 59,木幡初, 3.0, 55,   4, -12,14,408.2,⑫⑪⑨, 9,11,Ｆクルンプホルツ, 73,石橋脩, 1.3, 70,* 13, -10, 4,  7.2,⑦④⑧, 9,12,Ｍマルサンチｰフ, 61,田中健, 0.9, 69,   8,  -2,10, 42.9,⑧⑩⑪, 9,13,Ｉエアクラマン, 69,和田竜, 0.9, 65,  -7,   5, 9, 25.8,⑪⑦⑨
