08年 9月21日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 9月21日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■ 4R  芝1600m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝2400m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■10R  芝1800m 3 歳ｵｰﾌﾟﾝ(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,関西TVﾛｰｽﾞS ＧⅡ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 4, 1,Ｂウインヴェリタス, 60,鮫島良, 0.1, 57,  -4,   3, 1,  1.9, ⑧⑥, 4,12,Ｄエリモリリパット, 61,福永祐, 0.6, 67,*  8,  -6, 6, 12.2, ②②, 4, 9,Ｌテイエムハヤテオｰ, 63,小牧太, 0.2, 67,   6,   8, 5, 13.7, ③④, 4, 4,Ａアペリティフ, 80,岩田康, 0.2, 68,  -2,   1, 1,  1.8,③②②
 5,12,Ｉタガノヴァンドｰム, 42,橋本美, 0.1, 55,  -2,   0, 8, 31.1, ⑤⑤, 5,11,Ｇセトクラウン, 54,赤木高, 0.7, 59,  -6,*  7, 3,  7.6, ⑬⑬, 5,13,Ｆピエナワイルド, 68,幸英明, 0.2, 66,   4,  10, 4, 12.8, ⑤④, 5, 3,Ｆショウナンサリｰレ, 68,小牧太, 1.4, 62,  -9,   1, 6, 25.2,⑤⑥⑤
 6, 6,Ｇパｰフェクトバイオ, 43,小牧太, 0.5, 54,  -5,   2, 6, 14.5, ⑫⑩, 6,16,Ｋスリｰクロフネ, 43,鮫島良, 1.1, 58,  -3,   0,14,108.4, ⑪⑪, 6,15,Ｍクリスタルドア, 63,中村将, 0.6, 62,  -7,* 17, 8, 29.8, ⑫⑫, 6, 5,Ｄショウケイ, 72,福永祐, 2.4, 49,  -7, -14, 5, 14.2,⑤⑤⑤
 7, 3,Ｌカシノハリ, 39,野元昭, 1.0, 46,  -2, -11,12,158.7, ⑤⑥, 7, 2,Ｂナリタココロ, 62,小牧太, 1.3, 56,   0,  -5, 4,  7.7, ⑦⑦, 7, 7,Ｄハｰドリレｰ, 70,浜中俊, 0.7, 63,   5,   6, 9, 34.9, ⑤⑥,,,,,,,,,,,,
 8, 9,Ｄグレｰトダンサｰ, 51,田中克, 1.1, 44,*  0, -18, 3,  5.4, ②②, 8, 8,Ｎキャロル, 32,田村太, 1.3, 55, -10,*  5,11, 49.9, ⑮⑭, 8,12,Ｋゴｰルデンラダｰ, 65,熊沢重, 1.2, 59,   4,   3,14, 55.1, ⑦⑦,,,,,,,,,,,,
 9, 2,Ｆマイネチェルシｰ, 48,石橋守, 1.3, 46,  -6,  -8,10, 69.6, ⑪⑫, 9, 6,Ｉシンボリビスケｰン, 53,川田将, 1.3, 55,  -3,  -2, 7, 16.1, ⑪⑫, 9, 3,Ｇオウシュウバラッド, 67,和田竜, 1.3, 57,   7,  -2, 7, 23.4, ③③,,,,,,,,,,,,
10, 4,Ｅストゥレガｰレ, 50,和田竜, 1.4, 43,  -3, -15, 4, 10.6, ⑤⑥,10,10,Ｆスマｰトカラｰ, 56,幸英明, 1.7, 54,   5, -13, 8, 21.9, ⑥⑤,10, 2,Ｃシュウボンバｰ, 70,上村洋, 1.3, 58,  -2,   5, 2,  3.8, ⑩⑩,,,,,,,,,,,,
11, 5,Ｋマッキｰメタル, 40,川島信, 1.8, 35,  -1, -25,11,135.8, ③③,11,15,Ｍレアシング, 41,渡辺薫, 2.1, 50,  -1, -10,12, 55.6, ⑧⑨,11,16,Ｐシクンシ, 59,渡辺薫, 1.6, 55, -16,* 17,13, 52.3, ⑬⑬,,,,,,,,,,,,
,,,,,,,,,,,,12, 3,Ｈハｰトランドノリカ, 53,藤岡康, 3.4, 39,   0, -24,10, 38.6, ⑧⑦,12, 8,Ｅトキノムテキ, 69,赤木高, 1.7, 53,*  8,  -7,10, 37.0, ②②,,,,,,,,,,,,
,,,,,,,,,,,,13,13,Ｏマルサンブルジュ, 28,田中健, 3.6, 38,   0, -24,16,180.5, ⑧⑨,13, 1,Ｎリトルマｰメｰド, 63,藤岡康, 2.1, 52,  -2,   0,16, 95.2, ⑪⑪,,,,,,,,,,,,
,,,,,,,,,,,,14, 1,Ｌレイナウッド, 41,中村将, 3.8, 37,   6, -32,15,156.0, ③⑤,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,15, 5, カフェドパリ,---,大下智, 5.1, 25,  -6, -33,13, 77.6, ⑬⑭,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,16,14,Ｊマルカランディｰ, 53,田中克, 6.4,  4, -14, -37, 9, 34.4, ⑯⑯,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:稍重(指数:5),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:稍重(指数:-6),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:稍重(指数:-6),,,,,,,,,,,,ｸﾗｽ上位平均:81 ﾚｰｽﾍﾟｰｽ指数:-8 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:重(指数:5),,,,,,,,,,,
"単勝:500円 複勝:07=240円 11=490円 10=740円 枠連:2,380円",,,,,,,,,,,,単勝:280円 複勝:07=150円 09=230円 04=170円 枠連:850円,,,,,,,,,,,,"単勝:500円 複勝:06=210円 14=500円 05=1,040円 枠連:1,290円",,,,,,,,,,,,単勝:560円 複勝:06=280円 02=210円 枠連:0円,,,,,,,,,,,
"馬連:3,100円 ワイド:07-11=980円 07-10=1,600円 10-11=3,000円",,,,,,,,,,,,"馬連:1,210円 ワイド:07-09=480円 04-07=310円 04-09=690円",,,,,,,,,,,,"馬連:3,850円 ワイド:06-14=1,420円 05-06=3,030円 05-14=6,020円",,,,,,,,,,,,"馬連:1,280円 ワイド:02-06=340円 01-06=450円 01-02=290円",,,,,,,,,,,
"馬単:5,320円 3連複:21,660円 3連単:81,460円",,,,,,,,,,,,"馬単:2,030円 3連複:1,830円 3連単:7,080円",,,,,,,,,,,,"馬単:6,090円 3連複:29,270円 3連単:192,730円",,,,,,,,,,,,"馬単:2,550円 3連複:2,260円 3連単:10,660円",,,,,,,,,,,
■ 3R  芝2970m 3歳上未勝利 定量,,,,,,,,,,,,■ 6R  ダ1800m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 9R  芝1200m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■12R  ダ1800m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,仲秋特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,11, ニホンピロファイブ,,熊沢重,,,,, 1,  1.7,②①①, 1,11,Ａトップコマチ, 77,田村太,, 79,* -1,  18, 1,  3.6,③③②, 1,13,Ｇウエスタンダンサｰ, 72,川田将,, 75,  13,  -7, 9, 17.0, ⑤⑤, 1, 7,Ａプロフェッショナル, 83,川田将,, 79,   0,* 21, 1,  2.2,⑩⑪⑧
 2, 9, シンゲキ,,高野容,199.5,,,, 4, 13.6,⑦⑤④, 2, 7,Ｂレゾリュｰション, 75,川田将, 0.2, 77,  -2,  18, 2,  3.9,④④⑤, 2,14,Ｉワンダｰクラフティ, 72,四位洋, 0.0, 71,   1,*  5,10, 23.1, ⑭⑭, 2, 1,Ｇグランプリサクセス, 74,小牧太, 0.2, 75,*  4,  14, 4,  7.8,⑬②②
 3, 1, テイケイプリオｰル,,植野貴,199.9,,,, 8, 42.5,③③③, 3, 4,Ｈチャｰムナデシコ, 71,渡辺薫, 0.2, 76,* -1,  15, 3,  4.0,②②①, 3,15,Ｅスワン, 74,飯田祐, 0.1, 72,   5,   0, 4, 10.9, ⑫⑪, 3,11,Ｈスリｰベイダｰ, 74,太宰啓, 0.2, 75,*  3,  15, 6, 14.1,②③③
