08年11月 2日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年11月 2日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1150m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 4R  ダ1150m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 7R  芝1200m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-6,,,,,■10R  芝2000m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
"馬単:1,660円 3連複:6,090円 3連単:18,910円",,,,,,,,,,,,"馬単:2,000円 3連複:2,320円 3連単:13,160円",,,,,,,,,,,,"馬単:6,560円 3連複:3,130円 3連単:30,030円",,,,,,,,,,,,"馬単:2,800円 3連複:9,500円 3連単:37,230円",,,,,,,,,,,
■ 2R  芝1200m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-12,,,,,■ 5R  芝1200m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■ 8R  ダ1700m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■11R  芝1200m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,河北新報杯,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,11,Ｄキングオバマ, 46,木幡初,, 52,  -6,* -2, 2,  2.7, ③②, 1, 7,Ａシャトルタテヤマ, 75,中村将,, 71,* -1,   5, 1,  2.7, ①①, 1, 6,Ａヘイアンレジェンド, 76,三浦皇,, 68,  -2,* 18, 1,  2.4,⑩⑦⑥, 1, 8,Ａシャペロンルｰジュ, 80,的場勇,, 79,  -6,* 19, 1,  3.9, ⑬⑩
 2, 1,Ｆマラホフ, 36,宮崎北, 0.0, 51,  -6,* -2, 7,106.9, ③④, 2,12,Ｈクレイジｰラブ, 61,石橋脩, 0.0, 71,  -5,*  9, 6, 12.6, ③③, 2, 2,Ｂダイレクトパス, 76,石橋脩, 0.0, 70,  -2,* 18, 2,  4.1,⑧⑦⑥, 2, 9,Ｃプレンティラヴ, 77,木幡初, 0.0, 80,   0,* 12, 3,  5.7, ④③
 3, 4,Ｉダンサｰズブロンド, 32,三浦皇, 0.0, 54,* -4,  -2, 5, 14.7, ②②, 3, 8,Ｅエフテｰララｰヤ, 67,田辺裕, 0.1, 69,  -6,*  9, 5, 12.1, ⑥⑤, 3, 8,Ｏヒラボクシャトル, 57,中舘英, 0.3, 65,* -1,  11, 3,  6.5,①①①, 3,16,Ｎリルティングソング, 68,宮崎北, 0.1, 78,*  3,   9,11, 29.3, ②③
 4, 7,Ｃウインバンディエラ, 52,中舘英, 0.3, 48, -12,*  0, 1,  1.9, ⑨⑧, 4, 2,Ｋファンタジックキｰ, 57,丹内祐, 0.2, 68,  -6,   7,12,120.6, ⑥⑤, 4,11,Ｅニシノテンクウ, 68,田辺裕, 0.5, 62,* -1,  10, 5, 12.3,④②②, 4,15,Ｈゴｰルデンリング, 74,津村明, 0.4, 75,*  3,   5, 6, 10.9, ②②
 5, 3,Ａカズノウォｰニング, 55,石橋脩, 0.5, 46,* -3, -10, 4, 13.8, ①①, 5, 3,Ｉピンクバｰディｰ, 60,大庭和, 0.2, 66,  -9,* 10, 8, 32.9, ⑫⑦, 5, 4,Ｃフェイクスパ, 71,宮崎北, 0.6, 63,  -2,  11, 7, 19.4,②④③, 5,10,Ｇトｰセンレｰサｰ, 75,藤岡康, 0.4, 74,  -1,   9, 7, 15.5, ⑥⑧
 6,12,Ｂティｰガｰ, 55,菊沢隆, 0.6, 44,  -9,  -7, 3,  6.7, ⑥④, 6,16,Ｂストラテジｰ, 73,中舘英, 0.3, 67,* -2,   2, 2,  2.9, ②②, 6, 3,Ｄメモリｰジャグラｰ, 68,西田雄, 0.7, 64,  -1,  11, 9, 42.4,④④③, 6,11,Ｉキルシュブリュｰテ, 74,北村友, 0.5, 73,  -1,   7, 2,  5.6, ⑥⑧
