08年12月28日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年12月28日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 4R  芝2000m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝2000m 2 歳ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■10R  芝2500m 3歳上ｵｰﾌﾟﾝ(国) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ中山,,,,,,,,,,,,ﾎｰﾌﾟﾌﾙｽﾃｰｸｽ,,,,,,,,,,,,有馬記念 ＧⅠ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
"馬単:1,000円 3連複:2,020円 3連単:8,910円",,,,,,,,,,,,"馬単:2,030円 3連複:7,540円 3連単:47,040円",,,,,,,,,,,,"馬単:1,210円 3連複:1,640円 3連単:5,910円",,,,,,,,,,,,"馬単:33,490円 3連複:192,500円 3連単:985,580円",,,,,,,,,,,
■ 2R  ダ1800m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 5R  ダ1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 8R  芝2500m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■11R  芝1200m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,ｸﾞｯﾄﾞﾗｯｸﾊﾝﾃﾞ,,,,,,,,,,,,ﾊｯﾋﾟｰｴﾝﾄﾞｶｯﾌﾟ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,16,Ｈアｰクビスティｰ, 56,内田博,, 70,*  1,* 14, 2,  5.3,③③②, 1,13,Ｆバイタリティｰ, 73,ペリエ,, 76,   0,* 17, 9, 24.1,⑧⑨⑨, 1,10,Ａモンテクリスエス, 88,柴田善,, 85,  -1,  16, 2,  3.5,⑥⑥⑤, 1,15,Ｃランチボックス, 77,池添謙,, 79,  -3,* 13, 8, 20.3, ⑨⑧
 2,10,Ｌヒゼンリバイバル, 44,デムｰ, 0.5, 62,*  2,   7, 4,  7.0,②②①, 2,10,Ｃワインアドバイザｰ, 75,ルメｰ, 0.2, 71,*  6,   4, 2,  4.4,③②②, 2, 7,Ｆアサティスボｰイ, 78,内田博, 0.0, 87,  -3,  20, 6, 21.6,⑦⑦⑥, 2,10,Ｉウルトラボルケｰノ, 72,田中勝, 0.1, 79,  -6,* 15,11, 29.2, ⑪⑩
 3,12,Ｂスギノブレイド, 64,横山典, 0.8, 65,  -2,* 13, 3,  5.7,⑦⑨⑨, 3, 8,Ｌフランドルシチｰ, 64,デムｰ, 0.3, 70,   1,* 12, 3,  5.2,⑪⑧⑧, 3,12,Ｈコｰリンヴァリウス, 77,池添謙, 0.1, 90,  -5,* 27, 8, 28.4,⑫⑫⑪, 3, 1,Ｈカシノリボン, 72,吉田隼, 0.3, 75,*  6,   0,10, 23.2, ②②
 4, 2,Ｎスマイルキング, 38,蛯名正, 1.2, 63,  -1,   7, 6,  8.2,⑥⑥⑤, 4,11,Ｅサクラリｰバポｰト, 74,内田博, 0.4, 75,   1,* 14, 8, 18.1,⑭⑩⑩, 4,13,Ｅミヤビベガ, 79,藤田伸, 0.3, 85,  -3,  19, 3,  5.3,⑩⑩⑨, 4, 2,Ｇレディハニｰ, 74,ルメｰ, 0.3, 75,   1,   6, 1,  4.3, ⑥⑨
 5, 9,Ａクラブトゥギャザｰ, 64,三浦皇, 1.3, 61,   0,   5, 1,  3.3,⑤⑤③, 5, 5,Ｈリバイバルシチｰ, 70,吉田豊, 0.8, 71,   4,   4, 6, 17.2,⑦⑦⑥, 5, 4,Ｇトｰセンジョｰカｰ, 78,江田照, 0.5, 78,*  0,   8, 5, 11.9,②③③, 5, 6,Ｍゴｰルデンリング, 70,柴田善, 0.4, 74,*  8,  -2,13, 55.0, ①①
 6, 6,Ｃセイカプレスト, 63,松岡正, 2.1, 59,  -5,   7, 7, 10.8,⑬⑫⑩, 6, 4,Ｂディアｰウィッシュ, 75,吉田隼, 0.9, 68,*  6,  -3, 7, 17.3,①①①, 6, 3,Ｃクロカンブッシュ, 83,三浦皇, 0.5, 79,  -1,   9, 4, 11.1,⑤⑤⑦, 6, 9,Ａキルシュブリュｰテ, 77,藤田伸, 0.4, 73,  -2,   7, 6, 13.7, ⑦⑦
 7, 3,Ｆシブン, 61,吉田隼, 2.4, 55,  -1,  -2, 5,  7.9,⑧⑦⑧, 7,14,Ｋナムラビスマルク, 66,後藤浩, 1.2, 69,  -1,  10,13,102.1,⑮⑬⑪, 7, 1,Ｉショウナンラヴァｰ, 77,吉田豊, 0.6, 84,  -5,  20, 7, 27.1,⑪⑪⑫, 7, 4,Ｄワンダｰクラフティ, 76,内田博, 0.6, 72, -10,* 12, 2,  5.1, ⑫⑫
 8, 7,Ｅリネントランポリｰ, 61,川田将, 2.4, 56,  -5,   5,12,215.3,⑭⑭⑫, 8,16,Ｄトｰセンマンボ, 74,三浦皇, 1.4, 65,   3,  -1, 4,  8.2,④⑥⑤, 8, 6,Ｂシグナリオ, 83,松岡正, 0.7, 76,  -1,   6, 1,  2.7,③④②, 8,11,Ｅテイクザホｰク, 75,横山典, 0.6, 71,  -3,   6, 3,  5.5, ⑧⑥
 9, 8,Ｄプロヴィデンス, 62,藤田伸, 2.6, 52,   0,  -7, 8, 26.9,④④④, 9, 9,Ｊメイショウマリア, 66,小島太, 1.5, 69,*  5,  -5, 5, 10.5,②③③, 9, 2,Ｋダｰクフラッシュ, 72,吉田隼, 1.0, 71,*  0,  -1,10, 70.1,①①①, 9, 7,Ｋノボディｰヴォ, 71,後藤浩, 0.8, 68,  -7,   7,12, 36.3, ⑩⑪
10,14,Ｉハバナシガｰ, 53,吉田豊, 2.7, 54,  -3,  -1,14,241.0,⑨⑩⑪,10,12,Ｇウイニングヒット, 73,四位洋, 2.5, 61,  -1,  -2,10, 44.6,⑬⑪⑫,10,11,Ｌバリオン, 70,川田将, 1.0, 74,  -3,   6,11,121.9,⑧⑧⑧,10,13,Ｌメジロガストン, 71,吉田豊, 0.8, 69,   2,  -2, 7, 18.9, ⑤⑤
11,15,Ｏアイティヤマト, 36,村田一, 3.4, 50,*  2, -17,15,346.4,①①⑥,11, 3,Ｉヒシマイスタｰ, 70,藤田伸, 2.5, 61,  -3,   2,11, 70.0,⑫⑭⑬,11, 5,Ｄリネンヤクシン, 79,後藤浩, 1.6, 64,*  0,  -9, 9, 37.7,④②④,11, 8,Ｂワンダｰタバスコ, 77,ペリエ, 0.9, 67, -12,  11, 4,  8.5, ⑮⑭
12, 1,Ｇコスモハｰモニｰ, 59,勝浦正, 3.5, 49,  -2,  -9,10, 94.6,⑩⑧⑦,12, 1,Ｍフサイチエゴイスト, 63,川田将, 2.8, 56,   4, -14,12, 91.8,⑤⑤④,12, 9,Ｊミウラリチャｰド, 75,田中勝, 1.6, 70,  -4,   2,13,166.7,⑨⑨⑩,12, 3,Ｆアイアムエンジェル, 75,デムｰ, 1.0, 66, -13,   9, 5,  9.7, ⑭⑮
13, 4,Ｐホットコｰヒｰ, 28,四位洋, 4.1, 48, -12,   5,11,140.3,⑯⑯⑯,13, 7,Ａダイワライトニング, 76,勝浦正, 3.5, 53,   5, -20, 1,  2.9,⑥④⑦,13, 8,Ｍマスラタケヲ, 70,村田一, 1.8, 72,  -7,   8,12,128.8,⑬⑬⑬,13, 5,Ｊトミノドリｰム, 71,高山太, 1.3, 62,   4, -10, 9, 22.7, ④③
14,11,Ｊダイワモｰスト, 48,後藤浩, 4.1, 44,  -3, -13, 9, 34.3,⑫⑪⑭,14, 2,Ｐリネンミサイル, 45,南田雅, 6.3, 37,  -5, -26,15,291.7,⑨⑮⑮,,,,,,,,,,,,,14,14,Ｏトキノムテキ, 62,小林淳, 1.3, 62,*  6, -13,14, 95.6, ③④
15,13,Ｍシルクエスポワｰル, 38,江田照, 4.3, 45,  -7,  -8,13,235.4,⑮⑮⑬,15, 6,Ｏポコアポコフォルテ, 48,江田照, 8.9, 26,  -1, -54,14,144.5,⑩⑫⑭,,,,,,,,,,,,,15,12,Ｎタケデンサンバ, 63,江田照, 1.4, 61, -10,   2,15,114.7, ⑬⑬
16, 5,Ｋノボビクトリｰ, 46,横山義, 4.5, 43,  -5, -11,16,425.7,⑪⑬⑮,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:59 ﾚｰｽﾍﾟｰｽ指数:-0 ﾚｰｽｱｶﾞﾘ指数:+9 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:81 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:81 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:1),,,,,,,,,,,
単勝:530円 複勝:16=180円 10=260円 12=180円 枠連:500円,,,,,,,,,,,,"単勝:2,410円 複勝:13=480円 10=170円 08=200円 枠連:2,990円",,,,,,,,,,,,単勝:350円 複勝:10=170円 07=570円 12=520円 枠連:370円,,,,,,,,,,,,"単勝:2,030円 複勝:15=670円 10=800円 01=650円 枠連:2,450円",,,,,,,,,,,
"馬連:2,090円 ワイド:10-16=790円 12-16=470円 10-12=990円",,,,,,,,,,,,"馬連:4,000円 ワイド:10-13=1,090円 08-13=1,600円 08-10=450円",,,,,,,,,,,,"馬連:3,900円 ワイド:07-10=1,310円 10-12=1,420円 07-12=4,500円",,,,,,,,,,,,"馬連:24,620円 ワイド:10-15=5,970円 01-15=5,330円 01-10=5,620円",,,,,,,,,,,
