08年 8月10日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 8月10日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 4R  芝1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝2000m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■10R  ダ1700m 3歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,,,,,,,,,,,,,KBC杯,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,12,Ｃルｰシｰショｰ, 59,小牧太,, 68,*  5,   1, 2,  3.9, ②②, 1,12,Ａアジュディファラオ, 73,岩田康,, 67,  -1,* 10, 1,  2.9,⑧⑦⑤, 1,10,Ｃエイシンイッパツ, 75,田村太,, 74,* -3,  18, 6, 12.0,①①①, 1,18,Ｆフィクシアス, 69,田辺裕,, 73,  -3,   8, 6,  9.2, ⑦④
 2,11,Ｆキャナレット, 53,熊沢重, 0.2, 66,  -3,*  5, 6, 14.3, ⑤④, 2, 3,Ｄエリモエトワｰル, 66,渡辺薫, 0.4, 66,  -2,* 10, 7, 44.2,⑬⑫⑧, 1,14,Ｄマヤノバルトｰク, 73,浜中俊,, 74,* -3,* 19, 1,  3.5,③②②, 2,16,Ｅシティボス, 69,小牧太, 0.1, 71,  -7,* 10, 5,  8.9, ⑫⑨
 3, 8,Ｄアサケボｰイ, 58,岩田康, 0.3, 64,  -1,   2, 4,  5.0, ④④, 3, 4,Ｃシンゼンシンノスケ, 66,飯田祐, 0.5, 64,  -2,*  8, 4,  8.9,⑩⑩⑥, 3,15,Ｂメイショウフウライ, 77,飯田祐, 0.3, 72,* -4,  17, 3,  5.1,⑤③③, 3, 5,Ｃクロズキン, 72,幸英明, 0.2, 70,  -5,   6, 4,  8.0, ⑩⑨
 4, 6,Ｅバイソリュｰション, 57,橋本美, 0.3, 66,*  7,  -2, 5, 11.7, ①①, 4,11,Ｂニホンピロルブラ, 67,幸英明, 0.6, 62,   1,   2, 2,  3.5,⑥③③, 4,11,Ａタイインテンスリｰ, 77,太宰啓, 0.3, 72,* -3,  18, 4,  7.3,⑤④③, 4,15,Ｈシンデレラマン, 68,上村洋, 0.2, 69,*  2,   0, 2,  5.6, ③③
 5, 7,Ｂテイエムセレス, 60,船曳文, 0.3, 66,   3,   1, 1,  3.2, ③③, 5, 5,Ｍスリｰサンビｰム, 42,田村太, 1.6, 55,*  2, -10,14,188.1,①①①, 5, 2,Ｋインスパイア, 60,岩田康, 0.9, 68,  -5,  15, 2,  4.8,⑦⑥⑤, 5, 9,Ｉオレンジシュプｰル, 68,鮫島良, 0.2, 70, -10,* 12,11, 35.8, ⑭⑪
 6, 3,Ａユウキアックン, 62,川島信, 0.9, 56, -12,*  4, 3,  4.5, ⑨⑧, 6,14,Ｋリバルドガルダ, 50,岩崎祐, 2.2, 51,  -1,  -9,16,400.8,⑨⑦⑥, 6,13,Ｆメイショウトンボ, 72,佐藤哲, 1.0, 69,  -8,* 19, 5,  9.7,⑪⑪⑦, 6,17,Ａメラトニン, 75,吉田隼, 0.4, 66,*  5,  -5, 1,  3.7, ②②
 7, 1,Ｈビップホｰラｰ, 38,飯田祐, 1.7, 50,  -3,  -9, 7, 26.3, ⑤⑥, 7, 2,Ｅメイショウグッド, 65,上野翔, 2.2, 51,   1, -12, 3,  4.4,③③④, 7, 6, アグネスモレキュラ,---,幸英明, 1.2, 68,  -9,* 19,10, 32.2,⑮⑭⑬, 7, 8,Ｇエスポワｰルシチｰ, 68,佐藤哲, 0.5, 65,*  2,  -4, 3,  7.2, ③④
 8, 2,Ｊヒカリエルジェム, 36,角田晃, 1.8, 47, -12,  -4,11,108.0, ⑨⑧, 8, 8,Ｆツｰピｰス, 65,角田晃, 2.3, 50,*  3, -16, 5, 10.8,②②②, 8, 7,Ｇツルマルキセキ, 72,田中健, 1.8, 65,  -8,  13, 8, 24.2,⑫⑫⑫, 8,13,Ｊカシノテンカ, 63,野元昭, 0.5, 65,  -2,   0,13, 61.1, ⑦⑦
 9, 4, ファンドリキセキ,---,幸英明, 2.0, 43, -23,   1, 8, 26.6, ⑪⑪, 9,15,Ｇメイケイパッション, 60,太宰啓, 2.3, 50,  -2,  -7, 6, 14.8,⑬⑩⑧, 9, 8,Ｅナムラカゲトラ, 73,渡辺薫, 1.8, 64,  -8,  13, 9, 25.0,⑬⑫⑩, 9,14,Ｐホウライパレｰド, 58,船曳文, 0.6, 64,*  6,  -9,17,109.1, ①①
10, 5,Ｉシゲルケｰプタウン, 38,太宰啓, 2.0, 45,  -7,  -9, 9,104.7, ⑦⑦,10, 9,Ｎトヨサンヨッシャｰ, 34,川島信, 2.8, 47,  -3, -10,15,217.1,⑯⑬⑪,10, 4,Ｌエｰティｰドン, 56,鮫島良, 1.9, 62,  -7,  10,12, 89.0,⑧⑨⑦,10,12,Ｒトップガンヒｰロｰ, 51,浜中俊, 0.7, 64,   0,  -4,16,106.4, ⑥⑦
11,10,Ｇワンダｰバイオｰ, 41,田中克, 2.3, 44,  -9, -10,10,106.2, ⑧⑩,11, 6,Ｉマッキｰサマンサ, 55,野元昭, 3.4, 44,  -3, -14,10, 65.9,⑮⑬⑫,11, 9,Ｉアイノグレゴリｰ, 68,和田竜, 1.9, 62,  -6,   8,13,114.0,⑨⑥⑥,11,11,Ｋアンクルトップ, 63,石橋守, 0.8, 63, -18,* 11, 7, 16.2, ⑱⑭
12, 9, モダンミリｰ,---,芹沢純, 3.1, 32, -37,   0,12,143.9, ⑫⑫,12,13,Ｊメイショウセラヴィ, 50,佐藤哲, 4.6, 36,  -1, -28, 8, 44.4,⑦⑦⑫,12,16,Ｍスリｰアリスト, 56,上村洋, 2.1, 63, -10,  13,11, 52.8,⑮⑯⑯,12, 3,Ｄトｰホウベルサイユ, 71,渡辺薫, 0.9, 61,  -7,   0, 8, 19.1, ⑫⑫
,,,,,,,,,,,,13, 1,Ｏミヤジボｰイ, 33,和田竜, 4.8, 34,   0, -32,12, 79.0,③⑥⑧,13,12,Ｈアグネスシグマ, 68,吉田隼, 2.1, 59,  -5,   4, 7, 13.3,②⑤⑦,13, 7,Ｍエｰシンコンファｰ, 61,和田竜, 1.0, 59, -16,   6,10, 19.8, ⑰⑱
,,,,,,,,,,,,14, 7,Ｈドンペトリュス, 56,熊沢重, 5.8, 30,  -4, -32, 9, 50.3,⑫⑯⑭,14, 5,Ｊスカイワｰド, 62,田中克, 2.7, 58,  -9,   7,15,170.6,⑬⑭⑮,14, 2,Ｌテイエムセッペトベ, 62,太宰啓, 1.1, 59,   1, -10,14, 75.5, ③④
,,,,,,,,,,,,15,10, ボムクイｰン,---,田中克, 6.0, 29,   1, -44,13,107.9,③③⑭,15, 1,Ｎセイカジｰベック, 51,角田晃, 3.1, 53,  -6,  -1,16,175.2,③⑧⑬,15, 6,Ｂゴｰルドネオ, 72,酒井学, 1.2, 56, -13,   1, 9, 19.5, ⑯⑭
,,,,,,,,,,,,16,16,Ｌトウショウサムデイ, 43,船曳文, 6.6, 24,  -4, -41,11, 71.8,⑩⑬⑯,16, 3,Ｏカシノヨウスケ, 50,熊沢重, 4.1, 46,  -7,  -9,14,127.2,⑩⑨⑩,16, 4,Ｎプリンスヤンクス, 61,角田晃, 1.3, 55, -10,  -3,15, 90.6, ⑭⑭
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,10,Ｏホクテンミラｰ, 60,芹沢純, 1.6, 51,  -4, -12,12, 59.3, ⑩⑫
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18, 1,Ｑマホロバ, 57,川島信, 2.7, 36,  -3, -27,18,156.6, ⑦⑭
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-0 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:-13 ﾚｰｽｱｶﾞﾘ指数:+12 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:75 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:-2),,,,,,,,,,,
"単勝:390円 複勝:12=210円 11=370円 08=210円 枠連:2,550円",,,,,,,,,,,,単勝:290円 複勝:12=150円 03=800円 04=260円 枠連:540円,,,,,,,,,,,,"単勝:510円 複勝:10=280円 14=140円 15=160円 枠連:1,180円",,,,,,,,,,,,単勝:920円 複勝:18=310円 16=250円 05=260円 枠連:590円,,,,,,,,,,,
