08年 8月17日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 8月17日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1000m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 4R  芝1800m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  ダ1700m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■10R  芝1500m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ札幌,,,,,,,,,,,,,,,,,,,,,,,,小樽特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 4, 6,Ｋアドリｰム, 49,松田大, 2.0, 54,* -1, -11, 7, 24.9,①①①, 4, 6,Ｄプルチェラ, 55,北村友, 1.7, 54,   0,  -7, 5, 15.1,⑧⑨⑥, 4,11,Ｂピサノシェンロン, 76,三浦皇, 0.7, 69,*  9,  -2, 2,  3.4,③③②, 4, 1,Ｅクロカンブッシュ, 74,三浦皇, 0.2, 83,  -4,  23, 6, 16.9,⑥⑥⑥
 5, 9,Ｇスｰパｰワンダｰ, 54,青木芳, 2.0, 53,  -7,  -1,12,132.7,⑫⑫⑩, 5,10,Ｋエンディアメント, 49,的場勇, 2.0, 54,*  6, -19,10, 35.0,①②③, 5,12,Ａラガｰチトセオｰ, 77,荻野琢, 0.7, 73,   8,  -1, 5,  8.3,④④⑤, 5, 6,Ｂスパニッシュソウル, 80,秋山真, 0.2, 77,   0,  14, 3,  5.5,③③②
 6, 2,Ｉワンサイド, 52,丸田恭, 2.4, 50,  -6,  -7,11, 54.8,⑪⑨⑥, 6,12,Ｊハナヨリタンゴ, 50,梶晃啓, 2.1, 53,   3, -14,12,186.9,⑤⑤⑤, 6, 9,Ｆファイアナカヤマ, 73,的場勇, 1.3, 68,   6,  -3, 8, 54.7,⑥⑦⑧, 6, 8,Ｇメイショウカレン, 68,松田大, 0.6, 77,  -4,  18, 5, 15.9,⑥⑦⑦
 7, 8,Ｂアｰトオブロマンス, 59,小原義, 2.5, 49,* -2, -12, 3,  4.8,③③④, 7, 1,Ｅミネノクレド, 55,菊沢隆, 2.3, 53,   1, -11, 7, 27.7,⑩⑨⑥, 7, 4,Ｃダイレクトパス, 74,四位洋, 1.5, 66,   6,  -4, 7, 15.8,⑫⑧⑤, 7, 2,Ｄボｰテセレスト, 76,北村友, 0.6, 83,  -7,* 26, 4,  5.5,⑧⑧⑦
 8, 4,Ｌクインズウイスパｰ, 43,郷原洋, 2.6, 49,  -3, -12,10, 43.3,⑦⑤⑥, 8,11,Ｆセピアエスプレッソ, 55,津村明, 2.9, 47,*  5, -24, 2,  3.6,⑤③⑥, 8, 6,Ｈケイアイコンセプト, 71,津村明, 2.2, 61,   3,  -6, 6, 11.5,⑨⑪⑩, 8, 7,Ｈシンシンマｰキｰ, 65,柴山雄, 0.9, 68,   0,   6, 8, 43.5,⑤④④
 9, 5,Ｅスリｰクリスタル, 55,小林徹, 2.8, 47,* -2, -16, 9, 31.7,③③⑥, 9, 4,Ｉウツセミ, 51,荻野琢, 2.9, 49,   1, -18, 9, 34.5,⑦⑦⑨, 9, 2,Ｍガッツパワｰ, 49,柴山雄, 2.8, 59,   0,  -6, 9, 72.3,⑬⑬⑫,,,,,,,,,,,,
10, 1,Ａハｰトアンサンブル, 60,武幸四, 3.1, 44,  -5, -13, 6, 17.2,⑩⑨⑩,10, 8,Ｈペペ, 53,大野拓, 2.9, 49,  -1, -15,11,117.7,⑩⑫⑩,10, 8,Ｊプライドイズハｰト, 66,田中勝, 2.8, 58,   4, -13,11, 93.0,⑧⑨⑪,,,,,,,,,,,,
11, 7,Ｆマイネルサイオン, 55,菊沢隆, 3.2, 44,  -4, -17, 4,  4.9,⑥⑤⑨,11, 7,Ｇブルｰムシチｰ, 54,武幸四, 4.4, 37,  -1, -29, 8, 30.2,⑩⑪⑪,11, 3,Ｋディｰエスルｰラｰ, 66,蛯名正, 3.2, 56,   2, -11,12,128.1,⑨⑫⑫,,,,,,,,,,,,
12,11,Ｄタイニｰシャイナｰ, 58,大江原, 7.0, 21,  -6, -46, 8, 28.6,⑤⑨⑫,12, 5,Ｌラヴゴッデス, 43,小牧太, 6.9, 24,   1, -52, 6, 21.2,②⑦⑫,12,10,Ｌトウカイゲイル, 65,丸田恭, 3.4, 52,*  9, -26,13,136.9,②②③,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,13,13,Ｇマルサライガｰ, 72,横山典, 3.4, 52,   8, -21, 3,  5.1,⑥⑥⑦,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
