08年 8月16日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 8月16日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1500m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-11,,,,,■ 4R  芝1500m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ2400m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■10R  芝2600m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ札幌,,,,,,,,,,,,,,,,,,,,,,,,支笏湖特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
■ 3R  ダ1700m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 6R  芝2000m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■ 9R  芝1200m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■12R  芝2000m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,札幌日刊ｽﾎﾟｰﾂ杯,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6,Ａフェイドレスシｰン, 64,安藤勝,, 63,   6,*  3, 1,  2.1,⑫⑧④, 1, 6,Ｅシングルショット, 63,藤田伸,, 72,*  5,*  5, 1,  2.8,①①①, 1, 8,Ｃビｰビｰガルダン, 80,安藤勝,, 90,* 19,  11, 1,  2.5, ①①, 1, 9,Ｇステイトリｰデイズ, 72,三浦皇,, 75,   4,   7, 4,  6.8,③④⑥
 2, 4,Ｄクインマキシマム, 60,梶晃啓, 0.0, 63,* 12,  -7, 8, 30.2,③②②, 2, 4,Ｌフェイバリットサン, 54,柴原央, 0.2, 72,*  4,*  7, 8, 25.3,③③⑤, 2, 7,Ｉエネルマオｰ, 77,池添謙, 0.2, 88,  15,  12, 9, 18.8, ③③, 2,14,Ｆナムラチェンジ, 73,小林徹, 0.1, 76,   0,* 15, 6, 14.2,⑭⑬⑦
 3, 3,Ｂデルマビｰナス, 62,横山典, 0.4, 58,* 12, -11, 2,  2.9,③①①, 3, 1,Ｏラヴォランテ, 48,四位洋, 0.5, 70,   1,*  7,10, 27.0,⑮⑫⑤, 3, 2,Ｏバルバレスコ, 72,大野拓, 0.5, 85,   8,  15,16,165.5, ⑩⑨, 3, 8,Ｍホｰリｰミスト, 59,大野拓, 0.1, 75,   2,   8,12, 38.8,⑥⑥⑦
 4, 7,Ｅジェイケイクリス, 58,三浦皇, 1.0, 54,   8, -10, 3,  8.2,⑨⑦⑦, 4, 8,Ｃブルｰアンビシャス, 65,長谷川, 0.5, 69,*  4,   3, 2,  5.7,⑥③②, 4, 6,Ｂショウナンアクト, 81,四位洋, 0.6, 82,   3,* 18, 3,  8.4, ⑭⑪, 4, 1,Ｄギｰニョ, 74,秋山真, 0.2, 72,   2,   7, 2,  4.7,⑨⑥⑦
 5,13,Ｆセイントプラチナ, 58,津村明, 1.0, 55,  11, -14, 4, 13.0,⑦④③, 5,15,Ｊゴｰルドバルザック, 57,秋山真, 0.5, 68,*  5,   0,12, 48.9,②②②, 5,12,Ｅエアニックス, 79,藤田伸, 0.8, 80,  15,   4, 4,  8.8, ③③, 5, 6,Ａフミノパッション, 76,長谷川, 0.2, 73,   2,   7, 1,  3.9,⑨⑥②
 6, 1,Ｋアルカイクスマイル, 40,古川吉, 1.0, 57,  10, -13, 5, 21.7,⑤④⑤, 6, 2,Ｆスズカコング, 63,安藤勝, 0.5, 69,   2,   4, 3,  6.0,⑥⑧⑤, 6, 3,Ｊオｰヴェｰル, 76,長谷川, 0.8, 80,   2,* 17,15,150.9, ⑯⑯, 6, 3,Ｅニシノフェリｰチェ, 74,武幸四, 0.2, 77,   1,* 13,10, 21.9,⑫⑬⑫
 7, 9,Ｉレッドウッド, 53,藤田伸, 2.6, 43,   7, -21, 9, 31.2,⑨⑧⑨, 7, 3,Ｂダンツエスエスティ, 66,小林徹, 0.8, 66,   2,   1, 7, 16.4,⑥⑧⑪, 7, 1,Ｇゲイル, 79,秋山真, 0.8, 80,   4,  15, 7, 14.7, ⑭⑭, 7,13,Ｂリバイバルシチｰ, 74,松田大, 0.6, 69,*  5,  -3, 3,  6.4,③③②
 8, 2,Ｇシシャモフレンド, 55,小原義, 2.8, 45,  -2,  -7,10, 61.6,⑬⑫⑪, 8,10,Ａコスモテンロウ, 70,三浦皇, 0.9, 66,   2,   0, 4,  7.3,⑪⑧⑤, 8, 9,Ｄメイビリｰヴ, 79,横山典, 0.9, 78,* 19,  -1, 2,  6.3, ②②, 8, 4,Ｈキングオブロマネ, 71,郷原洋, 0.7, 69,   1,   4,13, 65.7,⑬⑪⑩
 9,11,Ｍウエスタンサマンサ, 28,長谷川, 3.0, 44,   6, -23,13,254.6,⑤⑧⑩, 9,14,Ｇホｰクウィンザｰ, 62,横山典, 1.0, 63,*  4,  -5, 5, 11.3,④③②, 9, 5,Ｐシルクドラグｰン, 71,武英智, 1.2, 75,   7,   7,14, 74.3, ⑩⑭, 9,11,Ｌマｰベラスブレイド, 62,池添謙, 0.7, 65,*  5,  -7, 8, 17.3,②①①
10, 8,Ｈチェスナットシチｰ, 54,大野拓, 4.1, 36,* 11, -42, 7, 29.6,①②⑤,10, 7,Ｄサクレクｰル, 63,丸田恭, 1.1, 64,   1,   0,11, 29.3,⑨⑭⑮,10,11,Ｆサクラプログレス, 79,武幸四, 1.3, 74,  10,   3, 6, 13.4, ⑧⑥,10,15,Ｉビタｰオレンジ, 70,四位洋, 1.0, 64,   4,  -7, 5,  9.2,⑨④②
11, 5,Ｌエリザベｰトクロス, 40,秋山真, 4.5, 34,   2, -30,11,132.8,⑪⑪⑪,11, 9,Ｈオリエンス, 61,芹沢純, 1.2, 61,   2,  -5, 9, 26.1,⑬⑧⑩,11,10,Ｎコスモラヴアゲイン, 72,三浦皇, 1.4, 73,   6,   5,13, 60.7, ⑫⑪,11, 2,Ｃコスモザガリア, 74,的場勇, 1.2, 62,   1,  -3, 9, 18.6,⑥⑪⑬
12,10,Ｊクレｰジｰエッグ, 48,荻野琢, 4.9, 32,  10, -46,12,199.0,②④⑦,12,12,Ｉオｰログランデ, 60,武幸四, 1.3, 61,*  4,  -8, 6, 15.8,⑪③⑤,12,15,Ｈコレデイイノダ, 77,竹之下, 1.4, 73,   6,   6,11, 41.6, ⑫⑪,12,10,Ｋレディｰビスティｰ, 63,藤田伸, 1.3, 61,   2,  -9, 7, 15.7,⑥⑥⑩
13,12,Ｃブライティアカイト, 60,松田大, 9.5, -3,  -2, -64, 6, 27.0,⑧⑫⑬,13,11,Ｎニイニイ, 49,荻野琢, 1.4, 61,   1,  -3,14, 95.0,⑯⑮⑬,13, 4,Ｋダンディｰズケア, 76,津村明, 1.5, 72,  11,  -1,10, 31.1, ⑦⑥,13, 7,Ｎロンシャンステｰジ, 55,北村友, 1.7, 62,  -3,   0,14,113.0,⑭⑮⑮
