08年 9月20日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 9月20日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1400m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 4R  芝1400m 2 歳新馬(牝) 馬齢,,,,,,,,,,,,■ 7R  芝1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■10R  芝1800m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,西宮ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
■ 2R  ダ1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 5R  ダ1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:12,,,,,■ 8R  ダ1400m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■11R  芝1800m 2 歳ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,野路菊ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 2,Ｂワキノキルシェ, 66,橋本美,, 71,  -2,*  7, 4, 15.4,⑬⑫④, 1, 7,Ａサンデｰヒストリｰ, 72,鮫島良,, 74,*  7,*  1, 1,  2.9,③②①, 1, 7,Ｂメリッサ, 75,武豊  ,, 76,   2,* 14, 1,  1.9, ⑧⑥, 1, 5,Ｇホッコｰタキオン, 57,飯田祐,, 69,*  6, -10, 5, 21.9, ①①
 2, 9,Ｅテイエムノキセキ, 61,田中健, 0.3, 64,*  1,  -5, 3,  8.1,③③②, 2,15,Ｄキャトルマン, 68,幸英明, 0.8, 67,*  7,  -5, 2,  3.5,⑤④③, 2, 5,Ｉスリｰアリスト, 68,小牧太, 0.1, 75,   2,* 13,10, 73.0, ⑧⑨, 2, 6,Ｂプロスアンドコンズ, 62,福永祐, 0.2, 69,   0,*  1, 1,  1.5, ⑨⑦
 3, 5,Ａハイパｰラッシュ, 67,佐藤哲, 0.3, 63,   0,  -3, 1,  1.5,③④③, 3, 5,Ｎミッキｰウィスパｰ, 47,熊沢重, 1.2, 66,   6,  -6,10, 39.6,⑤⑥⑥, 3,11,Ｎトミケントラスト, 51,四位洋, 0.3, 75,  -4,* 20,11,121.7, ⑮⑬, 3, 2,Ａグリｰンイレブン, 65,岩田康, 0.3, 65,   3,  -8, 3,  8.6, ③③
 4,11,Ｃロｰズシティ, 63,岩田康, 0.7, 61,  -2,*  0, 2,  5.2,⑫⑪④, 4, 6,Ｊピサノフジ, 56,武豊  , 1.3, 64,*  7,  -9, 3,  6.7,③④③, 4,12,Ａサンマルチｰフ, 76,岩田康, 0.7, 71,   1,  10, 2,  3.8, ⑧⑩, 4, 1,Ｆジャングルストｰン, 59,幸英明, 0.8, 64,  -2,* -3, 9, 66.3, ⑩⑨
 5, 8,Ｈサクライリュｰム, 52,和田竜, 0.9, 59,  -1,  -5, 7, 33.5,⑥⑥⑥, 5,14,Ｃウォルトンコクカ, 68,浜中俊, 1.4, 65,   4,  -4, 7, 22.1,⑩⑧⑧, 5, 9,Ｋパナマックス, 65,太宰啓, 0.7, 70,   4,   6, 7, 34.0, ⑥⑥, 5, 8,Ｃキングアレキサンダ, 61,熊沢重, 1.2, 58,  -1, -12, 6, 32.0, ⑧⑧
 6,13,Ｄゴｰルデンジョイス, 61,田村太, 1.7, 55,  -3,  -9, 9, 54.9,⑩⑨⑧, 6, 1,Ｇミッキｰハンタｰ, 66,福永祐, 1.5, 66,   0,*  3, 6, 14.0,⑬⑮⑭, 6, 1,Ｈイイデソユｰズ, 68,石橋守, 0.8, 69,* 12,  -5, 9, 62.7, ①①, 6, 4,Ｅダノンフｰバフｰバ, 59,武豊  , 1.2, 57,   0, -15, 2,  4.6, ⑦⑤
 7, 4,Ｆワンダｰギャルｰ, 57,熊沢重, 2.5, 48,*  2, -24, 6, 28.4,②①①, 7,10,Ｂスマｰトレイズ, 69,岩田康, 1.6, 62,   6, -10, 4,  6.8,⑨⑦⑥, 7,15,Ｃウッドウインド, 75,幸英明, 0.9, 68,   7,   0, 5, 16.2, ⑤⑤, 7,10,Ｄシルクドミニオン, 60,浜中俊, 1.5, 57,   2, -21, 4, 10.6, ④⑤
