08年 8月24日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 8月24日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 4R  芝1200m 2 歳新馬(牝) 馬齢,,,,,,,,,,,,■ 7R  芝1800m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■10R  芝1800m 3歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,,,,,,,,,,,,,小倉日経ｵｰﾌﾟﾝ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
"馬単:3,150円 3連複:3,540円 3連単:22,470円",,,,,,,,,,,,"馬単:3,090円 3連複:2,650円 3連単:13,760円",,,,,,,,,,,,"馬単:12,110円 3連複:18,840円 3連単:108,760円",,,,,,,,,,,,"馬単:1,700円 3連複:12,350円 3連単:42,600円",,,,,,,,,,,
■ 2R  ダ1700m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■ 5R  芝1800m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 8R  ダ1000m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■11R  ダ1700m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,,,,,,,,,,,,,豊前特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 5,Ｂエリモエトワｰル, 67,渡辺薫,, 64,*  4,*  7, 4,  9.0,③②①, 1, 9, ダノンフｰバフｰバ,---,吉田隼,, 58,*-17,* 11, 2,  5.9,③③③, 1, 1,Ｅヴォレハクユウ, 68,角田晃,, 68,  -5,   8, 5, 14.0, ②③, 1, 3,Ｅタガノアッシュ, 74,小牧太,, 74,*  0,* 16, 2,  3.9,③③③
 2, 4,Ｅメイショウタマヒメ, 61,小牧太, 0.0, 62,*  5,   6, 5, 11.5,②②②, 2, 1, テｰオｰティアラ,---,鮫島良, 0.2, 61, -21,* 15, 1,  1.6,⑩⑪⑧, 2,14,Ａケイティマイヒメ, 74,太宰啓, 0.1, 67,*  1,   4, 1,  3.2, ①①, 2, 9,Ｇロングキｰブリッジ, 71,和田竜, 0.0, 74,*  1,  13, 9, 29.0,①①①
 3, 8,Ａハイパｰラッシュ, 70,佐藤哲, 0.1, 63,   3,*  8, 1,  1.8,⑤④④, 3,11, グレｰトダンサｰ,---,田中克, 0.5, 51,*-16,   1, 4, 11.1,②②②, 3, 2,Ｊエイシンイップｰ, 60,和田竜, 0.1, 67,  -8,*  9, 7, 21.2, ⑤⑤, 3,16,Ａゴｰルドスミス, 79,武豊  , 0.1, 73,*  0,  14, 1,  2.7,⑤③③
 4,12,Ｆコパノアコチャン, 61,藤岡康, 0.4, 62,   3,   5, 2,  7.7,⑤④④, 4, 2, メテオストリｰム,---,幸英明, 0.6, 52, -19,   4,12, 78.9,④④③, 4,11,Ｂパレスルビｰ, 73,田嶋翔, 0.2, 65,* -4,   6, 4,  6.2, ②②, 4, 7,Ｆロｰルオブザダイス, 73,鮫島良, 0.1, 76,  -2,* 17, 5, 11.6,⑤⑥⑥
 5,10,Ｄグランチャｰム, 65,和田竜, 0.6, 60,   0,*  8, 7, 13.1,⑪⑧⑦, 5, 8, エｰシンウィンマン,---,武豊  , 0.8, 46,*-14,  -6, 5, 15.5,①①①, 5,13,Ｆミキノセレナｰデ, 67,幸英明, 0.4, 63,  -7,   6, 9, 27.8, ④③, 5,14,Ｋタムロチェスト, 68,酒井学, 0.2, 74,*  0,  14, 8, 19.5,②③⑤
 6, 1,Ｃインタｰレｰス, 66,幸英明, 0.8, 58,*  5,   0, 3,  8.7,①①③, 6, 5, ストゥレガｰレ,---,和田竜, 1.2, 47, -19,   0, 6, 17.6,⑦⑦⑤, 6, 3,Ｄオウシュウバラッド, 69,吉田隼, 0.4, 63, -13,*  9, 8, 26.4, ⑦⑥, 6,11,Ｄゴｰルデンルｰヴェ, 75,佐藤哲, 0.3, 73,  -2,* 15, 6, 16.9,⑦⑥⑥
