08年10月 4日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年10月 4日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■ 4R  芝1200m 2 歳新馬(牝) 馬齢,,,,,,,,,,,,■ 7R  芝2200m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■10R  芝1600m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
 1, 2,Ｆコハクジョｰ, 41,小野次,, 54, -12,* 10, 5, 10.0,⑭⑯⑭, 1, 7, スズカスペンサｰ,,北沢伸,,,,, 9, 46.9,⑥④②, 1,11,Ｂホットストック, 77,吉田隼,, 75,   1,  14, 2,  5.3,③②②, 1, 8,Ｋチョウカイシャトル, 79,田中勝,, 83,  -7,* 25,11, 29.5, ⑬⑨
 2,15,Ｃマルタカハンタｰ, 49,大庭和, 0.1, 48,* -1,  -8, 6, 10.7,③②②, 2, 5, ペネトレｰタｰ,,横山義,195.4,,,, 1,  1.5,③②①, 2, 4,Ａアバレダイコ, 78,吉田豊, 0.0, 76,   1,  15, 1,  1.7,③④⑥, 2, 9,Ｂトロピカルライト, 89,鷹野宏, 0.1, 82,*  7,  11, 1,  4.3, ②②
 3, 7,Ｅユウキハングリｰ, 44,石橋脩, 0.2, 49,* -1, -13, 2,  5.2,①①①, 3, 2, ワイズタイクｰン,,穂苅寿,196.1,,,, 3, 12.0,④③④, 3, 8,Ｃテンジンニチオｰ, 74,勝浦正, 0.5, 74,   1,  12, 5, 10.3,⑧④④, 3, 3,Ｄビクトリｰテツニｰ, 86,小野次, 0.1, 81,  -2,* 20, 4,  8.0, ⑨⑨
 4, 6,Ｌレッドジェム, 37,後藤浩, 0.3, 49,* -1,  -9, 8, 27.6,③④④, 4, 9, ブルｰベレッタ,,大庭和,197.8,,,, 2,  5.7,④⑥⑤, 4, 6,Ｆコアレスレｰサｰ, 71,千葉直, 0.5, 73,  -3,* 19, 8, 81.8,⑩⑪⑨, 4, 6,Ｅガブリン, 85,勝浦正, 0.1, 83,   1,  17, 6, 12.3, ⑤⑥
 5,14,Ｂマイネルテｰベ, 50,吉田隼, 0.4, 46,*  0, -14, 4,  9.2,②②②, 5, 3, スプリングカラｰ,,金子光,198.5,,,, 4, 12.3,①①②, 5, 3,Ｄリｰジェントゲスト, 73,木幡初, 0.6, 69,*  2,   8, 6, 11.7,①①①, 5,10,Ｌピｰチドラフト, 79,蛯名正, 0.3, 81,   4,  13, 3,  6.1, ③③
 6, 3,Ｍフジマサエンブレム, 35,黛弘人, 0.5, 47,  -9,* -1,15,203.4,⑯⑪⑨, 6,12, ガッテンヒメ,,柴田大,200.2,,,, 7, 27.6,⑩⑧⑧, 6, 7,Ｅトｰセンマンボ, 72,内田博, 0.7, 70,   0,  10, 3,  7.4,③④⑥, 6, 1,Ｃスリｰセブンスピン, 87,平沢健, 0.4, 80,*  8,   9, 7, 13.2, ①①
 7,11,Ａクラッチシュｰタｰ, 55,田中勝, 0.7, 45,  -9,  -5, 3,  9.1,⑬⑪⑨, 7, 6, ダイナマイトシコク,,平沢健,200.9,,,, 8, 37.1,②④⑥, 7, 1,Ｇダノンギムレット, 70,小島太, 1.7, 64,   1,   2, 4, 10.3,③④④, 7,14,Ａサンエムパｰム, 89,和田竜, 0.8, 76,   0,  12, 2,  5.4, ⑧⑥
 8, 5,Ｊタカイチアリュｰル, 38,柴山雄, 0.9, 41,  -3, -17, 9, 29.0,⑤④④, 8,13, ゴスペル,,江田勇,201.6,,,,10, 77.9,⑨⑦⑦, 8, 2,Ｊシルクストラｰダ, 54,黛弘人, 2.3, 59,  -2,   0,11,127.3,⑨⑧⑧, 8,12,Ｉチャレンジシチｰ, 80,柴山雄, 0.8, 77,   2,  10,10, 21.0, ④⑤
 9, 1,Ｎドリｰムハッチ, 31,内田博, 1.0, 41, -10,  -5, 7, 15.3,⑭⑭⑭, 9, 8, レオスタｰライト,,浜野谷,204.2,,,, 5, 18.3,⑦⑨⑨, 9, 5,Ｋスズノエイユウ, 41,大庭和, 3.0, 57,  -3,  -3, 9, 82.3,⑪⑨⑨, 9,11,Ｍハｰベストシｰズン, 79,後藤浩, 1.0, 73,  -6,  15, 9, 18.8, ⑪⑭
10,16,Ｉナスノロビン, 40,勝浦正, 1.0, 42,  -3, -18, 1,  2.2,⑤④④,10,14, スルｰザグリｰン,,蓑島靖,208.6,,,,12,122.4,⑫⑫⑪,10, 9,Ｉタイキインスパイア, 59,石橋脩, 3.4, 51,*  2, -15,10,110.9,②②②,10, 7,Ｈタイキシルバｰ, 81,大庭和, 1.0, 74, -10,  19,12, 32.7, ⑯⑬
11, 8,Ｇナカヨキコト, 41,武士沢, 1.1, 39,  -4, -16,11, 53.3,⑤⑦⑦,11,10, トウショウメビウス,,山本康,209.4,,,, 6, 20.7,⑦⑪⑩,11,10,Ｈドンラミロ, 59,北村宏, 6.8, 31,  -2, -35, 7, 71.4,⑦⑨⑪,11,13,Ｏダブルアップ, 76,横山義, 1.1, 73,  -8,  16,16,141.2, ⑭⑮
12,10,Ｄノボレインボｰ, 44,千葉直, 1.4, 35,  -6, -20,14,198.2,⑩⑦⑦,12, 4, グロリアスヴュｰ,,宗像徹,210.5,,,,13,131.1,⑬⑬⑫,,,,,,,,,,,,,12, 2,Ｊブラックシャドウ, 79,石橋脩, 1.2, 71,   1,   7,14, 55.9, ⑤④
13,12,Ｏシックスシグマ, 20,吉田豊, 1.7, 32,  -9, -19,10, 48.1,⑩⑪⑫,,,,,,,,,,,,,,,,,,,,,,,,,13,16,Ｇグリｰンアラモｰド, 82,吉田隼, 1.3, 71,  -2,   9, 8, 14.9, ⑨⑪
14, 9,Ｐラレｰヌデュバル, 17,西田雄, 2.1, 28,  -4, -31,16,281.9,⑤⑦⑨,,,,,,,,,,,,,,,,,,,,,,,,,14,15,Ｆダイイチミラクル, 84,内田博, 1.4, 71,  -9,  15, 5,  9.7, ⑮⑮
15, 4,Ｈフクノライジン, 41,和田竜, 2.7, 22,  -6, -38,12,107.4,⑤⑦⑫,,,,,,,,,,,,,,,,,,,,,,,,,15, 5,Ｎオメガエンドレス, 77,北村宏, 1.5, 69,  -5,  10,13, 52.7, ⑪⑫
16,13,Ｋメイビｰノｰ, 37,北村宏, 4.0,  9, -10, -48,13,137.4,⑩⑭⑯,,,,,,,,,,,,,,,,,,,,,,,,,16, 4,Ｐウインサウザｰ, 74,武士沢, 1.7, 69,   1,   4,15, 61.0, ⑤⑥
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:良(指数:-1),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:+8 馬場:良(指数:-6),,,,,,,,,,,,ｸﾗｽ上位平均:85 ﾚｰｽﾍﾟｰｽ指数:-13 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:良(指数:-6),,,,,,,,,,,
"単勝:1,000円 複勝:02=250円 15=260円 07=160円 枠連:560円",,,,,,,,,,,,"単勝:4,690円 複勝:07=770円 05=110円 02=220円 枠連:730円",,,,,,,,,,,,単勝:530円 複勝:11=150円 04=110円 08=210円 枠連:410円,,,,,,,,,,,,"単勝:2,950円 複勝:08=640円 09=180円 03=270円 枠連:2,940円",,,,,,,,,,,
"馬連:3,100円 ワイド:02-15=980円 02-07=650円 07-15=720円",,,,,,,,,,,,"馬連:3,090円 ワイド:05-07=1,130円 02-07=2,610円 02-05=390円",,,,,,,,,,,,馬連:420円 ワイド:04-11=210円 08-11=530円 04-08=250円,,,,,,,,,,,,"馬連:10,410円 ワイド:08-09=2,670円 03-08=3,570円 03-09=790円",,,,,,,,,,,
"馬単:7,530円 3連複:4,470円 3連単:34,650円",,,,,,,,,,,,"馬単:11,470円 3連複:7,030円 3連単:72,480円",,,,,,,,,,,,"馬単:1,250円 3連複:900円 3連単:5,380円",,,,,,,,,,,,"馬単:22,890円 3連複:22,320円 3連単:186,430円",,,,,,,,,,,
■ 3R  ダ1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-14,,,,,■ 6R  ダ1800m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-5,,,,,■ 9R  芝1600m 2 歳ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:-8,,,,,■12R  芝1200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,芙蓉ｽﾃｰｸｽ,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 9,Ｃサマｰシルクロｰド, 55,柴山雄,, 58,  -5,*  4, 4,  5.4, ⑦⑥, 1,13,Ｅセイリングシップ, 69,千葉直,, 75,   2,* 14, 6, 16.5,⑦⑤③, 1, 3,Ｂダイワプリベｰル, 63,後藤浩,, 67,  -4,   6, 1,  2.5,⑨⑤④, 1, 1,Ａセトノアンテウス, 78,内田博,, 75,  -5,* 12, 1,  2.1, ⑥⑦
 2,16,Ｇウインオｰシャン, 51,木幡初, 0.1, 54,*  3,  -6, 5, 13.5, ②②, 2, 8,Ａヤマニンピボワンヌ, 74,伊藤工, 0.2, 75,   0,* 15, 2,  4.9,⑧⑨⑦, 2,10,Ｊダノンベルベｰル, 44,内田博, 0.0, 67,  -3,   5, 3,  5.6,⑨⑤④, 2, 3,Ｈカシノリボン, 65,岩部純, 0.1, 74,*  0,   5, 7, 31.8, ①①
 3, 1,Ｂフェｰルクｰクｰ, 64,内田博, 0.2, 55,*  3,  -6, 3,  5.4, ①①, 3,10,Ｂグッドチョイス, 71,吉田豊, 0.6, 73,   1,  10, 3,  5.6,⑩⑦⑦, 3, 8,Ｇマイヨｰル, 55,蛯名正, 0.1, 65,*  2,  -7, 9, 39.7,①①①, 3, 7,Ｌボタニカルアｰト, 61,吉田豊, 0.3, 72,  -4,   6, 2,  4.6, ④④
 4,13,Ａストライクゾｰン, 70,蛯名正, 0.6, 52,  -3,  -4, 1,  2.7, ⑤④, 4, 2,Ｇサニｰラブカフェ, 64,小島太, 0.9, 70,  -1,  10, 5, 14.0,⑬⑪⑩, 4, 2,Ｆスパラｰト, 55,吉田豊, 0.1, 69, -13,* 19, 4, 10.7,⑬⑬⑫, 4,10,Ｃレイクエルフ, 76,田中勝, 0.5, 70,  -6,   7, 3,  5.2, ⑧⑦
 5,12,Ｉスウェプトアウェイ, 45,中谷雄, 1.1, 46,  -8,  -5, 7, 40.5, ⑨⑧, 5, 4,Ｌナッシュビル, 54,黛弘人, 1.0, 68,*  4,   1,11,108.5,①①①, 5, 7,Ａセイクリッドバレｰ, 66,柴山雄, 0.3, 64,  -5,   3, 2,  3.1,⑤⑧⑦, 5,16,Ｐセントエドワｰド, 51,和田竜, 0.5, 69,* -1,   1,15,158.3, ②③
 5, 7, シルクディグニティ,---,和田竜, 1.1, 46, -20,*  7,10, 88.3, ⑭⑬, 6,11,Ｃヨンハキッス, 71,宮崎北, 1.4, 64,*  4,  -1, 8, 42.2,⑧②②, 6,11,Ｅマイネルウェイヴ, 56,石橋脩, 0.3, 64,*  0,  -4, 8, 33.4,②②②, 6, 6,Ｊデュヌラルテ, 63,石橋脩, 0.7, 68, -11,*  9, 6, 25.1, ⑯⑭
 7,14,Ｋダイワタｰゲット, 43,北村宏, 1.2, 45,*  1, -13, 2,  3.9, ③③, 7, 6,Ｄアポロクイック, 71,勝浦正, 1.4, 68,   1,   4, 1,  1.9,⑩⑨⑦, 7, 5,Ｋクリノスレンダｰ, 41,武士沢, 0.3, 63,  -2,  -1,10, 65.5,②③②, 7, 5,Ｆマルタカラッキｰ, 71,丹内祐, 0.7, 67, -10,*  8, 5, 20.5, ⑫⑭
 8, 4,Ｅシルクデイジｰ, 52,吉永護, 1.2, 45, -10,  -4, 9, 56.7, ⑪⑩, 8, 1,Ｈルビウス, 63,柴山雄, 2.2, 63,   2,  -5, 7, 24.6,⑤⑤⑤, 8, 4,Ｄスズノハミルトン, 56,和田竜, 0.3, 65,  -6,   5, 6, 14.4,⑨⑩⑦, 8,14,Ｅワンダｰフルｰツ, 72,後藤浩, 0.7, 66,  -5,   3, 4,  8.4, ⑥④
 9,15,Ｌスイｰトカトマンズ, 41,千葉直, 1.3, 44, -13,  -2,13,105.9, ⑫⑪, 9, 9,Ｆアイスボックス, 66,石橋脩, 2.7, 56,*  4, -12, 4, 10.2,②②③, 9, 6, プルプル,---,北村宏, 0.4, 64,  -5,   5,12,181.3,⑤⑩⑦, 9, 9,Ｇユキノハボタン, 68,千葉直, 0.9, 63,  -4,  -2,13, 69.2, ④④
10, 6,Ｆムｰンブリザｰド, 51,小林淳, 1.9, 39,   0, -19, 8, 55.6, ③④,10,12,Ｋイイデゴｰル, 56,和田竜, 3.6, 53,   0, -13,14,125.8,④⑪⑫,10,13,Ｃドリｰムヘリテｰジ, 57,吉田隼, 0.8, 57,  -5,  -4, 5, 14.0,⑤⑧⑦,10, 2,Ｍブルｰデインヒル, 61,吉田隼, 0.9, 63,  -8,   2,10, 47.0, ⑨⑩
11, 8,Ｊスマｰトプログレス, 43,吉田豊, 2.0, 39,  -4, -16,12, 92.7, ⑤⑨,11, 7,Ｉリネンスタイル, 62,南田雅, 3.6, 52,   1, -15,12,110.4,⑤⑦⑩,11, 1, ホッカイマドゥライ,---,嘉藤貴, 1.0, 56,  -9,  -1,11,167.4,⑫⑫⑫,11,12,Ｋメジロフロｰラ, 63,小野次, 1.0, 63,  -8,   1,11, 48.9, ⑨⑦
12, 5,Ｎレディｰハンタｰ,-35,黛弘人, 2.1, 37, -24,*  2,15,219.9, ⑮⑮,12, 3,Ｊファディスタ, 58,北村宏, 3.7, 51,  -1, -12,10, 85.5,⑬⑬⑫,12, 9,Ｉモンドｰル, 45,田中勝, 3.3, 31,  -3, -42, 7, 31.8,⑤⑤⑦,12,11,Ｂパスタイム, 78,西田雄, 1.1, 61,  -9,   1,12, 64.4, ⑫⑩
13, 2,Ｍエプソムグレｰス, 41,宮崎北, 2.2, 35,  -6, -16,16,247.1, ⑦⑦,13,14,Ｍシルクアンコｰル, 48,草野太, 4.6, 44,   3, -27,13,112.3,②②⑤,13,12,Ｈパワｰトｰマス, 51,木幡初, 3.4, 29,  -2, -45,13,199.0,②③④,13,15,Ｄベルファスト, 74,黛弘人, 1.1, 61,  -9,   1, 9, 43.8, ⑫⑩
14,10, サンドヴィｰナス,---,西田雄, 2.7, 32, -12, -14,11, 90.5, ⑫⑬,14, 5,Ｎフィｰルドスコｰプ, 41,加藤士, 6.0, 38,  -3, -27, 9, 79.8,⑫⑭⑭,,,,,,,,,,,,,14,13,Ｏペレ, 52,木幡初, 1.2, 60,* -1,  -8,14, 86.8, ②②
15, 3,Ｈハッピｰタイムズ, 50,土谷智, 2.9, 32,  -7, -19,14,174.2, ⑨⑪,,,,,,,,,,,,,,,,,,,,,,,,,15, 4,Ｉホットカフェ, 64,小島太, 1.8, 52, -11,  -7, 8, 41.9, ⑫⑯
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16, 8,Ｎオペラアンドワルツ, 54,柴山雄, 2.2, 47,  -8, -14,16,170.8, ⑨⑬
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:良(指数:-6),,,,,,,,,,,,ｸﾗｽ上位平均:71 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:-6),,,,,,,,,,,,ｸﾗｽ上位平均:68 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:-8 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:-1),,,,,,,,,,,
