08年 9月21日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 9月21日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 4R  芝1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■10R  ダ1200m 3歳上1000万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ中山,,,,,,,,,,,,,,,,,,,,,,,,葛飾特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
13,10,Ｊフロｰラルパタｰン, 36,柴山雄, 1.7, 37,* -9, -14,10, 63.4,②②③,,,,,,,,,,,,,13, 3,Ｄコスモビｰスト, 73,丹内祐, 3.3, 54,   3, -11, 7, 19.3,④⑤⑦,13, 9,Ｌロｰドニュｰスタｰ, 77,武幸四, 2.0, 67,  -6,  12,12, 21.5,⑯⑮⑮
14, 6,Ｉニッシンランラン, 36,伊藤工, 2.6, 27, -13, -18,14,192.3,⑧⑪⑭,,,,,,,,,,,,,14, 8,Ｍキラウエアシチｰ, 63,柄崎将, 4.7, 47,   1, -16,14,143.8,⑪⑬⑭,14,17,Ｊクリスタルウイング, 79,内田博, 2.1, 61,*  6, -21, 2,  7.8,④④⑦
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,10,Ｏアイティトップ, 72,木幡初, 2.1, 63,  -1,  -4,17,105.1,⑭⑭⑭
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,13,Ｒドットコム, 68,吉田豊, 2.3, 64,  -6,  10,18,140.1,⑮⑯⑯
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:+7 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:-12 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:稍重(指数:-8),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:稍重(指数:-8),,,,,,,,,,,,ｸﾗｽ上位平均:84 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:稍重(指数:0),,,,,,,,,,,
"単勝:530円 複勝:01=230円 05=560円 03=870円 枠連:4,050円",,,,,,,,,,,,単勝:270円 複勝:09=120円 06=180円 01=120円 枠連:930円,,,,,,,,,,,,"単勝:1,530円 複勝:10=370円 05=140円 01=250円 枠連:1,840円",,,,,,,,,,,,"単勝:1,850円 複勝:06=460円 16=150円 15=360円 枠連:1,540円",,,,,,,,,,,
"馬連:4,600円 ワイド:01-05=1,780円 01-03=2,710円 03-05=4,750円",,,,,,,,,,,,"馬連:1,200円 ワイド:06-09=400円 01-09=170円 01-06=330円",,,,,,,,,,,,"馬連:2,110円 ワイド:05-10=830円 01-10=1,900円 01-05=510円",,,,,,,,,,,,"馬連:3,190円 ワイド:06-16=1,220円 06-15=2,690円 15-16=770円",,,,,,,,,,,
"馬単:7,660円 3連複:38,620円 3連単:190,100円",,,,,,,,,,,,"馬単:1,970円 3連複:910円 3連単:5,830円",,,,,,,,,,,,"馬単:6,330円 3連複:5,700円 3連単:46,550円",,,,,,,,,,,,"馬単:7,500円 3連複:10,320円 3連単:65,060円",,,,,,,,,,,
