08年 3月15日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 3月15日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,,■ 4R  芝1600m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 7R  ダ1800m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■10R  芝1400m 4歳上1600万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,
 9, 4,Ｉクリスライムライト, 45,角田晃, 2.0, 50,  -7,   2,11,170.8, ⑪⑩, 9,13,Ｇリトルビスケット, 55,熊沢重, 1.2, 57,   0,  -8, 9, 38.6, ⑧⑥, 9, 6,Ｊカルストンオｰラ, 27,小牧太, 3.9, 47,   0, -18, 9, 97.0,③③⑤, 9,16,Ｆシｰルビｰバック, 78,角田晃, 1.2, 73,   8,  -1,11, 55.6, ⑬⑩
10,11,Ｌイガノガイア, 36,松田大, 2.0, 50,*  1,  -6,10,144.8, ③③,10, 6,Ｋエイシンジャガｰ, 50,松田大, 1.5, 53,   1, -14,10, 70.6, ⑥⑥,10, 1,Ｈクイッククイック, 63,武英智, 4.4, 44,*  2, -26, 6, 19.6,①①②,10, 7,Ｐサインゴｰルド, 63,石橋守, 1.3, 74,   9,  -5,14, 84.5, ⑥⑦
11, 9,Ｂウインリスペクト, 57,川田将, 2.4, 47,  -5,  -3, 4,  7.2, ⑧⑩,11, 2,Ｌリチャｰドバロｰズ, 45,渡辺薫, 1.7, 51,  -5,  -9,11,101.4, ⑫⑭,,,,,,,,,,,,,11,10,Ｅラブアクチュアリｰ, 78,上村洋, 1.3, 73,  11,  -6, 2,  4.7, ⑥⑥
12, 8,Ｊメイショウモモフク, 44,船曳文, 2.5, 45, -10,   0,12,171.8, ⑬⑬,12,11,Ｏタガノミステリアス, 42,橋本美, 2.0, 47,   1, -21, 6, 20.8, ⑤⑥,,,,,,,,,,,,,12,13,Ｄグランプリオｰロラ, 80,熊沢重, 1.4, 74,* 15, -12, 8, 21.1, ②②
13,13,Ｍデルマカペラ, 34,長谷川, 2.6, 46,  -3,  -7,14,380.3, ⑧⑧,13,10,Ｎオタカラボックス, 44,田中克, 2.1, 45,  -2, -19,12,128.7, ⑧⑨,,,,,,,,,,,,,13,15,Ｌベルモントプロテア, 72,内田浩, 1.6, 70,* 13, -14,13, 68.6, ③④
14, 1,Ｋコウショウテンシ, 36,飯田祐, 3.7, 35,  -7, -13,13,291.7, ⑪⑬,14, 4,Ｈショウリュウケン, 55,田村太, 2.6, 40,  -3, -24,14,342.3, ⑬⑫,,,,,,,,,,,,,14, 3,Ｉナチュラルメイク, 76,小牧太, 1.6, 69,   7,  -5, 9, 28.8, ⑪⑬
,,,,,,,,,,,,15, 1,Ｐトドロキミラクル, 21,川島信, 2.6, 39,  -6, -18,16,547.4, ⑮⑮,,,,,,,,,,,,,15, 5,Ｋペニｰホイッスル, 73,幸英明, 1.7, 68,   7,  -6, 7, 20.3, ⑨⑩
,,,,,,,,,,,,16, 7,Ｍツルマルクリス, 45,船曳文, 2.9, 37, -10, -16,15,375.7, ⑯⑯,,,,,,,,,,,,,16, 8,Ｊスズカフォイル, 74,橋本美, 2.2, 61,  -3,   0,15,190.2, ⑯⑯
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:重(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:64 ﾚｰｽﾍﾟｰｽ指数:+0 ﾚｰｽｱｶﾞﾘ指数:-0 馬場:稍重(指数:5),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:+7 馬場:重(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:84 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:良(指数:5),,,,,,,,,,,
単勝:290円 複勝:14=120円 02=130円 03=640円 枠連:320円,,,,,,,,,,,,単勝:280円 複勝:14=120円 16=180円 05=350円 枠連:520円,,,,,,,,,,,,単勝:190円 複勝:04=110円 10=230円 07=210円 枠連:220円,,,,,,,,,,,,"単勝:4,070円 複勝:14=1,080円 04=640円 01=2,320円 枠連:6,180円",,,,,,,,,,,
"馬連:330円 ワイド:02-14=160円 03-14=1,990円 02-03=1,860円",,,,,,,,,,,,"馬連:610円 ワイド:14-16=260円 05-14=700円 05-16=1,340円",,,,,,,,,,,,"馬連:970円 ワイド:04-10=320円 04-07=400円 07-10=1,370円",,,,,,,,,,,,"馬連:35,790円 ワイド:04-14=8,550円 01-14=24,430円 01-04=8,310円",,,,,,,,,,,
"馬単:590円 3連複:5,940円",,,,,,,,,,,,"馬単:1,100円 3連複:2,900円",,,,,,,,,,,,"馬単:1,260円 3連複:2,560円",,,,,,,,,,,,"馬単:74,120円 3連複:418,370円 3連単:2,426,400円",,,,,,,,,,,
■ 2R  ダ1800m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 5R  ダ1400m 3 歳新馬(混) 馬齢,,,,,,,,,,,,■ 8R  ダ1400m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■11R  芝1800m 4歳上ｵｰﾌﾟﾝ(国) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,大阪城ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 5,Ｅゴｰルデンルｰヴェ, 54,小牧太,, 67,  -4,* 15, 2,  4.0,⑤④③, 1,11, グランプリヒｰロｰ,---,四位洋,, 66,* -2,*  5, 1,  2.6, ③③, 1, 4,Ｂトウカイインパクト, 72,石橋守,, 72,  -1,* 12, 1,  1.6, ⑬⑫, 1,15,Ｅオｰスミグラスワン, 88,川田将,, 99,  14,* 22, 2,  5.7, ⑮⑭
 2, 8,Ｄヤマニンリュバン, 57,酒井学, 0.2, 65,* -2,  10, 3,  4.1,②①①, 2, 7, エアパパガト,---,池添謙, 0.9, 60, -10,*  7, 4,  7.5, ⑫⑫, 2, 1,Ａサンマルチｰフ, 73,小牧太, 0.4, 71,   4,   3, 2,  5.4, ⑦④, 2, 6,Ｂマヤノライジン, 90,長谷川, 0.1, 97,  21,   7, 5,  8.3, ⑥⑤
 3, 1,Ｃウエスタンシｰザｰ, 61,柴原央, 0.7, 63,  -4,  10, 4,  4.7,③⑤⑤, 3,15, キタサンゴｰ,---,渡辺薫, 1.2, 56,* -2,  -7, 2,  4.2, ②②, 3, 9,Ｇダノンエタｰナル, 66,藤岡佑, 0.6, 69,   5,   0, 8, 35.5, ④④, 3, 4,Ａパｰフェクトジョイ, 92,川島信, 0.5, 92,  17,  10, 4,  8.2, ⑪⑪
 4, 7,Ｂスマｰトファントム, 64,藤岡佑, 0.8, 60,* -3,   6, 5,  7.0,⑥②②, 4, 1, マルブツエンペラｰ,---,船曳文, 1.5, 54,  -7,  -3, 6, 28.0, ⑦⑥, 4, 5,Ｉオラクルメサイア, 64,田中克, 0.9, 68,  -1,   4,12, 79.0, ⑬⑫, 4, 2,Ｇロジック, 87,上村洋, 0.5, 93,  19,   4, 8, 15.3, ⑨⑨
 5, 4,Ｆヤギリスパイダｰ, 53,川島信, 1.0, 60,  -5,   8, 6, 71.5,⑦⑥③, 5, 3, チャｰムナデシコ,---,橋本美, 1.7, 52,  -5,  -6,14,158.2, ⑤④, 5,16,Ｈエイシンダンベリｰ, 65,池添謙, 0.9, 67,   5,  -3, 3,  8.5, ④④, 5, 5,Ｎカネトシツヨシオｰ, 84,渡辺薫, 0.6, 94,  15,* 11, 6,  9.7, ⑬⑫
 6, 6,Ａニシノシャア, 67,川田将, 1.7, 54,  -4,   0, 1,  2.7,①③⑥, 6, 8, サンダｰホｰラｰ,---,飯田祐, 2.1, 48,* -2, -15,10, 36.2, ①①, 6, 3,Ｊヒシプレミア, 64,四位洋, 0.9, 65,  -4,*  9, 9, 38.8, ⑯⑯, 6,11,Ｄブライトトゥモロｰ, 90,小牧太, 0.6, 91,  19,   1, 3,  7.1, ⑥⑦
 7, 9,Ｇメイショウヘディン, 49,田村太, 1.9, 52,  -5,   2, 8,116.4,③⑥⑥, 7, 4, プレミアムキャノン,---,鮫島良, 2.2, 49, -10,  -5, 9, 35.7, ⑫⑨, 7,10,Ｏレジェンドバロｰズ, 57,田島裕, 0.9, 67,   4,  -1,13,102.7, ④⑦, 7,12,Ｐフィｰルドベアｰ, 83,幸英明, 0.7, 91,  19,   1, 7, 14.0, ⑨⑨
 8, 3,Ｉシゲルアスパイヤｰ, 30,熊沢重, 6.4, 29, -15, -16, 7, 84.9,⑧⑧⑧, 8,16, シｰズソｰラｰ,---,松田大, 2.3, 48,  -7,  -9,15,168.6, ⑦⑧, 8, 6,Ｆアンジェラスキッス, 68,長谷川, 1.0, 67,   1,   2,11, 74.9, ⑪⑩, 8, 8,Ｆブラックタイド, 87,佐藤哲, 0.7, 88,* 22,  -5, 9, 16.8, ③③
,,,,,,,,,,,, 9,14, ヤッパリグランプリ,---,金折知, 2.4, 47, -10,  -6, 8, 31.6, ⑭⑫, 9,12,Ｌウイニングアｰク, 61,佐藤哲, 1.2, 65,   1,   0,15,168.8, ⑩⑧, 9, 7,Ｋスクｰルボｰイ, 85,酒井学, 1.0, 86,  19,  -5,14,150.6, ⑥⑦
,,,,,,,,,,,,10, 9, ミッションヒルズ,---,藤岡佑, 2.9, 43,  -8, -13, 3,  5.1, ⑨⑨,10, 7,Ｋカミツキ, 64,荻野要, 1.5, 62,*  6,  -9,10, 61.2, ②②,10,14,Ｌインセンティブガイ, 84,四位洋, 1.4, 82,  21, -12,10, 17.5, ⑤⑤
,,,,,,,,,,,,11,10, ミキノヨウセイ,---,上野翔, 3.1, 42, -10, -13,16,321.7, ⑩⑭,11, 8,Ｃトシザユカ, 70,角田晃, 2.0, 58,*  7, -14, 4, 11.4, ②①,11,16,Ｉロｰドマジェスティ, 86,熊沢重, 1.6, 83,  11,   5,12, 81.1, ⑯⑯
,,,,,,,,,,,,12,13, デンコウマｰチン,---,小牧太, 3.3, 42, -26,*  6,12, 45.9, ⑮⑮,12,14,Ｅサンエムサリダ, 68,田村太, 2.1, 55,   0,  -7,16,187.7, ⑪⑭,12,13,Ｊバトルバニヤン, 85,藤岡佑, 1.7, 78,* 23, -22, 1,  3.7, ②②
,,,,,,,,,,,,13, 6, フジアンドリュウ,---,石橋守, 3.4, 39,  -8, -18,13, 59.1, ⑩⑨,13,13,Ｍスナｰクムサシ, 59,高橋亮, 2.2, 55,  -3,  -5,14,136.2, ⑮⑮,13, 1,Ｈハギノベルテンポ, 87,田村太, 2.0, 77,  12,  -5,16,299.3, ⑬⑭
,,,,,,,,,,,,14, 5, シルクスピア,---,角田晃, 3.6, 39, -26,*  3, 7, 30.7, ⑯⑮,14, 2,Ｄショウナンサリｰレ, 69,鮫島良, 2.2, 56,   1,  -9, 5, 18.9, ⑨⑩,14, 3,Ｃマンオブパｰサｰ, 90,鮫島良, 2.5, 72,  15, -16,13,122.4, ⑪⑫
,,,,,,,,,,,,15,12, ナンバｰファイブ,---,佐藤哲, 3.7, 37,  -5, -24, 5, 14.8, ⑤④,15,15,Ｎテンエイヤシャヒメ, 58,川田将, 2.3, 54,   2, -12, 6, 28.0, ⑦⑧,15, 9,Ｍヴィｰタロｰザ, 84,角田晃, 2.5, 70,* 24, -34,11, 28.7, ①①
,,,,,,,,,,,,16, 2, ゴｰルドベガ,---,幸英明, 6.3, 18,  -4, -46,11, 42.5, ④⑥,16,11,Ｐリッカキングコｰト, 41,幸英明, 2.9, 51,*  7, -22, 7, 28.2, ①②,16,10,Ｏワイルドスナイパｰ, 83,芹沢純, 3.4, 62,* 22, -44,15,157.1, ③③
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:+11 馬場:重(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:重(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:重(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:88 ﾚｰｽﾍﾟｰｽ指数:+5 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:良(指数:5),,,,,,,,,,,
単勝:400円 複勝:05=170円 08=180円 01=190円 枠連:980円,,,,,,,,,,,,単勝:260円 複勝:11=120円 07=180円 15=170円 枠連:670円,,,,,,,,,,,,単勝:160円 複勝:04=110円 01=150円 09=520円 枠連:340円,,,,,,,,,,,,"単勝:570円 複勝:15=220円 06=230円 04=260円 枠連:1,180円",,,,,,,,,,,
馬連:960円 ワイド:05-08=370円 01-05=430円 01-08=410円,,,,,,,,,,,,馬連:780円 ワイド:07-11=350円 11-15=280円 07-15=550円,,,,,,,,,,,,"馬連:400円 ワイド:01-04=200円 04-09=990円 01-09=2,440円",,,,,,,,,,,,"馬連:2,310円 ワイド:06-15=830円 04-15=1,110円 04-06=940円",,,,,,,,,,,
"馬単:1,860円 3連複:1,310円",,,,,,,,,,,,"馬単:1,170円 3連複:1,090円",,,,,,,,,,,,"馬単:530円 3連複:4,090円",,,,,,,,,,,,"馬単:4,940円 3連複:7,400円 3連単:42,490円",,,,,,,,,,,
■ 3R  ダ1400m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■ 6R  芝2200m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 9R  芝3900m 4歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,,,,,,■12R  ダ1400m 4歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,阪神ｽﾌﾟﾘﾝｸﾞJ,,,,,,,,,,,,洲本特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8,Ｂタニノブロンクス, 64,渡辺薫,, 57,* -1,  -2, 2,  5.0, ②②, 1, 4,Ｊドリｰムキュｰブ, 59,角田晃,, 81,* -1,  16,12, 44.2,①①①, 1, 7, エイシンニｰザン,,西谷誠,,,,, 1,  1.8,②①①, 1, 7,Ｊスマｰトギルド, 75,石橋守,, 80,  -2,* 19,10, 57.0, ⑯⑯
 2, 6,Ｃテレパシｰ, 63,幸英明, 0.0, 56,*  0,  -3, 1,  1.7, ①①, 2, 2,Ｈマイネルアトレ, 66,幸英明, 0.1, 84,* -4,  21, 7, 22.1,④④②, 2,11, コウエイトライ,,小坂忠,263.3,,,, 2,  4.6,①②②, 2, 1,Ａナムラアトランテス, 82,幸英明, 0.2, 77,*  7,   6, 1,  3.8, ②①
 3, 4,Ｈカノヤトップレディ, 42,上村洋, 0.2, 56,  -9,*  6, 4, 11.9, ⑫⑩, 3, 7,Ｋアｰネストリｰ, 57,佐藤哲, 0.4, 79,* -4,  17, 1,  3.1,⑦⑥⑤, 3, 1, エイシンペキン,,白浜雄,264.3,,,, 5, 14.8,③④④, 3,13,Ｅニｰドルポイント, 77,池添謙, 0.2, 78,   5,   9, 2,  4.0, ⑤⑤
 4, 2,Ｄシゲルキボウ, 54,角田晃, 0.3, 53,* -1,  -4, 7, 24.5, ⑤③, 4,10,Ｄクリｰルトルネｰド, 70,四位洋, 0.7, 80,  -6,  20, 4,  7.8,⑨⑨⑨, 4, 6, クルワザｰド,,田中剛,264.3,,,, 6, 17.9,⑨⑨⑧, 4,11,Ｇタムロイｰネｰ, 76,酒井学, 0.4, 77,   0,* 13,12, 72.1, ⑮⑭
 5,11,Ａコロナドリリｰ, 66,長谷川, 0.4, 54,* -1,  -5, 3,  5.9, ③③, 5, 8,Ｆセンノカゼ, 69,田中克, 0.8, 80,  -8,* 22, 9, 32.7,⑨⑪⑪, 5, 9, マンテンフラワｰ,,菊地昇,264.8,,,,11,174.3,③③③, 5,12,Ｌラインストｰム, 74,橋本美, 0.5, 76,   2,  10, 7, 21.7, ⑬⑨
 6,13,Ｆユウキラッシュ, 52,芹沢純, 0.6, 52,  -2,  -5, 9, 50.6, ⑤⑤, 6, 1,Ａスリｰオリオン, 75,熊沢重, 0.8, 82,  -7,* 24, 5, 11.5,⑫⑫⑪, 6, 5, マイネルオｰパｰ,,宗像徹,265.0,,,, 9, 33.4,⑧⑥⑥, 6, 8,Ｄワｰキングウｰマン, 77,長谷川, 0.6, 77,   4,   8, 5,  7.2, ⑨⑪
 7, 7,Ｊタイキディザイア, 38,金折知, 0.7, 51,  -2,  -6, 6, 24.2, ⑤⑤, 7,11,Ｅダｰクジャケット, 70,渡辺薫, 0.8, 80,  -8,  20,10, 36.5,⑪⑨⑨, 7, 3, アグネスハット,,熊沢重,265.1,,,, 8, 23.3,⑤④④, 7,16,Ｎランドベスト, 72,植野貴, 1.0, 72,   4,   4,15,269.6, ⑩⑤
 8, 5, ゴｰルデンジョイス,---,川島信, 1.2, 47,  -7,  -4,12,186.2, ⑩⑩, 8, 5,Ｌツルマルウンニャ, 48,小牧太, 0.9, 74,* -4,  10, 3,  6.9,⑤④⑤, 8, 8, ウォｰタｰトリトン,,佐久間,265.1,,,,10, 41.9,⑪⑩⑩, 8,14,Ｃジョウテンロマン, 77,四位洋, 1.1, 71,*  7,   0, 6, 12.2, ②③
 9,12,Ｇホッコｰマスコット, 44,田中克, 1.3, 48,  -4, -10,10, 69.3, ⑧⑦, 9,12,Ｉコパノジングｰ, 61,鮫島良, 0.9, 76,  -5,  15,11, 36.7,⑧⑦⑦, 9,12, チャクラ,,植野貴,265.7,,,, 3,  7.7,⑤⑦⑨, 9,15,Ｉイチライタッチ, 75,岩崎祐, 1.1, 71,   3,   4, 8, 27.4, ⑩⑫
10, 1,Ｅメイショウタマヒメ, 53,船曳文, 1.5, 44,  -8,  -6, 5, 22.8, ⑫⑫,10, 9,Ｇソラメンテウナベス, 66,川田将, 0.9, 71,* -4,   8, 8, 31.2,③②②,10,10, リネンメイン,,出津孝,275.7,,,,12,323.7,⑫⑫⑫,10, 6,Ｈワンダｰグラス, 75,田村太, 1.2, 68,   4,   1,14, 96.7, ⑤⑨
11, 3,Ｌパトロネッサ, 25,熊沢重, 1.6, 44,  -5, -11,11,125.4, ⑨⑨,11, 3,Ｃテイエムチｰタｰ, 71,橋本美, 1.2, 73,  -5,  11, 6, 14.7,⑤⑦⑦,,,,,,,,,,,,,11, 9,Ｏスズカオペラ, 72,柴原央, 1.2, 70,   1,   5,11, 64.4, ⑩⑭
12,14,Ｋシルクムｰンダスト, 28,田村太, 3.2, 30,  -9, -20,14,371.1, ⑩⑬,12, 6,Ｂダノンイサオ, 75,藤岡佑, 7.6, -4,* -4, -85, 2,  3.2,②②②,,,,,,,,,,,,,12, 5,Ｂレゾリュｰション, 79,渡辺薫, 1.3, 70,*  7,  -2, 3,  5.1, ②③
13,10, デュｰントウショウ,---,佐藤哲, 4.3, 23,  -3, -38, 8, 47.2, ③⑧,,,,,,,,,,,,,,,,,,,,,,,,,13,10,Ｐコアレスパレｰド, 66,高野容, 1.5, 68,   1,   2,16,404.8, ⑬⑫
14, 9,Ｉダンスウェｰブ, 40,橋本美, 4.5, 22, -17, -21,13,266.9, ⑭⑭,,,,,,,,,,,,,,,,,,,,,,,,,14, 2,Ｍカントリｰスタイル, 74,上野翔, 1.6, 68,   6,  -3,13, 86.6, ⑤⑤
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15, 4,Ｋアラビアンナイト, 74,佐藤哲, 1.8, 66,*  7,  -7, 9, 30.9, ①②
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16, 3,Ｆアｰスコマンダｰ, 77,小牧太, 2.0, 64,   6,  -7, 4,  7.2, ⑤⑤
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:重(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:+12 馬場:稍重(指数:5),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:稍重(指数:-2),,,,,,,,,,,
単勝:500円 複勝:08=150円 06=110円 04=240円 枠連:310円,,,,,,,,,,,,"単勝:4,420円 複勝:04=1,080円 02=600円 07=160円 枠連:21,720円",,,,,,,,,,,,単勝:180円 複勝:07=110円 11=120円 01=290円 枠連:180円,,,,,,,,,,,,"単勝:5,700円 複勝:07=780円 01=150円 13=180円 枠連:870円",,,,,,,,,,,
馬連:300円 ワイド:06-08=170円 04-08=840円 04-06=370円,,,,,,,,,,,,"馬連:33,980円 ワイド:02-04=10,040円 04-07=3,010円 02-07=1,300円",,,,,,,,,,,,馬連:360円 ワイド:07-11=190円 01-07=460円 01-11=710円,,,,,,,,,,,,"馬連:8,630円 ワイド:01-07=2,200円 07-13=3,960円 01-13=380円",,,,,,,,,,,
