08年10月 5日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年10月 5日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-13,,,,,■ 4R  ダ1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝1800m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■10R  芝1600m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ中山,,,,,,,,,,,,,,,,,,,,,,,,秋風ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 6, 5,Ｄドリｰムスナイパｰ, 48,岩田康, 0.5, 56, -20,* 18, 5, 14.2,⑬⑭⑭, 6, 2, カシマパフュｰム,---,柴山雄, 1.2, 35,*-21, -11, 7, 23.4,②②①, 6, 9,Ｇクリスマスギフト, 64,小野次, 1.9, 58,* -6,  11, 8,106.3,⑦③④, 6, 9,Ｊトウショウカレッジ, 86,池添謙, 0.4, 85,  -7,* 21, 9, 23.7, ⑮⑭
 7,10,Ｋティアップザスタｰ, 35,勝浦正, 0.6, 46,*-10,  -7, 8, 29.9,②②②, 7, 1, スリｰアイアン,---,田面木, 1.4, 32,*-22, -14,10, 53.7,①①②, 7, 2,Ｅヒットミｰアゲイン, 67,柴田善, 2.0, 60,  -8,  13, 7, 69.3,⑧⑦⑥, 7, 7,Ａカノヤザクラ, 97,小牧太, 0.4, 86,  -6,* 20, 5,  8.8, ⑭⑭
 8,13,Ｆスｰパｰソブリン, 42,吉田豊, 0.7, 48, -15,   3, 7, 27.5,⑨⑥⑤, 8, 7, トウショウパンサｰ,---,石橋脩, 1.5, 37, -28,  -5,11,131.8,⑨⑩⑨, 8, 5,Ｈオンワｰドオウガ, 63,千葉直, 2.1, 59,  -9,  14, 9,118.5,⑧⑨⑨, 8,12,Ｄタニノマティｰニ, 95,吉田隼, 0.5, 83,   0,  14,11, 58.0, ⑦⑧
 9, 4,Ｉジｰアイジェｰン, 40,武士沢, 1.0, 48, -19,   7, 9, 52.7,⑪⑪⑫, 9, 6, ナイトクラブ,---,吉田豊, 1.7, 31, -27,  -9, 8, 34.8,④⑧⑨, 9, 6,Ｆマイネルフォルザ, 66,柴山雄, 2.4, 58,  -8,  10, 6, 32.9,④⑦⑨, 9, 8,Ｐウエスタンビｰナス, 79,郷原洋, 0.5, 83,*  8,   6,13, 71.0, ①①
10, 8,Ｎセンノバルダｰ, 33,北村宏, 1.2, 42, -16,   0,11,105.0,⑪⑩⑨,10,11, マルタｰズブレｰヴ,---,三浦皇, 1.8, 28, -26, -14, 1,  1.7,⑥⑤⑦,10, 8,Ｊコットンフラワｰ, 57,二本柳, 3.0, 49,* -6,   2,10,123.8,④③④,10, 2,Ｈファイングレイン, 90,幸英明, 0.5, 84,   1,  13, 3,  7.9, ⑤④
11, 6,Ｇビュｰティファイン, 41,吉田隼, 1.2, 40, -15,  -5,10,101.3,⑥⑥⑨,11, 8, ミヤビタカラオｰ,---,吉田隼, 1.8, 27, -25, -16, 5,  8.8,④④④,11,11,Ｋサプライズエｰス, 53,宮崎北, 4.4, 46, -17,  10,11,171.3,⑪⑪⑪,11, 6,Ｋスピニングノアｰル, 86,蛯名正, 0.6, 82,   0,  13,14, 98.4, ⑦⑧
12,12,Ｊトキノサミット, 39,丹内祐, 1.4, 33,* -8, -20,13,223.4,①①①,,,,,,,,,,,,,,,,,,,,,,,,,12, 5,Ｉシンボリグラン, 90,福永祐, 0.7, 80,  -1,  12, 7, 22.8, ⑩⑩
13, 7,Ｍトｰアナデシコ, 34,柴山雄, 1.7, 38, -17,  -4,14,350.5,⑭⑪⑫,,,,,,,,,,,,,,,,,,,,,,,,,13, 3,Ｆジョリｰダンス, 93,内田博, 0.7, 80,  -1,  13, 8, 23.3, ⑩⑩
14,14,Ｌロｰドハロウィン, 34,福永祐, 1.7, 31,*-11, -20,12,109.9,②③⑤,,,,,,,,,,,,,,,,,,,,,,,,,14, 4,Ｍプレミアムボックス, 82,三浦皇, 0.8, 79,  -2,  11,10, 38.5, ⑩⑩
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,10,Ｏエムオｰウイナｰ, 80,柴田善, 0.9, 78,*  4,   5,15,146.9, ②②
