08年 9月14日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 9月14日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-9,,,,,■ 4R  芝1800m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  芝2000m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■10R  芝2000m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ中山,,,,,,,,,,,,,,,,,,,,,,,,ﾚｲﾝﾎﾞｰｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
,,,,,,,,,,,,13, 8, サラスヴァティｰ,---,吉田隼, 4.1, 33, -17, -14,12, 76.4, ⑪⑩,,,,,,,,,,,,,13,12,Ｈアイルラヴァゲイン, 83,津村明, 1.6, 73,  25, -29,13, 46.6,⑤③②
,,,,,,,,,,,,14, 4, インディアンボス,---,石橋脩, 4.8, 25, -36,  -3,16,170.9, ⑯⑯,,,,,,,,,,,,,14, 6,Ｅクｰヴェルチュｰル, 85,吉田隼, 1.7, 71,  23, -27,11, 34.5,②⑤④
,,,,,,,,,,,,15, 9, マラホフ,---,三浦皇, 4.8, 26,* -3, -33,11, 71.2, ②③,,,,,,,,,,,,,15,11,Ｋゴスホｰクケン, 81,柴田善, 1.9, 69,* 29, -39, 4,  8.3,①①①
,,,,,,,,,,,,16,16, アイファｰバｰベナ,---,江田照, 5.5, 23,  -9, -32,15,167.8, ⑦⑧,,,,,,,,,,,,,16, 5,Ｐダンツキッスイ, 72,三浦皇, 3.4, 53,* 26, -58, 8, 13.9,②②④
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:+6 ﾚｰｽｱｶﾞﾘ指数:-9 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:良(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:良(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:89 ﾚｰｽﾍﾟｰｽ指数:+7 ﾚｰｽｱｶﾞﾘ指数:-14 馬場:良(指数:-3),,,,,,,,,,,
単勝:420円 複勝:07=140円 04=140円 01=120円 枠連:960円,,,,,,,,,,,,"単勝:210円 複勝:05=110円 07=700円 02=190円 枠連:2,320円",,,,,,,,,,,,単勝:470円 複勝:04=180円 01=150円 05=270円 枠連:750円,,,,,,,,,,,,"単勝:680円 複勝:16=270円 03=470円 04=280円 枠連:1,260円",,,,,,,,,,,
馬連:940円 ワイド:04-07=320円 01-07=200円 01-04=270円,,,,,,,,,,,,"馬連:3,320円 ワイド:05-07=1,090円 02-05=310円 02-07=2,310円",,,,,,,,,,,,馬連:830円 ワイド:01-04=360円 04-05=680円 01-05=750円,,,,,,,,,,,,"馬連:6,620円 ワイド:03-16=2,220円 04-16=1,140円 03-04=1,400円",,,,,,,,,,,
"馬単:1,780円 3連複:720円 3連単:4,380円",,,,,,,,,,,,"馬単:4,070円 3連複:5,010円 3連単:25,880円",,,,,,,,,,,,"馬単:1,800円 3連複:2,530円 3連単:11,680円",,,,,,,,,,,,"馬単:11,790円 3連複:17,970円 3連単:124,050円",,,,,,,,,,,
■ 3R  ダ1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 6R  ダ1800m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 9R  芝1200m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■12R  ダ1200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,初風特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,13,Ｃツクバプリティ, 63,千葉直,, 62,   1,* -2, 6, 11.5,⑤③③, 1,11,Ａレオティアラ, 73,江田照,, 73,  -1,* 12, 2,  6.4,⑩⑥④, 1, 6,Ｅナンゴクプラネット, 75,吉田隼,, 80,*  6,  11, 4,  8.7, ④③, 1,13,Ｂファイナルスコアｰ, 74,後藤浩,, 74,*  6,   7, 1,  3.4, ①①
 2, 7,Ｂベルリンガｰ, 64,内田博, 0.3, 60,  -3,*  2, 3,  5.1,⑭⑫⑪, 2,15,Ｅヤマニンピボワンヌ, 68,伊藤工, 0.3, 71,  -1,* 12, 8, 19.0,⑪⑩⑦, 2, 4,Ｆマイネアルデュｰル, 75,松岡正, 0.2, 78,   4,  11, 1,  2.7, ⑥④, 2, 4,Ａサラトガ, 78,木幡初, 0.2, 72,   3,   9, 4,  5.5, ④③
 3,12,Ａゴｰルデンストｰム, 64,柴田善, 0.3, 62,  -1,* -1, 2,  5.0,⑩⑦⑤, 3, 9,Ｆニシエイビュレット, 67,丸田恭, 0.8, 66,*  1,   3, 5,  9.0,③②②, 3, 2,Ｎアイオブザキング, 67,田中博, 0.3, 76,  -5,* 17,15,192.0, ⑫⑧, 3, 5,Ｐウエスタンビｰバｰ, 48,柴田善, 0.4, 71,  -1,* 10, 6, 20.1, ⑨⑧
 4, 5,Ｎアドマイヤドｰム, 46,後藤浩, 0.3, 59,   0,  -4, 7, 12.7,③⑤⑤, 4, 5,Ｈウメノカイウン, 66,大野拓, 1.2, 65,   0,   1,10, 22.5,③④④, 4,13,Ｌモンテミウ, 71,三浦皇, 0.3, 76,*  8,   6, 9, 20.4, ②②, 4,15,Ｅペイアテンション, 70,松岡正, 0.6, 69,*  4,   3, 9, 37.1, ②③
 5, 1,Ｆフラッグラッシュ, 57,松岡正, 0.9, 56,   0,  -9, 5,  7.3,⑦⑤⑤, 5,10,Ｃエルブランコ, 69,田中博, 1.2, 66,  -1,   5, 6,  9.7,⑧⑩⑫, 5,14,Ａスマｰトエッジ, 77,石神深, 0.4, 75,   5,   7,12, 45.9, ④④, 5, 6,Ｆチャｰムウィｰク, 68,丸田恭, 0.7, 68,   2,   5,11, 52.4, ⑧⑤
 6, 2,Ｊシルクホｰネット, 53,吉田隼, 1.3, 54,  -2,  -8,14,160.3,⑧⑩⑪, 6, 2,Ｄオｰスミマコ, 68,三浦皇, 1.2, 63,   0,   2, 4,  8.5,⑤⑥⑩, 6, 7,Ｄロックオブサリサ, 75,横山典, 0.4, 75,  -6,* 18, 3,  6.9, ⑭⑬, 6,14,Ｏライムライトシチｰ, 56,吉田隼, 0.8, 67,  -2,   8,14, 83.1, ⑪⑩
 7, 9,Ｌプティフｰル, 47,吉田豊, 1.3, 54,   0, -11,10, 35.1,⑬⑦⑧, 7, 4,Ｌナンヨｰウエスト, 63,田中勝, 1.3, 64,*  2,  -2, 3,  7.2,①①①, 7, 8,Ｏシｰディドアラバイ, 64,大野拓, 0.5, 74,   4,   7,11, 37.6, ⑥⑥, 7,10,Ｋケイアイモｰガン, 65,蛯名正, 0.8, 68,*  5,   2,10, 38.3, ②②
 8, 8,Ｉダイワダイナミック, 55,北村宏, 1.4, 53,  -2,  -9,11, 67.1,⑩⑩⑨, 8, 8,Ｎヨンハキッス, 61,村田一, 1.4, 66,  -3,   6,12, 94.7,⑬⑮⑭, 8,10,Ｉワシントンパｰク, 73,江田照, 0.5, 73,*  9,   2, 2,  5.9, ①①, 8, 3,Ｄディアディライト, 72,藤田伸, 1.2, 64,   3,   0, 3,  5.4, ④⑧
 9,15,Ｅカオリホｰク, 58,石橋脩, 1.4, 50,*  1, -16, 4,  5.3,②②②, 9, 6,Ｍルクラｰジュ, 63,西田雄, 1.4, 61,  -1,   2,13,103.3,⑧⑨⑦, 9, 1,Ｈエフテｰストライク, 74,武士沢, 0.6, 73,  -7,* 17, 5, 10.3, ⑮⑬, 9,16,Ｊマッシュアップ, 66,北村宏, 1.5, 62,   3,  -2, 7, 22.8, ④⑤
10, 6,Ｈスエヒログリｰナ, 55,伊藤直, 1.5, 51,*  2, -17,12,105.6,①①①,10,12,Ｊマキハタセンシブル, 65,千葉直, 1.7, 61,  -1,   0,15,108.7,⑬⑩⑩,10, 3,Ｍシゲルダイハッカイ, 70,石橋脩, 0.6, 73,  -4,  14,10, 32.9, ⑫⑧,10, 1,Ｍシャンドラヴェリテ, 62,大野拓, 1.5, 61,  -6,   5,16,136.7, ⑫⑫
11,14,Ｋダイワギャラント, 49,武士沢, 1.8, 51,  -6,  -6,13,128.7,⑭⑭⑬,11, 7,Ｉブラックスレンダｰ, 66,吉田隼, 2.1, 59,  -2,  -2,11, 35.3,⑪⑭⑭,11,11,Ｃスプリングタピアン, 75,内田博, 0.9, 68,   1,   4, 7, 15.5, ⑧⑧,11,12,Ｈリュウセイドラゴン, 67,千葉直, 1.6, 60,   3,  -4,12, 63.8, ④⑤
12,11,Ｇワイルドファンシｰ, 56,田中博, 2.1, 48,*  1, -21, 8, 24.9,③③③,12,13,Ｇルックアミリオン, 66,宮崎北, 2.3, 55,  -1,  -7, 7, 11.5,⑥⑥⑦,12, 5,Ｊカｰムブレイカｰ, 72,田中勝, 1.0, 67,   2,   2,14, 86.6, ⑧⑥,12, 7,Ｇトｰセンステルス, 68,田中勝, 1.8, 59,  -9,   6, 5, 11.2, ⑮⑮
13,10,Ｏロサンジェラ, 45,三浦皇, 2.3, 46,  -5, -12, 9, 31.6,⑩⑬⑭,13,14,Ｏキャスタスペルミｰ, 61,黛弘人, 2.5, 55,   0, -10, 9, 22.3,⑥④⑥,13, 9,Ｇマルタｰズロビン, 74,藤田伸, 1.2, 64,  -3,   4, 6, 13.6, ⑪⑪,13, 8,Ｎベイジュ, 60,横山典, 1.8, 57, -16,* 12,15, 92.7, ⑯⑯
14, 3,Ｄアポロメルヘン, 60,池田鉄, 3.3, 41,   0, -27, 1,  4.4,⑤⑦⑨,14, 3,Ｋサクラブルｰム, 64,石橋脩, 2.8, 52,  -2,  -9,14,105.7,⑮⑩⑫,14,12,Ｋアポロティアラ, 71,柴田善, 1.5, 61,   2,  -5,13, 47.0, ⑧⑪,14, 2,Ｃトｰセンマキシマム, 73,柴山雄, 1.9, 59,  -8,   4, 2,  4.1, ⑭⑬
