08年 7月20日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 7月20日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■ 4R  芝1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■10R  芝1800m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,,,,,,,,,,,,,博多ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
■ 3R  芝2900m 3歳上未勝利 定量,,,,,,,,,,,,■ 6R  芝1200m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 9R  ダ1700m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■12R  芝1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,桜島特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 4, デンシャミチ,,高田潤,,,,, 2,  3.2,②①①, 1, 4,Ａエスポワｰルシチｰ, 71,佐藤哲,, 64,   1,* -4, 1,  1.5, ④③, 1, 9,Ｃバンブｰワｰルド, 81,武豊  ,, 79,*  4,* 16, 2,  4.1,②②②, 1,10,Ｇマストビｰトゥルｰ, 67,浜中俊,, 77,*  6,*  4, 8, 20.1,③②②
 2, 7, マックスチャンプ,,西谷誠,190.0,,,, 1,  2.4,③②②, 2, 3,Ｏダノンパｰス, 37,川田将, 0.0, 67,*  5,  -8, 3, 10.5, ②①, 2, 7,Ｈコウジンアルス, 78,鮫島良, 0.2, 79,*  4,  14, 9, 48.3,①①①, 2,12,Ｊアンノルｰチェ, 64,佐藤哲, 0.2, 73,   5,*  4, 7, 19.2,②③③
 3, 8, マｰブルジｰン,,小坂忠,190.8,,,, 4, 13.2,⑥③③, 3,10,Ｇランラン, 50,安藤光, 0.4, 57,  -7,* -1,12, 63.9, ⑫⑫, 3, 1,Ｊクラリオンコｰル, 77,安藤光, 0.3, 78,   1,* 17,12,104.7,⑤⑥④, 3, 1,Ｃフミノウインダム, 72,藤岡康, 0.2, 73,   3,*  8, 5, 11.8,⑦⑨⑥
 4, 3, アザンクｰル,,南井大,191.2,,,, 6, 17.5,⑦⑥⑥, 4, 5,Ｂアスｰルグロリオ, 56,藤岡康, 0.4, 59,   1,  -9, 8, 36.7, ④⑤, 4, 3,Ｐツルマルロｰズ, 71,中村将, 0.4, 79,   0,* 19,16,239.0,⑪⑩⑦, 4,11,Ａオｰトドラゴン, 79,川田将, 0.6, 68,   5,  -1, 2,  3.2,④⑤③
 5, 1, ドｰルリヴィエｰル,,黒岩悠,191.8,,,, 3,  4.6,①③③, 5, 1,Ｆドリｰムガｰルズ, 50,川島信, 0.6, 55,  -4,  -6, 9, 38.4, ⑩⑥, 5, 6,Ｂニッシンテｰスト, 83,田辺裕, 0.8, 71,   2,  11, 5, 17.9,⑤③③, 5, 9,Ｅカシノマイケル, 70,安藤光, 0.8, 68,   2,   1, 6, 17.0,⑧⑨⑧
 6, 5, カルストンチｰタｰ,,北沢伸,192.6,,,, 9, 58.8,⑧⑦⑦, 6,17,Ｃマイアイビギニング, 53,太宰啓, 0.8, 53,  -3, -10, 7, 35.5, ⑧⑥, 6,11,Ａアロド, 86,浜中俊, 1.1, 71,   2,  10, 1,  2.6,③③④, 6, 7,Ｄトゥリオｰニ, 70,田中克, 0.9, 65,   3,  -4, 3,  6.8,⑨⑧⑧
 7, 9, テイエムヨカオゴ,,佐久間,194.4,,,,10, 84.3,④③⑤, 7, 9,Ｌインダストリアル, 46,上村洋, 0.9, 51,  -3, -12, 4, 12.9, ⑧⑩, 7, 4,Ｄアイノレグルス, 81,上村洋, 1.3, 73,   1,  10, 3,  4.5,⑧⑧⑥, 7, 2,Ｉマイネルアテッサ, 65,幸英明, 0.9, 65,*  7, -12, 4,  8.7,①①①
