08年12月27日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年12月27日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 4R  芝2000m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■ 7R  ダ1200m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-5,,,,,■10R  芝4100m 3歳上ｵｰﾌﾟﾝ(混) 定量,,,,,,,,,,,
 9, 3,Ｇインタｰメディア, 46,吉田豊, 2.4, 45,  -3, -12,15,325.9,⑯⑮⑭, 9,12,Ｈベルウッドロｰツェ, 51,池田鉄, 1.7, 49,   1, -14,11,165.7,⑯⑫⑪, 9, 4,Ｊカワチノオジサン, 65,田中勝, 1.5, 60, -10,* 10, 6, 14.4, ⑮⑭, 9, 4, クｰルジョイ,,金折知,288.4,,,, 9,111.5,⑩⑫⑪
10,12,Ｋキャシャリン, 43,武士沢, 2.6, 43,   3, -23,13,107.0,⑧⑦⑦,10,15,Ｒダイワパｰパス, 15,武士沢, 1.8, 49,  -1, -13,13,256.4,⑱⑮⑯,10, 9,Ｋスイｰトグラｰツ, 62,伊藤工, 1.6, 60,  -1,   2,12,132.4, ⑫⑫,10, 9, クルワザｰド,,穂苅寿,288.7,,,, 8, 76.2,⑫⑨⑧
11, 4,Ｄヤンゲストリｰタｰ, 55,内田博, 2.9, 40,  -1, -20, 2,  3.8,⑦⑩⑪,11,11,Ｆトドロキエンジェル, 53,村田一, 1.8, 49,*  3, -19,10,135.4,⑦⑥⑥,11, 8,Ｍリッシンボス, 60,柴田善, 2.3, 53,   3,  -9,14,161.5, ⑤⑥,11,16, ハイヤｰザンヘブン,,宗像徹,290.9,,,,15,229.6,⑦⑪⑩
12,13,Ｐエクリプスロマン, 16,熊沢重, 3.0, 41,  -2, -19,14,202.8,⑬⑬⑫,12, 9,Ｑジョｰベルスタｰ, 28,江田照, 2.0, 44,*  2, -24,16,467.9,⑤③⑤,12,16,Ｏヘブンリｰゲｰト, 44,小林淳, 2.4, 53,   2,  -8,16,600.0, ⑩⑨,12, 1, ネヴァｰトルネｰド,,五十嵐,291.5,,,,12,165.2,⑬⑬⑫
13, 9,Ｎニシノトップモｰド, 37,村田一, 3.3, 41,  -3, -20,10, 84.2,⑭⑭⑬,13,14,Ｍグラスレジェンド, 42,伊藤工, 2.0, 45,  -1, -16,17,597.4,⑭⑭⑮,13, 6, ステップザビｰト,---,村田一, 2.5, 52, -11,   3,15,196.9, ⑯⑯,13, 5, エイシンニｰザン,,熊沢重,293.9,,,, 5, 17.1,⑭⑭⑬
14,16,Ｍプロミスウェル, 42,柴山雄, 4.4, 33,*  3, -41, 3,  6.0,④⑤⑥,14,17,Ｋダンスインザムｰン, 46,津村明, 2.1, 46,  -4, -11,14,263.2,⑰⑱⑱,14, 2,Ｌジェヴォｰナ, 60,熊沢重, 2.8, 50,  -7,  -2,13,135.4, ⑭⑮,,,,,,,,,,,,
15, 7,Ｈプリズムドウル, 46,北村宏, 7.2, 19,   1, -58, 8, 63.6,⑩⑨⑮,15,13,Ｏエスタｰナ, 35,加藤士, 2.1, 44,*  2, -24,15,386.2,⑨⑦⑨,15, 1,Ｈサクラスウィｰプ, 66,吉田隼, 3.4, 43,   0, -14, 9, 39.3, ⑪⑬,,,,,,,,,,,,
16,15,Ｏノボマリｰン, 27,横山義, 7.9, 17,  -5, -50,16,450.0,⑮⑯⑯,16, 6,Ｉリックパッショｰン, 46,柴山雄, 2.1, 43,*  3, -27, 7, 60.2,①①①,16,14,Ｎプライドオブキング, 49,後藤浩, 3.7, 41,*  5, -22,10, 61.9, ④③,,,,,,,,,,,,
,,,,,,,,,,,,17, 2,Ｅユウユウラビット, 57,内田博, 2.3, 42,   0, -23, 6, 21.4,⑧⑩⑬,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,18, 3,Ｐオンワｰドアコｰル, 30,郷原洋, 3.1, 36,  -2, -29,18,618.8,⑪⑯⑰,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:59 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:-11 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:4),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+0 馬場:良(指数:1),,,,,,,,,,,,,,,,,,,,,,,
"単勝:1,130円 複勝:10=500円 14=1,950円 01=540円 枠連:12,280円",,,,,,,,,,,,単勝:820円 複勝:18=180円 01=110円 05=130円 枠連:710円,,,,,,,,,,,,単勝:650円 複勝:15=160円 12=120円 05=270円 枠連:560円,,,,,,,,,,,,"単勝:660円 複勝:08=220円 13=210円 14=3,320円 枠連:1,220円",,,,,,,,,,,
"馬連:26,320円 ワイド:10-14=7,010円 01-10=2,190円 01-14=6,960円",,,,,,,,,,,,馬連:940円 ワイド:01-18=320円 05-18=560円 01-05=200円,,,,,,,,,,,,馬連:650円 ワイド:12-15=280円 05-15=880円 05-12=590円,,,,,,,,,,,,"馬連:1,280円 ワイド:08-13=420円 08-14=8,160円 13-14=7,870円",,,,,,,,,,,
"馬単:65,220円 3連複:97,640円 3連単:576,160円",,,,,,,,,,,,"馬単:2,430円 3連複:1,260円 3連単:8,710円",,,,,,,,,,,,"馬単:1,900円 3連複:2,420円 3連単:15,740円",,,,,,,,,,,,"馬単:2,660円 3連複:51,410円 3連単:205,950円",,,,,,,,,,,
■ 2R  ダ1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 5R  芝1600m 2 歳新馬 馬齢,,,,,,,,,,,,■ 8R  ダ1800m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■11R  ダ1800m 3歳上ｵｰﾌﾟﾝ(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:10,,,,
,ﾒｲｸﾃﾞﾋﾞｭｰ中山,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ中山,,,,,,,,,,,,,,,,,,,,,,,,師走ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8, パックノオトウト,---,吉田隼,, 63,  -4,*  3, 2,  6.0, ④④, 1,12, リワｰドルシアン,---,吉田隼,, 62,  -2,* -2, 4,  9.6,⑫⑨⑨, 1, 7,Ｂゲンパチタキオン, 84,蛯名正,, 75,   6,* 20, 6, 25.9,⑬⑪⑪, 1, 7,Ｇナンヨｰヒルトップ, 90,藤田伸,, 90,*  6,  29, 2,  6.4,①①①
 2, 7, ピｰクヴェロシティ,---,内田博, 0.3, 60,* -2,  -1, 1,  1.7, ②②, 2, 1, マイネプリンセス,---,柴山雄, 0.1, 60,   3, -12, 1,  2.0,⑤⑤④, 2, 5,Ｃトｰセンゴライアス, 83,柴山雄, 0.0, 77,   6,* 18, 2, 12.4,⑧⑧⑩, 2, 6,Ｄマルブツリｰド, 93,蛯名正, 0.0, 91,*  6,* 30, 5, 15.1,⑤④③
 3, 6, アラマサスクワｰト,---,北村宏, 0.5, 59,  -5,   0, 6, 18.8, ③③, 3,11, サマｰディザイア,---,内田博, 0.8, 54,  -8,* -4, 6, 30.2,⑥⑩⑩, 3, 9,Ｍドリｰムリバイバル, 67,津村明, 0.1, 74,   6,* 19, 7, 74.3,⑫⑩⑨, 3, 2,Ｅタケミカヅチ, 92,柴田善, 0.3, 90,*  6,  27, 3,  7.5,②②②
 4, 2, ガクニホシ,---,三浦皇, 0.7, 57,* -2,  -4, 4,  8.9, ①①, 4, 5, アサギリ,---,北村宏, 1.1, 48,   0, -22, 2,  4.0,⑩⑦⑦, 4, 2,Ｈマチカネミノリ, 76,三浦皇, 0.1, 72,*  9,  12, 5, 19.9,①①①, 4, 4,Ｃメイショウサライ, 93,後藤浩, 0.3, 90,   5,* 30, 7, 35.6,⑦⑦⑦
 5,11, グラスショット,---,武士沢, 1.3, 51, -13,   0, 8, 94.4, ⑦⑦, 5, 7, グッゲンハイム,---,勝浦正, 1.1, 50,   3, -26,10, 55.4,①④⑤, 5, 3,Ｄレオソリスト, 81,江田照, 0.2, 74,   7,  15, 8, 75.7,⑤⑥⑦, 5, 1,Ｈゲイルバニヤン, 90,吉田隼, 0.5, 88,   5,  27, 9, 41.5,④⑤④
 6,12, マチカネビャッコ,---,伊藤工, 1.5, 50,  -6,  -7,10,115.9, ⑤⑤, 6, 4, ゴｰアンドオン,---,柴田善, 1.2, 49,*  6, -32,15,204.4,③③③, 6,12,Ｌナカヤマスナイパｰ, 67,北村宏, 0.3, 72,   7,  13,12,148.2,⑥⑤④, 6, 3,Ａエアアドニス, 98,三浦皇, 0.6, 86,   5,  26, 4, 13.2,⑥⑥⑤
 7,10, ディアキャンドル,---,柴山雄, 2.5, 43, -22,   0, 5, 11.8, ⑪⑩, 7,15, ヤマニンドレｰプ,---,小林淳, 1.3, 48,   2, -26,16,295.8,⑧⑥⑥, 7,10,Ｅロｰンジャスティス, 80,内田博, 0.4, 72,*  9,  12, 4, 16.5,④③③, 7, 8,Ｆニシノナｰスコｰル, 91,吉田豊, 0.8, 88,   4,  27, 8, 38.7,⑧⑧⑧
 8, 9, コウサイ,---,蛯名正, 2.5, 41,  -6, -16, 3,  6.1, ⑥⑥, 8,14, カネトシユｰシャ,---,村田一, 1.5, 47,  -3, -23,11, 59.7,⑦⑧⑧, 8, 6,Ｋメジロティモン, 72,吉田豊, 0.7, 72,   5,  16,13,156.2,⑩⑫⑫, 8,10,Ｊベルｰガ, 89,勝浦正, 1.2, 85,   3,  25, 6, 34.9,⑩⑩⑩
 9, 4, リュウシンキング,---,吉田豊, 2.6, 41, -15,  -8, 7, 45.5, ⑧⑧, 9, 3, ブラストタｰブロウ,---,吉田豊, 2.1, 40, -15,  -9,12, 99.7,⑨⑪⑪, 9,13,Ｆペイデイ, 79,藤田伸, 0.8, 68,   7,  11, 3, 12.8,⑦⑦⑧, 9, 9,Ｉタイキヴァンベｰル, 89,村田一, 1.5, 85,   4,  22,10,124.0,⑨⑨⑨
10, 5, ストライクラプタｰ,---,田中勝, 2.9, 39, -16,  -9, 9,113.7, ⑨⑨,10,13, ディフィｰタｰ,---,蛯名正, 2.4, 37, -17, -11, 8, 44.2,⑪⑬⑫,10,11,Ｇトラストブラック, 78,田中勝, 0.9, 70,   5,  14,10, 95.4,⑪⑬⑬,10, 5,Ｂフラムドパシオン, 97,内田博, 2.4, 74,*  6,  10, 1,  1.4,③③⑥
11, 3, ハミウケポッポ,---,柄崎将, 5.3, 17, -19, -28,12,214.4, ⑩⑪,11,16, ユウワスｰパｰ,---,武士沢, 2.4, 37,*  6, -50,14,127.8,④②②,11, 8,Ａジャンバルジャン, 91,後藤浩, 1.2, 68,   7,   9, 1,  1.2,⑨⑨⑤,,,,,,,,,,,,
12, 1, タケデンエンペラｰ,---,江田照, 7.9, -6, -48, -22,11,173.5, ⑫⑫,12, 9, チャｰムドサｰクル,---,江田照, 2.8, 33, -19, -12, 9, 52.2,⑬⑭⑬,12, 1,Ｉスズノマグマ, 73,吉田隼, 1.6, 63,   7,   3, 9, 83.3,③④⑥,,,,,,,,,,,,
,,,,,,,,,,,,13, 8, ルピナスブルｰ,---,吉永護, 3.0, 32,*  6, -58,13,124.1,②①①,13, 4,Ｊチャイニｰズフレア, 72,柴田善, 2.0, 61,*  8,  -2,11,102.9,②②②,,,,,,,,,,,,
,,,,,,,,,,,,14, 6, マイパンプキン,---,三浦皇, 3.7, 25, -22, -21, 7, 33.7,⑮⑯⑭,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,15,10, コナンビクトリｰ,---,田中勝, 5.1,  4, -20, -45, 3,  7.6,⑭⑮⑮,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,16, 2, ベルベットボイス,---,藤田伸, 8.3,-38, -17, -95, 5, 12.4,⑯⑫⑯,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:+6 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:良(指数:4),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+7 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:88 ﾚｰｽﾍﾟｰｽ指数:-12 ﾚｰｽｱｶﾞﾘ指数:+16 馬場:良(指数:1),,,,,,,,,,,
単勝:600円 複勝:08=160円 07=110円 06=330円 枠連:530円,,,,,,,,,,,,単勝:960円 複勝:12=200円 01=130円 11=560円 枠連:550円,,,,,,,,,,,,"単勝:2,590円 複勝:07=1,180円 05=520円 09=2,890円 枠連:5,610円",,,,,,,,,,,,"単勝:640円 複勝:07=260円 06=350円 02=320円 枠連:2,640円",,,,,,,,,,,
"馬連:540円 ワイド:07-08=220円 06-08=1,050円 06-07=480円",,,,,,,,,,,,"馬連:1,070円 ワイド:01-12=450円 11-12=2,300円 01-11=1,010円",,,,,,,,,,,,"馬連:6,790円 ワイド:05-07=1,320円 07-09=10,380円 05-09=4,480円",,,,,,,,,,,,"馬連:2,920円 ワイド:06-07=700円 02-07=700円 02-06=1,010円",,,,,,,,,,,
"馬単:1,460円 3連複:1,990円 3連単:10,560円",,,,,,,,,,,,"馬単:2,770円 3連複:6,790円 3連単:47,140円",,,,,,,,,,,,"馬単:19,130円 3連複:128,640円 3連単:854,290円",,,,,,,,,,,,"馬単:6,400円 3連複:6,370円 3連単:41,250円",,,,,,,,,,,
■ 3R  芝1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 6R  ダ1200m 2 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■ 9R  芝1600m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■12R  芝1800m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,香取特別,,,,,,,,,,,,ｸﾞﾚｲﾄﾌﾙS,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6,Ｆクｰデグレイス, 57,内田博,, 72,   3,*  5, 1,  3.1, ③③, 1, 9,Ａアイアムカミノマゴ, 85,藤田伸,, 77,*  9,*  4, 2,  4.7, ③③, 1, 4,Ｃシャドｰクロス, 77,柴田善,, 81,   2,* 16, 4,  5.1,⑩⑦⑦, 1, 4,Ｄメイショウレガｰロ, 84,内田博,, 85,*  8,*  7, 1,  2.9,②②②
 2,11,Ｅケｰジｰカンザクラ, 58,勝浦正, 0.2, 70,  -1,*  6, 3,  4.3, ⑧⑤, 2, 3,Ｄエイシンアマデウス, 72,北村宏, 0.1, 75,   5,*  7, 4,  6.4, ⑨⑥, 2, 8,Ａキョウエイストｰム, 81,蛯名正, 0.0, 82,   5,  14, 2,  3.3,④⑤⑤, 2, 3,Ｃココナッツパンチ, 84,吉田豊, 0.3, 82,   6,   6, 2,  3.6,④⑤③
 3, 8,Ａクロヒメ, 65,藤田伸, 0.4, 67,*  5,  -3, 2,  4.1, ②②, 3,15,Ｃニュｰトン, 72,勝浦正, 0.7, 73,* 11,  -3, 5,  9.1, ①①, 3, 1,Ｂクリムゾンベガ, 80,内田博, 0.1, 80,  -1,* 20, 1,  3.1,⑪⑫⑫, 3, 9,Ｉヤマニンイグナイト, 72,田中勝, 0.4, 85,   4,*  9,10, 67.0,⑨⑦⑦
 4,15,Ｄギンザジャスマック, 59,吉田隼, 0.6, 64,  -5,*  5, 4,  6.1, ⑩⑨, 4,14,Ｉフェイマステイル, 63,柴田善, 0.8, 71,   8,  -1, 3,  5.0, ⑥④, 4,11,Ｅマイネルアトレ, 76,三浦皇, 0.3, 77,*  9,   2, 3,  4.6,②②②, 4, 8,Ｈリビアｰモ, 77,勝浦正, 0.5, 81,   5,   6, 4,  7.0,⑥⑨⑨
 5, 7,Ｇバンブｰキャプテン, 56,北村宏, 0.9, 60,  -5,   1, 8, 29.6, ⑨⑩, 5,13,Ｅオッキオディガット, 71,蛯名正, 1.5, 61,  -1,   1, 6, 10.4, ⑪⑬, 5, 3,Ｉコアレスコジｰン, 72,吉田豊, 0.5, 74,   2,   9, 6, 25.9,⑦⑥⑥, 5,10,Ｂダンスオｰルナイト, 85,藤田伸, 0.5, 80,   4,*  7, 6, 12.7,⑧⑧⑧
 6, 9,Ｊデルマオシリス, 52,三浦皇, 1.1, 58,  -8,   1,11, 60.8, ⑫⑫, 6,16,Ｋチェアユｰアップ, 52,吉田隼, 1.7, 62,   8,  -8,10, 63.4, ⑦⑨, 6, 7,Ｇハセハリドワｰル, 73,勝浦正, 0.5, 76,   0,  12,10, 66.3,⑨⑨⑩, 6, 7,Ｇマイネヴェロナ, 78,津村明, 0.6, 77,   6,   0, 8, 46.1,⑦④⑥
 7, 5,Ｂリュウキュウサンバ, 60,柴田善, 1.3, 56,*  7, -15, 5, 11.9, ①①, 7, 7,Ｇクイックハンタｰ, 67,三浦皇, 1.9, 60,   6,  -8,11, 66.3, ⑧⑧, 7,10,Ｊコアレスソニック, 70,吉田隼, 0.5, 74,   2,   9,11, 81.9,⑥⑧⑧, 7,11,Ｆドリｰムトレジャｰ, 79,蛯名正, 0.6, 80,   5,   4, 5,  9.8,⑩⑩⑩
 8, 1,Ｌサマｰセレブリティ, 44,伊藤工, 1.4, 54,  -6,  -4, 7, 28.9, ⑪⑪, 8,10,Ｌヴィルヌｰヴダスク, 50,柴山雄, 1.9, 57,  -4,   0,16,520.5, ⑬⑫, 8, 6,Ｋマルタカエンペラｰ, 68,田中勝, 0.5, 77,  -1,  15, 8, 35.2,⑧⑪⑨, 8, 6,Ｅマルタカハｰモニｰ, 81,吉田隼, 0.8, 74,   6,  -3, 9, 47.2,③③⑤
 9, 2,Ｋマハラｰニ, 48,村田一, 1.5, 56,   1, -11,10, 50.2, ⑤⑥, 9, 1,Ｍミステリｰハンタｰ, 47,池田鉄, 2.0, 59,   7, -11,12,138.6, ⑤⑤, 9, 5,Ｄフレアリングベスト, 77,高山太, 0.6, 73,   0,  10, 9, 52.7,⑫⑩⑪, 9, 1,Ａフサイチピｰジェイ, 88,三浦皇, 1.1, 71,*  8, -10, 3,  4.8,①①①
10,16,Ｉレオタイムリｰ, 55,江田照, 1.6, 52,   3, -16, 9, 33.4, ④④,10,12,Ｏナイスプロテクタｰ, 45,小林淳, 2.0, 58,  -4,   1,14,376.5, ⑭⑭,10, 2,Ｈタマモスクワｰト, 73,柴山雄, 0.6, 71,   6,   0, 5, 15.5,③③③,10, 5,Ｋショウナンタレント, 64,柴田善, 1.2, 71,   6,  -7, 7, 21.6,⑤⑥④
11,13,Ｈシｰアンムｰン, 55,柴山雄, 1.6, 52, -13,   0,12, 73.3, ⑭⑬,11, 6,Ｊクリノスレンダｰ, 57,吉田豊, 2.1, 56,   0,  -5, 9, 62.4, ⑩⑩,11,12,Ｌヤマニンプレアデス, 65,熊沢重, 0.8, 70,*  9,  -7,12,146.2,①①①,,,,,,,,,,,,
12,10,Ｏコスモアムｰル, 26,津村明, 1.9, 48,  -1, -16,14,352.6, ⑦⑧,12,11,Ｐサントヴィクトリｰ, 42,江田照, 2.3, 53,  -7,  -1,15,437.4, ⑮⑮,12, 9,Ｆダノンスイショウ, 74,藤田伸, 1.0, 66,   6,  -5, 7, 31.2,⑤④④,,,,,,,,,,,,
13, 4,Ｍグランカピタン, 36,小林淳, 2.0, 47, -17,  -1,16,503.7, ⑯⑯,13, 5,Ｎキャラメルボイス, 46,武士沢, 2.3, 55,  -3,  -3,13,326.9, ⑫⑪,,,,,,,,,,,,,,,,,,,,,,,,
14, 3,Ｃオリオンザブルｰ, 59,蛯名正, 2.0, 48,  -2, -15, 6, 22.8, ⑥⑦,14, 8,Ｂパｰフェクトケン, 73,後藤浩, 3.0, 52,* 10, -22, 1,  3.2, ②②,,,,,,,,,,,,,,,,,,,,,,,,
15,14,Ｎルビｰマダム, 30,武士沢, 2.2, 45, -13,  -8,15,423.6, ⑮⑭,15, 2,Ｈカネスラディカｰル, 65,内田博, 3.6, 46,   8, -24, 8, 18.8, ④⑦,,,,,,,,,,,,,,,,,,,,,,,,
16,12,Ｐスナｰクウェｰブ, 19,熊沢重, 3.1, 35,  -7, -24,13,283.7, ⑬⑮,16, 4,Ｆエペデュｰ, 68,田中勝, 7.6,  2,  -9, -44, 7, 17.4, ⑯⑯,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:4),,,,,,,,,,,,ｸﾗｽ上位平均:69 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:81 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:良(指数:4),,,,,,,,,,,,ｸﾗｽ上位平均:85 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:良(指数:4),,,,,,,,,,,
