08年10月 5日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年10月 5日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 4R  芝1200m 2 歳新馬(牝) 馬齢,,,,,,,,,,,,■ 7R  芝1600m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-7,,,,,■10R  芝1600m 3歳上ｵｰﾌﾟﾝ(国) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
 9, 4,Ｌシゲルフジサン, 38,中村将, 2.6, 40,  -8, -14,13,165.8,⑨⑪⑪, 9, 2, ミキノクレシェンド,---,赤木高, 1.2, 43, -21,  -5,12, 67.6, ⑫⑫, 9, 1,Ｄベルフリｰ, 73,佐藤哲, 0.8, 72,  -6,  12, 6, 11.7, ⑬⑬, 9, 6,Ｏマイネルハｰティｰ, 77,角田晃, 1.1, 85,   1,  13,13, 49.6, ⑯⑭
10, 8,Ｊシゲルハカセヤマ, 42,川島信, 2.8, 40,  -3, -24,11,136.3,⑤④⑤,10,13, アマンディｰヌ,---,秋山真, 1.4, 39, -11, -17, 4,  5.4, ⑧⑧,10,17,Ｌオブコｰス, 68,田中健, 1.0, 70,  -5,   8,10, 24.5, ⑪⑪,10, 8,Ａステキシンスケクン, 90,川田将, 1.2, 81,   4,   6, 1,  3.6, ⑥⑥
11,11,Ｍリバｰマｰキュリｰ, 30,田中克, 3.2, 39,  -6, -24,12,151.5,⑫⑧⑥,11, 7, ロｰランアンバｰ,---,川田将, 1.5, 38, -13, -17, 8, 28.0, ⑨⑧,11,11,Ｍシティボス, 67,太宰啓, 1.0, 72,  -9,* 16, 8, 19.9, ⑱⑱,11, 5,Ｐブラックカフェ, 77,田嶋翔, 1.3, 85,  -4,* 19,18,133.3, ⑱⑱
12, 2,Ｇシルバｰフィｰルド, 44,秋山真, 4.2, 32,  -6, -31, 6, 15.6,③⑧⑪,12, 3, メイショウマナスル,---,飯田祐, 2.4, 28,  -9, -32, 7, 21.8, ⑤⑦,12,15,Ｃナリタトルネｰド, 73,浜中俊, 1.0, 66,* 15, -28, 1,  3.7, ①①,12,14,Ｇタマモサポｰト, 83,藤岡康, 1.3, 81,   1,   9, 9, 16.4, ⑩⑪
13,13,Ｅメイショウマクベス, 45,熊沢重, 5.1, 28,  -4, -42, 3,  8.2,③④⑩,13, 1, クイｰンヘッド,---,安藤光, 3.6,  2, -19, -37,13,115.8, ⑪⑫,13,14,Ｒサクラダモン, 58,和田竜, 1.0, 67,   1,  -4,17,123.5, ⑦⑦,13, 2,Ｊドリｰムシグナル, 80,和田竜, 1.4, 83,  -1,  13, 8, 15.9, ⑰⑰
,,,,,,,,,,,,,,,,,,,,,,,,14, 4,Ｎエイワンキセキ, 67,鮫島良, 1.1, 70,  -8,  12, 7, 19.2, ⑯⑮,14,10,Ｍサイキョウワｰルド, 78,浜中俊, 1.4, 81,*  6,   2,14, 53.0, ③③
,,,,,,,,,,,,,,,,,,,,,,,,15,18,Ｅロスペトリュス, 72,秋山真, 1.1, 69, -10,* 13, 2,  4.5, ⑰⑰,15, 3,Ｄマイケルバロｰズ, 84,鮫島良, 1.4, 82,   0,  10,11, 26.9, ⑮⑯
,,,,,,,,,,,,,,,,,,,,,,,,16,13,Ｋアンテヴォルテ, 69,藤岡康, 1.4, 65,  -6,   5,15, 75.5, ⑭⑬,16,12,Ｋサンダルフォン, 80,秋山真, 1.5, 77,   3,   3,12, 29.6, ⑥⑥
,,,,,,,,,,,,,,,,,,,,,,,,17,12,Ｑマｰブルラトゥｰル, 60,渡辺薫, 1.4, 65,  -5,   2,18,217.4, ⑪⑪,17, 1,Ｎマルカキセキ, 77,石橋守, 1.8, 76,   1,   3,16,100.0, ⑬⑭
,,,,,,,,,,,,,,,,,,,,,,,,18,16,Ｐウイニングハピネス, 66,田中克, 2.1, 57,  -8,  -2,16,122.4, ⑭⑮,18,15,Ｌロイヤルキャンサｰ, 80,田中健, 2.0, 72,   2,  -1,17,127.0, ⑬⑪
ｸﾗｽ上位平均:59 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:-9 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:6),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:稍重(指数:6),,,,,,,,,,,,ｸﾗｽ上位平均:86 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:稍重(指数:6),,,,,,,,,,,
単勝:560円 複勝:10=160円 03=110円 06=280円 枠連:480円,,,,,,,,,,,,"単勝:6,500円 複勝:06=1,050円 12=180円 11=290円 枠連:2,170円",,,,,,,,,,,,"単勝:7,140円 複勝:02=1,720円 09=380円 08=280円 枠連:3,610円",,,,,,,,,,,,"単勝:1,460円 複勝:17=470円 04=270円 16=430円 枠連:1,520円",,,,,,,,,,,
"馬連:560円 ワイド:03-10=270円 06-10=1,000円 03-06=520円",,,,,,,,,,,,"馬連:14,660円 ワイド:06-12=4,150円 06-11=5,110円 11-12=720円",,,,,,,,,,,,"馬連:39,440円 ワイド:02-09=9,240円 02-08=8,480円 08-09=1,310円",,,,,,,,,,,,"馬連:6,120円 ワイド:04-17=2,000円 16-17=2,730円 04-16=1,550円",,,,,,,,,,,
"馬単:1,320円 3連複:2,480円 3連単:13,070円",,,,,,,,,,,,"馬単:47,010円 3連複:26,410円 3連単:241,950円",,,,,,,,,,,,"馬単:68,600円 3連複:88,130円 3連単:894,340円",,,,,,,,,,,,"馬単:13,730円 3連複:25,410円 3連単:184,200円",,,,,,,,,,,
■ 2R  芝1400m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 5R  ダ1800m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■ 8R  ダ1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■11R  芝1400m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,道頓堀ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 1,Ｄテイエムプレストン, 52,太宰啓,, 66,*  7,  -9, 3, 13.1, ①①, 1, 2,Ａマチカネカミカゼ, 83,川田将,, 65,   1,*  5, 1,  1.3,⑤⑥⑤, 1, 8,Ｆユウキタイティ, 72,田中克,, 74,   3,   6, 6, 14.0,③③④, 1, 9,Ｄファリダット, 81,四位洋,, 86,   1,* 17, 1,  1.7, ⑬⑨
 2, 7,Ｈナショナルヒｰロｰ, 49,川田将, 0.1, 64,   2,* -2, 1,  1.2, ⑦⑦, 2,16,Ｃマルイチシンゲキ, 60,角田晃, 0.1, 65,*  2,*  3, 2,  8.7,⑤④②, 2, 5,Ｃトムトップ, 76,岩崎祐, 0.0, 74,   3,*  8, 2,  5.3,⑦⑥⑥, 2,13,Ａエイシンパンサｰ, 84,川田将, 0.2, 81,   3,  10, 3,  8.1, ④⑤
 3,10,Ｃクｰルヴァンクル, 53,和田竜, 0.3, 63,   5,  -9, 2, 10.8, ⑤④, 3,15,Ｉメイショウガッサン, 49,田中克, 0.8, 60,   0,  -1,16,209.6,⑧⑥⑤, 3, 1,Ａダノンジュピタｰ, 77,佐藤哲, 0.3, 72,   2,   6, 1,  3.3,⑥⑥③, 3,17,Ｌピエナビｰナス, 78,太宰啓, 0.2, 83,   2,  12, 9, 37.1, ⑦⑤
 4,11,Ｂエリモフリｰダム, 53,川島信, 0.5, 59,   5, -11, 5, 20.7, ⑤④, 4, 5,Ｆマチカネレツジツ, 52,安藤光, 1.1, 57,  -1,  -1, 6, 27.5,⑪⑨⑨, 4, 2,Ｅシｰクレバｰ, 76,秋山真, 0.6, 71,   1,   7, 5,  9.1,⑨⑧⑧, 4, 3,Ｊソルジャｰズソング, 78,鮫島良, 0.3, 84,  -3,* 18, 5, 15.1, ⑮⑰
 5, 2,Ｆゼットオｰジ, 52,安藤光, 0.6, 56,  -7,*  3,11,145.7, ⑫⑫, 5,14,Ｄピイエフドルチェ, 53,田中健, 1.2, 58,*  1,  -8,13,161.9,③②②, 5,10,Ｉバトルブリンディス, 69,鮫島良, 0.7, 71,   0,*  8,11, 66.8,⑩⑩⑨, 5,18,Ｈコウユｰキズナ, 80,秋山真, 0.4, 82,  -2,* 15, 6, 26.6, ⑯⑭
 6,12,Ｌメイショウアスナロ, 33,田中健, 0.8, 55,   2, -11, 8, 40.6, ⑧⑦, 6, 9,Ｎマリンスノｰ, 44,藤岡康, 1.9, 54,*  3, -14,12,108.9,②②②, 6, 4,Ｊウインステルス, 66,川田将, 1.2, 65,   3,  -4, 7, 14.0,③③⑤, 6, 2,Ｆメガトレンド, 81,南井大, 0.5, 82,  -6,* 18,17,185.0, ⑰⑱
 7, 3,Ｊカシノハリ, 45,大下智, 0.9, 53,  -1, -10, 9, 45.1, ⑨⑨, 7, 3,Ｍアグネスイカロス, 44,石橋守, 1.9, 52,*  2, -16,10,104.7,①①①, 7, 3,Ｄシルクダイナスティ, 76,田村太, 1.3, 65,   3,  -5, 4,  6.3,③③⑥, 7,10,Ｂホｰマンファラオ, 83,角田晃, 0.5, 80,   1,  10, 4,  9.8, ⑦⑨
 8, 9,Ａシャイニｰコｰト, 56,浜中俊, 1.1, 54,*  6, -20, 6, 26.5, ③③, 8, 7,Ｈアグネスアモｰレ, 52,熊沢重, 1.9, 52,   0, -11, 9, 63.3,⑤⑧⑧, 8,12,Ｂアキノキャプテン, 77,熊沢重, 1.4, 64,*  5,  -9, 3,  5.6,①①①, 8, 8,Ｇアドマイヤヘッド, 80,高田潤, 0.6, 79,  -2,  13,10, 52.5, ⑱⑫
 9, 8,Ｇレｰネマッティｰナ, 49,高橋亮, 1.4, 48,  -4, -11,12,149.4, ⑩⑪, 9,13,Ｊサンレイマグナム, 47,難波剛, 2.7, 47,  -1, -15, 7, 36.0,⑪⑨⑨, 9, 7,Ｋモシカシテ, 64,田中勝, 1.4, 65,   0,   1,10, 33.0,⑪⑪⑨, 9,11,Ｉリキサンファイタｰ, 79,佐藤哲, 0.7, 77,   1,   8, 8, 27.8, ⑦⑫
10, 6,Ｅタガノバッチグｰ, 52,橋本美, 1.4, 50,*  6, -25, 4, 15.0, ②②,10,11,Ｂアグネスファントム, 65,浜中俊, 2.7, 47,  -3, -12, 3,  9.9,⑪⑬⑫,10,11,Ｇタイインテンスリｰ, 71,太宰啓, 1.9, 59,*  4, -12, 9, 19.6,②②②,10,15,Ｑビｰチアイドル, 71,浜中俊, 0.8, 76,   2,   5,12, 82.4, ⑦⑨
11, 5,Ｋラッキｰパズル, 35,佐藤哲, 1.6, 46,  -2, -17,10, 78.5, ⑩⑨,11, 8,Ｇネヴァデザｰト, 52,大下智, 2.7, 51,  -6,  -5,15,189.6,⑮⑮⑬,11, 9,Ｌファｰマウォラト, 60,小坂忠, 2.0, 61,  -2,  -1,12, 72.2,⑪⑫⑫,11,16,Ｍキルシュワッサｰ, 78,熊沢重, 0.8, 75,   4,   1,11, 56.1, ④③
12, 4,Ｉイソノラシアン, 49,熊沢重, 1.9, 44,   5, -29, 7, 39.0, ③④,12, 1,Ｏメイショウサザンカ, 43,渡辺薫, 3.5, 43,*  2, -26, 8, 48.3,③⑤⑤,12, 6,Ｈロｰレルオｰラ, 70,浜中俊, 2.3, 58,   0,  -6, 8, 15.7,⑦⑧⑪,12,12,Ｏコスモラナップ, 74,赤木高, 0.9, 74,   2,   4,18,238.3, ⑪⑦
,,,,,,,,,,,,13, 4,Ｋファンドリキセキ, 47,秋山真, 3.7, 41,  -1, -23, 5, 22.5,⑧⑨⑨,,,,,,,,,,,,,13, 6,Ｋピサノアルハンブラ, 78,中村将, 1.0, 73,  -2,   6,13, 89.2, ⑪⑭
,,,,,,,,,,,,14,10,Ｌカイピリｰニャ, 46,酒井学, 5.3, 34,  -4, -30,14,164.9,⑯⑮⑬,,,,,,,,,,,,,14,14,Ｃシベリアンクラシカ, 82,田中勝, 1.0, 72,*  6,  -3, 2,  8.0, ③③
,,,,,,,,,,,,15, 6,Ｅシルクサムアップ, 52,川島信, 7.4, 22,  -2, -51,11,108.0,⑧⑨⑬,,,,,,,,,,,,,15, 5,Ｒエｰソングフォｰ, 62,田村太, 1.1, 71,   3,  -1,15,160.4, ④⑦
,,,,,,,,,,,,16,12, ゲイリｰウェイ,---,赤木高,10.1, -7,  -5, -71, 4, 19.3,⑭⑭⑯,,,,,,,,,,,,,16, 4,Ｐタッチザピｰク, 73,和田竜, 1.3, 69,*  7,  -9,14,145.6, ②②
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17, 1,Ｅラブハｰト, 81,藤岡康, 1.5, 66,*  8, -13, 7, 26.7, ①①
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18, 7,Ｎナナヨｰティアラ, 75,渡辺薫, 1.9, 63,  -2,  -5,16,168.9, ⑬⑭
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:+5 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:良(指数:6),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-0 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:稍重(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:稍重(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:85 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:稍重(指数:6),,,,,,,,,,,
"単勝:1,310円 複勝:01=190円 07=110円 10=160円 枠連:640円",,,,,,,,,,,,"単勝:130円 複勝:02=110円 16=190円 15=2,270円 枠連:420円",,,,,,,,,,,,"単勝:1,400円 複勝:08=280円 05=180円 01=140円 枠連:1,880円",,,,,,,,,,,,単勝:170円 複勝:09=120円 13=200円 17=490円 枠連:280円,,,,,,,,,,,
馬連:600円 ワイド:01-07=290円 01-10=590円 07-10=200円,,,,,,,,,,,,"馬連:410円 ワイド:02-16=260円 02-15=2,890円 15-16=9,150円",,,,,,,,,,,,"馬連:3,010円 ワイド:05-08=820円 01-08=630円 01-05=340円",,,,,,,,,,,,"馬連:710円 ワイド:09-13=330円 09-17=1,040円 13-17=3,270円",,,,,,,,,,,
"馬単:2,440円 3連複:970円 3連単:11,080円",,,,,,,,,,,,"馬単:550円 3連複:16,500円 3連単:33,410円",,,,,,,,,,,,"馬単:7,600円 3連複:2,770円 3連単:24,220円",,,,,,,,,,,,"馬単:830円 3連複:6,670円 3連単:18,170円",,,,,,,,,,,
■ 3R  芝2970m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 6R  ダ1400m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■ 9R  芝2400m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■12R  ダ1200m 3歳上1000万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-13,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,兵庫特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 1, マｰブルジｰン,,小坂忠,,,,, 3,  8.3,①①①, 1,14,Ｅベンティスカ, 73,田中勝,, 71,   1,* 12, 1,  3.2, ⑧⑥, 1,12,Ｅアグネススタｰチ, 78,赤木高,, 84,* 13,*  2, 3,  6.1,②②②, 1,15,Ｈデンコウグラス, 70,田村太,, 81,* 17,   4,10, 52.0, ①①
 2, 3, アザンクｰル,,南井大,197.9,,,, 6, 11.5,⑥④③, 2, 7,Ｂメイショウボンハオ, 75,田中克, 0.2, 70,  -2,* 12, 2,  3.2, ⑫⑬, 2,13,Ｄタガノエルシコ, 79,藤岡康, 0.1, 85,  12,*  6, 1,  3.3,⑬⑬⑧, 2,13,Ｎアナモリ, 65,和田竜, 0.0, 82,   2,* 20, 4,  9.6, ⑩⑪
 3,14, グリュｰエント,,岩崎祐,199.1,,,, 4,  9.6,⑤⑤⑤, 3, 2,Ａサイキックダイブ, 77,川島信, 0.2, 68,   0,  11, 3,  6.0, ⑪⑧, 3, 1,Ａマッキｰバッハ, 82,安藤光, 0.3, 82,  12,*  2, 4,  8.3,⑤③⑤, 3,10,Ｆロｰランバｰク, 73,浜中俊, 0.3, 79,   8,  12, 3,  7.3, ⑧⑧
 4,12, ゼットコマンダｰ,,熊沢重,199.8,,,, 1,  2.7,④②③, 4,13,Ｆイイデソユｰズ, 73,石橋守, 0.3, 68,*  3,   5, 6, 15.6, ③②, 4, 6,Ｈクィｰンスプマンテ, 76,浜中俊, 0.4, 83,  12,   0, 5,  8.4,⑤⑥⑤, 4,12,Ｃファイナルスコアｰ, 77,秋山真, 0.6, 76,* 16,   1, 2,  4.2, ②②
 5, 6, アフリカンビｰト,,高田潤,200.5,,,, 8, 17.4,③②②, 5, 4,Ｈリアルヴィクトリｰ, 71,四位洋, 0.3, 68,  -4,* 14, 8, 31.7, ⑯⑧, 5, 5,Ｂダンツウィニング, 82,和田竜, 0.4, 81,  12,   0, 2,  3.6,⑦⑥⑤, 5, 6,Ａメガリス, 82,藤岡康, 0.8, 75,   9,   5, 1,  2.2, ⑥⑤
 6,13, ホｰプフルスタｰ,,白浜雄,203.9,,,, 7, 16.1,⑪⑩⑧, 6, 5,Ｌライジングバイオ, 64,赤木高, 0.4, 67,  -1,  10,12, 61.4, ⑫⑭, 6, 2,Ｊドリｰムキュｰブ, 74,石橋守, 0.7, 79,* 14, -11, 8, 18.2,①①①, 6, 1,Ｂポｰトジェネラル, 79,安藤光, 0.9, 73,  -3,* 16, 8, 29.5, ⑮⑯
 7, 8, セレスクラｰジュ,,林満明,205.7,,,,13,132.8,⑥⑧⑦, 7,15,Ｎワンダｰフガタ, 57,田中健, 0.4, 68,   1,   7,16,213.4, ⑥④, 7, 9,Ｉマルモコウテイ, 75,川田将, 0.8, 77,  12,  -4, 7, 13.7,⑨⑫⑧, 7, 8,Ｅダイゴカムイ, 76,太宰啓, 1.1, 71,   3,   9, 9, 30.3, ⑩⑩
 8, 2, デンコウラウロ,,仲田雅,206.0,,,,14,149.4,⑨⑨⑨, 8,12,Ｄアップカントリｰ, 74,川田将, 0.5, 66,*  4,   3, 4,  8.7, ③②, 8,10,Ｌポｰラｰライツ, 70,秋山真, 1.1, 74,* 13, -13, 6, 11.3,④⑤③, 8,16,Ｉヴォレハクユウ, 70,角田晃, 1.5, 68,  13,  -4, 5, 13.1, ④③
 9, 4, マキハタサｰメット,,出津孝,206.4,,,, 9, 21.2,②⑥⑥, 9, 1,Ｊゴｰルデンラダｰ, 66,熊沢重, 1.1, 62,   1,   2,11, 61.1, ⑧⑧, 9,11,Ｇホｰマンラフィット, 77,渡辺薫, 1.5, 72,  10, -11,12,117.4,⑧⑨⑫, 9, 7,Ｇアラビアンナイト, 73,大下智, 1.5, 69,  -1,   9,12, 79.4, ⑭⑫
,,,,,,,,,,,,10, 3,Ｃウッドウインド, 74,太宰啓, 1.3, 58,   2,  -3, 5, 10.8, ③⑧,10, 7,Ｃハギノメトロポリス, 79,鮫島良, 1.5, 72,  10, -13, 9, 63.2,⑫⑩⑧,10,11,Ｋコクシムソウ, 70,赤木高, 2.0, 63,   8,  -4,13,127.4, ⑥⑤
,,,,,,,,,,,,11, 8,Ｏベストロング, 52,和田竜, 1.3, 59,*  5,  -6, 9, 33.0, ①①,11, 4,Ｍマスラタケヲ, 66,飯田祐, 1.7, 70,  11, -15,11, 97.0,⑨⑥⑧,11, 3,Ｍヒシレｰシｰ, 65,加藤士, 2.1, 62,   0,   3,16,199.8, ⑫⑭
,,,,,,,,,,,,12,11,Ｇインプリシット, 71,浜中俊, 1.6, 57,   1,  -3, 7, 17.2, ⑥⑤,12, 8,Ｋヘキレキ, 72,田中克, 2.0, 67,  10, -18,13,134.9,⑨⑩⑫,12, 9,Ｏカシノヨウスケ, 48,白坂聡, 2.5, 58,  -1,   0,15,189.5, ⑫⑫
,,,,,,,,,,,,13,16,Ｍエプソムスタウト, 63,鮫島良, 1.7, 57,  -1,  -2,14,172.9, ⑧⑧,13, 3,Ｆパｰフェクトラン, 77,田中健, 2.8, 62,* 13, -37,10, 68.2,③③③,13,14,Ｌオｰプンザゲｰト, 66,田中勝, 2.6, 59,  -3,   1,11, 66.6, ⑮⑭
,,,,,,,,,,,,14,10, スナｰクハリケｰン,---,秋山真, 2.0, 54,  -3,  -3,10, 49.8, ⑫⑮,,,,,,,,,,,,,14, 5,Ｊアトラスシｰダｰ, 70,熊沢重, 2.8, 56,  14, -17, 7, 27.8, ②⑤
,,,,,,,,,,,,15, 6,Ｉロジュマン, 66,黒岩悠, 2.1, 53,  -4,  -1,13,112.7, ⑮⑮,,,,,,,,,,,,,15, 4,Ｄカウントオンミｰ, 76,鮫島良, 2.9, 56,  13, -17, 6, 13.7, ④④
,,,,,,,,,,,,16, 9,Ｋアリダｰチャｰム, 66,安藤光, 2.1, 53,*  4, -10,15,177.2, ②⑥,,,,,,,,,,,,,16, 2,Ｐクリノダイシス, 45,川島信, 3.2, 52,   8, -14,14,144.0, ⑨⑧
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
