08年 8月23日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 8月23日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■ 4R  芝1200m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■10R  ダ1700m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,,,,,,,,,,,,,TVQ杯,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 7, 1,Ｃクｰルヴァンクル, 47,和田竜, 0.9, 50, -18,   9, 3,  5.7,⑤⑥⑥, 7, 3,Ｌスマｰトカラｰ, 24,幸英明, 1.3, 52, -13,   1,14,110.6, ⑦⑥, 7,15,Ｆミティｰク, 70,吉田隼, 0.6, 67,  -8,* 12, 5,  8.1, ⑮⑯, 7, 2,Ｋセレｰノカント, 55,石橋守, 0.9, 65,  -3,   0,11,146.5, ④⑧
 8, 4,Ｉサマｰパレンケ, 36,浜中俊, 1.2, 49, -21,   8, 7, 27.2,⑨⑨⑩, 8, 2,Ｆメイデンミヤビ, 61,吉田隼, 1.4, 53, -16,   4, 9, 22.6, ⑩⑩, 8,12,Ｃミュｰズマジック, 71,藤岡康, 0.6, 67,  -3,   7, 6,  9.4, ⑩⑨, 8,12,Ｈコスモジャイロ, 64,幸英明, 0.9, 65,*  0,  -2, 6, 18.7, ②②
 9, 5,Ｌナショナルキッド,  7,熊沢重, 1.3, 45, -21,   7, 9, 64.1,⑫⑨⑩, 9,10,Ｇピッチマリ, 61,藤岡康, 1.4, 53, -16,   3, 7, 18.4, ⑩⑨, 9,18,Ｇニホンピロタルト, 68,和田竜, 0.6, 69,  -1,   6, 4,  7.4, ⑦⑨, 9, 8,Ｉドキャｰレ, 63,小牧太, 1.1, 62,* -1,  -4, 7, 33.9, ③③
10, 7,Ｈシゲルフジサン, 38,安藤光, 1.5, 41, -20,   1,12,152.0,⑦⑥⑦,10, 6,Ａバイソリュｰション, 69,橋本美, 1.4, 54, -10,  -1, 5,  8.7, ⑤④,10,11,Ｈドリｰムガｰルズ, 67,川島信, 0.9, 63,   1,  -1, 7, 22.0, ⑤④,10, 9,Ｆトップガンヒｰロｰ, 65,藤岡康, 1.2, 60,  -9,   3,10, 83.3, ⑨⑩
11, 2,Ｋホッコｰテイオｰ, 29,鮫島良, 1.6, 43, -23,   5,11,105.8,⑨⑫⑩,11, 4,Ｊアマゾンノハナ, 50,太宰啓, 1.6, 49, -21,   4,11, 34.2, ⑫⑪,11, 2,Ｉエイシンイチリン, 65,田中克, 0.9, 64,   1,  -1, 9, 35.7, ⑤⑥,11, 4,Ｊアップステｰジ, 60,渡辺薫, 1.5, 57,  -8,  -2, 8, 56.2, ⑨⑩
12,11,Ｆカネトシアミｰゴ, 40,田嶋翔, 1.7, 38, -20,  -2,10, 74.5,⑦⑥⑧,12, 1,Ｃアｰスファイヤｰ, 64,野元昭, 1.8, 48, -14,  -2, 2,  4.7, ⑦⑫,12,14,Ｂトｰホウベルサイユ, 72,船曳文, 0.9, 64,  -4,   4,13, 64.0, ⑫⑬,12, 5,Ｌセレスクラｰジュ, 49,和田竜, 1.9, 52,  -8,  -7,12,174.7, ⑨⑩
,,,,,,,,,,,,13, 9, マイコハン,---,船曳文, 3.0, 34, -22,  -9,12, 79.0, ⑫⑫,13,17,Ｌミスズキセキ, 64,角田晃, 1.0, 63,  -4,   3,10, 39.7, ⑫⑬,,,,,,,,,,,,
,,,,,,,,,,,,14, 5, テイエムボイジャｰ,---,田中健,10.0,-43, -60, -49,13,104.3, ⑭⑭,14, 9,Ｒウイニングハピネス, 47,中村将, 1.3, 59,  -1,  -4,16,208.9, ⑦⑪,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,15, 6,Ｐクリスリリｰ, 52,安藤光, 1.3, 61, -20,* 15,17,219.6, ⑱⑱,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,16, 5,Ｋリｰヴタイム, 64,田村太, 1.3, 59,  -4,  -1,12, 55.8, ⑫⑬,,,,,,,,,,,,
