08年 9月28日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 9月28日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1800m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:12,,,,,■ 4R  ダ1000m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■ 7R  芝1200m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■10R  芝1200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,
 9,12,Ｇマルブツワｰキング, 47,松田大, 2.1, 45, -18,* -1,10, 43.2,⑫⑫⑫, 9, 2,Ｈビッグロｰズ, 61,古川吉, 1.3, 62,  -3,   1, 8, 34.0, ⑥⑧, 9, 7,Ｊクリノエタｰナル, 57,田辺裕, 0.4, 62,   3,  -1,12,177.6, ⑤⑤, 9,12,Ｆスティｰルシャｰク, 65,津村明, 0.6, 65, -16,* 10, 9, 23.3, ⑫⑩
10, 9,Ｉスイｰトデビル, 47,荻野琢, 2.8, 34,* -5, -40, 6, 27.3,②②②,10, 3,Ｉフミノオリヒメ, 56,長谷川, 1.5, 59,*  1,  -5,10, 47.0, ③④,10,12,Ｋウインウラカワ, 56,北村友, 0.8, 59,   3,  -4,11,113.4, ⑦⑤,10, 8,Ｌファイナルファイト, 55,荻野琢, 1.0, 58,  -4,  -6, 4, 14.1, ④⑤
11, 6,Ｌダンツクリスエス, 12,長谷川, 2.8, 34,  -7, -35,11, 43.2,⑥⑦⑨,11, 4,Ｌピンクノチカラ, 38,河北通, 1.6, 57, -13,   4,12,122.6, ⑪⑪,11,11,Ｃテイエムオペレッタ, 73,中舘英, 1.3, 51,   6, -15, 4, 11.8, ②②,11,10,Ｋケイエスショｰキ, 58,松田大, 1.1, 58, -18,   5,15,117.3, ⑬⑬
12,10,Ｊリニアラピｰト, 46,古川吉, 3.5, 31,* -5, -49,12,109.9,③③⑨,12, 1,Ｋモエレヒストリｰ, 49,北村友, 1.7, 53, -16,   4,11, 97.0, ⑫⑫,12, 5,Ｌエミネンツァベルタ, 55,的場勇, 1.8, 43,*  7, -23, 8, 34.6, ②⑤,12, 1,Ｎヤスノヴィグラス, 52,斉藤正, 1.3, 54,* -1, -14,11, 62.5, ①①
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13, 4,Ｍマｰシャルソング, 55,菊沢隆, 1.3, 54,*  0, -14, 7, 18.2, ②②
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,11,Ｇハギノアスラン, 64,武幸四, 1.6, 51,* -1, -16,10, 29.0, ②③
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,15,Ｉダッシュタイカン, 61,田中博, 3.9, 21, -25, -23,13, 82.4, ⑮⑮
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:71 ﾚｰｽﾍﾟｰｽ指数:-9 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:75 ﾚｰｽﾍﾟｰｽ指数:-9 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:1),,,,,,,,,,,
単勝:330円 複勝:01=110円 04=110円 03=110円 枠連:400円,,,,,,,,,,,,単勝:310円 複勝:12=120円 10=190円 11=170円 枠連:490円,,,,,,,,,,,,"単勝:2,040円 複勝:08=420円 01=140円 04=1,320円 枠連:1,700円",,,,,,,,,,,,単勝:320円 複勝:09=150円 03=450円 02=150円 枠連:430円,,,,,,,,,,,
馬連:410円 ワイド:01-04=170円 01-03=190円 03-04=180円,,,,,,,,,,,,"馬連:1,200円 ワイド:10-12=440円 11-12=300円 10-11=840円",,,,,,,,,,,,"馬連:1,330円 ワイド:01-08=650円 04-08=7,760円 01-04=1,850円",,,,,,,,,,,,"馬連:5,940円 ワイド:03-09=1,360円 02-09=260円 02-03=1,670円",,,,,,,,,,,
"馬単:1,000円 3連複:370円 3連単:2,100円",,,,,,,,,,,,"馬単:2,100円 3連複:1,750円 3連単:8,510円",,,,,,,,,,,,"馬単:4,740円 3連複:22,020円 3連単:154,750円",,,,,,,,,,,,"馬単:8,830円 3連複:6,760円 3連単:36,830円",,,,,,,,,,,
■ 2R  ダ1700m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:11,,,,,■ 5R  芝1500m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 8R  ダ1700m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■11R  芝2000m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ札幌,,,,,,,,,,,,,,,,,,,,,,,,HTB賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 4,Ｉアｰスマリン, 40,芹沢純,, 62,  -5,*  8, 5, 15.9,⑤③②, 1, 7, ダブルレインボｰ,---,三浦皇,, 64,*-15,* 12, 1,  3.7,③②③, 1, 1,Ｂコヅル, 73,中舘英,, 72,*  3,* 13, 1,  4.2,①①①, 1, 2,Ｄタガノヴァレオ, 78,秋山真,, 81,* 13,*  9, 2,  5.1,③②①
 2, 1,Ｄサラノコジｰン, 61,三浦皇, 0.1, 60,  -5,*  8, 2,  3.9,③⑤④, 2, 3, ディｰエスジャック,---,田中博, 0.3, 61, -17,*  9, 3,  5.8,③④③, 2, 6,Ｊウインアトラス, 59,松田大, 0.4, 70,*  1,  11, 4,  7.5,②②②, 2, 1,Ｂサンライズベガ, 79,北村友, 0.2, 81,  10,* 10, 1,  3.2,⑤⑤④
 3, 6,Ｇファルクラム, 58,服部茂, 0.3, 61,  -6,*  9, 7, 19.2,⑧⑦⑤, 3,11, カイシュウボナンザ,---,北村友, 0.5, 58,*-14,   3, 7, 12.2,①①①, 3, 9,Ｆエスジｰビンゴ, 66,千田輝, 0.8, 68,   0,  10, 8, 20.0,④⑤④, 3, 9,Ｃオｰバｰカムオｰル, 78,古川吉, 0.7, 75,* 13,  -1, 3,  6.0,③②②
 4, 9,Ｂダンツエスエスティ, 63,長谷川, 0.3, 62,  -4,   5, 6, 17.7,②③⑤, 4,13, マルブツヴァｰス,---,秋山真, 0.8, 56, -16,   4, 5,  6.9,⑤⑤⑤, 4, 7,Ｃロｰランビゴラス, 73,北村友, 1.0, 63,   0,   8, 6,  8.9,③③③, 4, 3,Ｅマｰムｰドイモン, 78,小原義, 0.7, 76,  10,   7, 4,  6.9,⑨⑧⑦
 5, 2,Ａポンテディリアルト, 69,藤田伸, 0.6, 59,  -6,   6, 1,  1.8,⑤⑦⑨, 5, 1, マルサンファクタ,---,大野拓, 0.9, 57, -22,*  9, 6,  7.6,⑩⑪⑩, 5, 3,Ｄヒシポラリス, 71,菊沢隆, 1.0, 67,  -1,   9, 3,  4.5,④⑥⑥, 5, 4,Ｆステイトリｰデイズ, 76,三浦皇, 0.9, 73,  10,   4, 5,  8.0,⑨⑧⑦
 6, 3,Ｈマｰチインパクト, 56,荻野琢, 1.0, 60,  -8,   7, 4, 15.3,⑧⑨⑦, 6, 8, ルナレｰヴェ,---,中舘英, 1.1, 52, -16,   0, 2,  5.0,⑦⑤⑤, 6,10,Ｉヤマニンデュｰン, 60,武幸四, 1.0, 67,  -1,   9, 7, 14.2,⑦⑥⑥, 6, 5,Ｇスズカダｰク, 72,中舘英, 1.0, 73,  10,   2, 6, 11.0,⑧⑧⑤
 7, 5,Ｅヨイチノｰス, 60,丸田恭, 1.2, 54,  -5,  -1, 9, 47.9,⑤⑥⑦, 7, 6, マッドマックス,---,的場勇, 1.4, 45,*-14,  -7, 4,  6.5,②②②, 7, 2,Ａシルクストライカｰ, 77,柴原央, 1.1, 63,  -2,  10, 2,  4.4,⑧⑨⑨, 7, 6,Ｉセイウンビバｰチェ, 70,長谷川, 1.3, 68,  10,  -5,10, 28.6,⑤⑤⑨
 8, 8,Ｆハチノヨウニサス, 59,中舘英, 1.4, 51,* -3,  -6, 3,  7.4,①①①, 8, 2, ニシノゲルニカ,---,荻野琢, 1.6, 46, -19,  -2,11, 54.5,⑦⑦⑦, 8, 8,Ｅカズノブライアン, 71,荻野琢, 1.1, 69,  -2,  11, 9, 26.6,⑪⑨⑨, 8,10,Ｈダンシングボｰイ, 70,的場勇, 1.4, 64,* 14, -16, 8, 21.2,①①②
 9, 7,Ｃカシマレジェンド, 63,鈴来直, 1.9, 48,* -4,  -9, 8, 21.8,③②②, 9,10, パワｰマリン,---,長谷川, 1.7, 45, -19,  -3,13,126.6,⑩⑦⑦, 9, 4,Ｇニシノキンレンポ, 65,竹之下, 1.2, 65,  -1,   8,10, 29.3,⑧⑥⑥, 9,11,Ｊウォｰタｰクルｰズ, 70,斉藤正, 1.9, 62,  10, -13,11,119.0,⑦⑤⑩
,,,,,,,,,,,,10, 9, ハギノリベラ,---,武幸四, 2.5, 35, -22, -11,10, 47.9,⑫⑪⑪,10, 5,Ｈセンタｰグランタス, 64,藤田伸, 1.8, 59,   0,   1, 5,  8.2,④③④,10, 8,Ａタイセイファイタｰ, 82,武幸四, 2.1, 60,* 13, -22, 7, 11.2,②②⑤
,,,,,,,,,,,,11, 5, モダンバレエ,---,古川吉, 2.5, 35, -19, -14, 8, 46.2,⑦⑦⑦,11,11,Ｋマンテンテイオｰ, 44,北村浩, 3.2, 51,  -3,  -5,11,156.9,⑧⑪⑪,11, 7,Ｋサトノハピネス, 65,藤田伸, 2.3, 59,   9, -13, 9, 25.6,⑪⑪⑩
,,,,,,,,,,,,12, 4, ヴィｰナスゴスペル,---,津村明, 3.1, 27, -19, -21,12, 96.4,⑤⑦⑪,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,13,12, シンセイサクラ,---,丸田恭, 3.8, 31, -40,   2, 9, 47.1,⑬⑬⑬,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:+7 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:-9 ﾚｰｽｱｶﾞﾘ指数:+8 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:-8 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:81 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:1),,,,,,,,,,,
"単勝:1,590円 複勝:04=630円 01=160円 06=270円 枠連:5,030円",,,,,,,,,,,,単勝:370円 複勝:07=160円 03=180円 11=290円 枠連:710円,,,,,,,,,,,,単勝:420円 複勝:01=190円 06=310円 09=480円 枠連:930円,,,,,,,,,,,,単勝:510円 複勝:02=150円 01=120円 09=160円 枠連:710円,,,,,,,,,,,
"馬連:4,050円 ワイド:01-04=1,560円 04-06=1,460円 01-06=980円",,,,,,,,,,,,"馬連:1,140円 ワイド:03-07=410円 07-11=810円 03-11=830円",,,,,,,,,,,,"馬連:2,470円 ワイド:01-06=990円 01-09=1,340円 06-09=1,900円",,,,,,,,,,,,馬連:740円 ワイド:01-02=270円 02-09=430円 01-09=270円,,,,,,,,,,,
"馬単:9,320円 3連複:17,380円 3連単:98,880円",,,,,,,,,,,,"馬単:2,080円 3連複:3,470円 3連単:15,330円",,,,,,,,,,,,"馬単:3,950円 3連複:15,690円 3連単:59,630円",,,,,,,,,,,,"馬単:1,570円 3連複:1,110円 3連単:5,360円",,,,,,,,,,,
■ 3R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 6R  ダ1700m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 9R  芝1500m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,,■12R  ダ1700m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ｱｶｼﾔ特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8,Ａカラｰチャｰジ, 69,三浦皇,, 57,   0,   5, 1,  1.6,③③③, 1, 4,Ｊフェイドレスシｰン, 67,藤田伸,, 73,  -6,* 20, 3,  5.2,⑫⑫⑧, 1, 2,Ｃマイネルオｰクベイ, 67,中舘英,, 72,   4,   5, 4,  7.6,③③②, 1, 4,Ｈニシノドｰン, 78,津村明,, 81,  10,* 12, 2,  4.5,⑫⑪⑦
 2, 2,Ｂストロングジャック, 63,藤田伸, 0.0, 59,  -2,*  9, 2,  3.5,⑧⑥④, 2,10,Ｃハニｰフラッグ, 72,丸田恭, 0.1, 71,  -5,* 16, 7, 19.6,⑪⑩⑪, 2, 8,Ａショウリュウアクト, 72,三浦皇, 0.1, 71,   1,*  9, 2,  4.4,⑦⑥⑥, 2, 2,Ｄブレイバｰ, 80,北村友, 0.2, 77,  13,   4, 3,  4.6,⑤⑤⑤
 3, 3,Ｄサイアｰエフェクト, 55,丸田恭, 0.4, 55,   0,   2, 4, 10.3,⑥④④, 3, 2,Ｄシｰアクロス, 71,長谷川, 0.3, 70,* -1,   8, 4,  6.8,①①①, 3, 7,Ｄラヴドシャンクシｰ, 66,秋山真, 0.1, 71,   2,   7, 1,  2.1,④④④, 3,13,Ｃケイエスシンケイト, 80,松田大, 0.4, 77,  13,   2, 6, 12.6,⑤⑤⑤
 4, 5,Ｆパレスバニヤン, 47,大野拓, 0.7, 54,   1,  -2, 7, 51.9,②②②,10, 3,Ｂピサノシェンロン, 74,青木芳, 0.3, 69,  -5,  14, 1,  2.5,⑧⑨⑧, 4, 6,Ｂクリｰルバレット, 67,梶晃啓, 0.4, 67,*  6,  -2, 3,  6.3,②②①, 4,11,Ｅナムラマハラジャ, 80,北村浩, 0.6, 76,  11,   3, 4, 11.2,⑨⑧⑦
 5, 4,Ｅフルパワｰ, 51,中舘英, 1.5, 46,*  2, -11, 3,  8.4,①①①, 4, 9,Ｉケイアイコンセプト, 67,田辺裕, 0.5, 64,  -3,   9, 9, 27.3,⑧④②, 5, 4,Ｆプリマシア, 64,松田大, 0.5, 68,  -4,* 11, 5, 15.6,⑭⑬⑩, 5, 3,Ｇエプソムボス, 78,田辺裕, 0.9, 72,   9,   3,11, 72.6,⑫⑪⑫
 6, 1,Ｃフィデリオ, 55,田辺裕, 1.5, 45,   0,  -7, 6, 30.8,⑤④⑥, 5, 8,Ａニュｰロザリオ, 74,北村友, 0.6, 65,  -5,  12, 2,  5.2,⑩⑩⑩, 6,14,Ｈデルマアン, 62,大野拓, 0.6, 67,  -4,* 11, 8, 29.9,⑨⑬⑫, 6, 8,Ａメジロティモン, 81,中舘英, 0.9, 74,   8,*  7, 1,  3.3,⑪⑬⑬
 7, 7,Ｈコアレスイメｰジ, 35,斉藤正, 2.9, 38,  -2, -15, 8,159.4,⑥⑥⑦, 6, 1,Ｈクリスタルバッハ, 68,菊沢隆, 0.8, 66,  -3,   7, 8, 20.7,⑤④④, 7, 3,Ｇロｰレルエルヴェル, 63,田辺裕, 0.6, 66,   2,   1, 6, 16.6,④④④, 7, 7,Ｂウグイスジョウ, 80,長谷川, 1.3, 73,  14,  -8, 9, 17.7,④③③
 8, 6,Ｇベルモントジャイロ, 45,田中博, 6.0, 19,  -3, -41, 5, 26.0,③⑧⑧, 7,11,Ｇロイバｰエクセル, 68,田中博, 0.9, 65,* -2,   5,12,143.0,②③②, 8, 1,Ｅスマｰトブレｰド, 64,長谷川, 0.7, 64,   0,   3,10, 50.3,⑨⑥⑥, 8, 6,Ｆビッグクラウン, 79,古川吉, 1.3, 74,  11,  -3,10, 22.1,⑩⑧⑦
,,,,,,,,,,,, 8, 7,Ｆアツキオモイ, 68,大野拓, 1.0, 66,  -2,   6, 5, 11.5,⑤⑦⑥, 9, 5,Ｊオンワｰドカルマ, 59,郷原洋, 1.3, 58,  -1,  -3,12,148.6,⑨⑨⑧, 9, 9,Ｋスズカフェロｰ, 74,武幸四, 1.7, 68,  11,  -8, 5, 11.4,⑦⑦⑦
,,,,,,,,,,,, 9, 5,Ｋマイネルマルス, 66,津村明, 1.1, 63,  -3,   6,10, 54.2,⑦⑦⑥,10, 9,Ｋバブルガムロｰマン, 55,丸田恭, 1.6, 53,*  7, -20, 7, 27.3,①①③,10, 5,Ｍグロｰリｰソング, 62,小原義, 1.7, 69,  11,  -6,13,264.5,⑦⑧⑦
,,,,,,,,,,,,11, 6,Ｌフジノイチヒメ, 66,的場勇, 1.7, 57,* -2,  -3,11, 77.1,②②④,11,12,Ｉコスモクルトゥｰラ, 62,田中博, 1.6, 55,  -3,  -5, 9, 41.1,⑨⑪⑫,11,10,Ｌファインスティｰル, 73,竹之下, 1.7, 67,* 15, -14,12,103.5,②②①
,,,,,,,,,,,,12,12,Ｅニシノシャア, 69,武幸四, 2.3, 54,  -3,  -6, 6, 18.0,④④⑪,12,11,Ｎボｰデンゼｰ, 51,荻野琢, 1.7, 54,  -3,  -6,11,141.8,⑨⑪⑭,12,12,Ｊシルクパナシア, 74,田中博, 2.4, 63,  14, -18, 7, 14.2,③③③
,,,,,,,,,,,,,,,,,,,,,,,,13,10,Ｌモエレヘイセイ, 54,古川吉, 2.1, 50,   1, -16,13,168.7,④⑥⑧,13, 1,Ｉメイショウカルド, 77,西原玲, 2.6, 61,* 16, -23, 8, 16.5,①①②
,,,,,,,,,,,,,,,,,,,,,,,,14,13,Ｍキラキラボシ, 53,武英智, 2.8, 42,  -1, -22,14,198.5,⑦⑨⑩,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:-11 ﾚｰｽｱｶﾞﾘ指数:+7 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:75 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:-7 馬場:良(指数:-1),,,,,,,,,,,
単勝:160円 複勝:08=110円 02=110円 03=150円 枠連:0円,,,,,,,,,,,,"単勝:520円 複勝:04=190円 10=480円 02=240円 枠連:2,090円",,,,,,,,,,,,単勝:760円 複勝:02=210円 08=160円 07=120円 枠連:620円,,,,,,,,,,,,単勝:450円 複勝:04=140円 02=170円 13=270円 枠連:800円,,,,,,,,,,,
馬連:180円 ワイド:02-08=120円 03-08=180円 02-03=220円,,,,,,,,,,,,"馬連:4,270円 ワイド:04-10=1,280円 02-04=670円 02-10=1,330円",,,,,,,,,,,,"馬連:1,500円 ワイド:02-08=510円 02-07=420円 07-08=230円",,,,,,,,,,,,馬連:770円 ワイド:02-04=310円 04-13=980円 02-13=960円,,,,,,,,,,,
馬単:260円 3連複:300円 3連単:740円,,,,,,,,,,,,"馬単:6,370円 3連複:9,370円 3連単:53,330円",,,,,,,,,,,,"馬単:3,450円 3連複:1,060円 3連単:11,220円",,,,,,,,,,,,"馬単:1,600円 3連複:3,020円 3連単:12,930円",,,,,,,,,,,
,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,,,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,
,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,,,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,
