08年 7月27日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 7月27日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 4R  芝1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1000m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-6,,,,,■10R  芝2600m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ函館,,,,,,,,,,,,,,,,,,,,,,,,松前特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 2, 1,Ｂショウグンリｰダｰ, 65,田嶋翔, 0.5, 65,  -2,*  3, 3,  6.5, ④③, 2, 3,Ａダッシュアキチャン, 63,菊沢隆, 0.0, 68,   4,* -3, 4,  7.9,⑬⑨⑨, 2,11,Ｂディスパｰジョン, 73,藤田伸, 0.0, 75,* 11,   3, 2,  3.6, ②②, 2,12,Ｂナムラハンタｰ, 81,小林徹, 0.0, 81,*  9,*  8, 3,  8.9,⑤④③
 3,11,Ａロｰレルウェンス, 67,木幡初, 1.3, 57,  -2,  -4, 4,  6.7, ④③, 3,10,Ｅクリノモンブラン, 62,大野拓, 0.3, 65,   7, -14, 9, 21.8,④③③, 3, 4,Ｉキングスベリｰ, 64,三浦皇, 0.1, 75,   3,   9, 3,  6.9, ⑥⑥, 3, 3,Ｈランキング, 79,木幡初, 0.3, 75,* 10,   3, 9, 34.4,①①①
 4, 9,Ｃロｰドエスクｰド, 64,三浦皇, 1.3, 59,   0,  -5, 1,  2.0, ③③, 4, 6,Ｍネオベロｰナ, 40,横山典, 0.3, 65,   4,* -7, 8, 19.1,⑥⑨⑨, 4, 9,Ｅメジロアｰスラ, 68,長谷川, 0.3, 72,  -4,* 13, 1,  3.0, ⑩⑩, 4, 2,Ｊブルｰレパｰド, 78,藤岡佑, 0.3, 77,   7,*  9,12, 60.6,⑧⑨⑦
 5,10, アドマイヤバクシン,---,藤岡佑, 1.5, 55,  -7,  -2, 2,  4.5, ⑥⑦, 5,13,Ｂデルマビｰナス, 63,藤岡佑, 0.9, 58,   6, -20, 2,  4.0,⑨⑤⑤, 5, 3,Ｊセンザイイチグウ, 63,秋山真, 0.4, 70,   3,   5, 7, 18.8, ⑥⑥, 5, 6,Ｅナムラハｰン, 80,武英智, 0.6, 74,   8,   3,11, 39.7,⑩④④
 6, 4,Ｇスピｰドロｰレル, 50,丸田恭, 1.5, 55,  -6,  -3, 7, 39.8, ⑥⑥, 6,14,Ｆフロイラインロｰゼ, 61,安藤勝, 0.9, 57,*  9, -25, 1,  3.8,②②②, 6, 8,Ｃバクシンミノル, 70,四位洋, 0.4, 70,  -4,* 12, 6, 12.1, ⑩⑩, 6, 5,Ｄヘイアンルモンド, 80,四位洋, 0.6, 74,   7,   6, 4, 11.4,⑬⑨⑨
 7, 6,Ｄアナザｰスタｰ, 58,大野拓, 1.7, 53, -10,  -2, 6, 18.3, ⑨⑧, 7, 2,Ｄテイエムクロカミ, 62,池添謙, 0.9, 57,   5, -20, 5,  8.8,⑥⑤⑤, 7, 1,Ｆアイスカｰビング, 68,大野拓, 0.5, 69,   2,   5, 8, 25.2, ⑥⑥, 7, 4,Ｆシルクレセプション, 80,長谷川, 0.7, 76,*  9,   2, 8, 22.6,⑤④④
 8, 8, ボビｰファインダｰ,---,北村友, 1.9, 49, -10,  -4, 8, 39.9, ⑨⑧, 8,11,Ｈオジジアンクリス, 59,武幸四, 1.0, 59,   6, -20, 7, 18.8,⑥⑤⑤, 8, 6,Ｄアグネスムｰン, 69,池添謙, 0.5, 68,   0,   6, 5,  9.7, ⑨⑨, 8, 9,Ｇブルｰフェアプレｰ, 79,古川吉, 0.7, 75,   5,*  8, 7, 22.3,⑪⑫⑪
 9, 5,Ｈシャンディガフ, 47,菊沢隆, 2.0, 53,*  3, -13,11,140.1, ②②, 9, 8,Ｇリオ, 59,的場勇, 1.0, 56,   7, -24, 6, 14.0,②③③, 9, 7,Ｌソルヴィエント, 60,ホワイ, 0.6, 68,   6,   0,11, 33.4, ③③, 9,11,Ｃシャドウストライプ, 81,安藤勝, 0.9, 73,   5,   7, 1,  2.7,⑪⑫⑪
10,12,Ｊセイウンブレイブ, 27,武幸四, 2.1, 49,  -8,  -7,10, 86.1, ⑧⑧,10, 1,Ｉブライティアマロン, 54,長谷川, 1.1, 59,   2, -12,10, 31.1,⑩⑫⑪,10,12,Ａリｰズレセプション, 74,木幡初, 0.8, 65,   7,  -4, 4,  9.0, ③③,10, 8,Ｍアグネスラック, 74,三浦皇, 1.3, 70,   7,  -1,10, 36.4,④⑧⑨
11, 3,Ｆコアレスカポｰテ, 51,的場勇, 2.8, 40, -28,   0, 9, 41.0, ⑪⑪,11, 9,Ｋミネルヴァアイ, 48,ホワイ, 1.1, 57,   6, -22,11, 44.7,⑤⑤⑤,11,10,Ｋケイエスバウアｰ, 62,小林徹, 0.9, 63,  -6,   8,12, 82.2, ⑫⑫,11,10,Ｋエステヴァン, 77,ホワイ, 1.6, 68,   9,  -5, 5, 13.5,⑦④⑦
