08年 9月 6日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 9月 6日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■ 4R  ダ1700m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 7R  芝1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:12,,,,,■10R  芝1200m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,
 9, 5,Ｍバイオレットコイン,  2,小牧太, 1.0, 44, -17,*  0, 8, 57.9, ⑬⑬, 9, 8,Ｈマジックディｰヴァ, 53,田中克, 1.9, 51,*  7, -25, 5,  7.7,②②②, 9, 3,Ｏアグネススキャッブ, 54,小牧太, 1.1, 65,  -2,   7, 9, 18.9,⑩⑪⑨, 9, 2,Ｊトｰワユメジ, 78,田嶋翔, 1.0, 80, -12,* 23,15, 65.2, ⑯⑫
10, 8,Ｂエムオｰハゴロモ, 58,橋本美, 1.1, 45,   0, -18, 1,  2.6, ③④,10, 1,Ｉクリプトグレン, 53,幸英明, 2.1, 48,   4, -21, 8, 24.1,⑥⑥⑥,10, 5,Ａコアレスマｰシャル, 66,武豊  , 1.3, 63,  -2,   4, 3,  5.7,⑪⑪⑨,10, 5,Ｌキッスアンドライド, 75,幸英明, 1.0, 79,  -7,  18,13, 38.0, ⑨⑩
11,12,Ｋファインラヴ, 27,藤岡康, 1.4, 38,  -6, -17,10,109.2, ⑨④,11, 7,Ｌジェイケイロｰレル, 46,川田将, 2.7, 45,   1, -22,12, 65.8,⑯⑩⑪,11,12,Ｍスズカニｰル, 55,岩部純, 1.6, 61,  -9,* 12,12, 48.6,⑮⑭⑭,11, 1,Ｇタイキフェアレディ, 80,安藤光, 1.0, 77,  -5,  15, 8, 21.0, ⑤⑥
12, 4,Ｈフェナサイト, 38,田嶋翔, 2.1, 33,   1, -32,13,142.6, ③④,12,13,Ｎピンクノヒョウ, 44,植野貴, 2.8, 45,  -3, -16,16,282.6,⑬⑯⑮,12,14,Ｅガイディングスタｰ, 63,吉田隼, 1.9, 52,  -1, -10,10, 20.5,⑨⑦⑧,12,10,Ｂワｰルドハンタｰ, 85,熊沢重, 1.2, 76,  -7,  15,10, 21.7, ⑨⑩
13,13,Ｌシゲルフタタビサン, 23,中村将, 2.5, 27,  -6, -29,11,111.3, ⑨⑪,13, 5,Ｊヒカリエルジェム, 51,浜中俊, 2.9, 44,   0, -21,15,109.8,⑨⑬⑭,13, 8,Ｎシルクロｰリット, 54,安藤光, 1.9, 56,  -6,   2,14, 67.5,⑬⑬⑬,13, 6,Ｈサクラプログレス, 79,赤木高, 1.2, 76, -11,  19,11, 26.4, ⑬⑫
,,,,,,,,,,,,14,16,Ｅロケットガｰル, 56,熊沢重, 3.1, 43,   3, -28,11, 44.3,⑩⑧⑨,14,10,Ｌサンレイマグナム, 59,難波剛, 2.8, 43,  -1, -22,13, 58.1,②⑦⑫,14,15,Ｐワイキュｰブ, 69,鮫島良, 1.2, 77, -11,  19, 7, 18.2, ⑬⑫
,,,,,,,,,,,,15, 4, メイショウサザンカ,---,鮫島良, 3.2, 43,   7, -33, 7, 12.3,②④④,15, 1,Ｃロｰドフラッシュ, 63,秋山真, 4.1, 37, -19,  -2, 7, 11.5,⑯⑯⑮,15, 8,Ｏライブリシュロム, 72,石橋守, 1.5, 74, -14,  18,14, 43.3, ⑯⑯
,,,,,,,,,,,,16, 9,Ｏクリノランデブｰ, 38,太宰啓, 6.2, 24,   1, -52,10, 41.8,⑥⑩⑮,16, 4,Ｋミラクルシャトｰ, 60,佐藤哲, 5.1, 25, -18, -18,16, 82.8,⑭⑮⑯,16, 7,Ｎコスモラヴアゲイン, 73,渡辺薫, 1.7, 70, -11,  13,16,128.0, ⑬⑫
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,14,Ｑメイショウディオ, 69,難波剛, 1.7, 69, -14,  15,18,169.8, ⑯⑯
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,17,Ｒメッサｰシュミット, 56,川島信, 2.6, 56,  -9,  -2,17,146.3, ⑫⑯
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:61 ﾚｰｽﾍﾟｰｽ指数:+5 ﾚｰｽｱｶﾞﾘ指数:-13 馬場:良(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:64 ﾚｰｽﾍﾟｰｽ指数:-0 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:85 ﾚｰｽﾍﾟｰｽ指数:-12 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:良(指数:-2),,,,,,,,,,,
"単勝:300円 複勝:02=170円 09=470円 01=2,050円 枠連:330円",,,,,,,,,,,,"単勝:540円 複勝:03=210円 02=3,090円 10=860円 枠連:4,310円",,,,,,,,,,,,単勝:530円 複勝:06=220円 16=660円 13=270円 枠連:720円,,,,,,,,,,,,単勝:490円 複勝:18=190円 11=180円 16=260円 枠連:210円,,,,,,,,,,,
"馬連:2,270円 ワイド:02-09=940円 01-02=3,700円 01-09=10,990円",,,,,,,,,,,,"馬連:43,210円 ワイド:02-03=7,370円 03-10=2,600円 02-10=24,480円",,,,,,,,,,,,"馬連:4,050円 ワイド:06-16=1,780円 06-13=960円 13-16=2,200円",,,,,,,,,,,,馬連:560円 ワイド:11-18=490円 16-18=800円 11-16=750円,,,,,,,,,,,
"馬単:3,290円 3連複:42,210円 3連単:151,860円",,,,,,,,,,,,"馬単:53,060円 3連複:369,060円 3連単:1,242,060円",,,,,,,,,,,,"馬単:8,400円 3連複:13,150円 3連単:79,500円",,,,,,,,,,,,"馬単:1,080円 3連複:2,550円 3連単:5,810円",,,,,,,,,,,
■ 2R  芝1800m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 5R  芝1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,,■ 8R  ダ1000m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■11R  ダ1700m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,唐津特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,15,Ａミッキｰペトラ, 56,武豊  ,, 60,* -8,   3, 1,  1.3,②②②, 1, 3,Ｇカシノリボン, 54,岩部純,, 64,*  4,  -2,11, 45.6, ②②, 1, 8,Ｂナリタファントム, 73,中村将,, 69,  -1,*  8, 4,  6.2, ④④, 1, 9,Ａコオリナストｰン, 82,川田将,, 80,*  6,* 13, 1,  2.1,①①①
 2, 6,Ｈパｰプルタイヨｰ, 46,小牧太, 0.2, 61, -10,*  8, 6, 30.6,⑧⑧⑨, 2,15,Ｂアスｰルグロリオ, 64,吉田隼, 0.1, 62,*  2,  -2, 1,  2.6, ②②, 2,13,Ｄシュウボンバｰ, 72,上村洋, 0.1, 70,  -4,*  9, 2,  4.4, ⑥⑥, 2,15,Ｇメイショウトンボ, 76,中村将, 0.6, 76,   2,* 16, 9, 28.0,⑫⑩⑦
 3, 8,Ｐシゲルエボシダケ,  8,秋山真, 0.2, 61, -10,*  8,15,211.6,⑪⑧⑤, 3,16,Ｌドンペリゴｰル, 47,石橋守, 0.2, 63,   1,  -1, 9, 44.3, ④④, 3,14,Ｈエンジェルフェザｰ, 67,熊沢重, 0.2, 69,*  3,   4, 9, 40.5, ②②, 3, 1,Ｊトムトップ, 73,岩崎祐, 0.9, 75,*  5,   9,10, 29.2,⑥④②
 4, 2,Ｇウインヴェリタス, 49,鮫島良, 0.3, 57,* -8,   0, 3, 11.4,②②②, 4, 8,Ｄマストコントロｰル, 61,田村太, 0.2, 61,  -7,*  6, 5,  9.8, ⑪⑧, 4,12,Ａケイティマイヒメ, 73,太宰啓, 0.3, 68,*  6,   1, 1,  3.6, ①①, 4,12,Ｋニュｰイチトク, 71,小牧太, 0.9, 73,*  6,   7, 7, 20.9,②②②
 5,16,Ｆセキサンダンスイン, 50,上村洋, 0.3, 59,  -9,   4, 5, 19.1,⑤⑤⑤, 5, 1,Ｋセトクラウン, 50,幸英明, 0.2, 62,  -2,*  1, 8, 15.2, ⑦⑤, 5, 9,Ｇミキノセレナｰデ, 67,幸英明, 0.4, 66,   1,   4, 8, 21.1, ③③, 5,11,Ｅパレスミサイル, 77,田嶋翔, 1.2, 74,   1,* 13, 6, 16.0,⑮⑬⑨
 6,13,Ｉプリンセスペスカ, 46,角田晃, 0.3, 56,* -6,  -2,10, 45.4,①①①, 6, 5,Ａマックスロザリｰ, 68,藤岡康, 0.2, 61,   0,  -1, 2,  4.5, ④⑤, 6,10,Ｃパレスルビｰ, 72,田嶋翔, 0.5, 64,  -9,*  9, 7, 14.0, ⑨⑨, 6, 8,Ｆメイショウフウライ, 77,飯田祐, 1.3, 72,   4,   7, 4, 12.2,④⑥⑤
 7, 3,Ｅラタｰシュ, 51,川田将, 0.5, 58, -13,*  9, 4, 14.7,⑪⑬⑫, 7, 9,Ｆサンダｰホｰラｰ, 59,飯田祐, 0.6, 56,  -7,*  1, 3,  8.8, ⑪⑩, 7, 2,Ｅファイナルパンチ, 68,小牧太, 0.6, 63,  -3,   5, 3,  5.4, ⑥⑥, 7, 3,Ｄタムロチェスト, 77,酒井学, 1.3, 73,   4,   6, 2,  5.9,④④⑤
 8,10,Ｄマイネルレンツ, 51,吉田隼, 0.7, 54, -10,   1, 9, 37.7,⑧⑧⑨, 8,13,Ｈナバラサ, 53,田嶋翔, 0.6, 56,  -7,*  1, 4,  9.6, ⑪⑬, 8,11,Ｆキアｰロ, 67,田中健, 0.7, 65,  -1,   2, 5,  8.8, ④④, 8, 6,Ｃマイネルカンタｰレ, 77,佐藤哲, 1.6, 71,   1,   9, 8, 24.6,⑮⑬⑪
 9, 4,Ｏナリタテイオｰ, 24,浜中俊, 0.8, 59, -15,*  8,14,200.2,⑭⑮⑮, 9,10,Ｊアグネスルビｰ, 51,鮫島良, 0.7, 56,  -8,*  1,10, 45.1, ⑪⑩, 9, 3,Ｉメイショウヨリトモ, 66,藤岡康, 1.3, 56, -12,   4, 6,  9.8, ⑩⑩, 9, 4,Ｍヒュｰムウッド, 68,石橋守, 1.6, 70,*  5,   2,16,246.9,⑨②②
10,12,Ｊプライムウィッシュ, 42,佐藤哲, 1.5, 42, -10, -12, 7, 32.4,⑤⑤⑦,10,12,Ｅブルｰゼット, 60,安藤光, 0.8, 54,  -3,  -5, 6, 14.4, ⑧⑧,10, 6,Ｎアグネスフウジン, 45,浜中俊, 1.3, 56, -19,*  9,12,113.6, ⑪⑪,10,14,Ｌレッドゾｰン, 69,幸英明, 1.8, 69,   1,   8,13, 40.0,⑭⑬⑪
11, 7,Ｎカシノハリ, 29,野元昭, 1.6, 42, -12, -11,11,169.0,⑪⑫⑬,11,11,Ｃマッキｰケインズ, 63,川島信, 1.0, 51,  -9,  -1, 7, 14.9, ⑮⑭,11, 1,Ｋオｰメドック, 61,佐藤哲, 1.5, 55,  -5,  -2,10, 60.3, ⑥⑥,11, 2,Ｉナムラグロｰリｰ, 75,田中健, 2.2, 68,   3,   0,11, 31.9,⑥⑦⑦
12, 9,Ｂトｰコｰタカシ, 55,田中健, 1.7, 38,* -8, -21, 2, 10.4,②②②,12, 4,Ｍホッコｰマイクイン, 46,渡辺薫, 1.2, 49,   1, -14,17,140.2, ④⑤,12, 4,Ｊバリトンヴォイス, 62,岩崎祐, 2.3, 44, -22,   1,14,264.7, ⑫⑬,12, 5,Ｏカリスマシャチョウ, 66,秋山真, 3.0, 61,   2,  -6,12, 32.4,②⑨⑨
13,14,Ｌプリティラパス, 37,大下智, 1.7, 43, -15,  -7,16,307.9,⑮⑭⑬,13,14,Ｑダイヤモンドハｰト, 27,小牧太, 1.7, 42, -19,  -2,14, 92.7, ⑰⑯,13, 7,Ｌホクテンミラｰ, 51,秋山真, 2.7, 41, -23,  -1,11, 82.7, ⑫⑭,13, 7,Ｈナパリコｰスト, 76,武豊  , 3.0, 60,   1,  -3, 3,  7.6,⑨⑫⑭
14, 1,Ｋコンゴウアラムシャ, 38,渡辺薫, 1.8, 40, -10, -15,13,172.9,⑧⑧⑪,14, 6,Ｐカシノボイス, 35,田辺裕, 1.7, 42,*  6, -26,16,129.4, ①①,14, 5,Ｍダノンビｰト, 47,吉田隼, 2.9, 38, -22,  -5,13,142.2, ⑫⑫,14,10,Ｐドモナラズ, 59,角田晃, 3.8, 56,   0,  -7,14,122.1,⑫⑯⑯
15, 5,Ｃメテオストリｰム, 54,幸英明, 2.1, 36, -10, -21, 8, 34.5,⑤⑤⑦,15,17,Ｉフェアリｰグリｰン, 52,上村洋, 1.7, 42,  -3, -17,13, 88.8, ⑧⑩,,,,,,,,,,,,,15,13,Ｂツルマルキセキ, 77,上村洋, 3.9, 57,   2, -11, 5, 13.4,⑪⑩⑭
16,11,Ｍテイエムビビッド, 36,高井彰,13.3,-69, -65, -69,11,169.0,⑯⑯⑯,16, 2,Ｏシュルヴィｰヴル, 38,太宰啓, 2.0, 39, -12, -12,12, 61.0, ⑯⑯,,,,,,,,,,,,,16,16,Ｎキングベガロｰド, 68,難波剛, 3.9, 53,   3, -15,15,171.2,⑥⑦⑬
,,,,,,,,,,,,17,18,Ｎシルクレガシｰ, 43,田中克, 3.2, 22,  -6, -34,15,125.8, ⑩⑭,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,18, 7,Ｒブラックリスト,  5,赤木高, 8.1,-43, -52, -54,18,161.5, ⑱⑱,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:64 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:-8 ﾚｰｽｱｶﾞﾘ指数:-0 馬場:良(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:75 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:-4),,,,,,,,,,,
"単勝:130円 複勝:15=110円 06=460円 08=3,710円 枠連:520円",,,,,,,,,,,,"単勝:4,560円 複勝:03=910円 15=140円 16=940円 枠連:5,290円",,,,,,,,,,,,"単勝:620円 複勝:08=260円 13=190円 14=850円 枠連:1,480円",,,,,,,,,,,,"単勝:210円 複勝:09=130円 15=490円 01=550円 枠連:2,340円",,,,,,,,,,,
"馬連:1,380円 ワイド:06-15=670円 08-15=3,780円 06-08=18,670円",,,,,,,,,,,,"馬連:7,300円 ワイド:03-15=1,860円 03-16=22,360円 15-16=2,360円",,,,,,,,,,,,"馬連:1,550円 ワイド:08-13=730円 08-14=4,380円 13-14=2,650円",,,,,,,,,,,,"馬連:2,220円 ワイド:09-15=1,000円 01-09=1,140円 01-15=5,200円",,,,,,,,,,,
"馬単:1,740円 3連複:57,570円 3連単:139,520円",,,,,,,,,,,,"馬単:23,230円 3連複:80,820円 3連単:377,220円",,,,,,,,,,,,"馬単:3,030円 3連複:21,870円 3連単:110,200円",,,,,,,,,,,,"馬単:3,830円 3連複:14,180円 3連単:51,340円",,,,,,,,,,,
■ 3R  芝2900m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 6R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:11,,,,,■ 9R  芝1800m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■12R  芝1200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,不知火特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 1, ドングラシアス,,熊沢重,,,,, 8, 45.5,④①①, 1, 1,Ａカラメルマキアｰト, 70,武豊  ,, 80,*  8,* 12, 1,  1.4,①①①, 1,12,Ｅシゲルフセルト, 76,川島信,, 76,  12,*  8, 4,  7.4,⑥⑥③, 1, 2,Ｃレンデフルｰル, 71,太宰啓,, 72,* -2,   4, 3,  5.2, ②②
 2, 6, アザンクｰル,,南井大,191.9,,,, 3,  7.0,⑦③③, 2, 3,Ｌサンライズアイ, 55,田中克, 1.9, 69,*  7,  -3, 7, 34.8,②②②, 2, 3,Ａタガノグラマラス, 81,川田将, 0.0, 73,* 25, -18, 1,  2.7,③①①, 2,10,Ｊユｰチャリス, 69,藤岡康, 0.0, 70,*  0,   2, 2,  4.4, ②①
 3, 2, マｰブルジｰン,,小坂忠,192.1,,,, 2,  3.4,④②②, 3,15, サンデｰヒストリｰ,---,秋山真, 2.0, 68,   1,*  6, 5, 16.5,⑮⑪⑩, 3, 2,Ｃマストビｰトゥルｰ, 79,小牧太, 0.0, 77,  12,   6, 2,  4.1,⑤④③, 3, 7,Ｌスペシャルポケット, 68,秋山真, 0.1, 69,  -7,   7,10, 32.4, ⑨③
 4, 8, ノｰスフォンテン,,植野貴,192.4,,,, 4,  8.8,④⑥⑤, 4, 9,Ｆカンファｰライズ, 61,幸英明, 2.1, 66,   6,  -2, 8, 40.2,⑥③③, 4,11,Ｆアヴェンティｰノ, 75,浜中俊, 0.6, 73,  11,   0, 5,  7.5,⑨⑥⑤, 4, 1,Ｂエムテイコウテン, 73,安藤光, 0.1, 70, -12,  13,11, 33.0, ⑫⑪
 5, 9, シンメイリゲル,,西谷誠,192.6,,,, 1,  2.2,②③④, 5, 7,Ｉスリｰサンビｰム, 58,田村太, 2.5, 63,   6,  -7,10, 90.7,③③④, 5, 4,Ｇロｰズプレステｰジ, 74,吉田隼, 0.6, 70,  11,   1, 7, 19.5,⑦⑥⑤, 5,12,Ｄストラテジｰ, 71,鮫島良, 0.3, 67,  -6,   3, 6, 13.2, ⑧⑨
 6,10, ダンスグランドゥ,,佐久間,194.2,,,, 7, 35.7,⑧⑦⑦, 6, 8,Ｅフサイチフウジン, 62,川田将, 2.9, 63,   4,  -4, 6, 22.2,⑨⑨⑦, 6, 5,Ｄオｰスミスパｰク, 77,武豊  , 0.7, 71,   8,   6, 3,  6.3,⑩⑩⑨, 6,14,Ａシティボス, 73,佐藤哲, 0.3, 69, -19,* 17, 1,  4.3, ⑰⑯
 7, 3, ダンツイッドン,,林満明,195.0,,,, 9, 48.0,②⑤⑥, 7,11,Ｂミキノジャズマン, 66,酒井学, 3.3, 59,   6, -13, 3, 12.6,⑥③④, 7, 7,Ｉオドゥｰルゲラン, 69,中村将, 0.7, 71,   5,* 11, 8, 27.5,⑪⑫⑫, 7,13,Ｉメイショウシオギリ, 70,石橋守, 0.4, 66,  -7,   3,12, 44.1, ⑨⑥
 8, 5, メイショウセレット,,菊地昇,195.4,,,, 6, 26.5,⑨⑧⑧, 8, 5,Ｍメイショウロデム, 54,渡辺薫, 3.4, 59,   2,  -6,14,174.7,⑫⑪⑫, 8,10,Ｌスリｰスピニング, 61,角田晃, 0.9, 70,   7,   5,12,108.9,⑪⑩⑨, 8, 8,Ｏピサノイナバウアｰ, 64,浜中俊, 0.5, 69, -21,* 17,13, 53.5, ⑱⑱
 9,11, ハッピｰヘイロｰ,,高田潤,197.6,,,,12,100.6,⑩⑩⑨, 9,14,Ｈオンワｰドファイン, 59,橋本美, 3.6, 59,   5, -11,13,143.1,⑨⑥⑧, 9, 8,Ｂシャイニｰボｰイ, 79,上村洋, 1.1, 65,  13, -11,10, 60.1,④④⑤, 9,15,Ｋカノヤトップレディ, 69,武豊  , 0.5, 65, -17,  11, 4,  6.5, ⑭⑮
10, 4, テイエムフッカツ,,高野容,198.3,,,,10, 56.3,⑪⑪⑪,10,16,Ｇスリｰマｰチャン, 60,田中健, 4.3, 54,   0, -11,12,108.9,⑬⑭⑭,10, 6,Ｈヒシワンスモア, 71,石橋守, 1.5, 64,  11, -10, 9, 48.0,⑦⑨⑨,10, 3,Ｇモンルｰジュ, 70,川島信, 0.6, 63, -16,  10, 9, 30.2, ⑭⑪
11,12, マニフィｰク,,白浜雄,199.5,,,, 5, 11.4,①⑨⑩,11,10,Ｃジエクストリｰム, 66,小牧太, 4.5, 49,   4, -19, 2,  7.8,③⑥⑧,11, 9,Ｊコアレスウィｰク, 68,太宰啓, 1.6, 61,* 22, -34,11, 66.6,②②②,11, 4,Ｍカシノテンカ, 67,大下智, 0.6, 63, -13,   6,14, 67.9, ⑫⑪
,,,,,,,,,,,,12, 6,Ｋアグネスアモｰレ, 55,吉田隼, 4.7, 48,   1, -18, 4, 16.1,⑨⑪⑫,12, 1,Ｋエイシンチャンドラ, 65,幸英明, 4.4, 38,* 20, -73, 6, 16.3,①②⑧,12,16,Ｆミヤジニキｰタ, 70,幸英明, 1.1, 57,  -4,  -8, 7, 14.1, ⑤⑥
,,,,,,,,,,,,13, 4,Ｄウォｰタｰフィｰト, 65,岩崎祐, 4.8, 47,   2, -20, 9, 43.1,⑧⑨⑩,,,,,,,,,,,,,13,18,Ｎマッキｰビｰナス, 65,野元昭, 1.7, 50,* -1, -18,15, 97.3, ②③
,,,,,,,,,,,,14, 2,Ｏシゲルヴォドレ, 53,角田晃, 5.0, 47,   4, -24,11, 96.3,③⑥⑥,,,,,,,,,,,,,14,17,Ｐホウライパレｰド, 64,中村将, 1.9, 46,  -4, -19,16,124.0, ⑤⑨
