08年 7月26日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 7月26日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1000m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 4R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■ 7R  ダ1000m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■10R  芝1200m 2 歳ｵｰﾌﾟﾝ(混) 馬齢,,,,,,,,,,,
,,,,,,,,,,,,10,13,Ｉスｰパｰスタｰ, 55,郷原洋, 2.8, 52,   0, -12,12, 95.2,⑩⑫⑩,10, 6,Ｄブライティアカペラ, 72,北村友, 1.5, 54,   4,  -9, 4, 14.0, ⑥⑦, 9, 4, ラックマイサイド,---,桑村真, 1.9, 49,  -4, -15,11, 75.6, ⑦⑦
,,,,,,,,,,,,11, 3,Ｋタッキｰファントム, 47,松田大, 2.9, 54,   1, -15,13,108.1,⑫⑨⑨,11, 2,Ｈトミケントラスト, 63,的場勇, 1.7, 51, -14,   1, 9, 38.1, ⑫⑫,10, 3,Ｂコパノマユチャン, 67,横山典,10.4,-60,  -8, ---, 1,  2.4, ⑧⑪
,,,,,,,,,,,,12, 6,Ｌメイケイクリプトン, 42,小林徹, 4.4, 43,   0, -26,10, 76.3,⑥⑩⑫,12,11,Ｌダイナミックゲイト, 50,小林徹, 2.6, 46,* 12, -24,10, 43.7, ②②,,,,,,,,,,,,
,,,,,,,,,,,,13,11, シャドウフォｰス,---,藤田伸, 8.0, 19, -17, -26,11, 77.8,⑬⑬⑬,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:59 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:68 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:良(指数:-3),,,,,,,,,,,
"単勝:170円 複勝:08=110円 05=150円 03=1,900円 枠連:400円",,,,,,,,,,,,"単勝:1,010円 複勝:08=230円 07=270円 10=140円 枠連:2,870円",,,,,,,,,,,,単勝:150円 複勝:08=110円 10=260円 07=430円 枠連:520円,,,,,,,,,,,,"単勝:1,150円 複勝:11=250円 08=190円 01=440円 枠連:930円",,,,,,,,,,,
"馬連:380円 ワイド:05-08=200円 03-08=2,620円 03-05=3,790円",,,,,,,,,,,,"馬連:4,580円 ワイド:07-08=1,270円 08-10=420円 07-10=700円",,,,,,,,,,,,"馬連:650円 ワイド:08-10=310円 07-08=650円 07-10=2,280円",,,,,,,,,,,,"馬連:1,960円 ワイド:08-11=640円 01-11=2,230円 01-08=1,520円",,,,,,,,,,,
"馬単:590円 3連複:9,620円 3連単:22,450円",,,,,,,,,,,,"馬単:9,420円 3連複:3,680円 3連単:35,270円",,,,,,,,,,,,"馬単:920円 3連複:3,340円 3連単:8,300円",,,,,,,,,,,,"馬単:5,000円 3連複:12,000円 3連単:71,410円",,,,,,,,,,,
■ 2R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:11,,,,,■ 5R  芝1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 8R  芝1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■11R  芝2600m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,横津岳特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,13,Ａドリｰムトラベラｰ, 71,安藤勝,, 68,   3,*  3, 1,  1.3,⑪⑥③, 1,13,Ｄコパノシンオｰ, 58,横山典,, 68,  -5,*  7, 3,  5.7, ⑧⑤, 1, 1,Ｂスペシャルフロｰト, 72,三浦皇,, 77,* 12,  -5, 3,  5.2,②②①, 1,12,Ｆフジヤマラムセス, 71,三浦皇,, 71,*  7,  -6, 3,  6.8,⑤④③
 2,11,Ｋジョｰキｰマン, 55,長谷川, 0.1, 70,   6,  -2, 9, 73.3,⑤③②, 2,15,Ｂテイクザスカイ, 60,三浦皇, 0.2, 65,*  3,  -5, 2,  3.8, ②②, 2, 5,Ｄショウナンライジン, 71,藤田伸, 0.2, 75,   5,*  4, 1,  3.2,⑪⑪⑩, 2, 7,Ｌスズカゲイル, 63,安藤勝, 0.0, 74,   4,*  8, 2,  4.3,⑫⑩⑩
 3, 1,Ｃロｰマンブリッジ, 63,北村友, 0.3, 64,*  8,  -7, 2,  5.4,①①①, 3, 7,Ｅリッショウユｰザｰ, 55,北村友, 0.2, 67,   1,  -1,12, 82.8, ④③, 3, 2,Ｈメイショウベｰネ, 64,大野拓, 0.2, 75,* 10,  -5, 8, 28.7,④③③, 3, 8,Ｃグレｰトキャンドル, 72,松田大, 0.1, 72,   6,  -6, 5, 10.9,③④③
 4, 2,Ｈチャｰムナデシコ, 57,小林徹, 1.0, 63,   5,  -8, 5, 22.7,②⑤⑤, 4, 3, ランウェイスナップ,---,安藤勝, 0.4, 62,  -8,*  5, 1,  3.1, ⑩⑩, 4,10,Ａグラｰフ, 76,五十嵐, 0.3, 73,* 10,  -7, 2,  3.2,③③②, 4, 6,Ｊスマｰトファントム, 68,武幸四, 0.1, 73,   4,*  2, 8, 16.0,⑩⑧⑧
 5, 5,Ｊメジロトランプ, 56,的場勇, 1.2, 61,   2,  -5,10, 96.4,⑧⑨⑦, 5, 6,Ａカネスダンク, 60,菊沢隆, 0.4, 62,   1,  -4, 4,  6.8, ④③, 5, 6,Ｆアドマイヤサンサン, 68,藤岡佑, 0.5, 72,   6,* -1, 4,  6.4,⑨⑨⑩, 5, 4,Ｄマヒオレ, 72,藤岡佑, 0.2, 70,   5,  -2, 1,  4.0,⑧⑦⑦
 6, 7,Ｄメイショウエビス, 60,武幸四, 1.2, 60,  -1,*  0, 6, 40.2,⑬⑫⑪, 6, 1,Ｇティアップタイガｰ, 54,木幡初, 0.4, 62, -12,*  8, 6, 19.3, ⑫⑫, 6,12,Ｇハバネロキャット, 68,菊沢隆, 0.8, 68,   6,  -7, 6, 18.5,⑩⑨⑤, 6,10,Ａマイネルメロス, 73,津村明, 0.3, 70,   6,  -7, 4,  6.9,⑧⑥⑥
 7, 9,Ｉグロｰバルキャスト, 57,津村明, 1.3, 59,   1,  -5,12,174.6,⑫⑪⑧, 7, 2,Ｉマイネマシェリ, 51,津村明, 0.6, 60,  -2,  -4,10, 36.7, ⑦⑦, 7,13,Ｃキョウエイタキオン, 71,的場勇, 0.8, 68,   5,  -4, 5, 12.4,⑪⑪⑧, 7, 1,Ｈキングバｰド, 69,長谷川, 0.4, 71,   5,  -2, 6, 14.9,⑩⑧⑧
 8, 3,Ｇクニサキマサオｰ, 58,梶晃啓, 1.5, 58,   3,  -9, 8, 52.5,⑤⑥⑧, 8, 8,Ｆロスアンゼルス, 55,的場勇, 0.8, 58,*  5, -13, 7, 19.4, ①①, 8, 7,Ｊイブキレボルシオン, 63,津村明, 1.1, 67,   4,  -7,11, 76.3,⑬⑬⑬, 8, 2,Ｇサラバンド, 70,秋山真, 0.4, 67,*  9, -17,11, 23.3,①①①
 9, 8,Ｆフィｰルドパシオン, 59,三浦皇, 1.8, 55,   5, -17, 3, 11.1,⑤③③, 9,12,Ｌマイネクリスティナ, 48,大野拓, 0.9, 57,  -8,  -2,11, 56.3, ⑩⑩, 9, 9,Ｍラフレッシュブルｰ, 58,長谷川, 1.2, 65,   7, -14, 9, 39.3,⑥⑤⑩, 9, 9,Ｂメジロスパイダｰ, 72,菊沢隆, 0.5, 66,*  7, -16, 9, 17.5,⑥③③
10,12,Ｌタペストリｰ, 54,古川吉, 2.2, 54,*  7, -21, 7, 49.7,②②⑤,10,14,Ｋシャトルクリスティ, 49,長谷川, 1.3, 53,  -4, -10, 5, 11.1, ⑧⑦,10, 3,Ｌスタｰルｰセント, 61,田嶋翔, 1.9, 57,   7, -25,10, 72.6,④⑤⑤,10,13,Ｎスクリｰムイｰグル, 55,横山典, 1.1, 64,   3,  -7,10, 23.2,⑥⑩⑪
11,10,Ｅマイネルアドミラル, 59,斉藤正, 2.6, 50,   3, -18,11,111.5,⑩⑥⑧,11, 9,Ｎセレスマジック, 45,松田大, 1.7, 47, -11,  -9,14,155.5, ⑫⑫,11,11,Ｅユノブラッキｰ, 69,梶晃啓, 2.1, 56,   8, -27, 7, 25.1,⑧⑤⑤,11, 3,Ｅディｰプウイング, 72,藤田伸, 1.2, 61,*  9, -27,12, 33.8,②②②
12, 6,Ｂトｰセンドラクロワ, 63,藤田伸, 3.7, 41,   2, -26, 4, 16.3,②⑨⑪,12,16,Ｃドレストウショウ, 58,青木芳, 1.7, 46,   0, -20, 8, 22.3, ④⑦,12, 4,Ｋジョｰネンボｰ, 62,郷原洋, 2.1, 55,   7, -28,13,127.8,⑥⑤⑧,12, 5,Ｍテイエムモモタロｰ, 61,池添謙, 1.2, 64,   1,   1, 7, 15.5,⑭⑫⑪
13, 4,Ｍハッピｰストリング, 48,丸田恭, 4.5, 38,  -2, -26,13,214.0,⑧⑬⑬,13, 5,Ｊドリｰムオブスタｰ, 49,荻野琢, 1.9, 43,*  2, -25,15,198.5, ②⑤,13, 8,Ｉサワッディ, 64,青木芳, 3.2, 46,* 12, -51,12, 79.9,①①③,13,14,Ｋグレッグスリズム, 67,北村友, 2.4, 56,  -2, -10,14,108.6,⑫⑭⑬
,,,,,,,,,,,,14,10,Ｍワイルドエキサイト, 46,藤田伸, 2.0, 41, -11, -13, 9, 33.0, ⑫⑫,,,,,,,,,,,,,14,11,Ｉキｰプユアアイズ, 69,五十嵐, 3.2, 50,   1, -27,13, 52.7,③⑫⑭
,,,,,,,,,,,,15,11,Ｏプリックアップ, 43,小林徹, 2.0, 42, -11, -13,13,107.3, ⑫⑫,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+5 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:64 ﾚｰｽﾍﾟｰｽ指数:-0 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:75 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-7 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:75 ﾚｰｽﾍﾟｰｽ指数:-0 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:良(指数:-3),,,,,,,,,,,
"単勝:130円 複勝:13=100円 11=950円 01=150円 枠連:1,820円",,,,,,,,,,,,"単勝:570円 複勝:13=200円 15=180円 07=1,380円 枠連:520円",,,,,,,,,,,,単勝:520円 複勝:01=210円 05=160円 02=450円 枠連:910円,,,,,,,,,,,,"単勝:680円 複勝:12=340円 07=240円 08=250円 枠連:1,790円",,,,,,,,,,,
"馬連:2,930円 ワイド:11-13=1,100円 01-13=150円 01-11=2,490円",,,,,,,,,,,,"馬連:870円 ワイド:13-15=400円 07-13=5,100円 07-15=3,490円",,,,,,,,,,,,"馬連:1,210円 ワイド:01-05=550円 01-02=1,570円 02-05=1,410円",,,,,,,,,,,,"馬連:4,300円 ワイド:07-12=1,390円 08-12=1,440円 07-08=1,170円",,,,,,,,,,,
"馬単:3,760円 3連複:3,310円 3連単:14,700円",,,,,,,,,,,,"馬単:1,910円 3連複:21,010円 3連単:84,170円",,,,,,,,,,,,"馬単:2,540円 3連複:7,490円 3連単:36,320円",,,,,,,,,,,,"馬単:7,950円 3連複:10,790円 3連単:73,180円",,,,,,,,,,,
■ 3R  ダ1000m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■ 6R  芝2000m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■ 9R  芝1200m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■12R  ダ1700m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,道新ｽﾎﾟｰﾂ杯,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8,Ｂセイウンメイリｰ, 69,四位洋,, 65,   6,  -4, 1,  3.4, ③②, 1,10,Ｈタガノヴァレオ, 58,秋山真,, 62,*  8, -19, 1,  2.9,②②①, 1, 5,Ｄサクラプログレス, 76,ホワイ,, 82,   5,  10, 5,  9.5, ⑤⑤, 1, 8,Ａエアリｰズ, 76,藤岡佑,, 71,*  7,  -1, 2,  3.0,②①①
 2, 6, ランブルジャンヌ,---,的場勇, 0.3, 60,   2,  -4, 4,  4.9, ⑦⑤, 2, 9,Ｆサクラルシファｰ, 60,大野拓, 0.0, 66,  -1,* -1, 8, 29.5,⑮⑮⑩, 2,16,Ｂダイワシｰクレット, 77,安藤勝, 0.3, 78,*  6,   5, 6, 12.2, ③③, 2, 2,Ｅハンサムデイイヤツ, 71,大野拓, 0.1, 71,   4,*  5, 5, 11.2,⑧⑧④
 3, 9,Ｆスズカプラチナ, 58,藤岡佑, 0.3, 57,  -6,*  2, 7, 22.6, ⑩⑪, 3, 5,Ａセイウンタナビク, 67,三浦皇, 0.2, 62,   4,*-12, 4, 10.2,⑫⑦⑦, 3, 7,Ｎヤマニンパンテｰル, 68,菊沢隆, 0.3, 79,   0,* 11,15,178.3, ⑨⑩, 3, 9,Ｄブラックルｰラｰ, 73,木幡初, 0.9, 62,*  5,  -6, 4,  6.2,③②②
 4, 7,Ｅバｰドダムｰル, 61,鈴来直, 0.5, 62,*  8,  -9, 5, 10.2, ②②, 4, 4,Ｊニュｰヨｰカｰ, 56,北村友, 0.3, 62,   4, -15, 3,  6.4,⑦⑦⑦, 4, 3,Ｌステキナブロンコ, 71,秋山真, 0.4, 77,  -3,* 12,13, 88.0, ⑫⑪, 4,11,Ｂクラッカｰジャック, 75,藤田伸, 1.1, 63,   3,  -2, 1,  3.0,⑪⑪④
 5, 2,Ｄフォｰビｰト, 63,三浦皇, 0.6, 62,*  9, -11, 3,  4.7, ①①, 5,12,Ｇベガブラン, 58,菊沢隆, 0.8, 55,   5, -25,10, 42.1,⑨⑤③, 5,13,Ｆサンクスノｰト, 76,五十嵐, 0.4, 76,   1,   8, 3,  7.1, ⑧⑤, 5, 1,Ｃマイネルパルティア, 75,三浦皇, 1.2, 62,   5,  -7, 3,  6.1,⑤④③
 6, 1,Ｊファディクト, 15,松田大, 1.0, 57,   6, -12, 9, 41.0, ⑤⑤, 6, 7,Ｂシンボリザックス, 64,津村明, 0.9, 55,   5, -26, 6, 15.0,⑧⑤⑤, 6, 2,Ｉアキノパンチ, 74,横山典, 0.5, 75,*  7,   1, 4,  7.2, ②②, 6,12,Ｊタカラボス, 63,津村明, 1.4, 64,   3,  -2, 9, 59.4,⑪⑪⑧
 7, 3,Ｉジニアビスティｰ, 48,大江原, 1.0, 50,  -6,  -5,12, 78.8, ⑩⑨, 7, 8,Ｅテｰオｰショウキ, 60,竹之下, 1.0, 55,   4, -23,11, 43.3,⑪⑦⑨, 7, 4,Ｋシセイヒカリ, 73,武幸四, 0.7, 74,  -1,   6,10, 26.0, ⑨⑧, 7, 6,Ｈヒロノバイオ, 64,菊沢隆, 1.4, 61,   4,  -7,11, 94.0,⑤⑥⑪
 8, 4,Ｈロングプルミエｰル, 50,荻野琢, 1.2, 49,  -5,  -7,10, 56.2, ⑨⑨, 8, 2,Ｌマイソｰルビｰト, 53,長谷川, 1.0, 55,*  8, -34,15,103.2,①①②, 8, 6,Ｅラストモア, 76,的場勇, 0.7, 73,  -3,   8, 9, 25.2, ⑫⑬, 8, 5,Ｋファイナルジャッジ, 60,松田大, 1.8, 62,   3,  -9, 6, 17.6,⑩⑩⑧
 9,10,Ａグレイトモｰメント, 70,藤田伸, 1.3, 51,   3, -12, 2,  4.6, ⑦⑧, 9,11,Ｉスズカクリエｰト, 57,藤岡佑, 1.1, 54,   1, -21, 7, 28.6,⑫⑪⑫, 9,10,Ｊフサイチバルドル, 73,津村明, 0.7, 73,  -6,* 11,16,197.2, ⑭⑬, 9, 4,Ｇアッシュアッパｰ, 64,丸田恭, 2.1, 56,*  6, -16, 8, 52.3,①②④
10, 5, ウォｰタｰヘザｰ,---,竹之下, 1.5, 45, -17,* -2,11, 72.1, ⑫⑫,10, 6,Ｎディｰエスシュｰト, 49,大江原, 1.2, 53,   1, -21, 9, 35.8,⑨⑪⑬,10,12,Ａエｰシンエフダンズ, 79,藤岡佑, 0.7, 73,   3,   2, 1,  3.4, ⑤⑤,10, 7,Ｉシャトヤンシｰ, 63,北村友, 2.2, 53,   5, -15, 7, 18.8,④④⑦
11,12,Ｃアンクレットブｰツ, 63,武幸四, 1.5, 49,   5, -16, 8, 26.3, ⑤⑤,11, 1,Ｏベｰトｰヴェン, 48,郷原洋, 1.2, 52,   1, -22,14, 79.1,⑫⑪⑩,11,14,Ｃブライティアミラ, 77,丸田恭, 0.9, 71,*  6,  -3, 7, 17.1, ③③,11,10,Ｌブルｰシｰズン, 59,中谷雄, 2.3, 55,   4, -14,12,215.9,⑦⑥⑧
12,11,Ｇブライダルブｰケ, 54,菊沢隆, 1.9, 46,   6, -21, 6, 13.0, ③④,12,15,Ｃマｰベラスブレイド, 62,小林徹, 1.4, 51,*  7, -36, 5, 11.1,⑤③③,12, 8,Ｇメイショウバレｰヌ, 75,藤田伸, 1.2, 66,   4,  -4, 2,  4.2, ⑤⑧,12, 3,Ｆクロスホｰリｰ, 66,郷原洋, 2.4, 55,   4, -14,10, 72.4,⑧⑧⑪
,,,,,,,,,,,,13,13,Ｐカズノブライアン, 46,五十嵐, 1.7, 49,  -2, -22,13, 66.2,⑮⑯⑬,13, 1,Ｍニシノオニテツマル, 70,木幡初, 1.4, 64,*  7, -11,11, 35.3, ①①,,,,,,,,,,,,
,,,,,,,,,,,,14, 3,Ｄフルパワｰ, 61,藤田伸, 2.1, 44,   5, -44, 2,  3.5,③③⑤,14, 9,Ｐアグネスレプトン, 65,松田大, 1.4, 65,  -7,   3,14,147.8, ⑭⑬,,,,,,,,,,,,
,,,,,,,,,,,,15,14,Ｋディアギレフ, 55,ホワイ, 4.0, 34,   1, -61,12, 47.0,⑤⑪⑯,15,15,Ｏバロンハｰバｰ, 66,大野拓, 1.5, 63,  -7,   2,12, 84.5, ⑭⑯,,,,,,,,,,,,
,,,,,,,,,,,,16,16,Ｍボヤｰジ, 50,丸田恭, 4.7, 11,   4, -75,16,160.1,③⑦⑬,16,11,Ｈランチボックス, 75,池添謙, 2.1, 54,  -1, -12, 8, 17.8, ⑨⑪,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:61 ﾚｰｽﾍﾟｰｽ指数:+6 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:64 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:-13 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:81 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:-11 馬場:良(指数:-1),,,,,,,,,,,
単勝:340円 複勝:08=180円 06=200円 09=510円 枠連:540円,,,,,,,,,,,,"単勝:290円 複勝:10=150円 09=800円 05=330円 枠連:3,710円",,,,,,,,,,,,"単勝:950円 複勝:05=310円 16=470円 07=4,990円 枠連:3,240円",,,,,,,,,,,,"単勝:300円 複勝:08=160円 02=240円 09=210円 枠連:1,580円",,,,,,,,,,,
"馬連:1,580円 ワイド:06-08=670円 08-09=960円 06-09=2,220円",,,,,,,,,,,,"馬連:3,220円 ワイド:09-10=1,170円 05-10=690円 05-09=3,740円",,,,,,,,,,,,"馬連:6,240円 ワイド:05-16=2,040円 05-07=14,820円 07-16=23,190円",,,,,,,,,,,,"馬連:1,780円 ワイド:02-08=610円 08-09=460円 02-09=910円",,,,,,,,,,,
