08年11月23日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年11月23日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 4R  芝3000m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  芝1400m 2 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-8,,,,,■10R  芝1400m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
10,13,Ｅリニアラピｰト, 51,小林淳, 1.9, 47, -10,  -5, 7, 48.8, ⑭⑬,10,10, トウショウメビウス,,山本康,204.7,,,,11,106.8,④⑤⑥,10, 5,Ｊラレｰヌデュバル, 26,津村明, 2.0, 50,  -1, -18,14,363.7, ⑬⑫,10, 1,Ｎシャイナムスメ, 78,浜中俊, 1.0, 78,   2,   3, 5, 10.4, ⑧⑦
11, 2,Ｏショウナンアデｰヤ, 27,松田大, 2.1, 47, -13,  -2,14,243.4, ⑮⑮,11, 2, ロｰランジェネルｰ,,宗像徹,205.3,,,, 8, 50.6,⑩⑪⑪,11, 3, ヴィルヌｰヴダスク,---,田中博, 2.0, 50,  -7, -11,13,317.2, ⑫⑭,11,14,Ｌボストンゴｰルド, 79,二本柳, 1.0, 79,  -4,  12,18,194.9, ⑭⑭
12, 8,Ｈカシノクリス, 43,荻野琢, 2.3, 44,  -9,  -9,15,264.2, ⑨⑪,12, 7, スタｰダム,,江田勇,206.7,,,,13,174.5,⑬⑫⑫,12,12,Ｉキャラメルボイス, 44,武士沢, 2.1, 50,   4, -25,12,188.5, ⑨⑧,12, 8,Ｉピサノアルハンブラ, 81,柴田善, 1.2, 76,  -3,   7, 8, 19.8, ⑫⑫
13, 1,Ｉカムイヒカル, 43,勝浦正, 2.6, 41,  -9, -12,12,191.4, ⑫⑩,13, 8, サンデｰチャリティ,,大庭和,221.5,,,,12,122.0,⑭⑭⑬,13,13, ミステリｰハンタｰ,---,戸崎圭, 2.2, 47,   4, -28, 8, 33.3, ⑥⑨,13,16,Ｊエアニックス, 81,武士沢, 1.3, 77,  -6,  11,13, 54.9, ⑰⑰
14,11,Ｍミツアキフレンド, 37,池崎祐, 3.2, 36,  -9, -17,16,440.6, ⑩⑫,,,,,,,,,,,,,14, 8, ドリｰムフラッグ,---,村上忍, 2.9, 41,  -4, -26,10, 60.0, ⑭⑬,14,17,Ｇシルポｰト, 81,伊藤直, 1.4, 70,   4,  -5, 9, 28.5, ④⑥
15,12,Ｊクリノハッピｰ, 40,丸田恭, 3.2, 35, -10, -18, 8,100.6, ⑪⑨,,,,,,,,,,,,,,,,,,,,,,,,,15,12,Ｑユメノオｰラ, 76,鈴来直, 1.5, 73,  -4,   6,17,178.4, ⑬⑬
16,14, ムサシトップガン,---,村田一, 3.2, 38, -18,  -6,11,167.3, ⑯⑯,,,,,,,,,,,,,,,,,,,,,,,,,16, 7,Ｏクィｰンマルトク, 78,梶晃啓, 2.0, 62,*  9, -19,15,139.3, ①①
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17, 9,Ｐアキノパンチ, 76,中舘英, 2.3, 59,   5, -18,12, 53.6, ③⑤
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:59 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:-1),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:69 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:-9 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:85 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:-3),,,,,,,,,,,
単勝:200円 複勝:16=110円 06=220円 04=230円 枠連:570円,,,,,,,,,,,,"単勝:1,170円 複勝:12=210円 13=110円 05=120円 枠連:670円",,,,,,,,,,,,"単勝:840円 複勝:04=310円 02=3,900円 09=230円 枠連:21,680円",,,,,,,,,,,,"単勝:920円 複勝:11=300円 15=510円 04=170円 枠連:3,950円",,,,,,,,,,,
馬連:910円 ワイド:06-16=350円 04-16=360円 04-06=710円,,,,,,,,,,,,"馬連:1,130円 ワイド:12-13=400円 05-12=500円 05-13=160円",,,,,,,,,,,,"馬連:50,660円 ワイド:02-04=9,410円 04-09=910円 02-09=11,240円",,,,,,,,,,,,"馬連:7,120円 ワイド:11-15=2,070円 04-11=640円 04-15=1,750円",,,,,,,,,,,
"馬単:1,310円 3連複:1,690円 3連単:6,340円",,,,,,,,,,,,"馬単:4,010円 3連複:820円 3連単:11,840円",,,,,,,,,,,,"馬単:93,420円 3連複:110,860円 3連単:790,440円",,,,,,,,,,,,"馬単:16,100円 3連複:10,010円 3連単:79,800円",,,,,,,,,,,
■ 2R  ダ1600m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 5R  芝1400m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 8R  ダ1300m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■11R  ダ1400m 3歳上ｵｰﾌﾟﾝ(国) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,,,,,,,,,,,,,霜月ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 2,Ａティアップザスタｰ, 63,三浦皇,, 58,*  5,  -8, 2,  4.2, ②②, 1, 3, トレノパズル,---,北村宏,, 53,*-27,   9, 3,  4.2, ②②, 1, 8,Ｐケイアイエｰデル, 54,江田照,, 81,   3,  14, 6, 14.1, ⑩⑥, 1, 5,Ｃボｰドスウィｰパｰ, 88,小野次,, 86,   7,* 16, 5,  8.6, ⑨⑧
 2,11,Ｃウォｰクラウン, 57,松岡正, 0.3, 58,  -1,* -2, 3,  4.6, ⑧⑧, 2, 4, ショｰンバロｰズ,---,戸崎圭, 0.1, 53, -30,* 10, 2,  3.0, ③③, 2, 3,Ｃセイコｰスペシャル, 73,柴田善, 0.0, 80,  -4,* 21, 2,  4.0, ⑯⑯, 2,12,Ａオフィサｰ, 89,中舘英, 0.1, 84,* 11,   9, 7, 17.9, ③④
 3,16,Ｆロｰドアイアン, 51,江田照, 0.3, 58,   3,  -8, 7, 16.9, ④④, 3, 6, キングパｰフェクト,---,三浦皇, 0.1, 54, -30,* 10, 1,  1.9, ⑤④, 3,14,Ａマルタｰズマゼル, 77,戸崎圭, 0.4, 77,  -3,* 16, 1,  3.7, ⑮⑮, 3, 2,Ｂベルｰガ, 89,石橋脩, 0.2, 84,   4,* 17,11, 32.8, ⑪⑪
 4, 7,Ｂキタサンラリｰ, 57,勝浦正, 0.4, 58,  -1,* -1, 5,  9.2, ⑩⑩, 4, 2, ハセハインドマｰチ,---,松岡正, 0.8, 42,*-27,  -3, 4, 18.6, ①①, 4, 5,Ｆラインステッチ, 71,北村宏, 0.8, 73,  -3,  12,10, 40.1, ⑭⑭, 4, 3,Ｄダイショウジェット, 88,橋本美, 0.2, 85,* 11,   8, 3,  6.2, ④②
 5,13,Ｅコスモツイマイ, 52,戸崎圭, 0.8, 55,  -3,* -2, 8, 19.2, ⑫⑫, 5, 1, ホビｰスタイル,---,津村明, 1.1, 41, -33,   2, 5, 25.7, ⑧⑧, 5,15,Ｉメジロフロｰラ, 66,小野次, 0.9, 72,   0,   9,12, 45.1, ⑦⑫, 5, 6,Ｅアイスドｰル, 88,松岡正, 0.2, 85,   3,* 18, 1,  3.5, ⑬⑭
 6, 5,Ｊアキヨシホマレ, 45,武士沢, 1.1, 53,  -1,  -7,10, 82.2, ⑨⑨, 6, 8, ケイツｰスマック,---,荻野琢, 1.3, 38, -32,  -2, 8, 61.7, ⑥⑥, 6,10,Ｈコンセンチメント, 70,吉田隼, 1.2, 69,*  5,   0, 3,  5.1, ③③, 6,10,Ｆセレスクラブ, 87,三浦皇, 0.3, 83,   4,* 16,10, 26.4, ⑫⑫
 7, 8,Ｌカンファｰリｰド, 40,北村宏, 1.3, 50,*  4, -17, 9, 20.3, ③③, 7, 7, オンワｰドラフィネ,---,武士沢, 1.3, 38, -32,  -2, 6, 33.4, ⑦⑦, 7,12,Ｂヒシマイスタｰ, 74,田中勝, 1.3, 69,  -1,   6, 9, 29.1, ⑫⑪, 7, 1,Ｉチョウカイシャトル, 82,田中勝, 0.7, 81,   3,  14, 6, 17.8, ⑮⑬
 8, 1,Ｎミツアキクイｰン, 39,荻野琢, 1.5, 51,   1, -16,11,104.6, ⑤⑤, 8, 5, アッサムリｰフ,---,宮崎北, 1.8, 30, -31, -10, 7, 47.5, ④⑤, 8,13,Ｅナムラテルテル, 71,中舘英, 1.5, 66,   3,  -1, 8, 26.1, ④⑤, 8, 4,Ｋワｰキングボｰイ, 80,浜中俊, 0.8, 79,   8,   7,14, 79.7, ⑦⑦
 9, 4,Ｉクレバｰチｰコ, 47,加藤士, 1.7, 48,   1, -15,13,187.8, ⑦⑦,,,,,,,,,,,,, 9, 6,Ｎジョイフルハｰバｰ, 59,勝浦正, 1.8, 64,   1,  -1, 4,  8.0, ⑨⑨, 9, 7,Ｊウォｰタｰオｰレ, 81,的場勇, 1.0, 77,   9,   3,15, 88.8, ⑤⑤
10,12,Ｄヤンキｰジｰタｰ, 53,中舘英, 1.7, 47,  -5,  -6, 4,  6.4, ⑬⑭,,,,,,,,,,,,,10, 2,Ｄトｰセンエックス, 72,的場勇, 1.8, 65,   2,  -2, 5, 11.4, ⑧⑧,10, 9,Ｍシアトルバロｰズ, 79,勝浦正, 1.1, 77,* 12,   0, 9, 21.0, ②③
11, 9,Ｋプラクシス, 43,松田大, 1.8, 48,  -6,  -6,14,207.7, ⑮⑬,,,,,,,,,,,,,11, 4,Ｏベルモントガロップ, 56,武士沢, 2.0, 63,  -2,   1,16,119.7, ⑬⑬,11,13,Ｈタｰタンフィｰルズ, 83,北村宏, 1.1, 78,   2,  13,12, 66.6, ⑯⑮
12,10,Ｍノボビクトリｰ, 39,丸田恭, 2.2, 45,  -7,  -8,16,360.2, ⑯⑯,,,,,,,,,,,,,12,11,Ｌトムアウトランダｰ, 64,木幡初, 2.0, 62,   2,  -4,14, 63.5, ⑥⑦,12,15,Ｌヤマノルドルフ, 80,津村明, 1.5, 72,* 14,  -7,16, 90.4, ①①
13, 6,Ｇカントリｰドｰタｰ, 50,石橋脩, 2.4, 42,   1, -23,12,133.9, ⑥⑥,,,,,,,,,,,,,13, 9,Ｇダイワウイザｰド, 71,石橋脩, 2.2, 61,*  6,  -9, 7, 16.5, ②②,13,16,Ｎドリｰムスカイ, 77,戸崎圭, 1.8, 72,   7,   0, 4,  8.1, ⑩⑨
14,15,Ｐスガノオｰバｰカム, 23,田中勝, 3.3, 38,  -1, -26, 6, 15.4, ⑪⑪,,,,,,,,,,,,,14, 7,Ｊケイジｰジュニアｰ, 66,伊藤直, 2.2, 60,   3,  -7,13, 58.2, ⑤④,14, 8,Ｇビッグジェム, 84,江田照, 2.0, 69,  10,  -6, 8, 18.1, ⑥⑥
15, 3,Ｈユウキハングリｰ, 49,郷原洋, 3.4, 35,*  6, -38, 1,  3.8, ①①,,,,,,,,,,,,,15,16,Ｍムｰンボｰ, 64,三浦皇, 2.4, 60,   1,  -5,15, 75.2, ⑪⑩,15,11,Ｏマヤノベンケイ, 72,吉田隼, 3.5, 58,   2,  -9, 2,  4.4, ⑭⑯
16,14,Ｏオンワｰドサクラ, 35,柄崎将, 4.3, 31,  -5, -27,15,231.6, ⑭⑮,,,,,,,,,,,,,16, 1,Ｋボンジュｰルソノコ, 65,松岡正, 4.9, 38,*  7, -34,11, 43.3, ①①,16,14,Ｐフサイチホクトセイ, 71,柴田善, 4.8, 47,   7, -26,13, 77.6, ⑧⑩
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:59 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:-19 ﾚｰｽｱｶﾞﾘ指数:+9 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:88 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:-1),,,,,,,,,,,
単勝:420円 複勝:02=160円 11=180円 16=380円 枠連:450円,,,,,,,,,,,,単勝:420円 複勝:03=110円 04=110円 06=110円 枠連:0円,,,,,,,,,,,,"単勝:1,410円 複勝:08=390円 03=150円 14=140円 枠連:2,450円",,,,,,,,,,,,単勝:860円 複勝:05=350円 12=560円 02=970円 枠連:410円,,,,,,,,,,,
"馬連:830円 ワイド:02-11=350円 02-16=1,030円 11-16=980円",,,,,,,,,,,,馬連:660円 ワイド:03-04=160円 03-06=140円 04-06=120円,,,,,,,,,,,,"馬連:2,920円 ワイド:03-08=1,330円 08-14=1,200円 03-14=300円",,,,,,,,,,,,"馬連:5,830円 ワイド:05-12=2,090円 02-05=2,860円 02-12=4,920円",,,,,,,,,,,
"馬単:1,580円 3連複:3,370円 3連単:12,510円",,,,,,,,,,,,"馬単:1,410円 3連複:200円 3連単:2,140円",,,,,,,,,,,,"馬単:6,570円 3連複:3,920円 3連単:32,720円",,,,,,,,,,,,"馬単:10,110円 3連複:42,810円 3連単:229,420円",,,,,,,,,,,
■ 3R  芝1600m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 6R  芝1800m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 9R  芝1800m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■12R  ダ1600m 3歳上1000万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,tvk賞,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 9,Ｄマイティｰスルｰ, 59,小野次,, 62,*  3,  -8, 1,  1.4, ②②, 1, 4, ダノンファントム,---,吉田隼,, 65,*-10,*  5, 1,  2.2,①①①, 1, 5,Ｆイケトップガン, 78,大野拓,, 86,   3,* 18, 5, 10.1,⑪⑪⑪, 1,10,Ｇリフレックス, 76,津村明,, 80,   7,* 11, 5, 10.5, ⑦⑥
 2, 2,Ｂマヤノマヤ, 64,戸崎圭, 0.1, 60,*  4,  -9, 5, 16.9, ①①, 2, 2, タイセイダンサｰ,---,柴田善, 0.6, 62, -13,*  5, 7, 16.4,⑤⑤⑥, 2, 6,Ｂロスペトリュス, 82,松岡正, 0.0, 85,   4,* 15, 2,  4.2,⑧⑧⑧, 2, 3,Ｄディオスクロイ, 79,松岡正, 0.0, 81,   9,  10, 2,  5.0, ④④
 3, 6,Ｆエストシャイン, 53,北村宏, 0.2, 59,   1,  -6, 6, 17.5, ④④, 3, 9, ナビエストｰクス,---,北村宏, 0.8, 57, -14,   1, 2,  5.1,③⑥⑤, 3,11,Ｌテラノファントム, 70,中舘英, 0.5, 80,   6,   5, 3,  5.4,⑦⑥⑥, 3, 7,Ｉトｰセンレジェンド, 74,丸田恭, 0.6, 77,   6,   9, 9, 28.8, ⑪⑪
 4, 7,Ｅタｰジオン, 55,柴田善, 0.2, 61,  -1,  -3, 3, 11.9, ⑦⑦, 4,11, シュヴァイツァｰ,---,松岡正, 0.9, 54, -13,  -4, 3,  5.2,⑥④④, 4, 3,Ｊアマミスウィフト, 73,北村宏, 0.5, 79,   5,   8, 8, 28.1,⑥⑦⑦, 4,15,Ｂクレヨンルｰジュ, 81,吉田隼, 0.6, 75,   7,   6, 4,  7.3, ⑨⑧
 5, 4,Ｊミッドナイトダンス, 47,松岡正, 0.3, 59,  -1,  -5, 7, 29.5, ⑥⑥, 5,10, コスモポエム,---,三浦皇, 1.3, 49,*-11, -13, 4, 10.2,④②②, 5, 4,Ｉブラックオリｰブ, 74,三浦皇, 0.6, 77,*  8,  -2, 6, 14.2,③③②, 5,14,Ｊディｰプリンク, 74,柴田善, 0.7, 76,* 10,   2,10, 50.3, ③③
 6,11,Ａリキサンキャロル, 65,大庭和, 0.3, 58,  -3,*  0, 4, 12.4, ⑨⑩, 6, 5, ユキノヘラクレス,---,石橋脩, 1.5, 47, -13, -13, 8, 22.2,②③③, 6,10,Ｎヘイアンレジェンド, 69,柴田善, 0.6, 79,   4,   7,11, 86.3,⑨⑨⑨, 6,11,Ｍアレクシオス, 71,戸崎圭, 0.8, 76,   3,* 12, 8, 27.6, ⑬⑬
 7, 8,Ｇマイネラプソディ, 50,三浦皇, 0.7, 56,   1, -12, 9, 35.0, ⑧⑧, 7, 1, サンクデトワｰル,---,戸崎圭, 1.9, 45, -17, -10, 5, 10.5,⑦⑦⑨, 7, 9,Ｄダブルヒｰロｰ, 79,石橋脩, 0.7, 76,   6,   0, 4,  9.2,④⑤⑤, 7, 9,Ｋウエスタンリジ, 73,田中博, 0.9, 75,   1,* 12,13,135.6, ⑮⑮
 8, 3,Ｃマルタｰズクリス, 62,吉田隼, 0.8, 52,*  2, -17, 8, 31.9, ③③, 8, 8, マスタｰハルバｰド,---,浜中俊, 2.0, 46, -15, -13,11,109.6,⑪⑩⑩, 8, 8,Ｇフレアリングベスト, 77,田中勝, 0.8, 78,   0,  11, 9, 37.4,⑭⑭⑬, 8, 4,Ｃマチカネミノリ, 80,北村宏, 1.0, 73,   8,   2, 1,  3.0, ⑤⑦
 9,17,Ｎカヤドｰモトヒメ, 40,田中博, 0.9, 53,  -4,  -8,13,147.2, ⑬⑪, 9, 3, ワンダｰキング,---,中舘英, 2.2, 41, -15, -17, 9, 43.0,⑧⑨⑦, 9, 1,Ｅエアフォルツァ, 78,武士沢, 0.9, 73,* 10, -10,10, 59.1,①①①, 9,16,Ｌブルｰポラリス, 72,大野拓, 1.2, 73,   3,   7,16,274.9, ⑫⑫
10, 5,Ｌナカヨキコト, 41,武士沢, 1.0, 54,  -8,*  2,18,329.6, ⑮⑮,10, 6, ベルモントエックス,---,勝浦正, 2.3, 40, -15, -18,10, 90.2,⑨⑧⑧,10,14,Ｃアイティトップ, 81,木幡初, 1.2, 70,   7,  -8, 7, 15.5,⑤④④,10,12,Ｈブリリアントタイム, 74,木幡初, 1.4, 69,   9,  -2,11, 55.6, ⑥⑤
11,12,Ｋアポロハピネス, 44,石橋脩, 1.0, 53,  -8,* -2,14,197.0, ⑫⑬,11, 7, ワンダフルカフェ,---,田中勝, 3.1, 31, -18, -24, 6, 12.8,⑩⑪⑪,11,13,Ａトｰセンクラウン, 83,吉田隼, 1.3, 70,   3,  -2, 1,  2.7,⑩⑩⑩,11, 6,Ｏノボスコｰピオ, 71,大庭和, 1.7, 68,   1,   5,14,138.6, ⑭⑭
12,14,Ｏアドマイヤインディ, 39,村田一, 1.2, 52, -12,*  3, 2,  8.8, ⑰⑰,,,,,,,,,,,,,12,12,Ｈグランプリペガサス, 76,勝浦正, 1.3, 73,   1,   2,13,147.5,⑬⑬⑭,12,13,Ｅマナｰハウス, 78,村上忍, 2.1, 65,   6,  -5,12, 66.3, ⑧⑨
13,13,Ｉマチカネセキガハラ, 47,浜中俊, 1.6, 47,  -1, -22,10, 59.7, ⑩⑨,,,,,,,,,,,,,13, 2,Ｍゲンキチホマレ, 69,浜中俊, 1.7, 67,*  8, -19,12, 99.3,②②③,13, 5,Ｎトラストパｰプル, 71,三浦皇, 3.0, 56,*  9, -19, 7, 12.1, ②②
14,16,Ｈシルクシスタｰ, 48,丸田恭, 1.7, 42, -11,  -8,16,263.2, ⑯⑯,,,,,,,,,,,,,14, 7,Ｋミウラリチャｰド, 72,戸崎圭, 1.9, 64,   3, -10,14,222.9,⑫⑫⑫,14, 2,Ａアドマイヤマントル, 81,村田一, 3.1, 60,*  9, -20, 3,  5.7, ①①
15, 1,Ｑマイネリュミエｰル, 32,勝浦正, 2.0, 41,  -6, -19,17,266.6, ⑪⑫,,,,,,,,,,,,,,,,,,,,,,,,,15, 8,Ｐクリノトップオｰ, 63,小林淳, 3.3, 60,   0,  -5,15,236.0, ⑯⑯
16,15,Ｒニシノトップモｰド, 32,田中勝, 2.2, 38,  -9, -18,15,242.2, ⑭⑭,,,,,,,,,,,,,,,,,,,,,,,,,16, 1,Ｆマイイｰジス, 77,中舘英, 3.9, 51,   5, -19, 6, 11.8, ⑩⑩
17,18,Ｐアズミ, 38,松田大, 2.3, 40, -11, -12,12,123.7, ⑱⑱,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,10,Ｍヒラボクスペシャル, 41,中舘英, 3.0, 30,*  2, -48,11, 79.3, ⑤⑤,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
