08年 7月 5日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 7月 5日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-11,,,,,■ 4R  芝1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝2000m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■10R  芝1200m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,ｼﾞｭﾗｲｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
"馬単:2,940円 3連複:1,770円",,,,,,,,,,,,"馬単:2,510円 3連複:1,510円",,,,,,,,,,,,"馬単:5,270円 3連複:3,430円",,,,,,,,,,,,"馬単:20,700円 3連複:48,560円 3連単:294,010円",,,,,,,,,,,
■ 2R  ダ1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 5R  ダ2000m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:12,,,,,■ 8R  ダ1800m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■11R  芝1800m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,三木特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 2,Ａホウライブライアン, 73,武豊  ,, 72,*  3,* 11, 1,  1.3,④③③, 1, 9,Ｃシルクレボルシオン, 63,幸英明,, 67,   4,* -1, 4, 15.8,⑦⑦⑥, 1, 7,Ｌエンシャントアｰツ, 52,赤木高,, 75,*  6,   7,11,146.0,①①①, 1, 9,Ｂエルソルダｰド, 89,福永祐,, 79,*  6,*  5, 3,  4.2, ③②
 2, 8,Ｂニホンピロルブラ, 70,和田竜, 0.8, 67,*  3,   2, 3, 10.3,②②②, 2,11,Ａカネトシヴィゴｰレ, 71,佐藤哲, 0.5, 63,*  6, -12, 1,  1.5,①①①, 2, 1,Ｃオコリンボ, 76,田中健, 0.1, 79,   3,* 13, 3,  3.8,⑩⑨⑨, 2, 4,Ａシルバｰブレイズ, 92,川田将, 0.2, 78,   4,*  8, 1,  2.7, ⑦⑥
 3, 1,Ｃホｰプフルスタｰ, 69,幸英明, 1.0, 66,  -1,*  8, 2,  9.4,⑫⑩⑥, 3, 8,Ｂベイサイドパｰク, 67,藤岡康, 0.9, 61,   4, -11, 3,  5.9,⑤⑤④, 3, 2,Ｆトップコマチ, 70,田村太, 0.4, 73,*  5,   6, 7, 18.8,④④②, 3, 1,Ｃドリｰムサンデｰ, 79,幸英明, 0.7, 73,   4,  -1, 2,  3.6, ④④
 4,12,Ｇオメガクエスト, 54,浜中俊, 1.1, 64,   0,   5, 8,103.6,⑨⑧⑥, 4, 3,Ｄグランカナリア, 62,熊沢重, 1.3, 60,*  6, -18, 8, 52.7,③②②, 4,10,Ｅアドマイヤミスティ, 70,川田将, 0.6, 73,   4,   7, 4,  7.3,⑧⑦④, 4, 6,Ｅエイシンヴァイデン, 76,石橋守, 0.7, 72,*  7,  -7, 6, 20.7, ①①
 5, 4, グランドスウェル,---,鮫島良, 1.1, 64,*  3,  -2, 5, 13.8,①①①, 5, 4,Ｈウォルトンコクカ, 54,川島信, 1.3, 58,   4, -12,11, 79.6,⑦⑦⑥, 5, 3,Ｄイノチノアカリ, 75,武豊  , 0.6, 73,   3,* 10, 1,  3.4,⑩⑪⑪, 5, 5,Ｇアペリティフ, 73,小牧太, 0.7, 72,   4,  -1, 5,  9.9, ④④
 6, 3,Ｄインテグラル, 67,藤岡康, 1.5, 62,   1,   0, 4, 10.8,⑦④④, 6, 6,Ｅメイケイパッション, 61,太宰啓, 1.6, 55,*  6, -20, 2,  5.6,②②②, 6, 8,Ａメイショウコレット, 79,福永祐, 0.8, 71,*  5,   3, 2,  3.5,⑥④③, 6, 8,Ｈエイシンインパｰル, 73,渡辺薫, 0.7, 73,   4,   0, 7, 44.3, ⑥⑥
 7, 9,Ｅスリｰマｰチャン, 57,熊沢重, 1.5, 65,   0,   2, 9,114.1,⑧⑦④, 7, 7,Ｇタイキマドロス, 56,金折知, 1.7, 58,   2, -11, 5, 21.5,⑨⑨⑨, 7, 4,Ｂオｰミチェリッシュ, 76,藤岡康, 1.2, 70,   3,   4, 8, 23.5,⑦⑨⑨, 7, 3,Ｆアグネスパウエル, 75,太宰啓, 1.6, 64,   1,  -8, 8, 97.2, ⑨⑨
 8, 5,Ｆノｰブルプレッジ, 56,川田将, 2.5, 55,   0,  -6, 6, 30.9,⑤⑥⑨, 8, 5,Ｉディベイタｰ, 49,上村洋, 1.8, 57,   3, -17,12,139.9,⑥⑥⑧, 8, 9,Ｈアマゾネスバイオ, 68,浜中俊, 1.2, 66,   3,   1, 9, 56.2,⑧⑧④, 8, 7, グロｰリｰソング,---,小原義, 1.6, 62,   3, -11, 9,111.5, ⑦⑧
 9, 7, メイショウメモリア,---,福永祐, 2.6, 58,  -6,   5, 7, 80.0,⑫⑫⑪, 9, 1,Ｆトップオブクロフネ, 59,小牧太, 2.0, 53,   5, -22, 6, 25.2,③④④, 9, 5,Ｉブラックカシミｰル, 65,野元昭, 1.8, 64,   4,  -4, 5, 13.4,④④⑥, 9, 2,Ｄランスロットル, 79,武豊  , 1.7, 60,   5, -19, 4,  5.7, ②②
10,10,Ｈマイティｰハンタｰ, 50,岡部誠, 3.5, 48,   1, -17,11,272.1,③④⑥,10, 2, シルクブレイカｰ,---,鮫島良, 3.5, 48,  -3, -16, 9, 66.6,⑪⑪⑩,10,11,Ｋアルファチャングミ, 60,幸英明, 2.5, 60,   0,  -3,12,231.1,⑫⑫⑫,,,,,,,,,,,,
11, 6,Ｊマルブツタイシ, 34,芹沢純, 4.3, 44,  -4, -15,12,329.2,⑤⑪⑪,11,10,Ｊマｰズキャスケｰド, 42,河北通, 3.8, 46,  -3, -18,10, 78.8,⑩⑩⑪,11, 6,Ｇラジョリｰ, 68,橋本美, 3.6, 51,*  5, -22,10,125.7,②②⑥,,,,,,,,,,,,
12,11, フェルテレイ,---,川島信, 5.1, 38,  -1, -27,10,134.1,⑨⑧⑩,12,12, エシス,---,浜中俊,20.0,-47, -46, -60, 7, 43.1,⑫⑫⑫,12,12,Ｊグリッタｰエルフ, 63,和田竜, 5.9, 39,*  5, -42, 6, 15.6,②②⑥,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
