08年 9月 6日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 9月 6日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1800m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 4R  芝1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1000m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-8,,,,,■10R  芝2600m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ札幌,,,,,,,,,,,,,,,,,,,,,,,,富良野特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 3,13,Ｇエンディアメント, 55,的場勇, 1.2, 59,*  1,  -5, 7, 48.7,①①①, 3,12,Ｎアイアムスパｰクル, 52,岩田康, 0.2, 65,* -2,   2,11, 32.0,②②②, 3,10,Ｃサンライズベガ, 79,北村友, 0.6, 72,   7,   3, 4,  8.0,④④②, 3,11,Ａラヴドシャンクシｰ, 72,岩田康, 0.2, 63,  -3,*  6, 3,  8.9,⑭⑭⑫
 4, 5,Ｄセイウンタナビク, 57,三浦皇, 1.3, 59,  -4,   3, 4,  7.5,⑫⑪⑨, 4, 2,Ｆメイショウマゼラン, 61,武幸四, 0.3, 67,  -6,*  9, 6, 15.9,⑧⑨⑦, 4, 7,Ｄジャングルテクノ, 76,横山典, 0.6, 76,  -1,* 22, 2,  4.8,⑩⑨⑨, 4, 5,Ｃハｰリカ, 71,的場勇, 0.2, 66,   7,  -9, 8, 20.8,④⑤⑤
 5, 1,Ｂストロングジャック, 65,横山典, 1.4, 56,  -2,  -2, 1,  2.0,⑥⑤④, 5, 8,Ｊブレイジングスタｰ, 54,荻野琢, 0.6, 62,  -5,   2,10, 31.3,⑥⑥④, 5, 8,Ｈダンシングボｰイ, 67,的場勇, 0.7, 67,* 10,  -2, 9, 44.5,①①①, 5,14,Ｄヘヴンリｰクルｰズ, 70,丸田恭, 0.3, 65,   4,  -6, 7, 13.9,⑧⑨⑥
 6, 2,Ｃコウワスプラッシュ, 62,青木芳, 1.4, 60,  -3,   2, 9, 49.6,⑦⑧⑤, 6, 1,Ａフェイバリットサン, 74,芹沢純, 0.7, 59,* -2,  -7, 3,  5.5,①①①, 6, 2,Ｂフェスティヴナイト, 81,長谷川, 0.9, 68,*  9,  -2, 7, 25.9,③②②, 6, 7,Ｆホワイトヴェｰル, 69,藤田伸, 0.3, 64,   4,  -7, 6, 13.5,⑧⑥⑧
 7, 4,Ｌキスリングバｰ, 46,池添謙, 1.7, 56,  -3,  -2, 8, 48.9,⑩⑧⑦, 7,14,Ｇマイソｰルビｰト, 61,松田大, 0.7, 61,* -2,  -4, 8, 28.5,③②③, 7, 1,Ｉショコラシチｰ, 66,柴原央, 0.9, 70,   3,   9,10,108.6,⑥⑦④, 7, 6,Ｉユキノマｰヴェラス, 65,藤岡佑, 0.6, 62,   7, -15, 9, 38.3,③③③
 8, 9,Ｈコスモザグレｰト, 54,津村明, 2.0, 54,  -1,  -8, 5, 26.2,④④⑤, 8, 6,Ｌユウメリｰウェザｰ, 54,津村明, 1.0, 59,  -6,  -1,15,107.0,⑧⑨⑪, 8,11,Ｆアイリッシュホｰク, 72,藤田伸, 1.0, 71,  -2,  19, 8, 36.6,⑪⑪⑪, 8,13,Ｅトラックワンダｰ, 70,横山典, 0.7, 61,*  9, -19, 2,  4.3,④②②
 9, 6,Ａピエナミッチｰ, 66,岩田康, 2.2, 53,  -3,  -6, 3,  4.7,⑩⑧⑧, 9, 3,Ｋプライドエンブレム, 54,菊沢隆, 1.1, 58,  -6,   0,12, 68.4,⑫⑫⑬, 9, 4,Ｇワンマンシャチョウ, 72,岩田康, 1.1, 68,  -1,  13, 6, 15.4,⑧⑨⑨, 9, 3,Ｎブライティアカペラ, 49,北村友, 0.7, 60,  -1,  -5,13,164.3,⑫⑫⑭
10,11,Ｍウインマイスタｰ, 45,梶晃啓, 3.4, 45,  -4, -14,10, 73.4,⑫⑪⑨,10,11, ジャンバティスト,---,丸田恭, 1.1, 59,  -8,   3, 9, 30.2,⑯⑯⑪,10, 5,Ｊシンシンマｰキｰ, 66,北村浩, 1.7, 59,   4,  -7,11,120.7,⑥⑤⑦,10, 9,Ｇトキノプリンセス, 69,三浦皇, 0.8, 60,   6, -15, 5, 13.2,④⑥⑥
11,10,Ｊスリｰクリスタル, 52,武英智, 3.8, 43,  -5, -16,13,244.0,⑦⑬⑬,11,15,Ｏロマンゴｰルド, 48,大野拓, 1.1, 60,  -8,   2,16,156.3,⑫⑮⑬,11, 9,Ｋショウナンアクロス, 54,三浦皇, 2.0, 55,*  9, -18, 5, 12.7,②②④,11,10,Ｍスウェプトスルｰ, 54,青木芳, 0.8, 58,  -1,  -6,14,182.2,⑬⑫⑫
12, 8,Ｋランドジｰニアス, 47,荻野琢, 4.5, 40,  -2, -28,12,188.0,⑦⑤⑫,12,10,Ｅゴｰルドヘラクレス, 63,池添謙, 1.2, 55,  -5,  -5, 4,  7.6,⑧⑨⑬,,,,,,,,,,,,,12,12,Ｋラドクリフヤｰド, 62,菊沢隆, 1.1, 55,   2, -14,10, 53.6,⑩⑪⑧
13,12,Ｉタッキｰファントム, 53,長谷川, 4.9, 36,  -1, -32,11,148.5,⑤⑤⑨,13,16,Ｄマコトボムケッチ, 65,三浦皇, 1.5, 54,  -7,  -7, 1,  2.7,⑫⑫⑯,,,,,,,,,,,,,13, 2,Ｊエミネンツァベルタ, 65,荻野琢, 1.9, 48,   5, -29,11, 66.8,④⑥⑧
,,,,,,,,,,,,14, 7,Ｈフルパワｰ, 59,藤田伸, 1.8, 49,  -4, -16, 7, 20.0,④⑥⑦,,,,,,,,,,,,,14, 4,Ｌボニｰアクション, 57,池添謙, 1.9, 47,   7, -32,12,114.7,②③③
,,,,,,,,,,,,15,13,Ｉプレミアムキャノン, 57,北村友, 2.1, 48,  -5, -19,13, 78.6,⑧⑥⑦,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,16, 9,Ｍハｰトスプリンクル, 53,藤岡佑, 2.4, 43,  -4, -26,14, 91.4,⑥④⑦,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
