08年11月 8日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年11月 8日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 4R  芝3000m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ1300m 2 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■10R  芝1400m 3歳上1600万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,ｶﾀｰﾙ賞,,,,,,,,,,,,韓国賞,,,,,,,,,,,,ﾏﾚｰｼｱｶｯﾌﾟ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 2, 5,Ｂマイネルクロッシュ, 49,柴山雄, 0.1, 54,*  0,  -7, 5, 12.5, ①①, 2, 4, リキサンキャロル,---,大庭和, 0.7, 64, -15,* 17,14, 79.2, ⑭⑬, 2,10,Ｄゴｰルディｰロック, 71,藤田伸, 0.0, 77,  -2,* 16, 4, 15.0, ⑩⑪, 2,13,Ａサンライズバッカス, 96,佐藤哲, 0.1, 91,  10,* 18, 4, 10.4, ⑫⑪
 3, 9,Ａネイチャｰキング, 58,内田博, 0.3, 53,  -2,  -5, 2,  4.7, ③③, 3, 5, マルタｰズクリス,---,吉田隼, 0.9, 60,  -8,   2, 9, 29.7, ⑥⑥, 3, 4,Ｂラオムフェｰレ, 73,松岡正, 0.4, 73,   4,   7, 5, 23.7, ④⑤, 3,11,Ｉユビキタス, 86,安藤勝, 0.2, 87,* 13,  11, 1,  1.6, ②②
 4, 6,Ｄニシノアララギ, 47,松岡正, 0.4, 52,  -7,*  0, 4, 11.6, ⑦⑧, 4,17, マヤノマヤ,---,内田博, 0.9, 62, -12,*  9, 8, 13.1, ⑧⑨, 4,11,Ｇヒシマイスタｰ, 66,柴田善, 0.5, 72,*  7,   2, 9, 70.1, ①②, 4, 4,Ｈカルナバリｰト, 86,内田博, 0.3, 87,  11,  12, 8, 34.4, ③③
 5, 8,Ｈジャｰジデスマイル, 43,武豊  , 0.5, 50,* -1, -11, 3,  7.2, ②②, 5, 9, ダイワオｰドリｰ,---,北村宏, 0.9, 60,  -8,   3, 4,  8.7, ⑥⑥, 5, 1,Ｍチャｰムキャップ, 61,内田博, 0.5, 72,   1,   9,11, 88.9, ⑦⑦, 5, 2,Ｂトｰセンブライト, 94,藤岡佑, 0.4, 87,  11,  14, 7, 25.3, ⑨⑧
 6,10,Ｆフェイスマナジェス, 44,田中勝, 0.6, 51,  -8,  -1, 6, 42.1, ⑨⑧, 6,10, ヴィトンクイｰン,---,江田照, 1.5, 52,  -7, -10, 5,  8.9, ⑤⑤, 6, 7,Ｃヤエノアカハチ, 73,蛯名正, 1.1, 69,  -2,   9, 2,  5.5, ⑫⑬, 6, 3,Ｎタケミカヅチ, 75,柴田善, 0.4, 88,  11,  13, 6, 14.9, ⑥⑥
 7, 1,Ｊジョテイ, 38,北村宏, 0.8, 46,  -3,  -9, 8,145.5, ⑦⑤, 7, 6, アサクサアドリア,---,中谷雄, 1.5, 52,* -2, -17,15,186.1, ①①, 7,15,Ｈガオウ, 66,勝浦正, 1.2, 68,   1,   4, 8, 68.7, ⑩⑨, 7, 6,Ｆエスケｰカントリｰ, 87,藤田伸, 0.4, 88,   8,* 18, 9, 40.4, ⑮⑭
 8, 2,Ｉコｰド, 39,田面木, 1.0, 44,  -3, -15,10,196.2, ③③, 8,13, ハｰトアイビｰ,---,橋本美, 1.5, 52,* -3, -15,13, 75.1, ②②, 8, 9,Ｉシセイハヤテ, 66,田中勝, 1.8, 63,   1,  -2, 6, 24.9, ⑦⑦, 8,14,Ｃアドマイヤスバル, 93,村田一, 0.4, 90,  10,  15, 3,  9.7, ⑨⑪
 9, 3,Ｇマイネブルｰム, 43,吉田隼, 1.7, 38,  -9, -13, 9,184.1, ⑩⑩, 9, 1, ブラストルピナス,---,小野次, 1.6, 54, -11,  -4,11, 60.0, ⑧⑧, 9, 8,Ｅレオブルｰス, 67,柴山雄, 1.9, 62,  -2,   0, 3, 10.4, ⑫⑪, 9, 1,Ｐカネヒキリ, 66,武豊  , 0.6, 85,  11,  12, 2,  6.4, ⑥⑧
10, 4,Ｅノボマリｰン, 46,大庭和, 2.2, 29,  -3, -29, 7, 87.2, ⑤⑤,10, 2, デステニｰアロｰ,---,柴田善, 1.6, 54, -12,   0,10, 49.1, ⑩⑨,10,14,Ｊアップグレｰデッド, 65,加藤士, 1.9, 61,   0,  -2, 7, 46.5, ⑨⑨,10,15,Ｅダイショウジェット, 87,橋本美, 0.6, 85,  11,  11,12,171.6, ⑥⑥
,,,,,,,,,,,,11,16, エオリアンハｰプ,---,田中勝, 1.9, 51, -14,  -2, 3,  6.7, ⑩⑪,11, 3,Ｌオンワｰドカルマ, 62,伊藤工, 2.0, 60,  -5,   2,15,550.2, ⑮⑭,11,10,Ｊボｰドスウィｰパｰ, 84,吉田隼, 0.7, 86,   8,  15,16,419.0, ⑫⑭
,,,,,,,,,,,,12, 7, チョットグルｰビｰ,---,武士沢, 2.0, 51, -16,   2, 6, 10.5, ⑯⑯,12, 5,Ｆナスノマツカゼ, 67,北村宏, 2.1, 59,*  7, -11,12,119.9, ②①,12, 9,Ｌゼンノコｰラル, 82,北村宏, 0.8, 84,   9,  12,15,353.2, ⑫⑪
,,,,,,,,,,,,13,18, ジョイチャイルド,---,藤岡佑, 2.0, 49, -15,  -1, 7, 12.7, ⑩⑭,13, 6,Ｋジパングエンジェル, 64,田面木, 2.5, 57,  -4,  -2,13,390.6, ⑫⑭,12,12,Ｇワｰルドハンタｰ, 87,松岡正, 0.8, 85,  11,  11,10, 84.0, ⑨⑧
,,,,,,,,,,,,14,14, ラｰクエンデバｰ,---,池崎祐, 2.1, 48, -12,  -6,18,225.8, ⑩⑪,14,12,Ｏファｰシｰル, 39,後藤浩, 2.5, 55,   4, -12,10, 75.1, ③③,14, 8,Ｏアグネスジェダイ, 67,田中勝, 0.8, 84,* 13,   6,13,192.6, ①①
,,,,,,,,,,,,15,12, ニシノサブリナ,---,後藤浩, 2.2, 48, -20,   2, 2,  5.2, ⑱⑱,15,13,Ｎコンプリｰトラン, 60,吉田隼, 3.7, 47,   1, -19,14,466.2, ⑥⑥,15, 5,Ｍベルｰガ, 80,吉田豊, 0.9, 85,   8,  13,14,296.4, ⑮⑭
,,,,,,,,,,,,16, 3, クｰルディアス,---,佐藤哲, 2.6, 41,* -4, -28,12, 70.7, ③③,,,,,,,,,,,,,16,16,Ｄベルモントプロテア, 87,蛯名正, 1.1, 82,* 12,   5,11, 89.1, ③③
,,,,,,,,,,,,17,15, ドリｰムオｰラ,---,小林淳, 2.6, 45, -15,  -9,16,191.3, ⑭⑭,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,18,11, プレシャスベイブ,---,伊藤直, 3.7, 30, -18, -21,17,224.7, ⑰⑯,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:-0 ﾚｰｽｱｶﾞﾘ指数:-0 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:+7 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:75 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:91 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:-0 馬場:良(指数:-1),,,,,,,,,,,
単勝:150円 複勝:07=110円 05=230円 09=120円 枠連:920円,,,,,,,,,,,,"単勝:320円 複勝:08=170円 04=1,730円 05=660円 枠連:5,110円",,,,,,,,,,,,単勝:140円 複勝:02=110円 10=270円 04=350円 枠連:610円,,,,,,,,,,,,"単勝:1,310円 複勝:07=240円 13=190円 11=110円 枠連:1,780円",,,,,,,,,,,
"馬連:1,030円 ワイド:05-07=260円 07-09=150円 05-09=350円",,,,,,,,,,,,"馬連:14,480円 ワイド:04-08=4,080円 05-08=1,870円 04-05=17,570円",,,,,,,,,,,,"馬連:800円 ワイド:02-10=360円 02-04=530円 04-10=1,850円",,,,,,,,,,,,"馬連:3,970円 ワイド:07-13=1,120円 07-11=330円 11-13=270円",,,,,,,,,,,
"馬単:1,310円 3連複:730円 3連単:3,680円",,,,,,,,,,,,"馬単:22,200円 3連複:107,000円 3連単:510,290円",,,,,,,,,,,,"馬単:940円 3連複:3,110円 3連単:7,780円",,,,,,,,,,,,"馬単:9,510円 3連複:1,290円 3連単:20,890円",,,,,,,,,,,
■ 3R  芝2000m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 6R  芝1400m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 9R  芝1800m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■12R  ダ1300m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,ﾊﾞｰﾚｰﾝ賞,,,,,,,,,,,,ﾄﾙｺ賞,,,,,,,,,,,,ｲﾝﾃﾞｨｱﾄﾛﾌｨｰ,,,,,,,,,,,,ﾌｨﾘﾋﾟﾝﾄﾛﾌｨｰ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 9,Ａニシノルｰファス, 62,内田博,, 65, -11,* 16, 1,  1.9,⑥⑤③, 1, 4, ストロングポイント,---,北村宏,, 60, -18,   7, 6, 19.4, ④③, 1, 6,Ｋドリｰムトレジャｰ, 66,吉田豊,, 84,   3,  15, 6, 16.1,④④④, 1, 1,Ｂポｰトラヴ, 86,安藤勝,, 88,  12,* 13, 4,  7.6, ⑦⑤
 2, 1,Ｄトレジャｰバトル, 53,吉田豊, 0.1, 60,* -9,   9, 3,  7.0,①①①, 2, 8, タカラサンデｰ,---,後藤浩, 0.1, 57,*-15,   2, 3, 10.8, ①①, 2, 3,Ｃシャイニｰボｰイ, 78,武豊  , 0.0, 83,*  4,  12, 5, 13.3,②②②, 2, 7,Ｋグランドラッチ, 74,加藤士, 0.4, 84,   9,* 14,14,132.8, ⑫⑩
 3, 6,Ｂワｰルドカルティエ, 56,武豊  , 0.1, 63,*-10,* 13, 2,  2.6,③③③, 3,13, エイシンアマデウス,---,武豊  , 0.2, 57, -18,   4, 1,  1.6, ③③, 3, 9,Ｂトｰセンクラウン, 79,吉田隼, 0.3, 82,   1,  15, 3,  4.9,⑧⑥⑧, 3, 4,Ｆエノク, 81,内田博, 0.5, 86,* 17,   5, 1,  2.8, ②③
 4, 5,Ｅインファティック, 50,田中勝, 1.0, 50,*-10,  -3, 5, 15.2,②②②, 4, 3, ハニｰゴｰオン,---,吉田豊, 0.4, 59, -23,* 10, 5, 18.3, ⑩⑨, 4, 5,Ｆシャドｰクロス, 73,柴田善, 0.3, 79,*  5,   6, 4,  9.3,①①①, 4,11,Ｈセレスハント, 78,松岡正, 1.0, 80,  11,   8, 6, 15.0, ⑨⑧
 5, 2,Ｈディヴァインレッド, 44,藤田伸, 1.0, 51,*-10,   1, 4, 11.1,③③③, 5, 2, カイシュウキセキ,---,蛯名正, 0.5, 56, -22,   6,11,103.1, ⑦⑦, 5, 7,Ｄネヴァキングダム, 76,内田博, 0.3, 79,*  4,   7, 1,  2.3,②②②, 5,10,Ｎキラライットウセイ, 74,鷹野宏, 1.2, 77,   7,  10,15,135.9, ⑭⑭
 6, 7,Ｇクリｰバレン, 45,松岡正, 1.1, 51, -13,   3, 6, 47.8,⑨⑨⑦, 6,14, ショウナンアゲイン,---,藤岡佑, 0.6, 55, -22,   6, 4, 15.9, ⑦⑦, 6, 4,Ｅフレアリングベスト, 73,田中勝, 0.3, 85,  -2,* 19, 7, 24.3,⑩⑩⑨, 6, 5,Ｉセトノヒット, 78,佐藤哲, 1.2, 79,  12,   5,11, 70.5, ⑦⑧
 7, 3,Ｆイガノハイレディｰ, 48,武士沢, 1.2, 51, -11,   1, 8,150.8,③⑤⑥, 7, 1, サニングキャプテン,---,田中勝, 0.8, 55, -26,*  8, 8, 30.3, ⑪⑪, 7,10,Ｇエアフォルツァ, 73,藤岡佑, 0.4, 79,   3,   9, 8, 42.1,④④④, 7, 9,Ｏカマｰバンド, 71,大庭和, 1.3, 77,  10,   6,12, 89.4, ⑨⑩
