08年 8月17日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 8月17日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(九) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-12,,,,,■ 4R  芝1200m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  芝2000m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■10R  芝1200m 3歳上ｵｰﾌﾟﾝ(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,,,,,,,,,,,,,TV西日本北九州記念 ＧⅢ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 7,12,Ｋユｰセイヤマトオｰ, 19,和田竜, 1.8, 40, -15,  -8, 8, 29.6, ⑧⑨, 7, 9,Ｆモルフェサイレンス, 57,岩部純, 2.3, 54,   0,  -6,13,154.9,⑭⑬⑩, 7,14,Ｅオｰミチェリッシュ, 75,藤岡康, 1.1, 66,   3,   7, 6, 28.8,⑫⑬⑫, 7, 4,Ｈラブレタｰ, 66,浜中俊, 1.3, 63,  -1,  -6,10, 35.9,②⑤⑤
 8,11,Ｌシルバｰフィｰルド,-13,角田晃, 2.1, 36, -22,  -6,12,172.2, ⑪⑪, 8, 4,Ｏリトルエイコｰン, 40,佐久間, 2.4, 55,   3,  -9, 9, 55.4,⑥⑨⑦, 8,11,Ｊラフレッシュブルｰ, 66,太宰啓, 1.2, 62,   4,   3,10, 36.0,⑨⑧⑫, 8, 2,Ｍプラティコドン, 58,和田竜, 1.3, 61,*  0,  -9, 9, 33.5,①①①
 9, 6,Ｈエｰシンタウォｰズ, 33,藤岡康, 2.2, 37, -12, -14, 9, 45.4, ⑦⑦, 9,15,Ｈデンコウマｰチン, 53,田中健, 2.5, 53,   4, -17,12,121.1,④③④, 9, 5,Ｌブラックカシミｰル, 64,野元昭, 1.4, 60,*  8,  -5,13, 74.1,①①①, 9,11,Ｅメイショウシｰマ, 68,幸英明, 1.4, 61,*  0,  -9, 7, 20.6,②②②
10, 4,Ｇメイショウキャラ, 34,太宰啓, 2.2, 38,  -6, -16, 6, 22.9, ③③,10,12,Ｇベルアミイ, 55,角田晃, 2.8, 51,  -1,  -9, 6, 31.0,⑭⑬⑬,10, 3,Ｉリリアンタイム, 66,鮫島良, 1.5, 65,   0,  11,12, 62.9,⑮⑮⑮,10, 6,Ｋビビッドビビアン, 63,鮫島良, 1.6, 64, -10,   7,11, 37.4,⑪⑫⑪
11, 2,Ｊヒルノカンクン, 23,浜中俊, 2.4, 32, -26,  -6,11,166.4, ⑫⑪,11, 1,Ｍドンペリゴｰル, 41,石橋守, 2.9, 50,*  5, -21,10, 58.2,②②②,11,10,Ｋテイエムヒスイ, 65,福永祐, 1.7, 59,   6,  -5,11, 36.1,④③③,11, 8,Ｎアグネスリュウ, 55,太宰啓, 1.8, 59,  -7,  -3,14,176.8,⑪⑨⑩
12,10,Ｅヒトメボレムスメ, 38,野元昭, 2.5, 34, -14, -14,10,128.5, ⑧⑨,12,14,Ｂグランカナリア, 65,鮫島良, 3.1, 48,   2, -18, 4, 12.8,⑪⑦⑩,12, 4,Ｈラガｰサｰジュ, 68,佐藤哲, 1.8, 59,   3,   0, 9, 33.9,⑫⑫⑨,12, 3,Ｃマルノパイオニア, 69,佐藤哲, 1.8, 61,  -9,   4, 8, 24.5,⑬⑫⑪
,,,,,,,,,,,,13, 2,Ｋホッコｰマスコット, 50,田中克, 3.2, 48,   4, -21, 8, 46.6,⑥⑤⑤,13, 7,Ｏメイショウシオギリ, 51,石橋守, 1.9, 57,*  7,  -9,14, 88.9,②②②,13, 5,Ｉマイネルインゼル, 65,藤岡康, 2.1, 51,*  0, -19, 4,  8.1,⑤②②
,,,,,,,,,,,,14, 3,Ｊロｰテコスミオン, 51,福永祐, 3.4, 46,   1, -18, 7, 44.3,⑫⑪⑨,14, 6,Ｎテンザンオトヒメ, 52,上村洋, 2.1, 58,   4,  -4, 7, 30.3,⑧⑧⑦,14, 9,Ｊトロピカルシャドウ, 64,熊沢重, 3.1, 41,*  0, -33,13, 87.1,②②⑦
,,,,,,,,,,,,15, 8,Ｌマルタカヴィグラス, 42,小坂忠, 3.6, 44,  -1, -17,15,297.3,⑫⑬⑮,15,13,Ｍビバロングライフ, 61,角田晃, 3.7, 45,   6, -23,15,144.5,③③⑨,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:59 ﾚｰｽﾍﾟｰｽ指数:-8 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:不良(指数:-11),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:-7 馬場:重(指数:-11),,,,,,,,,,,,ｸﾗｽ上位平均:71 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:重(指数:-11),,,,,,,,,,,,ｸﾗｽ上位平均:75 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:稍重(指数:1),,,,,,,,,,,
"単勝:770円 複勝:03=390円 05=650円 07=190円 枠連:5,900円",,,,,,,,,,,,単勝:150円 複勝:06=110円 07=160円 13=130円 枠連:520円,,,,,,,,,,,,単勝:400円 複勝:08=170円 12=180円 02=590円 枠連:400円,,,,,,,,,,,,単勝:430円 複勝:01=150円 14=410円 13=160円 枠連:600円,,,,,,,,,,,
"馬連:8,640円 ワイド:03-05=2,310円 03-07=890円 05-07=1,350円",,,,,,,,,,,,馬連:530円 ワイド:06-07=250円 06-13=160円 07-13=450円,,,,,,,,,,,,"馬連:1,000円 ワイド:08-12=470円 02-08=1,570円 02-12=2,140円",,,,,,,,,,,,"馬連:4,210円 ワイド:01-14=1,210円 01-13=290円 13-14=1,160円",,,,,,,,,,,
"馬単:12,640円 3連複:15,930円 3連単:115,280円",,,,,,,,,,,,"馬単:690円 3連複:530円 3連単:2,110円",,,,,,,,,,,,"馬単:1,970円 3連複:7,880円 3連単:31,970円",,,,,,,,,,,,"馬単:8,730円 3連複:5,430円 3連単:39,390円",,,,,,,,,,,
■ 3R  芝1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 6R  芝1200m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-6,,,,,■ 9R  ダ1700m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■12R  芝1200m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,由布院特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,14,Ａタッチオブレインズ, 67,和田竜,, 63,*  3,  -4, 1,  1.9,⑧③④, 1, 1,Ｂニシノクニカラ, 62,石橋守,, 71,*  8,  -6, 2,  4.8, ②②, 1, 8,Ｇマイプリティワン, 77,幸英明,, 81,   7,* 13, 6, 10.8,⑩⑩⑧, 1, 5,Ｇミスズアロハ, 65,幸英明,, 72,* -5,   9, 1,  3.6, ③②
 2,10,Ｂメイショウオバナ, 62,福永祐, 0.1, 61,   0,  -2, 8, 22.6,⑭⑧⑦, 2, 3,Ｇランラン, 55,幸英明, 0.1, 66,   2,* -2, 3,  6.6, ③③, 2,15,Ａサンライズラッシュ, 82,太宰啓, 0.2, 78,* 10,   6, 5,  9.0,②①①, 2,13,Ｈマッキｰバクシン, 64,野元昭, 0.0, 73,*  0,   6, 8, 23.2, ①①
 3, 6,Ｃマルイチシンゲキ, 62,幸英明, 0.2, 61,   1,  -6, 3,  7.5,④⑦④, 3,17,Ｆホッカイシｰラ, 57,鮫島良, 0.5, 58,  -4,* -1, 7, 12.5, ⑪⑪, 3, 3,Ｉスペｰスフライト, 74,佐藤哲, 0.8, 76,   8,   4,10, 43.8,⑤⑤⑥, 3, 3,Ｆトシザコジｰン, 65,浜中俊, 0.3, 69,  -9,   9, 4,  7.2, ⑧⑦
 4, 2,Ｆスタンドフラワｰ, 57,角田晃, 0.2, 62,  -4,*  5, 9, 28.1,⑮⑮⑨, 4, 2,Ｌマックスロザリｰ, 39,藤岡康, 0.6, 65,* 13, -19, 6, 10.1, ①①, 4, 6,Ｎブライアンズエッセ, 72,福永祐, 0.9, 75,   7,   5, 8, 24.0,⑫⑩⑧, 4, 7,Ｒピサノイナバウアｰ, 50,池添謙, 0.4, 69, -17,* 18,13, 76.2, ⑭⑭
