08年 9月 7日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 9月 7日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1700m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■ 4R  芝1800m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝1200m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■10R  芝1200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ札幌,,,,,,,,,,,,,,,,,,,,,,,,ﾆｾｺ特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 9, 6,Ｊチャｰムメイク, 23,三浦皇, 2.1, 32,  -9, -16, 7, 59.9, ⑧⑨, 9, 5,Ｉモニカ, 50,宮崎光, 2.4, 52,   3, -17,11, 67.7,⑤③③, 9, 2,Ｋクレアシオン, 57,古川吉, 1.2, 65,   0,  11, 6, 28.8,⑨⑨⑧, 9, 4,Ｈアサクササンジャ, 74,松田大, 0.9, 68,*  9, -10,10, 92.1,③③③
10, 4,Ｋナムラアマランス, 19,北村浩, 3.6, 14,  -6, -39,10,256.9, ⑥⑩,10,13,Ｆセイントプラチナ, 58,津村明, 2.4, 52,   3, -17, 7, 16.6,②③⑦,10, 7,Ｈニシノキンレンポ, 66,宮崎光, 1.4, 61,   3,   5, 9, 69.2,⑤④⑥,10,12,Ｌマイグッドフェロｰ, 66,丸田恭, 1.0, 67,*  9, -11,11,159.9,③③③
,,,,,,,,,,,,11, 6,Ｋヴィｰナスロｰズ, 44,的場勇, 2.7, 50,   2, -17,12,115.8,⑦⑧⑩,11, 6,Ｊヤマカツマドンナ, 59,武英智, 3.9, 44,  -1, -11,12,192.4,⑨⑩⑫,11,10,Ｊクリノトップオｰ, 68,大野拓, 1.4, 62,   2,  -5,12,176.3,⑨⑨⑪
,,,,,,,,,,,,12, 7,Ｍハウリングソウル, 27,池添謙, 2.8, 48,   3, -20, 9, 31.2,②③⑨,12, 9,Ｉトウカイブレイズ, 60,荻野琢, 5.5, 35,   3, -30,10, 85.1,⑥⑥⑩,12, 9,Ｋヒシアスペン, 67,郷原洋, 1.4, 62,* 11, -19, 8, 48.7,②②②
,,,,,,,,,,,,13,10,Ｌコアレスインライフ, 37,竹之下, 5.1, 35,  -3, -28,13,271.4,⑬⑬⑬,13,10,Ｍヴィｰナスイモン, 45,郷原洋,13.7,-25,  -4, -85,13,324.7,⑬⑬⑬,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
