08年11月29日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年11月29日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1400m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 4R  芝3000m 3歳上未勝利 定量,,,,,,,,,,,,■ 7R  ダ1600m 2 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■10R  芝2000m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
ｸﾗｽ上位平均:59 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:重(指数:-6),,,,,,,,,,,,ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:重(指数:-6),,,,,,,,,,,,ｸﾗｽ上位平均:86 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:良(指数:1),,,,,,,,,,,
"単勝:760円 複勝:10=270円 08=790円 02=1,040円 枠連:430円",,,,,,,,,,,,単勝:160円 複勝:06=110円 01=220円 10=310円 枠連:640円,,,,,,,,,,,,"単勝:170円 複勝:03=110円 08=780円 14=590円 枠連:1,430円",,,,,,,,,,,,"単勝:1,980円 複勝:04=500円 03=220円 02=1,780円 枠連:4,820円",,,,,,,,,,,
"馬連:9,660円 ワイド:08-10=2,540円 02-10=3,500円 02-08=8,170円",,,,,,,,,,,,"馬連:730円 ワイド:01-06=320円 06-10=510円 01-10=1,450円",,,,,,,,,,,,"馬連:3,300円 ワイド:03-08=1,150円 03-14=910円 08-14=5,770円",,,,,,,,,,,,"馬連:4,750円 ワイド:03-04=1,660円 02-04=12,700円 02-03=7,100円",,,,,,,,,,,
"馬単:16,390円 3連複:77,620円 3連単:401,850円",,,,,,,,,,,,"馬単:1,000円 3連複:3,250円 3連単:8,870円",,,,,,,,,,,,"馬単:4,230円 3連複:15,340円 3連単:65,490円",,,,,,,,,,,,"馬単:11,940円 3連複:115,940円 3連単:703,870円",,,,,,,,,,,
■ 3R  芝1600m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 6R  芝1600m 2 歳新馬 馬齢,,,,,,,,,,,,■ 9R  芝1400m 3歳上1000万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■12R  ダ1400m 3歳上1000万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,ｾﾚﾌﾞﾚｲｼｮﾝ賞,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,14,Ｆムクドク, 52,ルメｰ,, 65,  12, -11, 7, 14.6, ⑥⑤, 1,11, サトノエクスプレス,---,北村宏,, 55,*-33,  19, 2,  3.9, ③③, 1, 3,Ｂヴィヴァチッシモ, 81,北村宏,, 77,   2,* 11, 3,  7.1, ⑩⑩, 1, 1,Ａセレスハント, 83,後藤浩,, 80,*  5,  12, 1,  2.5, ①①
 2, 1,Ｃシルクダンディｰ, 55,横山典, 0.0, 64,   6,* -2, 2,  5.3, ⑩⑫, 2,13, ケニアブラック,---,蛯名正, 0.1, 58, -34,  21, 1,  3.1, ⑦⑥, 2, 9,Ｄセンシュアルドレス, 79,柴田善, 0.0, 79,   0,* 15, 6, 15.2, ⑭⑭, 2, 8,Ｆディスパｰロ, 75,ルメｰ, 0.3, 76,*  4,  10, 3,  7.0, ②②
 3, 7,Ｉインファティック, 51,田中勝, 0.1, 65,   8,* -5,11, 34.8, ⑪⑩, 3, 5, トップキングダム,---,柴田善, 0.1, 61, -37,* 27, 5, 10.3, ⑫⑪, 3, 7,Ｅミルクトｰレル, 78,ルメｰ, 0.1, 78,   9,   0, 1,  2.2, ⑥⑤, 3, 9,Ｇシルクパスワｰド, 74,幸英明, 0.4, 77,*  3,  10, 6, 14.9, ③③
 4,11,Ｊニシノアララギ, 48,三浦皇, 0.3, 62,   9, -11, 5, 11.2, ⑧⑧, 4, 1, ルｰクラッド,---,吉田隼, 0.3, 58, -40,* 27, 9, 37.1, ⑪⑫, 4,14,Ｏヘヴンリｰクルｰズ, 63,中舘英, 0.2, 78,* 10,  -2, 9, 40.2, ③③, 4, 7,Ｃモンプティクｰル, 76,横山典, 0.5, 75,   2,  10, 2,  4.7, ④④
 5, 5,Ｇコスモディアナ, 52,石橋脩, 0.5, 61,   5,* -5, 3, 10.8, ⑭⑮, 5, 6, テクニカルラン,---,内田博, 1.1, 43, -34,   7, 6, 17.6, ⑥④, 5,11,Ｈパパラチア, 73,幸英明, 0.3, 77,   9,  -1,11, 53.5, ⑦⑦, 5,13,Ｉシュウザンアイ, 73,伊藤工, 1.1, 73,  -6,* 16, 5, 11.9, ⑯⑯
 6, 4,Ａダイワオｰドリｰ, 64,北村宏, 0.8, 55,   5,  -9,10, 32.1, ⑮⑭, 6,10, アｰスコンシャス,---,横山典, 1.1, 40,*-33,   3, 4,  7.0, ②②, 6, 2,Ｉキルシュブリュｰテ, 73,内田博, 0.3, 76,   9,  -1, 4,  9.2, ⑤⑥, 6, 6,Ｋグラインダｰ, 73,小林久, 1.1, 73,  -5,* 15,14, 62.2, ⑭⑭
 7, 9,Ｂタカラサンデｰ, 58,後藤浩, 0.8, 54,* 15, -28, 1,  2.5, ②②, 7, 3, ケイズパステル,---,安藤光, 1.2, 43, -37,   9,10, 68.0, ⑨⑨, 7, 5,Ｊラドランファｰマ, 73,吉田豊, 0.5, 72,   1,   7,13, 83.8, ⑫⑫, 7,10,Ｏマルタカエンペラｰ, 62,丹内祐, 1.2, 71,   0,   8,13, 59.0, ⑦⑨
 8, 3,Ｄネイチャｰキング, 55,高山太, 0.9, 56,   7, -13, 4, 11.0, ⑫⑪, 8, 8, エｰシンベルベット,---,柴山雄, 1.4, 39, -36,   5, 7, 21.3, ⑧⑧, 8, 4,Ｇカシノリボン, 74,吉田隼, 0.6, 71,   5,  -1, 8, 24.2, ⑧⑧, 8,16,Ｈカイテキネオ, 74,大庭和, 1.2, 71,   2,   5, 9, 28.2, ⑧⑥
 9, 2,Ｏマキノソアラ, 33,武士沢, 1.1, 53,   9, -22,16,139.0, ⑦⑦, 9,12, エスタｰナ,---,加藤士, 1.6, 34,*-33,  -2,11, 96.0, ④⑤, 9, 6,Ｆコウヨウマリｰン, 76,江田照, 0.6, 71,   5,  -1, 7, 17.2, ⑨⑨, 9,15,Ｅマルタラヴ, 75,宮崎北, 1.3, 70,  -5,* 13,16,293.1, ⑮⑮
10,12,Ｍマンダリンシルバｰ, 40,蛯名正, 1.2, 52,   5, -16,12, 48.0, ⑬⑬,10, 7, マイスイｰトベス,---,勝浦正, 1.8, 35, -37,   1,12,144.9, ⑩⑩,10,13,Ｌホワイトヴェｰル, 69,勝浦正, 0.7, 71,   0,   6,12, 80.9, ⑬⑮,10,11,Ｌスイｰトフィズ, 73,蛯名正, 1.5, 67,   2,   1, 4, 10.3, ⑤⑤
11,17,Ｒミスベルツリｰ, 27,木幡初, 1.4, 49,  11, -28,13, 63.6, ⑨⑨,11, 4, エタｰナルレイズ,---,吉田豊, 1.8, 32, -36,  -2, 3,  4.2, ⑤⑦,11,12,Ｋオリオンオンサイト, 72,三浦皇, 0.7, 72,* 12, -13,10, 52.3, ①①,11, 5,Ｄモンテチェリｰ, 75,柴田善, 1.6, 67,  -3,   6, 8, 18.2, ⑪⑫
12, 6,Ｎエバｰライジング, 35,内田博, 1.5, 47,  12, -33, 9, 19.5, ⑤④,12, 9, アドマイヤホｰム,---,後藤浩, 2.3, 23,*-33, -14, 8, 31.8, ①①,12,10,Ｍサマｰエタニティ, 66,柴山雄, 0.7, 69,   1,   3,15,177.5, ⑪⑪,12,12, ラビットマン,---,佐藤聖, 1.7, 66,  -5,   8,12, 57.8, ⑫⑬
13,13,Ｌナムラマｰキュリｰ, 43,中舘英, 1.6, 48,   1, -15,17,332.0, ⑰⑰,13, 2, ファインリヴァｰ,---,丸田恭, 3.8,  7, -43, -18,13,164.6, ⑬⑬,13, 8,Ｃリｰベストラウム, 80,石橋脩, 1.1, 66,   0,   0, 5, 14.0, ⑮⑬,13, 4,Ｎエイダイタカラブネ, 72,増沢由, 1.7, 66,  -1,   4,10, 41.2, ⑬⑪
14,10,Ｅマイネルクロッシュ, 53,柴山雄, 1.8, 43,* 13, -40, 6, 11.8, ③③,,,,,,,,,,,,,14, 1,Ｎファッシオドンナ, 63,木幡初, 1.2, 65,   9, -14,14,105.5, ②④,14, 3,Ｂクリアエンデバｰ, 78,中舘英, 1.7, 65,  -1,   3,11, 43.9, ⑩⑩
15, 8,Ｋシャルトルブルｰ, 47,的場勇, 1.9, 43,  -6,  -8,15,129.3, ⑱⑱,,,,,,,,,,,,,15,15,Ａラルケット, 81,横山典, 1.3, 64,* 12, -20, 2,  4.7, ④②,15,14,Ｍホワイトリｰベ, 72,吉田豊, 2.3, 62,   0,  -3, 7, 17.2, ⑨⑧
16,15,Ｐヴィｰヴァコルサ, 33,宮崎北, 2.5, 37,   3, -33,18,371.9, ⑯⑯,,,,,,,,,,,,,,,,,,,,,,,,,16, 2,Ｊマグネティックマン, 73,西田雄, 3.1, 54,   0, -10,15,170.8, ⑥⑦
17,16,Ｈバイタルシチｰ, 51,吉田豊, 2.6, 37,* 13, -50, 8, 17.1, ④⑥,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,18,Ｑレッドハイヒｰル, 31,幸英明, 2.8, 36,* 19, -64,14,100.7, ①①,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
