08年10月11日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年10月11日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1400m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-13,,,,,■ 4R  ダ1600m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  ダ1400m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,,■10R  芝2000m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,,,,,,,,,,,,,本栖湖特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,14,Ａシｰダｰ, 59,武士沢,, 60,   1,* -5, 1,  2.4,⑫⑪⑨, 1, 8,Ｃウェディングフジコ, 73,蛯名正,, 82,* 11,*  6, 1,  2.7, ③②, 1, 5,Ｂデイトユアドリｰム, 70,三浦皇,, 73,  -5,* 21, 2,  3.5, ⑤④, 1, 1,Ａエタｰナルスマイル, 83,伊藤直,, 82,  10,*  9, 4,  6.3,⑤⑤⑤
 2, 6,Ｃホクトグレイン, 56,柴田善, 0.3, 56,   2, -14, 2,  5.0,⑤④⑥, 2,11,Ｄショウカク, 72,内田博, 0.5, 77,* 10,   3, 2,  4.7, ⑤④, 2,10,Ｆコウエイフラッシュ, 57,和田竜, 0.2, 71,* -3,  15, 3,  4.7, ①①, 2,13,Ｈメイショウゲンスイ, 79,内田博, 0.0, 82,* 11,*  7, 1,  3.8,③③③
 3,13,Ｅワｰルドカルティエ, 50,横山典, 0.4, 55,   0,*-11, 3,  7.2,⑩⑩⑨, 3,10,Ｈエムアイティアラ, 68,武士沢, 0.7, 77,   1,* 15,10, 74.3, ⑮⑬, 3, 6,Ａパｰフェクトケン, 72,内田博, 0.5, 68,* -4,  13, 1,  2.5, ②②, 3, 6,Ｃアドマイヤレグルス, 80,安藤勝, 0.3, 81,* 11,*  5, 2,  4.7,⑤⑤⑤
 4,10,Ｋトレジャｰバトル, 36,吉田豊, 0.5, 54,*  3, -20,10, 33.9,④④③, 4, 3,Ｆスズカエルマンボ, 68,後藤浩, 1.1, 72,   8,   1, 3,  5.2, ⑦⑦, 4, 9,Ｅキングアレキサンダ, 59,蛯名正, 1.5, 61,  -6,   7, 5, 11.9, ④④, 4, 2,Ｂグランシュヴァリエ, 81,横山典, 0.8, 77,* 12,  -2, 3,  5.4,①①①
 5, 1,Ｊワイルドトウショウ, 37,中舘英, 0.8, 52,   0, -20, 7, 16.2,⑧⑧⑧, 5, 1,Ｂアドマイヤミスティ, 74,村田一, 1.4, 73,   6,   0, 6, 16.3, ⑨⑧, 5, 1,Ｄケイアイウミノカミ, 60,安藤勝, 1.5, 62,  -8,  11, 7, 18.9, ⑧⑥, 5, 4,Ｋゴｰルデンルｰヴェ, 78,北村宏, 0.9, 76,* 11,  -1,10, 25.7,③③③
 6, 8,Ｈコスモエルベン, 44,千葉直, 0.8, 51,   2, -21, 8, 20.2,⑥④⑥, 6,15,Ｇウメノカイウン, 68,大野拓, 1.6, 70,   4,   2, 5, 12.8, ⑪⑫, 6, 4,Ｇザグ, 57,後藤浩, 1.7, 60,  -9,  10, 8, 37.7, ⑧⑨, 6, 9,Ｇスタｰシップ, 79,津村明, 1.0, 76,   9,*  5, 7, 17.8,⑫⑪⑫
 7, 3,Ｍタケデンエンパイヤ, 29,嘉藤貴, 1.2, 49,  -2, -18,12,111.8,⑪⑪⑫, 7, 5,Ａペチカ, 75,横山典, 2.3, 62,* 10, -15, 4,  6.1, ①①, 7, 2,Ｊメイショウコウセイ, 48,柴山雄, 2.2, 56,  -8,   5, 6, 17.4, ⑥⑥, 7, 3,Ｄプラチナメｰン, 80,柴田善, 1.2, 75,  10,  -1, 9, 25.5,⑦⑨⑦
 8, 5,Ｎコスモハイライフ, 28,三浦皇, 1.3, 47,*  3, -31,11, 60.1,③③③, 8, 7,Ｋマキハタセンシブル, 63,高山太, 2.6, 64,   2,  -2,11,105.0, ⑭⑬, 8, 8,Ｃグラスキング, 65,勝浦正, 2.5, 53,  -9,   2, 4,  9.5, ⑥⑥, 8,16,Ｅゲンパチタキオン, 79,蛯名正, 2.0, 70,   7,  -2, 6, 13.5,⑭⑫⑬
 9,11,Ｆリアルストロンガｰ, 45,加藤士, 1.4, 45,*  3, -34, 6, 13.9,②②②, 9, 6,Ｅグレイスフルムｰヴ, 70,吉田隼, 2.7, 60,* 11, -18, 7, 22.7, ②②, 9, 7,Ｉネコパンチ, 54,柴田善, 2.8, 50,* -4,  -7, 9, 43.4, ③②, 9, 7,Ｉメジロティモン, 78,吉田豊, 2.2, 69,   6,   0, 5, 10.2,⑫⑮⑯
10, 2,Ｌインタｰメディア, 35,宮崎北, 1.5, 45,  -1, -26,14,226.2,⑨⑨⑨,10, 2,Ｏブルｰジュ, 55,三浦皇, 2.9, 58,   6, -12, 8, 22.9, ⑨⑨,,,,,,,,,,,,,10, 8,Ｆプレシャスピクセル, 79,石橋脩, 2.4, 68,   9,  -9, 8, 18.5,⑦⑨⑩
