08年11月15日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年11月15日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:10,,,,,■ 4R  ダ1200m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  ダ1800m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■10R  ダ1200m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
 9,13,Ｍテイエムシバスキｰ, 33,田中克, 1.4, 57,  -8,   2,12,199.5,⑬⑬⑬, 9, 3, バリアントバイオ,---,小牧太, 2.0, 45, -20,  -1,10, 68.9, ⑫⑬, 9,14,Ｃパレスミサイル, 78,田嶋翔, 2.3, 64,   7,  -9, 4,  9.6,⑩⑪⑫, 9, 2,Ｎテイエムフルパワｰ, 73,池添謙, 0.9, 75,  -5,* 16,10, 49.8, ⑯⑯
10, 1,Ｌマルタカアンデス, 43,川田将, 1.8, 51,  -6,  -6, 7, 26.1,⑧⑩⑨,10, 2, シルクボヌｰル,---,小林徹, 2.2, 43, -16,  -6,12,167.4, ⑪⑩,10, 5,Ｋセイウンロデム, 72,浜中俊, 2.3, 63,* 11, -17, 8, 39.9,⑤③④,10, 7,Ｆテイエムハヤテオｰ, 79,小牧太, 1.0, 73,   2,   7, 4,  7.6, ⑨⑨
11, 3,Ｉトｰコｰタカシ, 50,小牧太, 1.9, 49,* -2, -14, 2,  4.3,①①①,11,14, ケイアイアスノカミ,---,川田将, 2.2, 42,  -9, -13, 3,  4.4, ⑦⑧,11,11,Ｅテンザンメダリスト, 77,橋本美, 2.5, 65,   4,  -6,10, 54.2,⑭⑭⑭,11, 6,Ｊゴｰビハインド, 76,福永祐, 1.1, 73,  -5,  13, 8, 31.9, ⑮⑮
12, 9,Ｇミヤジダイキチ, 54,福永祐, 2.0, 50,  -7,  -8,11, 84.4,⑪⑪⑩,12,12, グリｰンスキｰ,---,田中克, 3.5, 32, -10, -23,13,175.2, ⑨⑨,12, 1,Ｌエアタイタン, 70,藤岡佑, 2.5, 61,  10, -17, 6, 21.6,③④③,12, 3,Ｉダイゴカムイ, 78,幸英明, 1.1, 72,  -4,  12,12, 68.9, ⑭⑭
13, 4,Ｊメイショウワザアリ, 48,渡辺薫, 2.1, 51,  -6,  -8,13,293.1,⑩⑨⑪,13, 9, ハｰトランドコロナ,---,佐藤哲, 3.7, 31, -14, -21,14,175.8, ⑩⑪,13, 2,Ｍウォｰタｰトリック, 62,高橋亮, 2.7, 61,   7, -14,14,304.7,⑧⑨⑨,13,15,Ｌトウショウモｰド, 76,角田晃, 1.2, 71,   2,   5,13, 78.8, ⑩⑩
,,,,,,,,,,,,,,,,,,,,,,,,14,10,Ｎテンザンオトヒメ, 56,高野容, 5.1, 47,   8, -34,13,237.0,⑥⑦⑬,14, 1,Ｏケンブリッジマイア, 71,田中健, 1.5, 70,  -4,   9,14,112.9, ⑬⑫
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,13,Ｐビッグボス, 68,川田将, 1.9, 64,  -2,   3,16,214.7, ⑫⑬
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,12,Ｍインプリシット, 74,秋山真, 3.8, 48,* 10, -26,15,209.2, ②②
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:59 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:良(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:-5),,,,,,,,,,,
"単勝:270円 複勝:08=140円 06=1,280円 12=150円 枠連:860円",,,,,,,,,,,,単勝:670円 複勝:06=220円 08=410円 11=170円 枠連:660円,,,,,,,,,,,,"単勝:1,390円 複勝:03=280円 06=130円 07=130円 枠連:1,770円",,,,,,,,,,,,"単勝:800円 複勝:10=220円 09=190円 11=140円 枠連:2,070円",,,,,,,,,,,
"馬連:16,950円 ワイド:06-08=3,910円 08-12=270円 06-12=4,700円",,,,,,,,,,,,"馬連:5,310円 ワイド:06-08=1,660円 06-11=590円 08-11=850円",,,,,,,,,,,,"馬連:2,180円 ワイド:03-06=590円 03-07=560円 06-07=180円",,,,,,,,,,,,"馬連:2,090円 ワイド:09-10=760円 10-11=540円 09-11=470円",,,,,,,,,,,
"馬単:19,890円 3連複:18,520円 3連単:115,240円",,,,,,,,,,,,"馬単:12,630円 3連複:6,350円 3連単:53,160円",,,,,,,,,,,,"馬単:5,400円 3連複:1,390円 3連単:13,730円",,,,,,,,,,,,"馬単:4,400円 3連複:2,450円 3連単:16,410円",,,,,,,,,,,
■ 2R  芝1400m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,,■ 5R  芝1600m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 8R  芝2000m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■11R  芝2000m 3歳上ｵｰﾌﾟﾝ(国) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,,,,,,,,,,,,,ｱﾝﾄﾞﾛﾒﾀﾞS,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 9,Ｂトシザワイルド, 53,川田将,, 59,  -6,*  0, 1,  2.6, ⑦⑦, 1, 7, タキオンクｰル,---,浜中俊,, 51, -25,*  5, 1,  3.2, ⑦⑦, 1, 3,Ｃネヴァキングダム, 81,安藤勝,, 81,   3,* 11, 3,  5.5,④④③, 1,10,Ｇヤマニンキングリｰ, 84,武豊  ,, 91,*  7,* 18, 1,  2.7,④⑥⑥
 2, 8,Ｍラファエロ, 37,上村洋, 0.2, 57,  -8,*  0, 4, 13.0, ⑩⑩, 2, 3, トウショウデザイア,---,池添謙, 0.2, 45, -23,   0, 2,  3.9, ④④, 2, 9,Ａブラックシャンツェ, 81,武豊  , 0.1, 82,   0,* 16, 1,  3.3,⑧⑧⑧, 2, 4,Ｃダブルティンパニｰ, 90,藤田伸, 0.0, 88,*  8,  13, 3,  6.0,①①①
 3, 3,Ｊブルｰライジング, 42,藤田伸, 0.4, 54,  -4,  -6,12, 98.4, ⑤⑤, 3,10, レインフォｰレスト,---,藤岡佑, 0.3, 43, -23,  -2, 4,  7.8, ⑤⑤, 3, 5,Ｅタイセイファイタｰ, 76,小牧太, 0.1, 78,   4,   5, 5,  8.1,③③②, 3, 7,Ｂホッコｰパドゥシャ, 90,渡辺薫, 0.1, 89,*  7,  14, 5, 12.9,②②②
 4, 5,Ｅエルシッド, 50,藤岡佑, 0.5, 53,  -8,  -4, 3,  4.7, ⑨⑨, 4, 5, サダムダンディ,---,佐藤哲, 0.3, 41,*-20,  -8, 5,  8.3, ①①, 4, 7,Ｆマルカハンニバル, 75,角田晃, 0.4, 75,*  6,  -2, 6,  8.3,②②①, 4, 2,Ｈアグネストレジャｰ, 83,ルメｰ, 0.3, 90,   6,  16, 4,  7.5,⑨⑧⑧
 5,13,Ｃマチカネコロモガワ, 52,酒井学, 0.5, 53,  -4,  -9, 6, 23.5, ③③, 5, 6, エｰシンカハナモク,---,ルメｰ, 0.4, 47, -27,*  4,13, 55.8, ⑩⑨, 5, 6,Ｄアヴェンティｰノ, 78,浜中俊, 0.6, 77,   2,   5, 4,  6.6,⑤⑤⑤, 5, 5,Ａニホンピロリビエラ, 91,川島信, 0.5, 85,   6,  14, 2,  5.9,⑧⑦⑦
 6,12,Ｋデアモント, 41,小牧太, 0.6, 52, -11,  -1,11, 91.2, ⑫⑫, 6,16, キｰヤマト,---,福永祐, 0.4, 49, -32,* 12, 7, 17.1, ⑯⑰, 6, 4,Ｇブレイブファイト, 75,岩田康, 0.8, 72,   0,   5, 2,  3.4,⑦⑦⑦, 6, 6,Ｉトウカイエリｰト, 82,上村洋, 0.6, 84,*  7,   8, 9, 17.5,⑤③③
 7, 7,Ｄゼットオｰジ, 51,渡辺薫, 0.7, 53, -14,*  3, 5, 20.6, ⑭⑬, 7, 2, レッドサｰパス,---,武豊  , 0.4, 43, -25,   0, 3,  6.4, ⑥⑥, 7, 1,Ｈテンザンコノハナ, 75,田中克, 1.0, 73,  -1,   6, 8, 48.2,⑨⑨⑨, 7, 3,Ｆブレｰヴハｰト, 85,藤岡佑, 0.6, 87,   3,* 19, 6, 14.5,⑫⑬⑬
 8, 1,Ａカネトシコウショウ, 57,武幸四, 0.7, 52,  -7,  -8, 2,  2.9, ⑧⑧, 8,14, マコトエレンシア,---,岩田康, 0.6, 40, -25,  -3, 8, 35.4, ⑧⑧, 8, 2,Ｉアドマイヤカンナ, 73,上村洋, 1.9, 63,   0, -11, 9, 52.3,⑥⑥⑥, 8, 9,Ｌメイショウオウテ, 74,幸英明, 0.6, 87,   3,  17,10, 34.7,⑬⑫⑩
 9,14,Ｆカシノレオン, 50,田中健, 0.8, 49,*  0, -17, 9, 44.4, ①①, 9, 8, メイショウボルト,---,武幸四, 1.0, 37, -26,  -7, 6, 14.3, ⑨⑩, 9, 8,Ｂコアレスストｰム, 81,川田将, 7.3, -4,*  6, ---, 7, 21.9,①①④, 9,11,Ｅマイネルハｰティｰ, 85,角田晃, 0.7, 85,   4,  13,13, 60.4,⑩⑩⑪
10, 4,Ｌフィｰルドカフェ, 41,武英智, 1.0, 47, -11,  -7,13,136.8, ⑪⑪,10,17, パｰプルラッキｰ,---,小林徹, 1.1, 37, -29,  -3,17,234.3, ⑫⑬,,,,,,,,,,,,,10,12,Ｊアサカディフィｰト, 82,池添謙, 0.9, 81,   4,  11, 8, 15.9,⑪⑪⑫
11, 6,Ｇサチノユニヴァｰス, 49,長谷川, 1.3, 44,  -5, -17, 7, 25.2, ⑥⑥,11,12, マッキｰシリコン,---,野元昭, 1.2, 36, -28,  -4,18,304.9, ⑪⑫,,,,,,,,,,,,,11, 8,Ｋパｰフェクトジョイ, 82,秋山真, 1.4, 73,*  7,  -2,11, 44.0,⑥⑤⑤
12,15,Ｈトミケンドラゴン, 46,鮫島良, 1.7, 40,  -4, -24,10, 77.1, ④④,12, 9, ユウキグッドラン,---,橋本美, 1.2, 36, -30,  -3,16,224.5, ⑬⑪,,,,,,,,,,,,,12,13,Ｄスクｰルボｰイ, 88,田中健, 1.7, 70,   5,  -4,12, 51.0,⑦⑨⑨
13,10,Ｉニチドウダイヤ, 45,田嶋翔, 1.7, 39,* -3, -26, 8, 28.0, ②②,13, 4, メイショウケンロク,---,高橋亮, 1.2, 36, -32,   0,11, 51.5, ⑰⑭,,,,,,,,,,,,,13, 1,Ｍニホンピロキｰス, 72,酒井学, 1.8, 67,*  7, -10, 7, 15.8,③④④
14, 2,Ｏエイユｰレインボｰ,-10,野元昭, 3.0, 25, -16, -25,14,206.1, ⑬⑭,14,13, ヤマニンバジリック,---,熊沢重, 1.4, 34, -32,  -3, 9, 42.5, ⑭⑮,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,15, 1, ドリｰムバンブｰ,---,川田将, 1.6, 34, -34,   0,14,131.9, ⑱⑱,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,16,11, タイトｰキャップ,---,幸英明, 1.6, 26,*-20, -24,10, 45.3, ②②,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,17,18, ダノンブリッジ,---,ペリエ, 1.8, 21,*-22, -25,12, 53.5, ③③,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,18,15, カタンジャレ,---,小牧太, 1.9, 26, -32, -11,15,145.5, ⑮⑯,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:-12 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:-0 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:86 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:-2),,,,,,,,,,,
"単勝:260円 複勝:09=130円 08=350円 03=1,720円 枠連:1,710円",,,,,,,,,,,,単勝:320円 複勝:07=140円 03=140円 10=200円 枠連:480円,,,,,,,,,,,,単勝:550円 複勝:03=200円 09=140円 05=210円 枠連:800円,,,,,,,,,,,,単勝:270円 複勝:10=150円 04=170円 07=360円 枠連:400円,,,,,,,,,,,
"馬連:1,810円 ワイド:08-09=670円 03-09=2,730円 03-08=9,410円",,,,,,,,,,,,馬連:640円 ワイド:03-07=340円 07-10=490円 03-10=570円,,,,,,,,,,,,馬連:990円 ワイド:03-09=410円 03-05=700円 05-09=540円,,,,,,,,,,,,馬連:820円 ワイド:04-10=370円 07-10=700円 04-07=910円,,,,,,,,,,,
"馬単:2,580円 3連複:32,760円 3連単:110,720円",,,,,,,,,,,,"馬単:1,440円 3連複:1,470円 3連単:5,890円",,,,,,,,,,,,"馬単:2,060円 3連複:2,090円 3連単:12,120円",,,,,,,,,,,,"馬単:1,300円 3連複:2,940円 3連単:11,290円",,,,,,,,,,,
■ 3R  芝1600m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 6R  ダ1200m 2 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 9R  芝3930m 3歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,,,,,,■12R  芝1600m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,京都ﾊｲｼﾞｬﾝﾌﾟ,,,,,,,,,,,,東山特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 4,Ｂブエナビスタ, 59,安藤勝,, 66,  -9,* 11, 1,  1.2, ⑨⑧, 1, 7,Ｄラインオブナイト, 65,ルメｰ,, 71,   5,   1, 6, 17.8, ③④, 1, 9, キングジョイ,,高田潤,,,,, 4,  8.3,⑤⑤③, 1,10,Ｄケイアイケイマン, 79,ペリエ,, 86,   5,  15, 3,  6.4, ⑤⑤
 2,10,Ａハッピｰパレｰド, 60,岩田康, 0.5, 58,  -6,  -1, 2,  7.0, ⑤⑤, 2, 9,Ｃヒシコモンズ, 69,佐藤哲, 0.0, 73,*  7,  -1, 4, 12.1, ①①, 2, 5, コウエイトライ,,小坂忠,266.8,,,, 1,  2.5,①①①, 2, 9,Ａトレノジュビリｰ, 82,岩田康, 0.0, 85,*  7,  12, 6, 18.9, ②②
 3,14,Ｊトｰアクレセント, 43,小牧太, 0.8, 54,* -2, -13, 5, 19.1, ①①, 3, 6,Ａゼットサンサン, 79,武豊  , 0.0, 71,*  6,   0, 1,  1.6, ②②, 3, 3, エイシンニｰザン,,西谷誠,268.4,,,, 2,  3.0,④④⑤, 3, 2,Ｇライブコンサｰト, 78,上村洋, 0.1, 87,   5,  13, 4,  7.3, ③③
 4, 7,Ｄシゲルキリガミネ, 54,佐藤哲, 1.0, 51,  -5, -12, 6, 52.7, ④④, 4, 4,Ｂシゲルカサギヤマ, 71,角田晃, 0.2, 70,   4,   0, 3, 10.7, ④③, 4,11, クｰルジョイ,,金折知,268.5,,,,13,171.7,⑧⑨⑨, 4, 7,Ｋルｰルプロスパｰ, 74,角田晃, 0.1, 85,*  8,   9, 7, 19.2, ①①
 5, 6,Ｉマイネフレア, 44,浜中俊, 1.0, 56, -12,   0, 8, 82.7, ⑫⑫, 5, 5, モエレサマｰ,---,ペリエ, 0.5, 65,  -3,   5, 8, 46.7, ⑨⑨, 5,13, ドングラシアス,,高野容,268.6,,,, 9, 62.9,⑦⑧⑧, 5,12,Ｂパッションレッド, 81,安藤勝, 0.3, 84,   1,* 17, 2,  3.7, ⑧⑧
 6, 9,Ｆエヴェット, 49,渡辺薫, 1.2, 52, -10,  -4, 7, 74.6, ⑩⑩, 6, 2,Ｅエｰシンビｰセルズ, 62,安藤勝, 0.5, 63, -10,* 12, 5, 14.1, ⑩⑩, 6, 4, テイエムエｰス,,菊地昇,268.8,,,, 3,  6.0,⑥⑦⑥, 6, 8,Ｃタマモナイスプレイ, 79,武豊  , 0.3, 83,   5,  10, 1,  2.6, ④④
 7, 1,Ｈジョｰセレス, 49,武豊  , 1.4, 46,* -3, -19, 3, 14.1, ②②, 7,11,Ｇタイガｰストｰン, 59,岩田康, 1.1, 60,   2,  -6, 2,  4.0, ⑥⑥, 7,10, ライトニングボｰル,,林満明,269.0,,,, 8, 46.1,⑨⑥⑦, 7, 3,Ｈトｰセンマエストロ, 76,上野翔, 0.4, 84,   0,* 19, 5, 11.7, ⑨⑨
 8, 8,Ｌマザｰテｰラｰ, 39,田中克, 1.4, 50, -15,   0,14,372.2, ⑬⑬, 8, 8,Ｈアンジュアイル, 56,幸英明, 1.5, 57,   3, -10, 9, 77.1, ⑤⑤, 8, 2, メイケイグリｰン,,出津孝,269.1,,,,12,145.3,②②②, 8, 6,Ｊハンタｰキリシマ, 76,野元昭, 0.4, 84,   0,* 19, 8, 30.1, ⑪⑪
 9, 3,Ｎダンツペレット, 38,熊沢重, 1.6, 45,  -8, -16,11,217.7, ⑥⑥, 9, 1,Ｆマルカゼウス, 61,池添謙, 1.8, 53,  -1,  -9, 7, 34.5, ⑧⑦, 9,12, アグネスヘルメス,,北沢伸,270.0,,,,11,108.2,⑪⑩⑪, 9, 1,Ｉバｰジンフォレスト, 76,佐藤哲, 0.5, 81,   1,  13, 9, 36.1, ⑥⑥
10,13,Ｅオｰサンルビｰ, 53,池添謙, 1.6, 46, -15,  -3,10,162.3, ⑭⑭,10,10,Ｉプリティマリ, 55,渡辺薫, 1.9, 54,   0, -10,11,117.2, ⑦⑧,10, 1, テイエムトッパズレ,,佐久間,270.4,,,, 7, 29.2,⑫⑪⑩,10, 5,Ｆストｰルンブライド, 78,福永祐, 0.7, 80,  -1,  14,11, 46.1, ⑩⑩
11,11,Ｋイメｰジドオリ, 42,幸英明, 1.7, 46, -10, -12,12,282.3, ⑪⑪,11, 3, ミッキｰダイブ,---,小牧太, 3.1, 41, -14,  -8,10, 89.1, ⑪⑪,11, 7, ニホンピロファイブ,,熊沢重,270.5,,,, 5, 14.4,③③④,11, 4,Ｅロｰザブランカ, 79,小牧太, 0.7, 79,   1,  10,10, 37.1, ⑦⑦
12, 2,Ｇデンコウキララ, 49,角田晃, 1.8, 43,  -5, -22, 9, 96.7, ③③,,,,,,,,,,,,,12, 6, エイシンペキン,,白浜雄,273.5,,,,10, 69.7,⑬⑬⑬,12,11,Ｌウイングビｰト, 66,鮫島良, 1.7, 70,  -5,   7,12,201.9, ⑫⑫
13, 5,Ｃコスモクリスタル, 55,福永祐, 1.9, 42,  -8, -19, 4, 17.8, ⑦⑦,,,,,,,,,,,,,13,14, ミヤビペルセウス,,穂苅寿,276.9,,,, 6, 23.1,⑩⑫⑫,,,,,,,,,,,,
14,12,Ｍモダンバレエ, 39,石橋守, 3.5, 26,  -9, -40,13,308.6, ⑧⑨,,,,,,,,,,,,,14, 8, クリノダイマオｰ,,水出大,279.5,,,,14,172.7,⑭⑭⑭,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:-0 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:69 ﾚｰｽﾍﾟｰｽ指数:-0 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:-5),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:81 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:良(指数:-2),,,,,,,,,,,
単勝:120円 複勝:04=110円 10=130円 14=230円 枠連:230円,,,,,,,,,,,,"単勝:1,780円 複勝:07=280円 09=270円 06=110円 枠連:640円",,,,,,,,,,,,単勝:830円 複勝:09=170円 05=110円 03=130円 枠連:740円,,,,,,,,,,,,"単勝:640円 複勝:10=220円 09=490円 02=270円 枠連:3,610円",,,,,,,,,,,
馬連:250円 ワイド:04-10=130円 04-14=230円 10-14=530円,,,,,,,,,,,,"馬連:4,560円 ワイド:07-09=1,140円 06-07=450円 06-09=400円",,,,,,,,,,,,馬連:780円 ワイド:05-09=260円 03-09=420円 03-05=190円,,,,,,,,,,,,"馬連:4,530円 ワイド:09-10=1,160円 02-10=820円 02-09=2,360円",,,,,,,,,,,
"馬単:310円 3連複:630円 3連単:1,260円",,,,,,,,,,,,"馬単:11,500円 3連複:2,640円 3連単:33,460円",,,,,,,,,,,,"馬単:2,430円 3連複:890円 3連単:7,860円",,,,,,,,,,,,"馬単:6,540円 3連複:12,790円 3連単:68,010円",,,,,,,,,,,
