08年 9月 7日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 9月 7日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:12,,,,,■ 4R  芝1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-5,,,,,■10R  芝1200m 2 歳ｵｰﾌﾟﾝ(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,,,,,,,,,,,,,小倉2歳ｽﾃｰｸｽ ＧⅢ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,国東特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 7,Ａマルブツエンペラｰ, 71,浜中俊,, 67,   0,*  8, 1,  1.2, ③③, 1, 8,Ａスタルカ, 71,岩部純,, 72,   1,* 10, 3,  6.1,⑦⑥②, 1, 8,Ａミコノス, 78,田中健,, 80,  -3,* 25, 1,  2.0,⑤②②, 1,15,Ｃカシノマイケル, 75,安藤光,, 80,   3,  14, 3,  4.2,⑤⑤③
 2, 3,Ｅテイエムセレス, 63,和田竜, 0.6, 63,  -2,   5, 2, 12.3, ⑥⑥, 2, 2,Ｂアマノスパイダｰ, 67,浜中俊, 0.4, 71,   1,   4, 4,  6.3,⑨⑥⑦, 2,15,Ｆトップコマチ, 73,田村太, 0.5, 74,* -2,* 20, 6, 12.4,③②②, 2,10,Ｇスカイリュウホｰ, 70,浜中俊, 0.0, 84,   2,* 17, 7, 19.8,⑧⑥⑥
 3,14,Ｃショウグンリｰダｰ, 65,田嶋翔, 0.7, 59,  -2,   2, 4, 15.7, ③④, 3,13,Ｃマンボパｰトナｰ, 66,小牧太, 0.6, 67,  -2,*  7, 2,  4.6,⑬⑨⑩, 3,13,Ｍブラックカシミｰル, 64,野元昭, 0.7, 72,* -2,  17,13,134.7,①①①, 3, 1,Ｂタンホイザｰ, 76,小牧太, 0.1, 80,   0,* 20, 1,  3.2,⑩⑨⑨
 4, 8,Ｊクリノハクバチャン, 46,小牧太, 0.8, 59,*  4,  -3, 3, 15.1, ①②, 4,12,Ｆピサノフジ, 61,武豊  , 0.6, 66,   1,   1, 1,  3.6,⑥⑥⑦, 4, 4,Ｄレゾリュｰション, 74,渡辺薫, 0.8, 73,  -3,  19, 2,  6.1,⑥⑤⑤, 4,14,Ｉタマモランニング, 69,川島信, 0.3, 74,*  4,   8, 6, 16.8,③③③
 5, 6,Ｈエリモリリパット, 59,安藤光, 1.0, 58,*  5,  -4, 9, 77.4, ②①, 5, 3,Ｇエｰシンディｰエス, 60,和田竜, 0.7, 64,*  4,  -7, 6,  9.6,②①①, 5, 1,Ｊラフレッシュブルｰ, 66,太宰啓, 1.0, 70,  -3,  18, 8, 54.0,⑥⑥⑤, 5, 5,Ａラフィナｰル, 81,武豊  , 0.3, 78,   0,  15, 2,  3.6,⑪⑨⑥
 6, 2,Ｆナンヨｰサンセット, 60,鮫島良, 1.0, 55, -15,*  7, 8, 48.0, ⑫⑫, 6, 4,Ｄエアリアルショット, 62,幸英明, 0.8, 64,   1,  -4, 5,  7.7,④②④, 6, 6,Ｇアマゾネスバイオ, 69,幸英明, 1.3, 68,  -5,  17, 9, 64.9,⑧⑧⑧, 6, 4,Ｄケイエスユリ, 73,幸英明, 0.4, 77,   2,  11, 4, 14.2,⑦⑥⑥
 7,12,Ｂアサケボｰイ, 67,幸英明, 1.1, 54,  -6,   1, 5, 16.0, ⑦⑦, 7,16,Ｉディベイタｰ, 55,安藤光, 1.0, 62,  -3,   3, 8, 31.8,⑩⑨⑨, 7, 3,Ｂアドマイヤミスティ, 75,川田将, 1.5, 68,  -3,  15, 4,  7.7,⑩⑧⑧, 7, 6,Ｌワンダｰポテンシア, 66,石橋守, 0.5, 75,*  5,   5,13, 79.3,④③③
 8,13,Ｄキャナレット, 65,熊沢重, 1.3, 53,  -6,  -1, 6, 24.0, ⑦⑦, 8, 9,Ｅシルクウォリアｰ, 61,大下智, 1.6, 55,*  3, -16, 7, 10.5,④②②, 8, 9,Ｈナムラソワン, 68,田中克, 1.6, 69,  -5,  16, 7, 32.8,⑬⑫⑫, 8, 7,Ｊベルフリｰ, 67,佐藤哲, 0.7, 74,  -3,  15,11, 43.6,⑭⑭⑬
 9, 1,Ｋエｰシンイミアｰ, 40,藤岡康, 1.5, 51, -10,   0,11,160.3, ⑩⑩, 9,17,Ｏマチカネレツジツ, 44,赤木高, 2.1, 53,  -6,  -4,15,148.1,⑮⑬⑪, 9,10,Ｅウインフェイム, 74,和田竜, 1.8, 65,  -3,  12, 5, 10.8,⑩⑧⑩, 9,13,Ｅマルカレガｰト, 73,鮫島良, 0.9, 71,   0,   7,10, 36.2,⑧⑨⑫
10, 5,Ｇゴｰルデンホｰク, 59,橋本美, 1.5, 53,  -1,  -5, 7, 24.4, ③④,10, 1,Ｈヤマノムｰンリバｰ, 57,酒井学, 2.3, 48,*  2, -26,10, 75.0,③②④,10,11,Ｃヒカルアモｰレ, 75,浜中俊, 1.8, 64,* -2,   9, 3,  6.2,②②②,10, 8,Ｈゼンノベリル, 70,和田竜, 0.9, 73,  -1,  12, 9, 32.1,⑯⑫⑨
11, 9,Ｉアグネステンション, 48,田村太, 1.7, 47, -20,   5,12,171.7, ⑬⑬,11, 7,Ｑバトルユｰタロｰ, 36,太宰啓, 2.3, 51,  -4, -10,14,144.3,⑪⑫⑪,11,14,Ｎシンティランテ, 64,芹沢純, 2.2, 63,  -6,  13,16,264.7,⑬⑭⑮,11, 2,Ｏサフランキセキ, 64,角田晃, 0.9, 69,*  6,  -3,16,157.9,②②①
12,11,Ｌセフティｰプラチナ, 35,宇田登, 2.3, 43, -10,  -7,13,275.7, ⑩⑩,12,14,Ｌアキノレンダ, 47,藤岡康, 2.3, 51,  -7,  -4, 9, 63.2,⑱⑮⑭,12, 7,Ｋハナムケ, 66,岩部純, 2.2, 61,  -4,   8,14,147.7,③⑥⑤,12,16,Ｆカシノネロ, 70,渡辺薫, 1.3, 66,   2,  -1, 8, 22.9,⑥⑥⑨
13, 4, エｰシンシンクコア,---,田中克, 2.6, 40,  -6, -12,10,140.9, ⑦⑦,13,10,Ｊスペシャルトｰン, 50,橋本美, 2.7, 47,  -5, -13,18,226.3,⑬⑬⑭,13,16,Ｏテイエムヒスイ, 63,上野翔, 2.3, 63,  -4,   9,12,120.4,⑧⑧⑩,13,12,Ｋアシュレイリバｰ, 67,川田将, 1.3, 66,  -3,   7,14,103.9,⑪⑭⑮
14,10, キャノングレイボル,---,小坂忠, 3.4, 29, -27,  -6,14,288.5, ⑭⑭,14, 5,Ｍスマｰトステｰジ, 47,佐藤哲, 2.7, 44,*  2, -32,12,117.2,①②④,14, 5,Ｉクイックバレリｰナ, 68,飯田祐, 2.5, 61,  -8,  13,15,252.2,⑮⑯⑮,14, 9,Ｎラブレタｰ, 65,橋本美, 1.5, 66,  -2,   6,15,123.4,⑭⑭⑬
,,,,,,,,,,,,15,11,Ｎシルクブレイカｰ, 46,鮫島良, 2.7, 48,  -8,  -7,16,152.8,⑰⑯⑯,15, 2,Ｐミスズスキャット, 61,小牧太, 2.6, 59,  -6,  10,11,117.5,⑫⑭⑬,15, 3,Ｐマイネルインゼル, 60,藤岡康, 1.7, 58,*  6, -16, 5, 14.2,①①②
,,,,,,,,,,,,16,15,Ｋフォティディクタｰ, 49,石橋守, 3.0, 44,  -3, -25,13,124.0,⑪⑨⑪,16,12,Ｌシゲルキボウ, 66,中村将, 3.0, 55,  -5,   5,10, 78.7,⑮⑫⑬,16,11,Ｍカワキタラプラタ, 65,上村洋, 1.9, 60,  -1,  -4,12, 49.5,⑬⑫⑮
,,,,,,,,,,,,17,18,Ｒリッカマックス, 23,角田晃, 4.2, 33,  -9, -28,17,206.4,⑮⑯⑰,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:64 ﾚｰｽﾍﾟｰｽ指数:+0 ﾚｰｽｱｶﾞﾘ指数:-0 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:71 ﾚｰｽﾍﾟｰｽ指数:-11 ﾚｰｽｱｶﾞﾘ指数:+13 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:75 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:良(指数:0),,,,,,,,,,,
単勝:120円 複勝:07=100円 03=170円 14=210円 枠連:440円,,,,,,,,,,,,"単勝:610円 複勝:08=200円 02=190円 13=180円 枠連:1,730円",,,,,,,,,,,,"単勝:200円 複勝:08=130円 15=330円 13=2,370円 枠連:1,040円",,,,,,,,,,,,"単勝:420円 複勝:15=150円 10=420円 01=150円 枠連:2,180円",,,,,,,,,,,
"馬連:520円 ワイド:03-07=270円 07-14=350円 03-14=1,110円",,,,,,,,,,,,"馬連:1,800円 ワイド:02-08=580円 08-13=600円 02-13=530円",,,,,,,,,,,,"馬連:1,130円 ワイド:08-15=490円 08-13=4,210円 13-15=8,980円",,,,,,,,,,,,"馬連:3,220円 ワイド:10-15=1,150円 01-15=290円 01-10=990円",,,,,,,,,,,
"馬単:610円 3連複:1,590円 3連単:4,010円",,,,,,,,,,,,"馬単:3,600円 3連複:2,990円 3連単:17,240円",,,,,,,,,,,,"馬単:1,560円 3連複:33,100円 3連単:105,710円",,,,,,,,,,,,"馬単:5,330円 3連複:3,380円 3連単:24,380円",,,,,,,,,,,
■ 3R  芝1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:12,,,,,■ 6R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 9R  芝1200m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■12R  芝2600m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,八幡特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,16,Ｍユｰピロンユｰ, 52,田辺裕,, 68,*  7,  -1,12, 56.2,①①①, 1, 2,Ａユウタｰダｰツ, 70,岩崎祐,, 72,   4,*  6, 2,  4.2,⑬⑦⑥, 1, 2,Ｂフィクシアス, 75,田辺裕,, 80,  -1,* 13, 4,  8.7, ⑥④, 1, 4,Ｂマイネルアンサｰ, 73,和田竜,, 76,*  6,*  4, 2,  6.2,⑥⑤④
 2, 4,Ｋホッコｰマスコット, 54,赤木高, 0.2, 68,   2,*  9,13,168.8,⑫⑫⑧, 2, 8,Ｂキャトルマン, 68,幸英明, 0.2, 67,   4,   1, 5, 10.1,④③⑤, 2, 7,Ｇストリｰトスタイル, 73,浜中俊, 0.5, 74,  -2,   8, 1,  3.0, ⑨⑦, 2, 9,Ａサムズアップ, 79,鮫島良, 0.2, 74,   4,*  6, 1,  1.8,⑬⑪⑥
 3, 6,Ｆメイショウオバナ, 59,武豊  , 0.3, 66,   3,   4, 3,  6.3,⑩⑧⑧, 3, 7,Ｉウォルトンコクカ, 61,川島信, 0.4, 68,   4,   2,11, 67.6,⑭⑦③, 3, 6,Ａプラチナムペスカ, 76,角田晃, 0.7, 70,*  6,  -2, 3,  7.9, ②②, 3,16,Ｍニシノハドウホウ, 60,熊沢重, 0.5, 71,*  5,  -3, 7, 26.7,⑩⑤②
 4,12,Ｅテイエムマイサクラ, 59,田中克, 0.3, 67,   0,*  8, 1,  3.1,⑭⑫⑫, 4,16,Ｄドントブレイム, 66,武豊  , 0.4, 66,*  6,  -2, 1,  2.2,①①①, 4, 5,Ｈファｰストナイナｰ, 72,田村太, 0.7, 70,*  7,  -4,10, 47.3, ①①, 4, 2,Ｈクレセントラン, 64,幸英明, 0.6, 71,*  6,  -4, 4,  7.5,⑥⑤①
 5, 3,Ｂアルモニｰ, 62,上村洋, 0.3, 66,   3,   3, 2,  4.4,⑩⑧⑤, 5, 6,Ｅジャングルゼット, 64,田村太, 0.6, 66,   3,   0, 7, 18.5,⑥⑦⑧, 5,12,Ｅボストンオｰ, 74,和田竜, 0.7, 70,  -4,   7, 7, 12.2, ⑨⑦, 5,10,Ｊシルキｰライム, 61,田村太, 0.8, 69,   3,*  2,14,134.1,⑮⑭⑧
 6, 9,Ｊスタンドフラワｰ, 58,安藤光, 0.4, 63,*  6,  -3,10, 49.1,④②②, 6,12,Ｍランフリｰ, 59,和田竜, 0.8, 65,   2,   1,12, 74.8,⑧⑭⑪, 6,11,Ｃタムロスタｰディ, 75,佐藤哲, 0.8, 69,  -2,   4, 2,  6.8, ⑨⑦, 6, 6,Ｇワンダｰルストラｰ, 64,田中克, 0.8, 70,*  6,  -5,13,125.4,④⑧⑧
 7, 7,Ａディアカルテット, 63,田中健, 0.5, 63,   5,  -1, 7, 16.8,⑥④⑤, 7, 5,Ｆヴェンダバｰル, 64,芹沢純, 0.8, 64,   4,  -4, 3,  8.5,⑧③③, 7,17,Ｊヒノトリ, 71,高橋亮, 0.8, 69, -12,* 13, 6, 11.0, ⑰⑯, 7,11,Ｄハｰマジェスティ, 67,小林慎, 0.9, 67,*  5,  -7, 5, 13.1,⑧⑧⑥
 8, 5,Ｈサンバステップ, 58,田村太, 0.6, 61,   4,  -4,11, 49.6,②④②, 8, 4,Ｋカワキタフウジン, 60,安藤光, 0.8, 64,  -1,*  5, 8, 58.4,⑭⑮⑭, 8, 1,Ｏアグネスレプトン, 68,石橋守, 0.9, 68,  -6,   7,17,198.5, ⑬⑬, 8, 8,Ｅロフティソル, 67,小坂忠, 1.3, 64,*  6, -12,12,121.3,⑧⑧⑧
 9,10,Ｌクリノポップコｰン, 54,芹沢純, 0.6, 65,   0,*  8,15,223.6,⑫⑭⑫, 9,14,Ｈツルマルカフェ, 61,酒井学, 0.9, 65,   4,  -3,10, 67.5,⑧⑥⑧, 9,16,Ｄエイシンイッキ, 74,小牧太, 0.9, 68,  -3,   4, 5,  9.0, ⑨⑦, 9, 7,Ｎジャスティス, 56,田中健, 1.8, 61,   3, -10,15,145.4,⑭⑯⑮
10,14,Ｃチョウラブラブ, 61,太宰啓, 0.7, 62,   3,  -3, 6, 10.6,⑥⑧⑧,10, 3,Ｇウィｰクタテヤマ, 63,渡辺薫, 1.4, 61,   3,  -5,13, 82.9,⑫⑫⑪,10,14,Ｑロマンスオｰラ, 65,高野容, 1.0, 66,  -1,   0,18,256.8, ⑥⑦,10, 3,Ｆアンティシペイタｰ, 67,太宰啓, 2.1, 59,*  7, -27, 9, 50.9,②①④
11,13,Ｎスマックガｰル, 52,熊沢重, 0.8, 61,   5,  -5, 9, 45.7,⑨④⑤,11, 9,Ｃカシノシンケン, 67,田中克, 1.6, 60,*  6, -12, 4,  9.2,②②②,11, 8,Ｆハッピｰムｰド, 73,田中克, 1.0, 66,  -9,   8,13, 68.7, ⑮⑮,11, 5,Ｃニシノウェｰブ, 72,浜中俊, 2.1, 60,*  6, -26, 3,  7.2,②②②
