08年 9月15日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 9月15日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1600m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 4R  芝2970m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  芝1800m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■10R  芝2000m 3歳上ｵｰﾌﾟﾝ(国) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
 9, 8,Ｄカネコメリッチ, 56,浜中俊, 1.7, 45,  -5, -25, 3,  9.5, ③③,,,,,,,,,,,,, 9,11,Ｈアンテヴォルテ, 65,川田将, 0.7, 70,   7,  -6, 8, 32.1, ④④, 9, 5,Ｉエリモハリアｰ, 79,四位洋, 1.3, 81,  11,   4, 7, 30.9,⑫⑨⑧
10, 6,Ｌコスモアポロ, 28,吉田隼, 1.7, 43,  -6, -22,12,272.9, ③④,,,,,,,,,,,,,10, 1,Ｍケルビック, 61,石橋脩, 0.9, 70,   3,  -2,13,139.5, ⑦⑪,10, 6,Ｆウイントリガｰ, 85,和田竜, 1.4, 79,  12,   0, 9, 70.5,⑥⑥⑤
11, 9,Ｈガッチリガッチリ, 45,川田将, 2.1, 38,  -9, -22, 5, 18.6, ⑩⑪,,,,,,,,,,,,,11,10,Ｂスマｰトレディｰ, 72,佐藤哲, 0.9, 68,   5,  -7, 4,  7.6, ⑦⑦,11,13,Ｍハッピｰトゥモロｰ, 74,川島信, 2.2, 72,   5,   4,13,192.9,⑬⑬⑬
12, 3,Ｉシゲルフジサン, 42,角田晃, 2.4, 36, -14, -20,11,180.2, ⑫⑫,,,,,,,,,,,,,12, 6,Ｌバトルマドカ, 62,太宰啓, 1.0, 70,   1,*  2,12,115.8, ⑭⑭,12,10,Ｋミュｰジックホｰク, 77,石橋脩, 2.3, 70,  14, -17,12,149.6,③③⑤
,,,,,,,,,,,,,,,,,,,,,,,,13, 5,Ｉトシエンジェル, 65,浜中俊, 1.1, 69,   3,  -5,11, 58.5, ⑬⑪,13, 4,Ｌトｰホウシャイン, 75,高野容, 2.3, 71,   8,  -3,11, 95.6,⑦⑪⑫
,,,,,,,,,,,,,,,,,,,,,,,,14,13,Ｎスズカスタイル, 58,田中健, 1.7, 60,   5, -18,14,195.5, ⑦⑦,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:-3),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:-0 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:89 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:-3),,,,,,,,,,,
"単勝:140円 複勝:05=110円 02=300円 07=490円 枠連:1,050円",,,,,,,,,,,,"単勝:1,590円 複勝:09=260円 05=160円 08=250円 枠連:1,050円",,,,,,,,,,,,"単勝:210円 複勝:04=120円 02=270円 08=190円 枠連:1,320円",,,,,,,,,,,,単勝:170円 複勝:07=110円 08=180円 12=170円 枠連:400円,,,,,,,,,,,
"馬連:890円 ワイド:02-05=370円 05-07=730円 02-07=2,210円",,,,,,,,,,,,"馬連:3,110円 ワイド:05-09=940円 08-09=1,250円 05-08=550円",,,,,,,,,,,,"馬連:1,410円 ワイド:02-04=550円 04-08=320円 02-08=1,070円",,,,,,,,,,,,馬連:620円 ワイド:07-08=260円 07-12=240円 08-12=590円,,,,,,,,,,,
"馬単:1,300円 3連複:5,120円 3連単:11,990円",,,,,,,,,,,,"馬単:7,860円 3連複:7,000円 3連単:55,320円",,,,,,,,,,,,"馬単:1,950円 3連複:2,190円 3連単:11,220円",,,,,,,,,,,,"馬単:870円 3連複:1,140円 3連単:3,160円",,,,,,,,,,,
■ 2R  ダ1400m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■ 5R  ダ1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 8R  芝1400m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■11R  ダ2000m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,鳥取特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8,Ａメイクセンス, 68,福永祐,, 74,*  4,*  5, 2,  2.7, ①①, 1, 3, プリティマリ,---,渡辺薫,, 52,*  1, -16, 3,  8.8, ①①, 1,17,Ｄアスドゥクｰル, 69,吉田隼,, 78,*  9,   2, 6, 17.3, ③③, 1, 7,Ａフリｰトアドミラル, 85,後藤浩,, 79,   7,* 10, 1,  2.6,⑥⑥②
 2, 6,Ｂトｰホウボガｰド, 64,武豊  , 0.2, 72,*  3,*  5, 1,  2.3, ②②, 2, 7, ラインオブナイト,---,武豊  , 0.0, 46, -10,* -6, 1,  1.6, ⑦⑥, 2,12,Ｆカミヒコｰキ, 69,鮫島良, 0.1, 78,* 10,   0, 2,  4.3, ②②, 2, 2,Ｂアドマイヤレグルス, 81,川田将, 0.7, 76,   5,*  9, 3,  6.1,⑩⑩⑪
 3, 2,Ｃシルクレパｰド, 62,幸英明, 1.1, 64,   0,   1, 4, 12.7, ⑥⑤, 3, 1, マｰベラスリリｰ,---,福永祐, 0.5, 44,  -4, -16, 2,  5.2, ②②, 3, 4,Ａラッキｰバニヤン, 78,岩田康, 0.2, 74,   7,   2, 1,  2.4, ④④, 3, 8,Ｆプレシャスピクセル, 78,石橋脩, 0.8, 74,   5,*  9,10, 72.7,⑫⑫⑪
 4, 4,Ｅスズモンスタｰ, 57,川田将, 1.7, 59,   0,  -4, 3,  8.3, ⑥⑤, 4, 9, プティロｰズ,---,藤岡康, 0.5, 44,  -6, -14, 8, 51.9, ④②, 4, 6,Ｇリトルビスケット, 68,川田将, 0.3, 75,* 11,  -4, 5, 13.8, ①①, 4,16,Ｉソラメンテウナベス, 76,佐藤哲, 0.9, 73,*  9,  -2, 6, 18.8,②②①
 5, 7,Ｊマサカｰネ, 50,高野容, 2.1, 57,  -1,  -5,12, 77.1, ⑨⑧, 5, 8, ピｰチインラヴ,---,岩崎祐, 1.5, 33, -10, -19, 6, 17.4, ⑥⑦, 5, 9,Ｍドリｰムガｰルズ, 65,川島信, 0.4, 72,   7,   0,13, 89.8, ④⑤, 5,13,Ｃメイショウゲンスイ, 79,岩田康, 1.0, 72,*  8,  -1, 2,  3.4,②③②
 6, 9,Ｆメイショウカポネ, 57,池添謙, 2.2, 53,  -5,  -3, 8, 31.4, ⑫⑩, 6, 4, メイショウアスナロ,---,幸英明, 1.6, 32, -14, -17, 5, 15.1, ⑧⑦, 6, 8,Ｂウインプレミアム, 72,内田博, 0.4, 71,   0,*  9, 4,  7.1, ⑯⑯, 6,12,Ｄブライアンズエッセ, 79,福永祐, 1.2, 72,   5,   4, 4,  6.7,⑫⑫⑨
 7, 3,Ｎツｰソックス, 34,上村洋, 2.3, 56,*  2, -13, 6, 26.7, ②③, 7, 5, マルタカテイオｰ,---,田中克, 1.7, 33, -13, -17,10, 93.5, ⑧⑨, 7,15,Ｊメイショウルシェロ, 66,飯田祐, 0.6, 71,   4,   1,15, 96.4, ⑧⑨, 7, 9,Ｈトウカイポリシｰ, 77,内田博, 1.2, 74,   5,   6, 5, 13.8,⑭⑫⑭
 8,14,Ｉサザンベル, 50,内田博, 2.4, 52,  -2,  -8, 7, 30.2, ⑥⑩, 8,11, ウォリナｰイモン,---,和田竜, 1.9, 31,  -7, -25, 4, 11.1, ⑤⑤, 8,10,Ｉエｰスデヨバン, 67,太宰啓, 0.7, 69,   0,*  5, 9, 35.9, ⑯⑬, 8, 3,Ｇホｰマンラフィット, 78,和田竜, 1.4, 71,   7,  -1,12,107.1,⑨⑦⑦
 9,13,Ｇサワノパシュｰト, 56,渡辺薫, 2.4, 54,   1, -13,10, 47.9, ④③, 9,10, マストウインゲｰム,---,角田晃, 2.0, 30, -18, -15, 7, 22.8, ⑧⑩, 9,16,Ｅマリエンベルク, 69,和田竜, 0.7, 69,   3,   1, 3,  6.7, ⑩⑩, 9, 6,Ｅクリアヴィジョン, 78,渡辺薫, 1.5, 73,   4,   5, 9, 57.7,⑮⑮⑯
10,16,Ｈリトルエイコｰン, 55,佐久間, 2.5, 54,  -2,  -6,11, 73.4, ⑨⑨,10, 2, ハイタフネス,---,太宰啓, 2.4, 28, -25, -12,11,202.5, ⑪⑪,10, 5,Ｌゲイルホｰク, 66,熊沢重, 0.9, 67,   5,  -4,11, 60.0, ⑧⑦,10, 1,Ｍシルクシャｰプネス, 74,吉田隼, 1.6, 69,   8,  -5, 7, 29.1,④⑤⑥
11,12,Ｍカノヤキラリ, 39,田中健, 2.7, 51,  -9,  -2,14,305.0, ⑭⑭,11, 6, マルコｰドリｰム,---,小牧太, 3.0, 22,  -4, -38, 9, 58.6, ②②,11, 3,Ｎマｰブルラトゥｰル, 62,赤木高, 1.0, 64,  -5,*  9,16,127.8, ⑱⑱,11,10,Ｋキクノプログレッソ, 74,石橋守, 1.6, 72,   4,   4,15,137.8,⑮⑮⑭
12, 5,Ｄクイｰンオブナイト, 60,吉田隼, 2.9, 50,   0, -15, 5, 17.7, ⑤⑦,,,,,,,,,,,,,12, 7,Ｋアジアンホｰプ, 66,幸英明, 1.1, 64,   0,   0, 8, 35.6, ⑬⑬,12,11,Ｌサｰユウジｰン, 74,角田晃, 2.3, 64,   7, -11,16,145.9,④④⑤
13, 1,Ｋデンコウコルモ, 45,田村太, 3.1, 47,  -5, -11,15,400.6, ⑬⑩,,,,,,,,,,,,,13,13,Ｒノボスイｰツ, 53,石橋脩, 1.1, 67,   6,  -6,14, 92.6, ⑦⑦,13, 4,Ｏツルマルツイモツイ, 73,上村洋, 2.3, 68,   7,  -7,14,132.6,⑦⑦⑨
14,10,Ｐボムクイｰン, 29,田中克, 3.6, 45,  -3, -17, 9, 43.7, ⑨⑩,,,,,,,,,,,,,14, 1,Ｑトップガンヒｰロｰ, 58,浜中俊, 1.2, 65,   3,  -4,17,134.5, ⑩⑩,14, 5,Ｊスリｰキセキ, 76,鮫島良, 2.5, 65,   6,  -9,13,130.4,⑦⑦⑦
15,15,Ｌセマナサンタ, 41,角田晃, 4.3, 38, -12, -12,13,283.6, ⑮⑮,,,,,,,,,,,,,15, 2,Ｐワンダｰグロｰリｰ, 59,野元昭, 1.5, 59,  -1,  -4,18,338.8, ⑮⑯,15,15,Ｐレディキラｰ, 66,赤木高, 2.7, 62,   5,  -8, 8, 49.1,⑩⑩⑬
,,,,,,,,,,,,,,,,,,,,,,,,16,11,Ｏドキャｰレ, 60,小牧太, 1.5, 60,   3,  -8,10, 56.2, ⑩⑬,16,14,Ｎゼンノマルビナス, 73,幸英明, 4.5, 50,*  9, -34,11, 88.3,①①②
,,,,,,,,,,,,,,,,,,,,,,,,17,18,Ｃナムラシンドバッド, 71,渡辺薫, 1.7, 58,   3, -10,12, 87.7, ⑬⑩,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,18,14,Ｈヒカルカグヤヒメ, 67,後藤浩, 2.4, 49,   7, -26, 7, 33.3, ④⑤,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+0 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:-13 馬場:良(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:75 ﾚｰｽﾍﾟｰｽ指数:-0 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:良(指数:-4),,,,,,,,,,,
単勝:270円 複勝:08=120円 06=110円 02=220円 枠連:230円,,,,,,,,,,,,単勝:880円 複勝:03=200円 07=110円 01=140円 枠連:570円,,,,,,,,,,,,"単勝:1,730円 複勝:17=370円 12=150円 04=130円 枠連:900円",,,,,,,,,,,,"単勝:260円 複勝:07=150円 02=190円 08=1,260円 枠連:570円",,,,,,,,,,,
馬連:240円 ワイド:06-08=140円 02-08=440円 02-06=380円,,,,,,,,,,,,馬連:630円 ワイド:03-07=260円 01-03=520円 01-07=170円,,,,,,,,,,,,"馬連:3,520円 ワイド:12-17=1,240円 04-17=1,010円 04-12=250円",,,,,,,,,,,,"馬連:840円 ワイド:02-07=370円 07-08=2,420円 02-08=4,330円",,,,,,,,,,,
"馬単:540円 3連複:850円 3連単:2,810円",,,,,,,,,,,,"馬単:2,440円 3連複:880円 3連単:8,610円",,,,,,,,,,,,"馬単:9,010円 3連複:2,880円 3連単:30,980円",,,,,,,,,,,,"馬単:1,240円 3連複:11,070円 3連単:32,730円",,,,,,,,,,,
■ 3R  芝1400m 2 歳新馬 馬齢,,,,,,,,,,,,■ 6R  ダ1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 9R  ダ1200m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■12R  芝1600m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-7,,,,
,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,夙川特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 7, スウッシュ,---,池添謙,, 59,  -4,  -6, 5,  7.7, ②②, 1,10,Ｂロｰルオブザダイス, 77,岩田康,, 77,*  2,* 16, 1,  2.5,②②②, 1, 6,Ｉサンエムパｰム, 75,和田竜,, 84,*  6,  14, 7, 24.4, ②②, 1, 6,Ｂハンドレッドスコア, 78,川田将,, 80,  -1,* 15, 1,  2.7, ⑦⑧
 2, 1, ニホンピロカズマ,---,熊沢重, 0.1, 58,  -5,  -4, 8, 24.0, ④③, 2, 2,Ｃハｰドシｰキング, 76,渡辺薫, 0.4, 76,   1,  15, 4,  9.2,③④④, 2, 9,Ｋメガリス, 74,藤岡康, 0.5, 81,   4,  12, 3,  9.5, ③②, 2,15,Ｅライブコンサｰト, 73,岩田康, 0.3, 76,*  3,   5, 3,  5.8, ②②
 3, 6, ヒラボクワイルド,---,内田博, 0.6, 52,  -7,  -9, 2,  3.6, ⑥⑤, 3, 7,Ｄケンメイオウ, 73,内田博, 0.6, 73,   1,  13, 3,  6.5,⑤④④, 3,14,Ｅポｰトラヴ, 78,幸英明, 0.5, 79,   2,  13, 2,  6.1, ⑤⑤, 3, 3,Ｆナリタトルネｰド, 70,浜中俊, 0.5, 76,*  3,   0, 4,  6.6, ①①
 4, 4, エルシッド,---,岩田康, 0.7, 49, -13,* -1, 1,  3.5, ⑧⑧, 4, 3,Ｆアグネスモレキュラ, 72,浜中俊, 0.6, 73,   1,  13, 6, 16.7,③③②, 4,12,Ｆラインストｰム, 76,角田晃, 0.6, 80,  -4,* 19, 5, 14.1, ⑭⑩, 4, 8,Ａフミノウインダム, 78,藤岡康, 0.7, 72,*  2,   2, 5, 11.0, ⑤⑤
 5, 8, メイショウフレアｰ,---,福永祐, 0.8, 50,* -1, -18, 3,  4.1, ①①, 5, 1,Ｇマｰベラスパレｰド, 69,太宰啓, 0.7, 74,  -2,* 18, 9, 69.4,⑩⑩⑨, 5, 3,Ｂエノク, 80,内田博, 0.7, 78,   1,  13, 1,  1.6, ⑧⑦, 5,12,Ｏカネトシレジアス, 62,川島信, 0.9, 69,*  3,  -2,14,176.7, ③③
 6, 3, ヒデサンアタッカｰ,---,和田竜, 0.9, 49,  -5, -16, 7, 21.2, ②③, 6, 9,Ｅベンティスカ, 72,幸英明, 1.5, 66,*  3,   3, 5, 13.4,①①①, 6, 7,Ｊマチカネニオウミヤ, 75,石橋守, 0.8, 78,   3,  10, 9, 34.4, ⑤⑤, 6, 1,Ｒメイショウナイト, 54,高橋亮, 1.0, 70,  -5,*  8,11,125.5, ⑯⑭
 7, 2, エリモラブリｰ,---,高橋亮, 1.3, 44,  -9, -14, 4,  6.7, ⑥⑦, 7, 8,Ａゴｰルドスミス, 81,武豊  , 1.5, 66,   1,   5, 2,  2.5,⑥④④, 7,13,Ｌアルシラｰト, 73,佐藤哲, 0.9, 76,  -1,  13, 4, 13.5, ⑧⑦, 7,10,Ｌランドマッハ, 65,後藤浩, 1.2, 67,  -4,   3,15,182.4, ⑪⑪
 8, 5, スｰパｰクルｰズ,---,小牧太, 2.3, 33,  -8, -30, 6, 12.3, ⑤⑤, 8, 4,Ｉタマモリクエスト, 66,和田竜, 1.6, 67,   0,   7, 8, 62.5,⑥⑦⑦, 8, 8,Ｍユウアイラ, 72,鮫島良, 1.0, 76,  -1,  13,14,150.8, ⑧⑩, 8, 5,Ｇジョニｰバロｰズ, 69,吉田隼, 1.2, 68,  -5,   7,10, 47.6, ⑭⑭
,,,,,,,,,,,, 9, 5,Ｈバトルブリンディス, 68,川田将, 1.7, 67,  -1,   8, 7, 52.5,⑧⑧⑦, 9, 5,Ｃネオナｰト, 78,後藤浩, 1.0, 75,  -3,  14,11, 77.9, ⑫⑬, 9,16,Ｉチョウサンデイ, 67,太宰啓, 1.2, 67,*  2,  -6, 9, 37.3, ⑦⑤
,,,,,,,,,,,,10, 6,Ｊホッコｰランチャｰ, 65,赤木高, 2.0, 63,  -2,   7,10, 77.7,⑨⑧⑩,10, 4,Ｄコスモサレオス, 78,浜中俊, 1.0, 75,  -3,  13, 8, 31.2, ⑫⑬,10, 9,Ｊフェルヴィｰド, 66,幸英明, 1.2, 69,  -2,   2, 8, 30.3, ⑪⑪
,,,,,,,,,,,,,,,,,,,,,,,,11, 1,Ｇポｰトジェネラル, 76,安藤光, 1.2, 73,   1,   8,12, 83.7, ⑤⑦,11,13,Ｃフュｰチャｰボｰイ, 76,和田竜, 1.3, 65,*  2,  -7, 6, 11.8, ⑤⑤
,,,,,,,,,,,,,,,,,,,,,,,,12, 2,Ａワンダｰプロ, 81,福永祐, 1.8, 69,*  5,  -1, 6, 17.6, ③④,12,14,Ｋアグネスミヌエット, 65,四位洋, 1.5, 64,  -1,  -5, 2,  4.7, ⑦⑨
,,,,,,,,,,,,,,,,,,,,,,,,13,10,Ｎアレクシオス, 71,赤木高, 2.0, 66,  -7,   9,13,135.6, ⑮⑮,13,11,Ｐウイニングハピネス, 58,渡辺薫, 1.6, 64,  -2,  -4,16,279.3, ⑩⑪
,,,,,,,,,,,,,,,,,,,,,,,,14,11,Ｏデンコウグラス, 68,上村洋, 2.8, 61,*  9, -13,10, 49.9, ①①,14,18,Ｎスプリングニｰス, 64,田中健, 1.6, 62,  -1,  -7,12,135.8, ⑪⑨
,,,,,,,,,,,,,,,,,,,,,,,,15,15,Ｈシルクパスワｰド, 76,太宰啓, 3.6, 52,  -2,  -9,15,248.5, ⑪⑩,15,17,Ｈウィズディクタット, 67,内田博, 2.0, 56,*  2, -19, 7, 17.6, ③③
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16, 4,Ｑカルストンペｰスオ, 57,赤木高, 2.0, 60,  -6,  -2,17,323.9, ⑭⑯
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17, 7,Ｍカスタリア, 65,小牧太, 4.1, 36, -10, -27,13,146.4, ⑰⑰
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:55 ﾚｰｽﾍﾟｰｽ指数:+0 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:+9 馬場:良(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-8 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:75 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:-3),,,,,,,,,,,
単勝:770円 複勝:07=270円 01=450円 06=160円 枠連:0円,,,,,,,,,,,,"単勝:250円 複勝:10=140円 02=280円 07=200円 枠連:1,120円",,,,,,,,,,,,"単勝:2,440円 複勝:06=810円 09=460円 14=310円 枠連:4,940円",,,,,,,,,,,,単勝:270円 複勝:06=120円 15=170円 03=200円 枠連:280円,,,,,,,,,,,
"馬連:6,940円 ワイド:01-07=1,600円 06-07=500円 01-06=1,550円",,,,,,,,,,,,"馬連:1,330円 ワイド:02-10=440円 07-10=300円 02-07=780円",,,,,,,,,,,,"馬連:6,920円 ワイド:06-09=1,740円 06-14=1,550円 09-14=640円",,,,,,,,,,,,馬連:660円 ワイド:06-15=270円 03-06=320円 03-15=670円,,,,,,,,,,,
"馬単:12,660円 3連複:10,360円 3連単:89,480円",,,,,,,,,,,,"馬単:2,030円 3連複:2,350円 3連単:9,390円",,,,,,,,,,,,"馬単:21,240円 3連複:12,680円 3連単:112,920円",,,,,,,,,,,,"馬単:1,090円 3連複:1,430円 3連単:5,860円",,,,,,,,,,,
