08年10月12日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年10月12日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■ 4R  ダ1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1400m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■10R  ダ1400m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
10, 6,Ｇミラクルフェイマス, 39,熊沢重, 3.1, 29,  -7, -18, 4, 29.7, ⑤⑥,,,,,,,,,,,,,10, 1,Ｃアイソトｰプ, 74,内田博, 1.3, 62,   1,   1, 3,  5.7, ⑨⑩,10,13,Ｅスマｰトサイクロン, 83,渡辺薫, 1.2, 74,   6,   3,10, 50.3, ⑤④
11, 5,Ｈタガノソレイユ, 38,橋本美, 3.4, 27,  -5, -23, 7, 47.6, ④⑤,,,,,,,,,,,,,11, 3,Ｎウィズディクタット, 61,鮫島良, 1.3, 63,  -1,   4, 6, 23.9, ⑭⑭,11,12,Ｏロングベネフィット, 78,太宰啓, 1.3, 72,   3,   6,16,223.2, ⑫⑪
,,,,,,,,,,,,,,,,,,,,,,,,12, 5,Ｇコスモイｰゴリ, 69,長谷川, 1.5, 62,   2,   0,11, 31.9, ⑧⑩,12,14,Ｋアグネスボゾン, 80,角田晃, 1.3, 73,   4,   5,15,147.7, ⑨⑧
,,,,,,,,,,,,,,,,,,,,,,,,13,14,Ｍヒストリｰ, 61,岩田康, 1.8, 58,*  4,  -5, 8, 29.3, ②③,13, 7,Ｊマイネルラファエロ, 80,熊沢重, 1.5, 71,   3,   4,13,109.6, ⑫⑪
,,,,,,,,,,,,,,,,,,,,,,,,14, 9,Ｆワンダｰフガタ, 69,田中健, 3.0, 49,*  4, -17,12, 50.4, ②③,14, 2,Ｇメイショウディオ, 82,難波剛, 1.5, 71,   1,   6,12, 95.6, ⑭⑮
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,16,Ｍスタｰボイジャｰ, 79,上村洋, 1.6, 72,   4,   2, 9, 41.2, ⑦⑥
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16, 3,Ｎロｰレルウェルシュ, 79,野元昭, 3.2, 57,*  9, -19,11, 78.7, ①①
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:59 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+0 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:+8 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+0 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:85 ﾚｰｽﾍﾟｰｽ指数:-8 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:良(指数:-1),,,,,,,,,,,
単勝:130円 複勝:03=100円 10=100円 08=180円 枠連:150円,,,,,,,,,,,,単勝:250円 複勝:08=120円 09=120円 04=180円 枠連:260円,,,,,,,,,,,,"単勝:570円 複勝:11=210円 02=590円 06=140円 枠連:6,070円",,,,,,,,,,,,"単勝:1,570円 複勝:08=290円 15=120円 11=180円 枠連:1,770円",,,,,,,,,,,
馬連:150円 ワイド:03-10=110円 03-08=220円 08-10=340円,,,,,,,,,,,,馬連:260円 ワイド:08-09=150円 04-08=350円 04-09=470円,,,,,,,,,,,,"馬連:8,630円 ワイド:02-11=2,850円 06-11=450円 02-06=1,640円",,,,,,,,,,,,"馬連:1,760円 ワイド:08-15=580円 08-11=990円 11-15=280円",,,,,,,,,,,
馬単:210円 3連複:370円 3連単:700円,,,,,,,,,,,,"馬単:500円 3連複:770円 3連単:2,480円",,,,,,,,,,,,"馬単:14,610円 3連複:9,370円 3連単:78,190円",,,,,,,,,,,,"馬単:5,160円 3連複:2,850円 3連単:23,900円",,,,,,,,,,,
■ 2R  芝1400m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 5R  芝1800m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 8R  芝1800m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■11R  芝2400m 3歳上ｵｰﾌﾟﾝ(国) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,,,,,,,,,,,,,京都大賞典 ＧⅡ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,13,Ｂアディアフォｰン, 68,安藤勝,, 67,   0,*  6, 1,  1.7, ⑤⑤, 1, 7, マイネルジェネシス,---,長谷川,, 55, -18,*  2, 3,  5.8, ②②, 1,16,Ｃコパノジングｰ, 75,岩田康,, 79,   9,*  9, 2,  4.9, ⑭⑬, 1, 5,Ｃトｰホウアラン, 90,鮫島良,, 93,   3,  18, 4,  9.1,⑥⑥⑦
 2, 9,Ｆナリタシリカ, 55,和田竜, 0.0, 68,*  4,   2, 5, 30.1, ②②, 2, 5, アキノカウンタｰ,---,安藤勝, 0.5, 47,*-16,  -6, 1,  2.4, ①①, 2, 6,Ｏチョウサンデイ, 67,太宰啓, 0.3, 77,  13,  -2,14, 77.1, ⑨⑨, 2, 9,Ｄアドマイヤモナｰク, 90,安藤勝, 0.1, 92,   2,* 20, 6, 16.3,⑩⑧⑧
 3,12,Ｅセキサンダンスイン, 57,小牧太, 0.1, 68,  -5,* 13, 9, 52.6, ⑬⑩, 3, 3, マルタカアンデス,---,四位洋, 0.7, 46, -19,  -5, 7, 20.9, ④④, 3, 2,Ｇゴｰルデンガッツ, 72,四位洋, 0.4, 77,   9,*  5,13, 49.9, ⑮⑮, 3, 3,Ｅアイポッパｰ, 89,上村洋, 0.1, 90,   4,  14, 7, 18.1,⑤③③
 4, 6,Ａハッピｰネｰション, 81,内田博, 0.2, 65,*  4,  -2, 2,  4.3, ①①, 4, 6, マイファｰストラヴ,---,浜中俊, 0.9, 45, -19,  -8, 8, 24.3, ④④, 4, 7,Ｂフレジェｰル, 76,藤岡康, 0.4, 75,* 14,  -6, 3,  6.4, ⑥⑥, 4, 2,Ｉメイショウカチドキ, 83,浜中俊, 0.1, 93,   2,* 19,10,120.6,⑧⑧⑧
 5,14,Ｇハイフィｰルド, 51,太宰啓, 0.4, 64,  -1,   4, 8, 42.9, ⑦⑦, 5, 8, セフティファンキｰ,---,和田竜, 1.1, 42, -19, -11, 5, 11.0, ④④, 5, 8,Ｉメイショウナイト, 71,高橋亮, 0.4, 75,  13,  -5,10, 30.2, ⑦⑧, 5, 4,Ｆアルナスライン, 89,和田竜, 0.2, 91,   2,  18, 1,  2.0,⑧⑩⑧
 6, 7,Ｃハッピｰパレｰド, 65,岩田康, 0.7, 59,   0,  -2, 3,  6.1, ⑦⑦, 6, 1, トウカイミステリｰ,---,内田博, 1.1, 43, -20,  -6, 2,  4.2, ⑦⑦, 6, 3,Ｐフィッツロイ, 66,佐藤哲, 0.5, 75,  10,   1, 5, 15.4, ⑬⑬, 6,10,Ｇマンハッタンスカイ, 85,四位洋, 0.2, 85,*  4,   8, 5, 15.3,①①①
 7,10,Ｄマイネレｰヌ, 63,四位洋, 0.7, 59,*  4,  -7, 4, 14.9, ③③, 7, 2, フィｰルドカフェ,---,小牧太, 1.2, 42, -21,  -8, 4,  5.8, ⑦⑦, 7,10,Ｄオセアニアボス, 75,小牧太, 0.6, 72,* 15, -12, 1,  2.7, ②②, 7, 1,Ｂポップロック, 90,内田博, 0.3, 84,*  4,   8, 3,  7.3,②②②
 8, 1,Ｋリアルキサラ, 44,藤岡康, 0.8, 60,  -4,   2, 6, 30.6, ⑪⑩, 8, 4, ウインペンタゴン,---,幸英明, 1.6, 34,*-16, -22, 6, 15.0, ②②, 8, 9,Ｆウインボｰルド, 72,内田博, 0.6, 74,   7,*  5,12, 43.8, ⑯⑯, 8, 8,Ｈマキハタサイボｰグ, 84,幸英明, 0.7, 82,   3,   5, 9, 97.8,③③③
 9, 5,Ｉチキリムｰディｰ, 48,幸英明, 0.9, 58,   1,  -7,11, 99.0, ③④,,,,,,,,,,,,, 9,14,Ｅダノンイサオ, 74,北村友, 0.6, 75,  13,  -6, 4,  8.3, ⑨⑨, 9, 6,Ａアドマイヤジュピタ, 91,岩田康, 1.1, 77,   3,   2, 2,  3.6,⑥⑥⑤
10, 2,Ｈグレｰトダンサｰ, 49,田中克, 1.0, 56,  -4,  -1,10, 53.6, ⑪⑩,,,,,,,,,,,,,10,11,Ｋピサノロンシャン, 70,浜中俊, 0.6, 75,  11,  -4, 7, 18.9, ⑪⑪,10, 7,Ｊテキサスイｰグル, 39,柿原翔, 2.4, 62,   3, -20, 8, 74.9,③③⑤
11, 8,Ｌコウエイマイラブ, 44,中村将, 1.3, 52,   0, -11,14,192.6, ⑤⑤,,,,,,,,,,,,,11,12,Ｍマイネルプルｰト, 68,長谷川, 0.7, 73,  12,  -5,15, 97.8, ⑪⑪,,,,,,,,,,,,
12, 4,Ｏシゲルオトワヤマ, 29,赤木高, 1.4, 53, -10,   2,15,222.9, ⑭⑭,,,,,,,,,,,,,12, 5,Ｊメイショウグラｰド, 71,幸英明, 1.0, 71,   7,  -2,11, 41.5, ⑯⑯,,,,,,,,,,,,
13, 3,Ｎデンコウテンパイ, 40,上村洋, 1.6, 50,  -1, -12, 7, 40.5, ⑦⑦,,,,,,,,,,,,,13, 1,Ａザリｰン, 79,角田晃, 1.0, 69,* 15, -16, 6, 18.6, ③③,,,,,,,,,,,,
14,11,Ｊウルトラプレジャｰ, 44,田村太, 2.5, 39, -12, -11,13,153.5, ⑭⑮,,,,,,,,,,,,,14, 4,Ｑゴｰルドサクセス, 65,鮫島良, 1.0, 69,* 16, -19, 8, 20.7, ①①,,,,,,,,,,,,
15,15,Ｍシュバルツカレラ, 41,浜中俊, 3.8, 24,  -1, -41,12,147.1, ⑦⑬,,,,,,,,,,,,,15,13,Ｈドマｰニ, 72,上村洋, 1.1, 68,* 14, -18, 9, 28.6, ③③,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,16,17,Ｌタニノブロンクス, 70,酒井学, 1.5, 63,* 14, -24,16,104.0, ③③,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,17,15,Ｎアジアンホｰプ, 68,熊沢重, 1.5, 63,* 14, -22,17,114.5, ⑦⑥,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:-8 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:+5 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:93 ﾚｰｽﾍﾟｰｽ指数:-8 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:-2),,,,,,,,,,,
"単勝:170円 複勝:13=110円 09=520円 12=820円 枠連:2,000円",,,,,,,,,,,,単勝:580円 複勝:07=160円 05=130円 03=290円 枠連:0円,,,,,,,,,,,,"単勝:490円 複勝:16=200円 06=1,590円 02=990円 枠連:5,170円",,,,,,,,,,,,"単勝:910円 複勝:05=290円 09=380円 03=390円 枠連:2,390円",,,,,,,,,,,
"馬連:2,010円 ワイド:09-13=720円 12-13=1,050円 09-12=7,520円",,,,,,,,,,,,"馬連:590円 ワイド:05-07=260円 03-07=1,080円 03-05=620円",,,,,,,,,,,,"馬連:22,450円 ワイド:06-16=6,100円 02-16=3,150円 02-06=18,930円",,,,,,,,,,,,"馬連:5,830円 ワイド:05-09=1,750円 03-05=1,300円 03-09=1,820円",,,,,,,,,,,
"馬単:2,430円 3連複:14,670円 3連単:42,390円",,,,,,,,,,,,"馬単:1,760円 3連複:2,890円 3連単:16,090円",,,,,,,,,,,,"馬単:32,760円 3連複:204,000円 3連単:992,680円",,,,,,,,,,,,"馬単:11,450円 3連複:16,340円 3連単:114,270円",,,,,,,,,,,
■ 3R  芝1600m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■ 6R  ダ1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 9R  芝1200m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■12R  ダ1400m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-7,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,壬生特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 9,Ｄドナシュラｰク, 57,岩田康,, 61,* -7,   0, 2,  4.8, ①①, 1, 7,Ｈブレイブファイト, 68,岩田康,, 73,   1,* 13, 2,  2.6,⑥⑥④, 1, 4,Ａヘッドライナｰ, 80,岩田康,, 78,   8,   6, 1,  2.6, ③③, 1, 8,Ｂラインストｰム, 78,田中健,, 80,   5,* 12, 3,  7.3, ⑧⑧
 2, 3,Ａワｰルドロレックス, 75,浜中俊, 0.0, 65, -10,   4, 1,  1.9, ⑤④, 2, 8,Ｉエｰティｰドン, 68,田中健, 0.2, 72,*  4,   7, 9, 82.3,②②②, 2, 2,Ｍサクライダテン, 68,安藤勝, 0.1, 78,   6,   7, 6, 15.0, ⑤⑤, 2, 9,Ｃペプチドアトム, 78,和田竜, 0.0, 79,*  8,   7, 4, 10.3, ③③
 3, 5,Ｂフキラウソング, 63,安藤勝, 0.0, 66, -16,* 13, 4,  6.8, ⑨⑨, 3,10,Ｂゴｰルデンラダｰ, 73,熊沢重, 0.3, 72,   3,  10, 6, 23.7,④④⑥, 3,14,Ｄシゲルダイハッカイ, 75,赤木高, 0.2, 76,   8,   3,11, 44.2, ③③, 3, 5,Ｏスマｰトリｰズン, 59,赤木高, 0.0, 77,* 10,   5, 8, 32.9, ①①
 4, 6,Ｇヒラボクワイルド, 49,内田博, 0.2, 63, -14,*  8, 3,  5.4, ⑧⑦, 4, 5,Ｅファンドリリュウ, 69,石橋守, 0.4, 74,   0,* 14,10,159.0,⑧⑧⑦, 4, 9,Ｊオメガエクスプレス, 70,浜中俊, 0.3, 76,   3,   7, 2,  5.3, ⑧⑧, 4, 4,Ｉシｰクエスト, 73,内田博, 0.2, 77,*  8,   6, 1,  1.9, ③③
 5, 1,Ｃメイショウロｰツェ, 58,幸英明, 0.4, 61, -12,   3, 5, 13.8, ⑥⑦, 5,11,Ａスリｰベイダｰ, 77,太宰啓, 0.6, 67,   3,   4, 1,  2.2,②②③, 5, 5,Ｂマイネアルデュｰル, 78,佐藤哲, 0.4, 74,   7,   2, 3,  5.9, ⑤⑤, 5,16,Ｋエリモハルカ, 71,浜中俊, 0.3, 75,*  9,   3,10, 43.6, ②②
 6,10,Ｈアグネスジェｰド, 49,和田竜, 0.4, 58,* -8,  -4, 7, 35.0, ②②, 6, 6,Ｊタマモランニング, 66,川島信, 0.9, 65,   3,   3, 4, 11.0,④④④, 6,18,Ｈシロキタカｰニバル, 70,渡辺薫, 0.4, 74,   4,   5, 4,  8.6, ⑧⑧, 6,11,Ｇシルクレセプション, 74,長谷川, 0.4, 76,   7,   6, 5, 14.2, ⑥⑤
 7, 7,Ｅカシノヘラクレス, 54,小坂忠, 0.4, 59, -11,   1, 8, 76.0, ⑥④, 7, 4,Ｄブラックカシミｰル, 72,野元昭, 1.1, 64,*  4,  -2, 5, 13.2,①①①, 7,16,Ｃオレンジシュプｰル, 77,四位洋, 0.5, 73,   2,   6, 5, 13.5, ⑪⑩, 7,10,Ｄネオナｰト, 77,渡辺薫, 0.4, 76,   5,   8, 9, 37.0, ⑧⑧
 8, 4,Ｆパｰフェクトバイオ, 50,角田晃, 0.7, 58, -15,   3, 6, 23.8, ⑨⑨, 8, 3,Ｆツルマルキセキ, 69,荻野琢, 1.4, 66,   1,   3, 7, 36.5,⑥⑦⑦, 8,10,Ｇマルタｰズロビン, 72,内田博, 0.5, 72,  -1,*  8, 7, 22.5, ⑫⑫, 8,14,Ａアルシラｰト, 81,小牧太, 0.5, 75,   2,* 11, 6, 14.2, ⑫⑪
 9, 8,Ｉメメミルキッシュ, 36,上村洋, 1.8, 41,* -8, -23, 9, 87.7, ③③, 9, 9,Ｃエイユｰパッション, 72,和田竜, 1.4, 65,  -1,   6, 8, 42.6,⑨⑨⑨, 9,11,Ｅマイネエスポワｰル, 75,川島信, 0.5, 72,  -5,* 13, 9, 31.2, ⑰⑮, 9,15,Ｅスペｰスフライト, 76,佐藤哲, 0.5, 76,   7,   6, 2,  5.3, ⑥⑤
10, 2,Ｊマッキｰアイアン, 30,橋本美, 1.8, 40, -10, -22,10,194.6, ③④,10, 1,Ｇスリｰコンコルド, 69,内田博, 1.6, 63,  -1,   5, 3,  7.4,⑪⑨⑨,10, 7,Ｆマッキｰバクシン, 74,野元昭, 0.5, 73,* 17,  -8, 8, 22.9, ②②,10, 1,Ｈトウカイフラッグ, 73,四位洋, 0.6, 74,   1,* 11,11, 67.4, ⑭⑪
,,,,,,,,,,,,11, 2,Ｋアスカノペガサス, 47,金折知, 7.0, 29,  -3, -36,11,168.4,⑩⑪⑪,11,13,Ｋレンデフルｰル, 69,太宰啓, 0.6, 72,  -3,* 10,12, 48.9, ⑭⑮,11, 3,Ｊケルビック, 72,田中克, 1.3, 70,  -1,   7,12, 96.5, ⑮⑮
,,,,,,,,,,,,,,,,,,,,,,,,12,12,Ｏコスモランゲル, 67,和田竜, 0.8, 69,  -3,   7,15,101.7, ⑭⑮,12,12,Ｆドリｰムクラウン, 75,角田晃, 1.6, 66,   4,   0, 7, 28.7, ⑪⑪
,,,,,,,,,,,,,,,,,,,,,,,,13,17,Ｐエイシンイッキ, 67,幸英明, 0.9, 68,  -1,   4,14, 84.0, ⑬⑫,13, 7,Ｍスリｰスピニング, 67,菊地昇, 1.6, 67,   3,   2,15,287.2, ⑫⑭
,,,,,,,,,,,,,,,,,,,,,,,,14, 3,Ｑケンエンデバｰ, 67,上村洋, 0.9, 68,   0,   2,16,119.3, ⑩⑩,14, 6,Ｌインディゴラヴ, 68,中村将, 2.0, 61,   6,  -6,13,105.6, ⑧⑧
,,,,,,,,,,,,,,,,,,,,,,,,15, 1,Ｒノボリデュｰク, 66,石橋守, 1.0, 67,  -6,   7,10, 32.9, ⑱⑱,15,13,Ｐクリノダイシス, 56,川島信, 2.3, 60,   8, -11,14,189.1, ③⑤
,,,,,,,,,,,,,,,,,,,,,,,,16, 8,Ｎタイキマｰズ, 67,大江原, 1.0, 67,  -3,   5,17,150.6, ⑭⑭,16, 2,Ｎカシノヨウスケ, 60,白坂聡, 3.0, 55,  -2,  -6,16,305.2, ⑯⑮
,,,,,,,,,,,,,,,,,,,,,,,,17, 6,Ｌファｰストナイナｰ, 69,田嶋翔, 1.0, 66,* 16, -15,13, 64.3, ①①,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,18,15,Ｉエｰティｰホｰオｰ, 70,中村将, 1.1, 66,   7,  -7,18,165.1, ⑤⑤,,,,,,,,,,,,
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:81 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:良(指数:-1),,,,,,,,,,,
単勝:480円 複勝:09=140円 03=110円 05=160円 枠連:360円,,,,,,,,,,,,"単勝:260円 複勝:07=150円 08=1,150円 10=480円 枠連:2,110円",,,,,,,,,,,,"単勝:260円 複勝:04=160円 02=460円 14=740円 枠連:1,570円",,,,,,,,,,,,"単勝:730円 複勝:08=240円 09=270円 05=680円 枠連:2,060円",,,,,,,,,,,
馬連:460円 ワイド:03-09=200円 05-09=380円 03-05=210円,,,,,,,,,,,,"馬連:10,760円 ワイド:07-08=2,950円 07-10=1,010円 08-10=8,330円",,,,,,,,,,,,"馬連:2,250円 ワイド:02-04=700円 04-14=1,850円 02-14=6,340円",,,,,,,,,,,,"馬連:2,590円 ワイド:08-09=880円 05-08=2,830円 05-09=3,120円",,,,,,,,,,,
"馬単:1,240円 3連複:680円 3連単:4,550円",,,,,,,,,,,,"馬単:14,900円 3連複:35,220円 3連単:170,780円",,,,,,,,,,,,"馬単:3,440円 3連複:26,420円 3連単:93,780円",,,,,,,,,,,,"馬単:5,530円 3連複:21,970円 3連単:105,600円",,,,,,,,,,,
