10年 6月19日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年 6月19日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 4R  芝1200m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  ダ1200m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■10R  芝1600m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,ｽﾄｰｸｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
"馬単:28,240円 3連複:8,900円 3連単:94,440円",,,,,,,,,,,,"馬単:620円 3連複:1,850円 3連単:5,540円",,,,,,,,,,,,"馬単:12,880円 3連複:3,840円 3連単:50,480円",,,,,,,,,,,,"馬単:15,350円 3連複:93,560円 3連単:534,130円",,,,,,,,,,,
■ 2R  ダ1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 5R  ダ1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 8R  芝2200m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■11R  ダ1800m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,城崎特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,15,Ｂナリタシルクロｰド, 67,高倉稜,, 70,*  7,*  4, 3,  7.6,⑥④②, 1, 8,Ｅテイエムバゴオｰ, 63,北村友,, 67,*  2,   1, 3,  6.7,④③③, 1, 5,Ｊキクカタキシｰド, 62,幸英明,, 74,   0,*  7, 7, 22.4,⑦⑨⑨, 1, 3,Ｉメイショウイエミツ, 68,福永祐,, 76,*  6,*  6, 5,  9.2,④④③
 2,13,Ａステキナシャチョウ, 71,和田竜, 0.3, 69,*  8,   0, 1,  1.3,②②①, 2, 3,Ｃスペクタビリス, 66,福永祐, 0.1, 64,*  2,  -2, 2,  3.8,①①①, 2,10,Ｌキングシャｰロット, 56,岩田康, 0.0, 72,*  3,   1, 9, 26.6,①①①, 2, 1,Ａアｰクビスティｰ, 79,ウィリ, 0.2, 74,*  6,   4, 1,  2.4,②②②
 3, 2,Ｅタｰンベリｰ, 61,福永祐, 0.7, 66,   4,*  5, 5, 22.2,⑨⑧⑤, 3,15,Ｄサクセスシェｰバｰ, 65,飯田祐, 0.6, 64,  -5,*  8, 8, 30.2,⑮⑭⑫, 3, 7,Ｂカシノネロ, 74,高倉稜, 0.1, 73,  -1,*  9, 3,  4.7,⑨⑩⑪, 3, 5,Ｅニホンピロアワｰズ, 74,幸英明, 0.2, 76,   5,*  8, 3,  5.8,⑤⑤⑤
 4, 5,Ｆバガボンド, 60,川田将, 0.8, 66,   5,   2, 2,  6.8,⑤⑥④, 4, 7,Ｇボｰンストｰン, 60,小牧太, 0.6, 61,   1,  -2, 5, 12.5,⑥⑤⑤, 4, 3,Ａタニノエポレット, 75,川田将, 0.2, 71,   0,   3, 1,  2.6,⑧⑦⑦, 4,11,Ｂロｰレルレガリス, 78,浜中俊, 0.2, 77,   5,*  8, 2,  3.9,⑥⑥④
 5,10,Ｇメイショウラリｰ, 58,ウィリ, 1.8, 58,*  7, -11, 6, 35.9,③③③, 5, 2,Ｈパキッシュ, 55,浜中俊, 0.6, 63,   1,  -3, 7, 19.1,③④④, 5, 9,Ｃナムラチェンジ, 73,和田竜, 0.3, 72,  -1,   6, 5, 10.6,⑪⑪⑩, 5,12,Ｋチョイワルグランパ, 67,鮫島良, 1.2, 68,   5,  -1,10, 54.2,⑧⑨⑥
 6,16,Ｊサクセスアイニｰ, 52,川須栄, 1.8, 59,  -1,*  3,14,312.6,⑫⑬⑫, 6,14,Ａグランドチャペル, 70,佐藤哲, 1.0, 61,  -1,  -3, 1,  2.3,⑫⑨⑦, 6, 2,Ｅパｰソナルブレｰン, 71,川須栄, 0.3, 70,   1,   2, 6, 16.6,⑤⑥⑥, 6, 9,Ｆファイナルパンチ, 74,渡辺薫, 1.2, 70,   3,   2,11,122.3,⑩⑩⑩
