10年 6月20日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年 6月20日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 4R  芝1600m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝1200m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■10R  芝2000m 3歳上ｵｰﾌﾟﾝ(牝) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,ﾏｰﾒｲﾄﾞｽﾃｰｸｽ ＧⅢ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 5,15,Ｇクｰルクラｰジュ, 52,岩田康, 1.1, 58,   5, -14, 7, 13.6, ④③, 5,15,Ｊアッフィラｰタ, 48,福永祐, 1.9, 49,  -7,  -3, 3, 16.7,⑭⑫⑪, 5, 9,Ｄフラッグラッシュ, 75,鮫島良, 0.6, 70,   8,* -4, 8, 20.7,⑭⑫⑦, 5,12,Ｉシアフォｰス, 61,岩田康, 1.0, 65,   1,  -7, 2,  3.7, ⑦⑦
 6,12,Ｃビントサリエ, 58,ウィリ, 1.3, 55,   4, -13, 2,  5.7, ⑥⑥, 6, 1,Ｂジェネラルバイオ, 57,幸英明, 2.0, 48,  -4, -10, 7, 30.4,③③⑥, 6,12,Ｂアキノグロｰブ, 78,高倉稜, 0.8, 68,* 11, -13, 2,  6.6,④④③, 6, 7,Ｎメイショウサミット, 41,難波剛, 1.1, 64,  -6,   3,10, 74.8, ⑩⑩
 7,14, カワカミショコラ,---,川島信, 1.4, 51, -10,*  3,14,127.9, ⑯⑯, 7, 4,Ｄニシノサンタロウ, 54,北村宏, 2.2, 44,  -6,  -9, 5, 19.0,⑫⑪⑧, 7,11,Ｊメイクセンス, 71,岩田康, 0.8, 70,  10, -10, 4,  6.7,⑧⑥⑥, 7,13,Ｃコンプトゥス, 68,北村宏, 1.2, 61,   6, -18, 8, 24.5, ④④
 8, 5,Ｆマリンバラッド, 55,渡辺薫, 1.5, 56,*  8, -19, 6, 11.9, ①①, 8, 5,Ｋディアグレｰトサン, 46,川島信, 2.3, 45,  -7,  -9, 9, 52.9,⑩⑩⑨, 8, 7,Ｇサンレイハスラｰ, 74,岩崎祐, 1.1, 67,   7,  -7,11, 43.8,⑩⑪⑪, 8, 1,Ｄファイアレッド, 68,田中勝, 1.4, 62,  -7,   3, 4,  6.5, ⑪⑫
 9, 2,Ａアドマイヤマスタｰ, 59,川田将, 1.5, 54,   4, -15, 1,  3.0, ③④, 9,10,Ｈニシノサンダｰ, 50,村田一, 2.4, 49,  -7,  -4,14,147.0,⑪⑭⑬, 9, 6,Ｌポｰトスピｰド, 70,太宰啓, 1.3, 66,   7,  -8,13, 52.9,⑫⑮⑩, 9,14,Ｈプロスアンドコンズ, 66,鮫島良, 1.6, 59,  -5,  -4, 3,  6.3, ⑬⑪
10, 1, トウカイブラスト,---,酒井学, 1.6, 54,   2, -14,10, 45.2, ⑨⑦,10,14,Ｍライブリクラフト, 45,田中健, 2.5, 49,  -3, -15,16,264.1,④⑤④,10, 4,Ｃトップランナｰ, 76,北村宏, 1.4, 63,   7,  -9, 7, 13.5,⑨⑩⑫,10, 4,Ｋシャイニｰモス, 58,幸英明, 1.6, 57,* 16, -39, 9, 55.6, ①①
11, 3,Ｌメモリｰセイバｰ, 36,川須栄, 1.7, 49,  -7,  -5,15,128.6, ⑮⑮,11,12,Ｇセブンウッド, 52,国分恭, 2.5, 47,  -8,  -6,12,112.1,⑮⑬⑫,11,13,Ｅガリアｰノ, 74,川須栄, 1.5, 65,   8, -12,12, 49.9,⑬⑨⑨,11, 3,Ｍマサノチキｰタ, 53,田中学, 2.0, 52,   3, -25,11, 92.0, ⑤⑥
12, 4,Ｂランドゴｰカイ, 59,高倉稜, 2.2, 47,  -1, -15, 8, 21.2, ⑬⑬,12, 8,Ｎベニチドリ, 33,小牧太, 2.7, 44,  -5, -13,11,102.0,⑨⑦⑩,12, 2,Ｋソルモンタｰレ, 71,小林慎, 1.6, 63,* 13, -23, 9, 21.9,①①①,12, 2,Ｊマイアイビギニング, 59,飯田祐, 2.1, 53,  -4, -13,12,116.9, ⑨⑨
13, 8,Ｋホッコｰブロッサム, 45,飯田祐, 2.5, 46,   0, -17,13,110.8, ⑭⑭,13, 6,Ｌテイエムテツワン, 46,太宰啓, 3.1, 40,  -6, -17,15,157.1,⑬⑧⑦,13,14,Ｏパミｰナ, 65,北村友, 3.8, 52,  11, -38,10, 33.4,③③⑧,13, 8,Ｌシュルヴィｰヴル, 54,太宰啓, 3.4, 39, -11, -20,13,124.1, ⑫⑬
14,10,Ｉサクシｰド, 51,佐藤哲, 2.9, 43,   0, -23, 3,  5.8, ⑩⑩,14, 2,Ｆダイシンマジック, 54,鮫島良, 3.9, 37,  -8, -19, 8, 42.4,⑦⑨⑭,14,10,Ｎカワキタシュテルン, 67,田中勝, 4.5, 47,   5, -32,14, 62.7,⑪⑬⑭,,,,,,,,,,,,
15,16, ピｰスデピュティ,---,太宰啓, 3.2, 39,   3, -29,16,152.4, ⑦⑨,15, 3, デサフィアｰル,---,田中学, 5.1, 29, -12, -22, 6, 28.2,⑯⑯⑮,15, 1,Ｉシルバｰフィｰルド, 72,幸英明, 5.0, 46,   7, -39, 6,  9.1,⑦⑧⑮,,,,,,,,,,,,
16, 7,Ｄケイエスジャパン, 57,幸英明, 3.7, 36,   2, -32, 9, 42.2, ⑧⑫,16,11,Ｏシゲルノブナガ,-12,田中勝,13.1,-28, -13, -87,13,137.9,⑧⑮⑯,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
