10年 7月 3日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年 7月 3日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 4R  ダ1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-5,,,,,■ 7R  ダ1800m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■10R  ダ1800m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,, 9,12,Ｊメイショウハクサン, 45,上野翔, 1.7, 52,  -4,  -7,15,174.2, ⑪⑪, 9, 4,Ｊリュウシンドラゴン, 51,北村友, 2.6, 55,  -5,   1, 8, 31.9,⑯⑯⑬, 9, 4,Ｉパピヨンシチｰ, 83,北村友, 1.0, 79,   9,   8,14, 89.2,⑧⑦⑧
,,,,,,,,,,,,10, 6,Ｄゴッドマジック, 60,浜中俊, 1.7, 54,   3, -14, 4,  8.9, ④④,10, 9,Ｎメイショウテクノ, 40,川須栄, 3.1, 50,  -3,  -6,13,231.4,⑮⑮⑫,10, 2,Ｋダノンアスカ, 82,渡辺薫, 1.1, 78,   4,  13, 9, 40.9,⑭⑬⑬
,,,,,,,,,,,,11,14,Ｆカノヤキントキ, 57,鷹野宏, 2.0, 50,   0, -14, 9, 35.7, ⑥⑦,11,16,Ｆスマｰトグリッド, 60,ウィリ, 3.8, 43,  -2, -17, 6, 21.4,⑫⑨⑪,11, 3,Ｌダイバクフ, 82,松田大, 1.5, 77,   6,   7,10, 51.7,⑪⑪⑫
,,,,,,,,,,,,12, 8,Ｂシゲルキヨマサ, 61,幸英明, 2.2, 47,  -2, -14, 2,  5.8, ⑩⑩,12,13,Ｈドントキリシマ, 55,太宰啓, 3.8, 43,   0, -18,14,242.9,⑧⑤⑦,12, 8,Ｅツルマルビビッド, 85,和田竜, 1.6, 75,   4,  10,12, 75.8,⑬⑭⑭
,,,,,,,,,,,,13,13, ハマｰ,---,国分恭, 2.5, 44, -24,*  4, 8, 33.0, ⑭⑭,13, 5,Ｏゲットクラウン, 37,松山弘, 3.8, 43,  -1, -17,10, 74.9,⑥⑦⑧,13, 6,Ｊスマｰトブレｰド, 83,国分恭, 2.8, 63,  10, -13, 8, 38.1,③③⑤
,,,,,,,,,,,,14,15,Ｌシルクレガリア, 42,川須栄, 2.6, 42, -14,  -7,12,101.2, ⑬⑬,14, 1,Ｌベニチドリ, 45,藤岡康, 4.8, 39,  -1, -25,12,211.8,③⑥⑭,14,14,Ｇゼンノトレヴィ, 84,赤木高, 2.9, 62,   9, -11,11, 65.7,④⑤⑨
,,,,,,,,,,,,15, 3, タマモトップスタｰ,---,太宰啓, 2.6, 43, -25,*  4,13,104.9, ⑮⑮,15, 6,Ｍキンショｰカチドキ, 42,高野容, 4.9, 37,  -5, -20,16,291.3,⑪⑬⑮,,,,,,,,,,,,
,,,,,,,,,,,,16, 1,Ｎフォルトシュリット, -8,北村友, 9.8,-45, -51, -35,11, 65.9, ⑯⑯,16, 2,Ｋマンテンスカイ, 51,浜中俊, 6.6, 27,  -5, -35,15,253.2,⑤⑫⑯,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:重(指数:5),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:不良(指数:-7),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:不良(指数:-7),,,,,,,,,,,,ｸﾗｽ上位平均:85 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:不良(指数:-7),,,,,,,,,,,
単勝:670円 複勝:03=170円 02=110円 枠連:0円,,,,,,,,,,,,"単勝:1,410円 複勝:07=300円 04=120円 10=720円 枠連:480円",,,,,,,,,,,,単勝:160円 複勝:08=110円 14=140円 11=240円 枠連:290円,,,,,,,,,,,,"単勝:1,260円 複勝:07=360円 13=800円 09=240円 枠連:7,840円",,,,,,,,,,,
馬連:300円 ワイド:02-03=150円 03-07=450円 02-07=260円,,,,,,,,,,,,"馬連:1,220円 ワイド:04-07=520円 07-10=3,640円 04-10=1,140円",,,,,,,,,,,,馬連:290円 ワイド:08-14=160円 08-11=380円 11-14=700円,,,,,,,,,,,,"馬連:21,600円 ワイド:07-13=4,540円 07-09=1,120円 09-13=3,000円",,,,,,,,,,,
"馬単:1,070円 3連複:640円 3連単:3,970円",,,,,,,,,,,,"馬単:3,620円 3連複:11,530円 3連単:83,990円",,,,,,,,,,,,"馬単:430円 3連複:970円 3連単:2,290円",,,,,,,,,,,,"馬単:41,610円 3連複:40,950円 3連単:310,940円",,,,,,,,,,,
■ 2R  ダ1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:10,,,,,■ 5R  芝2000m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 8R  芝1800m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■11R  芝1200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,豊中特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,12,Ｊヤマニンパソドブル, 55,国分恭,, 63,   3,* -6, 4,  9.7,⑩⑩⑥, 1, 8,Ｆエｰラゴｰデオ, 56,赤木高,, 66,*  2,  -5, 5, 12.0,①①①, 1, 9,Ｄパｰソナルブレｰン, 69,小牧太,, 77,   3,* 12, 5,  8.6, ⑤⑤, 1, 5,Ａハッピｰプレゼント, 77,北村友,, 72,  -1,*  2, 4,  7.2, ③④
 2, 1,Ｄオｰパスクイｰン, 60,北村友, 0.2, 61,*  5, -12, 1,  3.6,①①①, 2,10,Ｍシャイニｰブラック, 40,藤岡康, 0.3, 67,  -4,*  5,12, 92.7,⑭⑭⑬, 2,14,Ｅラブフｰル, 68,福永祐, 0.0, 79,   0,* 19, 1,  4.4, ⑩⑩, 2, 4,Ｆオｰセロワ, 71,鮫島良, 0.2, 69,*  6,  -7, 3,  5.7, ①①
 3, 5,Ｈラガｰラブリン, 58,岩田康, 0.2, 64,   2,* -7, 5,  9.9,⑦⑦⑦, 3,14,Ｈユニオンスクエア, 54,福永祐, 0.4, 63,*  1,  -8, 1,  3.3,⑦⑦③, 3, 4,Ｉタガノパルムドｰル, 66,国分恭, 0.4, 72,*  6,   2, 7,  9.8, ③③, 3,15,Ｅタニノスバル, 73,福永祐, 0.4, 67,  -3,   0, 1,  4.9, ⑧⑧
 4,10,Ｆタガノサムアップ, 58,鮫島良, 0.4, 61,   3, -10, 3,  5.8,⑥⑤④, 4,12,Ｄカレンパッキャオ, 61,川田将, 0.4, 64,  -1,  -4, 2,  3.5,⑩⑩⑦, 4, 1,Ｈマイネアロマ, 67,和田竜, 0.5, 71,   5,   2, 6,  9.1, ④④, 4,11,Ｄニホンピログッデン, 73,酒井学, 0.4, 67,  -1,  -3, 7, 15.2, ⑤⑤
 5, 2,Ｉピサノアウロｰラ, 57,渡辺薫, 0.4, 61,*  4, -11,12, 41.1,④④⑤, 5, 1,Ｃクレバｰオペラ, 61,高倉稜, 0.6, 63,  -3,* -2, 3,  8.0,⑧⑧⑫, 5, 7,Ｃテｰオｰティアラ, 71,川田将, 0.6, 73,   1,  11, 4,  7.5, ⑨⑨, 5,12,Ｂピュアチャプレット, 77,川田将, 0.4, 69, -11,*  7, 2,  5.6, ⑭⑭
 0, 7, リズモア,---,ウィリ, 0.5, 60,   3,  -8,11, 36.1,⑫⑫⑨, 6, 9,Ｉコウユｰユメダンス, 53,松田大, 0.7, 62,   0,  -9, 4,  9.2,⑥⑥⑥, 6,10,Ｍサンダｰセブン, 56,岩田康, 1.0, 68,   2,   1,10, 40.5, ⑥⑦, 6,10,Ｊエストシャイン, 66,松田大, 0.5, 66,   1,  -6, 9, 21.8, ④③
 6,11,Ｅアスカノイオン, 59,和田竜, 0.6, 60,   1,  -8,10, 18.5,⑬⑬⑪, 7, 4,Ｌウォｰタｰシャｰプ, 42,高橋亮, 0.9, 59,  -3,  -6,14,112.7,⑬⑬⑪, 7,13,Ａブライダルベｰル, 78,鮫島良, 1.1, 70,  -1,  10, 2,  4.7, ⑭⑭, 7, 7,Ｇラガｰシｰキング, 70,岩崎祐, 0.5, 66,  -6,   1, 8, 18.1, ⑨⑨
 7,14,Ｍオグリピッコロ, 48,鷹野宏, 0.8, 60,  -1,* -3,16,315.5,⑯⑯⑮, 8,16,Ｅタガノタッセル, 59,太宰啓, 0.9, 59,  -1, -10, 9, 18.1,⑪⑪⑧, 8, 6,Ｌメイショウボナｰル, 58,松山弘, 1.1, 62,*  6, -10,12, 48.4, ②②, 8, 3,Ｈアグネスティンクル, 68,ウィリ, 0.6, 65,  -8,*  2, 5,  7.7, ⑪⑩
 8, 3,Ｂサクセスアイニｰ, 62,川須栄, 0.9, 56,   1, -11, 8, 13.9,⑧⑪⑩, 9,15,Ｊマｰティントゥルｰ, 52,鷹野宏, 1.2, 57,  -4,  -8,16,241.2,⑮⑮⑭, 9, 2,Ｇアジェンダ, 68,北村友, 1.7, 60,  -2,  -1, 9, 27.4, ⑪⑫, 9, 1,Ｌマイネルコルベット, 61,幸英明, 0.8, 62,  -3,  -6,10, 22.2, ⑦⑦
 9, 8,Ｎワンダｰソング, 45,野元昭, 1.8, 52,   0, -15,15,262.1,⑭⑮⑭,10, 5,Ｋマリアダンス, 52,安藤光, 1.3, 55,  -4,  -9,11, 65.8,⑫⑫⑮,10, 5,Ｎリッカカントリｰ, 54,田島裕, 1.9, 56,   2, -12,14,132.8, ⑧⑥,10, 8,Ｃアイディンパワｰ, 74,太宰啓, 0.8, 63, -10,   1, 6,  9.8, ⑫⑫
10, 6,Ｋバリスタ, 53,幸英明, 2.0, 49,   3, -23, 6, 13.5,⑤⑥⑧,11, 6,Ｂオｰスミショウサン, 62,和田竜, 1.3, 56,  -1, -15, 7, 13.9,⑨⑨⑩,11, 8,Ｆベッロカリｰノ, 68,安藤光, 1.9, 57,  -1,  -5, 8, 25.5, ⑫⑬,11, 2,Ｍジョニｰバロｰズ, 60,和田竜, 1.1, 60, -12,   0,14, 51.8, ⑮⑮
11,15,Ｃキョウワウィッシュ, 60,浜中俊, 2.0, 49,*  5, -27, 7, 13.7,③③③,12, 2,Ａホクトスズラン, 63,川須栄, 1.4, 53,  -2, -16, 8, 14.0,⑤⑤⑨,12,11,Ｋハロｰスカｰレット, 59,浜中俊, 2.2, 54,   2, -15,13, 93.6, ⑦⑧,12,14,Ｋメイショウフレアｰ, 62,岩田康, 1.2, 57,  -7,  -7,12, 41.6, ⑩⑪
12, 9,Ｇセルシウス, 58,松山弘, 2.3, 48,   2, -24, 9, 17.5,⑨⑧⑫,13, 3,Ｎタマモアカデミｰ, 38,幸英明, 1.8, 55,  -9,* -2,13,106.7,⑯⑯⑯,13,12,Ｊロイヤルクリッパｰ, 61,幸英明, 2.5, 51,  -1, -15,11, 47.4, ⑬⑪,13,13,Ｉタフネスデジタル, 68,国分恭, 1.4, 55,  -8,  -8,11, 22.3, ⑬⑬
13, 4,Ａシゲルゴウヒメ, 63,川島信, 2.4, 45,*  5, -30, 2,  5.4,②②②,14,11,Ｏトｰセンナックス, 28,国分恭, 2.1, 47,   0, -29,10, 41.6,④④⑤,14, 3,Ｂテｰオｰルネサンス, 74,ウィリ, 2.5, 48,*  7, -31, 3,  5.0, ①①,14,16,Ｏカルロスバロｰズ, 56,小牧太, 1.5, 54, -15,  -3,15,112.4, ⑯⑯
14,16,Ｌヒルノリシャｰル, 51,上野翔, 3.8, 38,   1, -36,14, 87.8,⑪⑨⑬,15,13,Ｇアドマイヤシャｰプ, 55,小牧太, 2.2, 46,*  1, -34, 6, 13.5,②②②,,,,,,,,,,,,,15, 9,Ｐカシノグロｰブ, 54,小坂忠, 1.8, 49,  -2, -20,16,164.0, ⑥⑥
,,,,,,,,,,,,16, 7,Ｐトｰホウパレｰド, 28,中村将, 2.5, 44,   0, -35,15,168.4,③③④,,,,,,,,,,,,,16, 6,Ｎメイショウユリシス, 56,安藤光, 2.4, 41,*  2, -31,13, 51.1, ②②
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-11 馬場:不良(指数:-7),,,,,,,,,,,,ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:重(指数:5),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:重(指数:5),,,,,,,,,,,,ｸﾗｽ上位平均:75 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:重(指数:5),,,,,,,,,,,
"単勝:970円 複勝:12=370円 01=140円 05=260円 枠連:1,400円",,,,,,,,,,,,"単勝:1,200円 複勝:08=300円 10=1,780円 14=200円 枠連:3,930円",,,,,,,,,,,,単勝:860円 複勝:09=290円 14=170円 04=290円 枠連:980円,,,,,,,,,,,,"単勝:720円 複勝:05=220円 04=210円 15=180円 枠連:1,180円",,,,,,,,,,,
"馬連:2,050円 ワイド:01-12=910円 05-12=1,860円 01-05=600円",,,,,,,,,,,,"馬連:46,980円 ワイド:08-10=8,710円 08-14=960円 10-14=4,890円",,,,,,,,,,,,"馬連:2,010円 ワイド:09-14=550円 04-09=1,280円 04-14=640円",,,,,,,,,,,,"馬連:2,150円 ワイド:04-05=690円 05-15=630円 04-15=660円",,,,,,,,,,,
"馬単:4,860円 3連複:7,110円 3連単:44,850円",,,,,,,,,,,,"馬単:77,750円 3連複:67,870円 3連単:555,350円",,,,,,,,,,,,"馬単:4,890円 3連複:6,750円 3連単:50,140円",,,,,,,,,,,,"馬単:4,850円 3連複:3,820円 3連単:22,900円",,,,,,,,,,,
■ 3R  芝2970m 3歳上未勝利 定量,,,,,,,,,,,,■ 6R  芝1600m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:11,,,,,■ 9R  芝1600m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■12R  ダ1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,三宮特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 9, カシノダンク,,出津孝,,,,, 8, 33.3,①①①, 1,11,Ａサンデｰミュｰズ, 69,国分恭,, 74,  -3,* 10, 2,  5.1, ⑧⑧, 1,11,Ａレディアルバロｰザ, 83,福永祐,, 82,  14,*  3, 2,  3.2, ⑦⑧, 1, 7,Ａニホンピロアワｰズ, 79,幸英明,, 79,*  7,*  8, 1,  1.9,①①①
 2,10, クリノゴｰルド,,岩崎祐,202.2,,,, 2,  2.8,③②②, 2,13,Ｂマックスドリｰム, 68,小牧太, 0.0, 73,  -3,* 10, 4,  7.5, ⑪⑨, 2, 4,Ｉアンプレシオネ, 72,太宰啓, 0.0, 81,* 20,  -7, 8, 25.9, ②②, 2, 6,Ｈガリアｰノ, 69,松山弘, 1.1, 73,*  7,   1,11, 53.1,⑪③③
 3, 2, アドマイヤテキサス,,高田潤,203.5,,,, 6, 15.4,⑧⑧⑦, 3, 2,Ｍオｰシャンキャスト, 51,福永祐, 0.1, 74,  -4,* 12, 3,  5.1, ⑩⑫, 3, 5,Ｄシェリルピンク, 79,ウィリ, 0.3, 78,  14,   0, 3,  9.5, ⑧⑦, 3, 8,Ｂマイネルトレｰス, 75,和田竜, 1.1, 74,   6,   3, 6, 18.0,⑬④④
 4, 1, スズカワイルド,,林満明,203.8,,,, 9, 65.7,⑤④⑤, 4,18,Ｉフラッパｰウィング, 55,鮫島良, 0.1, 72,*  2,   2, 8, 17.2, ②②, 4, 8,Ｂナリタスレンダｰ, 82,熊沢重, 0.3, 80,  10,*  8, 4, 10.7, ⑮⑮, 4, 4,Ｋメイショウシンドウ, 65,浜中俊, 1.4, 72,   3,*  5,12,101.7,⑨⑪⑩
 5, 6, グロッケンライン,,小坂忠,204.4,,,, 7, 15.4,⑥⑤③, 5,17,Ｅゴｰゲッタｰ, 62,和田竜, 0.9, 63,  -1,  -6, 1,  3.7, ⑥⑥, 5,15,Ｅトゥニｰポｰト, 78,和田竜, 0.3, 79,  17,  -5, 6, 13.0, ⑤⑥, 5,10,Ｆメイクセンス, 73,岩田康, 1.5, 72,   4,   3, 4, 10.8,⑧⑨⑦
 6, 3, カシノヨウスケ,,高野容,204.8,,,, 3,  8.2,⑦⑦⑥, 6, 4,Ｆサｰベルダンス, 58,岩田康, 1.0, 65,  -5,   3, 7, 15.4, ⑰⑭, 6,12,Ｈハｰリカ, 73,松田大, 0.4, 78,  13,   0,11, 55.6, ⑪⑨, 6,12,Ｃユニヴァｰスガイ, 74,川田将, 1.8, 69,   3,   1, 3,  7.0,⑩⑫⑪
 7, 7, クンダリｰニ,,西谷誠,205.8,,,, 4,  9.8,⑨⑨⑨, 7,10,Ｎトゥルｰゴｰルド, 51,高倉稜, 1.1, 61,  -7,   2,13, 72.8, ⑬⑯, 7, 2,Ｋノボリデュｰク, 72,幸英明, 0.5, 76,* 21, -15, 7, 17.5, ①①, 7, 1,Ｇゴｰルドスミス, 73,福永祐, 1.9, 66,   5,  -4, 9, 29.1,③⑤⑤
 8, 5, トウカイフラッグ,,北沢伸,206.5,,,, 1,  2.4,④⑥⑧, 8, 3,Ｈファコンドｰ, 57,ウィリ, 1.3, 59,  -3,  -5,11, 55.9, ⑫⑪, 8, 1,Ｌメイショウゲンジ, 71,渡辺薫, 0.6, 75,  11,  -1, 9, 29.5, ⑩⑩, 8,13,Ｍエリモレインボｰ, 59,石橋守, 2.1, 68,*  6,  -9,13,127.3,②②②
 9, 8, ホッコｰブロッサム,,今村康,207.3,,,,10, 73.5,⑩⑩⑩, 9, 7,Ｇメイショウブソン, 57,高橋亮, 1.3, 60,  -5,  -3,14, 80.2, ⑭⑮, 9, 3,Ｎコスモポッケ, 62,川島信, 0.6, 74,* 18, -12,14,171.8, ③③, 9,11,Ｄチョイワルグランパ, 73,ウィリ, 2.5, 62,   4,  -7, 8, 25.1,⑥⑧⑧
10, 4, クレバｰジェフリｰ,,中村将,207.4,,,, 5, 14.6,②③④,10,12,Ｋメイショウオリビア, 54,熊沢重, 1.3, 59,  -1,  -9, 9, 26.8, ⑤⑤,10,10,Ｆカノヤトップレディ, 77,川田将, 0.6, 75,  11,  -1, 5, 12.9, ⑨⑪,10, 2,Ｅジｰワンボｰイ, 73,国分恭, 2.6, 63,   4,  -7, 2,  5.5,⑤⑦⑨
,,,,,,,,,,,,11,14,Ｊエｰシンヨシツネ, 55,幸英明, 1.4, 57,*  3, -18,10, 38.2, ①①,11,13,Ｃドリｰムゼニス, 82,岩田康, 0.8, 74,  11,  -3, 1,  2.6, ⑭⑫,11, 9,Ｊリズミックビｰト, 65,高倉稜, 3.0, 59,   1,  -6,10, 37.8,⑫⑬⑬
,,,,,,,,,,,,12, 6, ミチノスパロｰ,---,松山弘, 1.6, 53,*  0, -17,12, 65.2, ③③,12, 7,Ｍブラックシャンツェ, 70,浜中俊, 0.9, 71,  15, -13,10, 45.4, ⑥⑤,12, 5,Ｉサイカニア, 69,鮫島良, 3.6, 56,   3, -14, 5, 15.7,⑦⑩⑫
,,,,,,,,,,,,13, 9,Ｄマルティニｰク, 63,浜中俊, 1.8, 53,  -4, -12, 5, 10.6, ⑮⑬,13, 9,Ｇホシシャトル, 77,鮫島良, 1.1, 68,* 18, -20,12, 61.3, ④④,13, 3,Ｌピュアシルヴァｰ, 64,松田大, 3.7, 58,   5, -19, 7, 20.7,④⑥⑥
,,,,,,,,,,,,14, 5,Ｃサトノケンオｰ, 65,藤岡康, 1.9, 51,  -3, -17, 6, 10.9, ⑦⑦,14,14,Ｏコンゴウリュウオｰ, 59,田中克, 1.6, 63,  10, -13,15,308.8, ⑬⑭,,,,,,,,,,,,
,,,,,,,,,,,,15, 1,Ｏシゲルカンスケ, 47,太宰啓, 2.1, 51,  -6, -11,16, 96.3, ⑯⑰,15, 6,Ｊサンマルチｰフ, 72,小牧太, 1.6, 63,  10, -13,13, 90.0, ⑫⑬,,,,,,,,,,,,
,,,,,,,,,,,,16,16,Ｌインディアリング, 52,川須栄, 2.1, 50,  -2, -18,15, 94.7, ⑨⑩,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,17, 8, ビリｰロック,---,松田大, 2.2, 50,  -9, -10,17, 99.3, ⑱⑱,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,18,15,Ｐインテレス, 42,北村友, 3.1, 39,*  1, -38,18,202.7, ④④,,,,,,,,,,,,,,,,,,,,,,,,
