10年 9月12日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,10年 9月12日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1400m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 4R  芝1600m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■10R  芝1200m 3歳上ｵｰﾌﾟﾝ(国) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,ｾﾝﾄｳﾙｽﾃｰｸｽ ＧⅡ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 9,11,Ｊヒビキライト, 36,田中健, 2.2, 45,*  4, -22,12,202.3, ③③, 9, 6,Ｍアドマイヤコウテイ, 44,藤岡康, 1.5, 54,  -1,  -8,13,143.8, ⑪⑨, 9, 1,Ｊワキノレジェンド, 57,国分恭, 1.5, 66,   9, -18, 9,152.0,③④⑥, 9, 4,Ｆハニｰメロンチャン, 75,藤岡佑, 2.0, 64,   7,  -3, 1,  3.4, ⑤⑥
10,13,Ｆカネトシパシュｰト, 44,柴田善, 2.4, 39,  -3, -15, 9, 32.2, ⑮⑨,10, 9,Ｊミッキｰマドラｰ, 48,小牧太, 1.7, 50,  -3,  -8,11, 51.3, ⑬⑮,10, 3,Ｉアウラスタｰ, 61,石橋守, 2.0, 63,   5, -14,11,257.7,⑩⑩⑪,10, 8,Ｄキアｰロ, 77,田中克, 2.1, 64,  -3,   9, 9, 32.8, ⑬⑬
11, 1,Ｏヒカリゴｰルド, 15,松田大, 2.9, 38,   2, -26,13,206.6, ④⑪,11, 3,Ｋポｰトクラシック, 48,和田竜, 1.7, 51,  -3,  -9, 8, 29.0, ⑫⑬,11, 8,Ｋメイショウナゴン, 45,難波剛, 2.6, 56,   6, -27,10,219.3,⑨⑨⑩,11,11,Ｂブラックカシミｰル, 82,野元昭, 2.2, 61,* 11, -10, 7, 16.3, ①①
12, 6,Ｌウエストハｰバｰ, 30,藤岡康, 3.2, 34,  -3, -22, 8, 23.7, ⑬⑫,12, 2,Ｇセイウンノｰブル, 52,浜中俊, 1.8, 50,  -2, -10, 3,  6.3, ⑩⑭,,,,,,,,,,,,,12,12,Ｍドンアドヴァイタ, 66,松山弘, 2.2, 62,   9,  -8,13,297.4, ④④
13,15,Ｎシゲルフクサンジ, 23,中村将, 3.4, 33,  -8, -17,15,274.2, ⑯⑯,13,12,Ｏマスタｰクインビｰ, 39,飯田祐, 2.4, 46,   0, -19,15,249.8, ⑥⑩,,,,,,,,,,,,,13, 5,Ｋハイデフィニション, 71,中村将, 2.5, 60,   5,  -6,11,153.7, ⑧⑨
14,14,Ｋドンウイング, 35,デュプ, 4.2, 27,  -2, -31,11,107.7, ⑪⑮,14,10,Ｉメイショウクオｰレ, 50,安藤光, 2.4, 44,  -1, -16,16,276.0, ⑭⑫,,,,,,,,,,,,,,,,,,,,,,,,
15, 8,Ｍキリシマガｰル, 30,松山弘, 4.8, 23,  -3, -36,14,240.0, ⑫⑭,15, 1,Ｐデュランダルシチｰ, 30,熊沢重, 3.4, 40,  -7, -17,14,244.9, ⑯⑯,,,,,,,,,,,,,,,,,,,,,,,,
16, 2,Ｐテイエムシェイク, 13,高井彰, 5.0, 21,   0, -40,16,365.5, ⑧⑬,16, 7,Ｃイサミユニヴァｰス, 60,国分恭, 3.6, 38,   2, -32, 4,  9.1, ⑤⑦,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:-10 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:-7 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:良(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:+0 馬場:良(指数:0),,,,,,,,,,,
単勝:330円 複勝:05=170円 16=150円 03=320円 枠連:740円,,,,,,,,,,,,"単勝:2,240円 複勝:05=540円 08=770円 04=130円 枠連:7,220円",,,,,,,,,,,,"単勝:1,200円 複勝:09=240円 04=160円 02=110円 枠連:3,290円",,,,,,,,,,,,"単勝:2,020円 複勝:03=460円 13=320円 06=180円 枠連:5,380円",,,,,,,,,,,
馬連:870円 ワイド:05-16=350円 03-05=900円 03-16=870円,,,,,,,,,,,,"馬連:31,390円 ワイド:05-08=6,990円 04-05=870円 04-08=820円",,,,,,,,,,,,"馬連:3,420円 ワイド:04-09=780円 02-09=290円 02-04=220円",,,,,,,,,,,,"馬連:6,380円 ワイド:03-13=1,600円 03-06=1,390円 06-13=930円",,,,,,,,,,,
"馬単:1,570円 3連複:3,640円 3連単:13,120円",,,,,,,,,,,,"馬単:62,380円 3連複:15,860円 3連単:197,500円",,,,,,,,,,,,"馬単:10,130円 3連複:1,120円 3連単:18,330円",,,,,,,,,,,,"馬単:13,630円 3連複:11,900円 3連単:98,790円",,,,,,,,,,,
■ 3R  芝2970m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 6R  芝1600m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 9R  ダ1800m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■12R  芝1400m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,ｵｰｸﾗﾝﾄﾞﾚｰｼﾝｸﾞｸﾗﾌﾞﾄﾛﾌｨｰ,,,,,,,,,,,,,,,,,,,,,,
